district,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Unified School District #1,2012,All Students,531.0,6.0,1.1
Unified School District #2,2012,All Students,59.0,12.0,20.3
Vernon School District,2012,All Students,266.0,218.0,82.0
Wallingford School District,2012,All Students,537.0,496.0,92.4
Waterbury School District,2012,All Students,1276.0,799.0,62.6
Waterford School District,2012,All Students,241.0,221.0,91.7
Watertown School District,2012,All Students,232.0,211.0,90.9
West Hartford School District,2012,All Students,753.0,698.0,92.7
West Haven School District,2012,All Students,391.0,282.0,72.1
Westbrook School District,2012,All Students,82.0,75.0,91.5
Weston School District,2012,All Students,191.0,190.0,99.5
Westport School District,2012,All Students,429.0,420.0,97.9
Wethersfield School District,2012,All Students,292.0,264.0,90.4
Wilton School District,2012,All Students,313.0,307.0,98.1
Windham School District,2012,All Students,181.0,127.0,70.2
Windsor Locks School District,2012,All Students,148.0,135.0,91.2
Windsor School District,2012,All Students,321.0,273.0,85.0
Wolcott School District,2012,All Students,219.0,205.0,93.6
