fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.04195989877233149,0.012808020967546888,426207.3333333333,all
2019,1,0.04079992005178211,0.012797752673665007,212779.33333333334,mth
2019,1,0.04311635199702249,0.012818258053246316,213428.0,rla
2020,2,0.08823643690543938,0.026932595056902143,426207.3333333333,all
2020,2,0.08580399105045436,0.026911574318557868,212779.33333333334,mth
2020,2,0.09066148988533487,0.026953551907414105,213428.0,rla
2021,3,0.1352756036939279,0.04129002279098181,426207.3333333333,all
2021,3,0.13155209861151354,0.04125889465950277,212779.33333333334,mth
2021,3,0.13898779201551362,0.041321056315467924,213428.0,rla
2022,4,0.18089727686461565,0.05521454386471163,426207.3333333333,all
2022,4,0.17592384129174507,0.05517393371212396,212779.33333333334,mth
2022,4,0.18585559679251493,0.05525503059182412,213428.0,rla
2023,5,0.18505737378515416,0.05648267228660887,426207.3333333333,all
2023,5,0.17998253481616117,0.056442755331826786,212779.33333333334,mth
2023,5,0.19011678891623512,0.05652246792273547,213428.0,rla
2024,6,0.18683150860505265,0.05702368711735531,426207.3333333333,all
2024,6,0.18171536421472748,0.05698492580707962,212779.33333333334,mth
2024,6,0.19193210361887675,0.05706233062129849,213428.0,rla
2025,7,0.18706710987474567,0.05709520570715311,426207.3333333333,all
2025,7,0.18194892115377587,0.05705716126433494,212779.33333333334,mth
2025,7,0.19216974300592862,0.05713313452239707,213428.0,rla
