fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.060526709645821415,0.01847494784416499,426207.3333333333,all
2019,1,0.05886474191489893,0.018462811482243727,212779.33333333334,mth
2019,1,0.062183626197572804,0.01848704732032884,213428.0,rla
2020,2,0.1272836028640104,0.038850222475886514,426207.3333333333,all
2020,2,0.12379745481073376,0.03882550923965617,212779.33333333334,mth
2020,2,0.1307591555500567,0.03887486060176316,213428.0,rla
2021,3,0.19558131745659352,0.05969587865429892,426207.3333333333,all
2021,3,0.19023266171511305,0.05965956302498614,212779.33333333334,mth
2021,3,0.20091371715532896,0.05973208391037943,213428.0,rla
2022,4,0.2621880760259233,0.0800251238827091,426207.3333333333,all
2022,4,0.2550261601769942,0.07997802472013245,212779.33333333334,mth
2022,4,0.26932822483359886,0.08007207989791623,213428.0,rla
2023,5,0.269338871349462,0.08220555170671477,426207.3333333333,all
2023,5,0.26199975031212747,0.08215966185567354,212779.33333333334,mth
2023,5,0.27665568677000985,0.08225130208581835,213428.0,rla
2024,6,0.2728103864430314,0.08326444970713862,426207.3333333333,all
2024,6,0.26538721890088496,0.0832202293959682,212779.33333333334,mth
2024,6,0.280210992927839,0.08330853562056437,213428.0,rla
2025,7,0.2736148043767187,0.08350952300569874,426207.3333333333,all
2025,7,0.266175757228596,0.08346632667212472,212779.33333333334,mth
2025,7,0.28103124220499237,0.08355258805367892,213428.0,rla
