district,district_code,school,school_code,fiscal_year,enrollment_total,n_native_american,n_asian,n_black,n_hispanic,n_two_or_more,n_white,n_pacific_islander,n_black_hispanic,pct_white,pct_black,pct_hispanic,pct_asian,pct_native_american,pct_two_or_more,pct_pacific_islander,pct_black_hispanic,pct_nonwhite
East Hartford School District,430011,Woodland School,439011,2025,137.0,0.0,0.0,45.0,73.0,,,0.0,118.0,,32.846715328467155,53.28467153284672,0.0,0.0,,0.0,86.13138686131386,
East Haven School District,440011,Carbone School/East Haven Academy,441711,2025,363.0,0.0,7.0,15.0,92.0,23.0,226.0,0.0,107.0,62.25895316804407,4.132231404958678,25.34435261707989,1.9283746556473829,0.0,6.336088154269973,0.0,29.47658402203857,37.74104683195593
East Haven School District,440011,Deer Run School,440111,2025,232.0,0.0,7.0,16.0,93.0,16.0,100.0,0.0,109.0,43.103448275862064,6.896551724137931,40.08620689655172,3.0172413793103448,0.0,6.896551724137931,0.0,46.98275862068966,56.896551724137936
East Haven School District,440011,Dominick H. Ferrara School,441311,2025,153.0,0.0,8.0,9.0,66.0,6.0,64.0,0.0,75.0,41.830065359477125,5.88235294117647,43.13725490196079,5.228758169934641,0.0,3.92156862745098,0.0,49.01960784313725,58.16993464052288
East Haven School District,440011,East Haven High School,446111,2025,879.0,,23.0,69.0,372.0,23.0,385.0,,441.0,43.79977246871445,7.849829351535837,42.32081911262799,2.6166097838452784,,2.6166097838452784,,50.17064846416383,56.20022753128555
East Haven School District,440011,Grove J. Tuttle School,441011,2025,270.0,0.0,17.0,,121.0,,116.0,0.0,124.0,42.96296296296296,,44.81481481481481,6.296296296296296,0.0,,0.0,45.92592592592592,57.03703703703704
East Haven School District,440011,Joseph Melillo Middle School,445111,2025,461.0,,18.0,38.0,244.0,,150.0,0.0,282.0,32.53796095444685,8.24295010845987,52.92841648590022,3.9045553145336234,,,0.0,61.17136659436009,67.46203904555315
East Haven School District,440011,Momauguin School,440711,2025,302.0,0.0,6.0,8.0,156.0,16.0,116.0,0.0,164.0,38.41059602649007,2.6490066225165565,51.65562913907284,1.9867549668874172,0.0,5.298013245033113,0.0,54.3046357615894,61.58940397350993
East Haven School District,440011,Overbrook Early Learning Center,441811,2025,173.0,0.0,,13.0,84.0,,65.0,0.0,97.0,37.57225433526011,7.514450867052023,48.554913294797686,,0.0,,0.0,56.06936416184971,62.42774566473989
East Lyme School District,450011,Abilities in Motion (AIM) Program,450511,2025,12.0,0.0,0.0,,,,9.0,0.0,,75.0,,,0.0,0.0,,0.0,,25.0
East Lyme School District,450011,East Lyme High School,456111,2025,890.0,,88.0,17.0,90.0,45.0,645.0,,107.0,72.47191011235955,1.9101123595505616,10.112359550561797,9.887640449438202,,5.056179775280898,,12.022471910112358,27.528089887640448
East Lyme School District,450011,East Lyme Middle School,455111,2025,716.0,,65.0,,87.0,42.0,504.0,0.0,90.0,70.39106145251397,,12.150837988826815,9.078212290502794,,5.865921787709497,0.0,12.569832402234638,29.608938547486037
East Lyme School District,450011,Flanders School,450111,2025,242.0,,,0.0,21.0,27.0,175.0,0.0,21.0,72.31404958677686,0.0,8.677685950413224,,,11.15702479338843,0.0,8.677685950413224,27.68595041322314
East Lyme School District,450011,Integrated Preschool,458011,2025,69.0,0.0,,,7.0,,56.0,0.0,10.0,81.15942028985508,,10.144927536231885,,0.0,,0.0,14.492753623188406,18.84057971014492
East Lyme School District,450011,Lillie B. Haynes School,450411,2025,365.0,,54.0,,49.0,26.0,226.0,0.0,52.0,61.917808219178085,,13.424657534246576,14.794520547945206,,7.123287671232877,0.0,14.246575342465754,38.08219178082192
East Lyme School District,450011,Niantic Center School,450211,2025,198.0,,,,15.0,13.0,162.0,0.0,18.0,81.81818181818183,,7.575757575757576,,,6.565656565656567,0.0,9.090909090909092,18.181818181818173
