"Per Pupil Expenditures, 2006-07"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Amistad Academy District",4553,1415,254,2236,2318,784,N/A,693,12283
="Andover School District",6618,489,144,460,1353,1151,259,0,10658
="Ansonia School District",5154,141,227,1062,1082,802,377,204,9332
="Ashford School District",7840,365,93,129,1085,1180,533,36,12380
="Avon School District",6273,245,249,971,928,1168,431,155,10615
="Barkhamsted School District",6307,225,282,124,977,918,348,13,9606
="Berlin School District",5995,296,326,949,1213,1396,489,229,11115
="Bethany School District",6299,287,464,459,1101,1166,286,0,10604
="Bethel School District",6652,144,799,835,1223,1154,508,132,11902
="Bloomfield School District",8277,603,328,1289,2537,2072,649,203,14584
="Bolton School District",7284,193,601,787,1435,1119,648,185,12373
="Bozrah School District",7347,361,63,755,1310,1046,669,231,12388
="Branford School District",6931,411,540,723,1128,1048,619,225,11992
="Bridgeport School District",7276,242,217,621,1041,1288,552,116,11857
="Bristol School District",6593,223,537,429,1016,1065,505,174,10895
="Brookfield School District",6284,189,613,822,1268,1091,458,241,11067
="Brooklyn School District",5714,95,133,788,825,884,700,20,9920
="Canaan School District",11363,888,444,868,2490,2090,852,157,18398
="Canterbury School District",7662,354,135,713,1651,1686,1080,32,14649
="Canton School District",6530,180,136,852,1556,1479,607,38,11596
="Chaplin School District",8409,291,296,1375,1788,1991,476,18,14932
="Cheshire School District",6308,211,393,664,978,1111,551,178,10683
="Chester School District",6594,280,86,1384,1702,1084,179,0,11370
="Clinton School District",8163,488,338,785,1054,1164,632,95,12994
="Colchester School District",5800,265,260,749,1013,904,669,117,10174
="Colebrook School District",8408,155,299,283,1789,1340,336,98,13392
="Columbia School District",6693,350,284,2211,1145,843,736,107,13206
="Common Ground High School District",6497,178,166,565,1627,743,N/A,843,10660
="Cornwall School District",10246,707,1387,916,2633,2198,1109,4,18873
="Coventry School District",6315,230,462,847,962,954,686,225,10841
="Cromwell School District",7291,306,143,500,1457,1243,452,166,11720
="Cross Cultural Academy District",4808,516,113,5,2404,1409,N/A,936,11378
="Danbury School District",7371,295,506,665,1040,878,516,77,11202
="Darien School District",8340,382,476,407,1286,1454,559,241,13367
="Deep River School District",6575,307,73,1673,1611,1069,172,0,12029
="Derby School District",6130,282,183,1041,1501,1019,397,187,10857
="East Granby School District",6995,272,540,729,1649,1220,492,185,12335
="East Haddam School District",6449,439,232,686,1307,1572,684,14,11826
="East Hampton School District",6282,238,257,659,1128,1009,750,22,10947
="East Hartford School District",7831,182,177,361,1275,1090,462,79,10619
="East Haven School District",5731,140,457,730,1604,1432,521,247,11378
="East Lyme School District",7024,204,463,412,1112,1454,422,234,11688
="East Windsor School District",6264,277,207,545,1372,934,763,66,10853
="Eastford School District",6757,174,140,1943,1741,1061,793,0,13563
="Easton School District",8062,163,142,143,1266,1146,633,0,12121
="Ellington School District",6552,199,266,453,840,1129,582,125,10415
="Elm City College Preparatory School",3729,1108,197,1030,1868,564,N/A,776,9271
="Enfield School District",6657,156,243,775,1090,1371,468,193,11105
="Essex School District",6751,252,103,1130,1563,912,234,0,11083
="Explorations District",4678,172,326,391,2072,1502,N/A,0,9440
="Fairfield School District",7677,218,874,1042,1561,1560,639,201,13975
="Farmington School District",6534,238,423,790,1136,1437,587,181,11662
="Franklin School District",6952,399,100,709,1567,1379,793,15,12783
="Glastonbury School District",6191,210,537,595,1230,1251,565,165,10922
="Granby School District",6187,522,344,588,1118,1227,500,232,10693
="Greenwich School District",10604,344,340,1074,1507,2391,441,13,17120
="Griswold School District",5904,438,164,388,1336,1261,691,264,10647
="Groton School District",7590,376,564,1113,1242,1377,742,0,13194
="Guilford School District",6731,185,325,724,1426,1215,653,173,11884
