"Per Pupil Expenditures, 2011-12"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",6707,392,285,1091,4012,546,N/A,696,13848
="Achievement First Hartford Academy District",7358,324,192,261,2419,36,N/A,50,10686
="Amistad Academy District",7776,400,644,1383,2520,495,N/A,617,13959
="Andover School District",8328,382,250,502,1834,1358,238,0,13585
="Ansonia School District",6886,367,192,583,1408,1058,669,207,11376
="Ashford School District",9401,601,160,474,1670,1198,845,81,15187
="Avon School District",8094,385,287,850,1218,1354,625,181,13301
="Barkhamsted School District",6933,150,400,150,1169,1200,429,0,11142
="Berlin School District",7503,409,321,1308,1486,2044,703,292,14219
="Bethany School District",8521,271,175,358,1630,1662,333,0,13977
="Bethel School District",8120,196,1214,955,1345,1228,736,180,14603
="Bloomfield School District",10008,397,812,1396,2792,2370,836,230,17641
="Bolton School District",8343,247,587,981,1767,1252,785,228,14505
="Bozrah School District",9617,312,160,836,1829,1460,944,74,17019
="Branford School District",9132,281,574,933,1344,1242,809,305,15062
="Bridgeport School District",8111,192,237,971,1247,1303,688,46,13364
="Bristol School District",7829,124,515,852,944,1151,595,333,12852
="Brookfield School District",7950,124,676,928,1440,935,649,344,13208
="Brooklyn School District",7771,141,183,782,979,1313,847,1,12887
="Canaan School District",14770,378,335,1257,3078,2237,799,207,21753
="Canterbury School District",9243,224,143,911,1481,2230,1255,56,17051
="Canton School District",7257,210,314,1691,1481,1396,800,265,13796
="Chaplin School District",10435,478,833,1422,1897,1839,670,184,18290
="Cheshire School District",7584,215,487,820,1274,1244,806,200,13068
="Chester School District",9010,368,116,2308,2423,1502,266,0,15944
="Clinton School District",9381,709,291,981,1275,1198,690,76,15175
="Colchester School District",7329,169,250,976,1217,1225,840,150,12589
="Colebrook School District",11518,188,398,378,2643,1599,425,153,17941
="Columbia School District",7280,145,327,3124,1789,1075,1064,789,16787
="Common Ground High School District",6751,354,1542,693,2429,1235,N/A,1354,14417
="Cornwall School District",15810,664,1082,1563,3395,3085,1531,0,27294
="Coventry School District",9302,240,101,764,1344,1646,1017,170,15121
="Cromwell School District",8562,378,154,694,1366,1453,528,171,13228
="Danbury School District",8105,217,217,637,1189,958,667,68,11998
="Darien School District",10719,261,698,600,1353,1464,614,259,16578
="Deep River School District",7998,195,156,2185,1962,1350,510,0,14949
="Derby School District",7509,196,82,1031,1574,1597,590,164,13026
="East Granby School District",9747,704,812,859,2008,1601,595,231,15994
="East Haddam School District",8452,274,308,819,1619,1922,905,39,15041
="East Hampton School District",8525,211,410,910,1641,1361,711,313,14116
="East Hartford School District",9053,257,182,529,1654,1223,601,98,12410
="East Haven School District",7888,103,95,1253,2217,1172,735,253,13949
="East Lyme School District",8354,161,577,806,1269,1753,516,263,14026
