"Student Counts by District and Race"
"All Districts"
"2016-17"

"",,"Race",,,,,,,
"Columbia School District","=""0300011""",0,"*","*",28,7,393,434,"*"
"Common Ground High School District","=""2680013""",0,"*",79,59,"*",51,200,0
"Connecticut Technical Education and Career System","=""9000016""",34,130,1261,3814,363,4939,10556,15
"Cooperative Educational Services","=""2430014""","*","*",206,316,33,255,842,0
"Cornwall School District","=""0310011""",0,"*",0,8,"*",55,72,0
"Coventry School District","=""0320011""","*",21,"*",94,51,1439,1625,0
"Cromwell School District","=""0330011""","*",134,167,188,48,1458,2004,"*"
"Danbury School District","=""0340011""",12,769,827,5416,289,4052,11372,7
"Darien School District","=""0350011""","*",207,36,228,107,4243,4828,"*"
"Deep River School District","=""0360011""",0,"*","*",21,15,244,285,0
"Department of Mental Health and Addiction Services","=""""",0,0,0,"*",0,"*","*",0
"Derby School District","=""0370011""","*",35,217,402,62,665,1387,"*"
"East Granby School District","=""0400011""","*",46,77,56,26,658,866,"*"
"East Haddam School District","=""0410011""","*",11,10,27,13,967,1032,"*"
"East Hampton School District","=""0420011""","*",29,15,87,51,1691,1876,"*"
"East Hartford School District","=""0430011""","*",337,2214,3049,62,1056,6734,"*"
"East Haven School District","=""0440011""","*",115,112,722,58,1981,2996,"*"
"East Lyme School District","=""0450011""","*",253,60,166,86,2210,2782,"*"
"East Windsor School District","=""0470011""","*",47,115,194,"*",644,1049,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",21,69,15,303,413,0
"Eastford School District","=""0390011""",0,"*","*",10,8,123,143,0
"Easton School District","=""0460011""","*",50,6,52,32,740,882,"*"
"EdAdvance","=""2420014""",0,"*",7,54,"*",148,219,"*"
"Ellington School District","=""0480011""","*",243,112,116,"*",2105,2647,0
"Elm City College Preparatory School District","=""2890013""","*","*",528,177,9,10,726,0
"Elm City Montessori School District","=""2910013""",0,"*",59,45,"*",32,140,0
"Enfield School District","=""0490011""",20,169,330,721,243,3756,5249,10
"Essex School District","=""0500011""",0,"*","*",30,16,316,371,0
"Explorations District","=""2720013""",0,0,"*",13,"*",75,92,0
"Fairfield School District","=""0510011""","*",595,209,1037,368,7810,10027,"*"
"Farmington School District","=""0520011""","*",822,216,299,"*",2640,4078,0
"Franklin School District","=""0530011""","*","*",0,6,6,146,163,0
"Glastonbury School District","=""0540011""","*",613,190,533,287,4357,5996,"*"
"Granby School District","=""0560011""",7,28,95,65,59,1626,1880,0
"Great Oaks Charter School District","=""2940013""",0,"*",151,152,"*",12,324,"*"
"Greenwich School District","=""0570011""","*",767,244,1904,370,5670,8971,"*"
"Griswold School District","=""0580011""","*",36,51,142,118,1480,1848,"*"
"Groton School District","=""0590011""",33,294,350,867,409,2491,4461,17
"Guilford School District","=""0600011""","*",143,49,215,124,2875,3413,"*"
"Hamden School District","=""0620011""","*",464,1577,1062,273,2106,5493,"*"
"Hampton School District","=""0630011""",0,0,"*","*",6,95,105,0
"Hartford School District","=""0640011""",47,824,6294,11030,426,2240,20893,32
"Hartland School District","=""0650011""","*","*","*","*","*",171,189,"*"
"Hebron School District","=""0670011""","*",8,"*",42,16,635,706,0
"Highville Charter School District","=""2860013""",0,0,479,15,"*","*",502,0
"Integrated Day Charter School District","=""2640013""","*",44,"*",46,31,180,330,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",63,129,17,51,270,"*"
"Jumoke Academy District","=""2610013""",0,8,711,29,"*","*",753,0
"Kent School District","=""0680011""",0,"*",0,21,"*",197,235,0
"Killingly School District","=""0690011""",34,74,71,452,113,1806,2550,0
"Learn","=""2450014""",6,68,356,862,207,912,2421,10
"Lebanon School District","=""0710011""",13,19,17,53,"*",909,1020,"*"
"Ledyard School District","=""0720011""",84,85,129,245,125,1720,2395,7
"Lisbon School District","=""0730011""","*",7,7,32,27,324,401,"*"
"Litchfield School District","=""0740011""",0,13,10,49,11,854,946,9
"Madison School District","=""0760011""","*",115,18,120,84,2596,2941,"*"
"Manchester School District","=""0770011""",20,516,1410,1688,202,2446,6291,9
"Mansfield School District","=""0780011""","*",160,"*",143,54,825,1217,0
"Marlborough School District","=""0790011""","*",7,"*",36,11,473,535,0
"Meriden School District","=""0800011""",52,296,705,4228,206,2442,7949,20
"Middletown School District","=""0830011""","*",221,919,869,319,2360,4702,"*"
"Milford School District","=""0840011""",8,559,281,441,65,4563,5926,9
"Monroe School District","=""0850011""","*",141,65,245,93,2639,3189,"*"
"Montville School District","=""0860011""","*",193,47,233,259,1452,2210,"*"
"Naugatuck School District","=""0880011""","*",121,339,1012,218,2578,4281,"*"
"New Beginnings Inc Family Academy District","=""2800013""","*",0,320,159,"*",12,499,0
"New Britain School District","=""0890011""",8,244,1171,6446,260,2016,10145,0
"New Canaan School District","=""0900011""","*",267,49,162,96,3674,4260,"*"
"New Fairfield School District","=""0910011""","*",46,27,228,47,2037,2394,"*"
"New Hartford School District","=""0920011""",0,7,0,11,10,416,444,0
"New Haven School District","=""0930011""",36,486,8630,9531,237,3048,21981,13
"New London School District","=""0950011""",30,40,688,1802,326,663,3559,10
"New Milford School District","=""0960011""","*",165,"*",526,142,3278,4217,0
"Newington School District","=""0940011""","*",381,223,782,184,2490,4069,"*"
"Newtown School District","=""0970011""","*",154,"*",235,77,3941,4470,0
"Norfolk School District","=""0980011""",0,0,0,"*","*",95,102,0
"North Branford School District","=""0990011""","*",45,44,103,"*",1639,1842,0
"North Canaan School District","=""1000011""",0,"*","*",34,"*",233,278,0
"North Haven School District","=""1010011""","*",230,103,217,"*",2526,3162,0
"North Stonington School District","=""1020011""","*",19,12,34,16,640,731,"*"
"Norwalk School District","=""1030011""",17,582,1952,5173,223,3539,11498,12
"Norwich Free Academy District","=""9010022""",36,180,385,385,66,1268,2338,18
"Norwich School District","=""1040011""",18,263,654,1104,369,1234,3652,10
"Odyssey Community School District","=""2630013""",0,46,57,53,"*",148,328,"*"
"Old Saybrook School District","=""1060011""",0,53,21,112,41,1090,1317,0
"Orange School District","=""1070011""","*",153,"*",49,35,910,1167,0
"Oxford School District","=""1080011""","*",35,"*",138,42,1709,1952,0
"Park City Prep Charter School District","=""2830013""",0,"*",186,147,"*",21,360,0
"Path Academy District","=""2930013""",0,"*",20,98,"*",36,157,0
"Plainfield School District","=""1090011""",22,45,94,80,14,2024,2292,13
"Plainville School District","=""1100011""","*",51,116,398,79,1716,2366,"*"
"Plymouth School District","=""1110011""","*",20,"*",130,29,1302,1504,0
"Pomfret School District","=""1120011""","*",14,6,11,"*",341,377,"*"
"Portland School District","=""1130011""","*",20,34,140,64,1076,1337,"*"
"Preston School District","=""1140011""",8,"*",11,31,23,350,430,"*"
"Putnam School District","=""1160011""","*",12,24,126,62,961,1188,"*"
"Redding School District","=""1170011""","*",26,8,59,51,790,937,"*"
"Regional School District 01","=""2010012""","*","*",9,39,12,359,426,0
"Regional School District 04","=""2040012""",0,18,12,36,16,870,952,0
"Regional School District 05","=""2050012""","*",298,71,29,72,1766,2248,"*"
"Regional School District 06","=""2060012""","*","*",12,26,28,899,975,"*"
"Regional School District 07","=""2070012""","*",7,7,21,7,1060,1104,"*"
"Regional School District 08","=""2080012""","*",28,11,33,9,1473,1558,"*"
"Regional School District 09","=""2090012""","*",35,8,53,30,838,970,"*"
"Regional School District 10","=""2100012""","*",43,19,62,13,2220,2366,"*"
"Regional School District 11","=""2110012""",0,"*","*",21,9,213,251,"*"
"Regional School District 12","=""2120012""","*",6,7,57,11,626,710,"*"
"Regional School District 13","=""2130012""","*",30,"*",91,52,1564,1745,0
"Regional School District 14","=""2140012""","*",41,"*",66,15,1632,1768,0
"Regional School District 15","=""2150012""","*",188,65,185,64,3217,3729,"*"
"Regional School District 16","=""2160012""","*",35,68,127,20,1957,2211,"*"
"Regional School District 17","=""2170012""","*",42,"*",45,45,1963,2117,0
"Regional School District 18","=""2180012""","*",47,"*",67,29,1157,1308,0
"Regional School District 19","=""2190012""","*",54,23,103,21,997,1204,"*"
"Ridgefield School District","=""1180011""","*",322,37,332,154,4132,4984,"*"
"Rocky Hill School District","=""1190011""","*",639,107,182,"*",1646,2621,0
"Salem School District","=""1210011""","*",11,10,24,9,347,409,"*"
"Salisbury School District","=""1220011""",0,7,6,15,23,229,280,0
"Scotland School District","=""1230011""",0,0,0,"*","*",99,116,0
"Seymour School District","=""1240011""","*",68,88,298,"*",1674,2158,0
"Sharon School District","=""1250011""",0,"*",0,"*",6,135,150,0
"Shelton School District","=""1260011""","*",305,243,604,149,3507,4815,"*"
"Sherman School District","=""1270011""","*",11,"*",7,"*",290,315,0
"Side By Side Charter School District","=""2700013""",0,8,64,112,17,35,236,0
"Simsbury School District","=""1280011""","*",271,241,287,108,3251,4161,"*"
"Somers School District","=""1290011""","*",28,28,56,19,1297,1431,"*"
"South Windsor School District","=""1320011""","*",729,262,357,186,2641,4188,"*"
"Southington School District","=""1310011""",9,225,138,509,217,5478,6582,6
"Sprague School District","=""1330011""",6,"*","*",48,34,245,339,"*"
"Stafford School District","=""1340011""","*",15,18,94,39,1352,1526,"*"
"Stamford Academy District","=""2820013""",0,0,80,57,"*","*",148,0
"Stamford Charter School for Excellence District","=""2960013""",0,37,128,48,"*","*",217,0
"Stamford School District","=""1350011""",11,1379,2726,6717,339,4916,16100,12
"Sterling School District","=""1360011""","*","*","*",18,22,380,431,0
"Stonington School District","=""1370011""","*",55,32,109,62,1834,2108,"*"
"Stratford School District","=""1380011""","*",223,1516,2006,214,2889,6856,"*"
"Suffield School District","=""1390011""","*",75,90,144,"*",1928,2281,0
"The Bridge Academy District","=""2690013""","*","*",157,111,"*",7,281,0
"The Gilbert School District","=""9020022""","*",82,"*",64,20,385,562,0
"The Woodstock Academy District","=""9030022""",0,112,"*",33,"*",902,1065,0
"Thomaston School District","=""1400011""",0,"*",11,27,22,830,898,"*"
"Thompson School District","=""1410011""","*",7,"*",63,31,907,1018,0
"Tolland School District","=""1420011""","*",86,45,82,16,2247,2484,"*"
"Torrington School District","=""1430011""",7,170,172,1024,154,2665,4201,9
"Trailblazers Academy District","=""2780013""",0,"*",66,58,"*","*",129,0
"Trumbull School District","=""1440011""","*",582,324,648,48,5065,6685,"*"
"Unified School District #1","=""3360015""",0,0,195,109,9,50,363,0
"Unified School District #2","=""3470015""",0,"*",43,60,"*",47,156,"*"
"Union School District","=""1450011""",0,"*",0,"*",0,65,"*",0
"Vernon School District","=""1460011""","*",211,359,528,183,1938,3224,"*"
"Voluntown School District","=""1470011""","*","*",7,8,7,253,285,"*"
"Wallingford School District","=""1480011""",12,301,125,1007,70,4387,5908,6
"Waterbury School District","=""1510011""",122,311,4286,10218,635,3422,19001,7
"Waterford School District","=""1520011""",10,123,79,215,90,2012,2535,6
"Watertown School District","=""1530011""","*","*",57,205,75,2386,2782,0
"West Hartford School District","=""1550011""",10,1109,787,1780,426,5645,9765,8
"West Haven School District","=""1560011""","*",233,1340,2100,163,1935,5786,"*"
"Westbrook School District","=""1540011""","*",13,"*",111,9,625,767,0
"Weston School District","=""1570011""","*",116,42,105,108,2000,2374,"*"
"Westport School District","=""1580011""","*",352,111,257,205,4695,5623,"*"
"Wethersfield School District","=""1590011""","*",155,120,603,93,2615,3596,"*"
"Willington School District","=""1600011""",0,"*","*",18,13,390,428,0
"Wilton School District","=""1610011""","*",394,40,158,110,3362,4078,"*"
"Winchester School District","=""1620011""","*",18,"*",81,14,435,565,0
"Windham School District","=""1630011""","*",30,108,2341,66,784,3337,"*"
"Windsor Locks School District","=""1650011""",0,142,178,203,"*",974,1572,"*"
"Windsor School District","=""1640011""","*",147,1455,529,192,885,3212,"*"
"Wolcott School District","=""1660011""","*","*",51,137,74,1978,2285,0
"Woodbridge School District","=""1670011""","*",102,28,49,22,576,780,"*"
"Woodstock School District","=""1690011""",0,8,10,24,38,762,842,0
"Total","=""""",1458,27278,69427,129444,15679,295067,538899,546

