"Student Counts by District and Race"
"All Districts"
"2013-14"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",469,341,7,10,835,0
"Achievement First Hartford Academy District","=""2880013""","*","*",720,136,10,"*",870,"*"
"Amistad Academy District","=""2790013""","*",0,561,343,17,"*",937,0
"Andover School District","=""0010011""",0,"*","*",12,7,274,299,0
"Ansonia School District","=""0020011""",6,40,431,708,48,1086,2338,19
"Area Cooperative Educational Services","=""2440014""","*",77,566,569,"*",661,1933,0
"Ashford School District","=""0030011""",0,"*","*",26,7,384,424,0
"Avon School District","=""0040011""","*",369,125,206,113,2565,3387,"*"
"Barkhamsted School District","=""0050011""",0,"*","*","*","*",298,307,0
"Berlin School District","=""0070011""","*",90,69,256,79,2465,2963,"*"
"Bethany School District","=""0080011""","*",43,11,10,"*",369,436,0
"Bethel School District","=""0090011""",0,193,"*",416,75,2254,3000,"*"
"Bloomfield School District","=""0110011""","*",34,1547,224,50,236,2096,"*"
"Bolton School District","=""0120011""",0,24,49,36,16,744,869,0
"Bozrah School District","=""0130011""","*","*",14,16,"*",207,244,"*"
"Branford School District","=""0140011""","*",248,101,272,"*",2547,3245,0
"Brass City Charter School District","=""2900013""",0,"*",35,47,"*",20,115,0
"Bridgeport School District","=""0150011""",75,581,7856,10191,93,2112,20929,21
"Bristol School District","=""0170011""","*",266,550,1743,242,5453,8268,"*"
"Brookfield School District","=""0180011""",10,177,49,166,"*",2362,2771,"*"
"Brooklyn School District","=""0190011""","*",19,13,62,30,798,926,"*"
"Canaan School District","=""0210011""",0,0,0,"*","*",67,"*",0
"Canterbury School District","=""0220011""",0,0,"*",21,"*",419,464,0
"Canton School District","=""0230011""","*",45,76,95,"*",1459,1700,0
"Capitol Region Education Council","=""2410014""","*",440,2045,2084,243,2339,7177,"*"
"Chaplin School District","=""0240011""",0,"*","*",12,9,159,183,0
"Cheshire School District","=""0250011""",11,434,128,180,24,3843,4620,0
"Chester School District","=""0260011""",0,"*","*","*",8,209,228,0
"Clinton School District","=""0270011""","*",49,15,202,38,1648,1961,"*"
"Colchester School District","=""0280011""","*",57,68,140,47,2412,2744,"*"
"Colebrook School District","=""0290011""",0,0,0,"*","*",87,99,0
"Columbia School District","=""0300011""",0,"*",6,24,"*",436,474,0
"Common Ground High School District","=""2680013""",0,"*",58,75,"*",39,180,0
"Connecticut Technical Education and Career System","=""9000016""",47,95,1360,3511,323,5353,10698,9
"Cooperative Educational Services","=""2430014""",0,32,239,247,"*",281,822,"*"
"Cornwall School District","=""0310011""",0,"*","*",9,6,87,105,0
"Coventry School District","=""0320011""","*",16,"*",79,58,1522,1693,0
"Cromwell School District","=""0330011""","*",120,172,153,15,1502,1968,"*"
"Danbury School District","=""0340011""",9,765,829,4594,269,4321,10793,6
"Darien School District","=""0350011""",9,182,25,185,30,4498,4929,0
"Deep River School District","=""0360011""",0,"*","*",28,"*",295,333,0
"Department of Mental Health and Addiction Services","=""""",0,0,"*","*","*","*","*",0
"Derby School District","=""0370011""",0,33,238,379,49,816,1522,7
"East Granby School District","=""0400011""","*",42,68,54,"*",683,874,0
"East Haddam School District","=""0410011""","*",7,"*",23,9,1152,1199,0
"East Hampton School District","=""0420011""",0,33,"*",75,32,1721,1877,"*"
"East Hartford School District","=""0430011""","*",364,2474,3039,24,1233,7158,"*"
"East Haven School District","=""0440011""","*",145,91,651,49,2185,3127,"*"
"East Lyme School District","=""0450011""","*",271,60,129,48,2350,2868,"*"
"East Windsor School District","=""0470011""","*",61,128,159,"*",807,1216,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",17,60,11,272,366,0
"Eastford School District","=""0390011""","*","*","*","*","*",142,152,0
"Easton School District","=""0460011""","*",48,10,53,21,828,962,"*"
"EdAdvance","=""2420014""","*","*",9,50,0,162,229,0
"Ellington School District","=""0480011""","*",150,108,116,"*",2208,2664,0
"Elm City College Preparatory School District","=""2890013""","*","*",470,137,"*",6,624,0
"Enfield School District","=""0490011""",20,138,290,571,232,3966,5225,8
"Essex School District","=""0500011""",0,15,"*",22,17,449,510,"*"
"Explorations District","=""2720013""","*","*","*","*","*",76,83,0
"Fairfield School District","=""0510011""","*",578,242,890,283,8276,10288,"*"
"Farmington School District","=""0520011""",7,648,210,251,27,2893,4036,0
"Franklin School District","=""0530011""","*","*",0,14,"*",162,185,"*"
