"Student Counts by District and Race"
"All Districts"
"2018-19"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","*",9,584,480,"*","*",13,1093
"Achievement First Hartford Academy District","=""2880013""","*","*",782,304,"*",15,"*",1112
"Amistad Academy District","=""2790013""","*","*",681,360,0,21,19,1083
"Andover School District","=""0010011""",0,0,"*",17,0,"*",164,191
"Ansonia School District","=""0020011""","*",39,432,901,"*",109,828,2324
"Area Cooperative Educational Services","=""2440014""","*",71,595,651,"*",79,468,1874
"Ashford School District","=""0030011""",0,"*",8,31,"*",20,345,410
"Avon School District","=""0040011""",8,603,158,211,0,119,2053,3152
"Barkhamsted School District","=""0050011""",0,"*","*",7,0,12,205,227
"Berlin School District","=""0070011""","*",98,"*",317,0,81,2236,2803
"Bethany School District","=""0080011""","*",28,"*",32,0,6,294,366
"Bethel School District","=""0090011""","*",208,99,609,"*",93,2080,3112
"Bloomfield School District","=""0110011""","*",46,1569,238,"*",102,219,2184
"Bolton School District","=""0120011""",0,17,48,77,0,29,615,786
"Booker T. Washington Academy District","=""2950013""",0,0,309,45,0,"*","*",360
"Bozrah School District","=""0130011""",0,0,"*","*",0,21,158,203
"Branford School District","=""0140011""",8,204,115,338,0,93,2102,2860
"Brass City Charter School District","=""2900013""","*","*",98,134,0,27,24,287
"Bridgeport School District","=""0150011""",157,537,6952,9949,30,219,2728,20572
"Bristol School District","=""0170011""",11,281,567,2326,6,319,4446,7956
"Brookfield School District","=""0180011""","*",205,72,325,"*",26,1984,2630
"Brooklyn School District","=""0190011""","*",25,16,99,"*",35,742,922
"Canaan School District","=""0210011""",0,0,0,"*",0,0,"*",63
"Canterbury School District","=""0220011""","*","*",6,22,0,"*",438,471
"Canton School District","=""0230011""",0,41,98,107,"*","*",1281,1560
"Capital Preparatory Harbor School District","=""2970013""","*",0,463,167,0,"*","*",634
"Capitol Region Education Council","=""2410014""",15,528,2451,3154,11,455,2058,8672
"Chaplin School District","=""0240011""",0,"*","*",10,0,"*",135,156
"Cheshire School District","=""0250011""",7,415,112,251,0,100,3399,4284
"Chester School District","=""0260011""",0,"*","*",14,0,8,168,194
"Clinton School District","=""0270011""","*",50,9,293,"*",25,1361,1744
"Colchester School District","=""0280011""","*",54,33,156,"*",93,1981,2321
"Colebrook School District","=""0290011""",0,0,"*","*",0,"*",79,84
"Columbia School District","=""0300011""","*","*","*",30,0,10,393,437
"Common Ground High School District","=""2680013""",0,"*",87,74,0,"*",47,216
"Connecticut Technical Education and Career System","=""9000016""",24,154,1258,4152,15,392,4652,10647
"Cooperative Educational Services","=""2430014""",0,"*",199,326,"*",37,246,839
"Cornwall School District","=""0310011""",0,"*",0,13,0,"*",71,91
"Coventry School District","=""0320011""","*",26,"*",94,0,65,1453,1649
"Cromwell School District","=""0330011""","*",128,161,192,"*",66,1392,1946
"Danbury School District","=""0340011""","*",753,793,5838,"*",324,3803,11531
"Darien School District","=""0350011""","*",227,"*",252,0,151,4091,4769
"Deep River School District","=""0360011""",0,"*","*",21,0,10,205,242
