"Student Counts by District and Race"
"All Districts"
"2010-11"

"",,"Race",,,,,,,
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",13,37,"*",221,284,0
"Eastford School District","=""0390011""","*","*","*","*","*",169,180,0
"Easton School District","=""0460011""","*",46,11,51,15,976,1103,"*"
"EdAdvance","=""2420014""","*","*","*",73,0,129,217,"*"
"Ellington School District","=""0480011""","*",125,84,107,76,2336,2734,"*"
"Elm City College Preparatory School District","=""2890013""","*","*",450,122,6,"*",585,0
"Enfield School District","=""0490011""",25,117,360,497,232,4673,5912,8
"Essex School District","=""0500011""",0,18,"*","*",13,546,594,0
"Explorations District","=""2720013""","*","*","*","*",0,73,80,0
"Fairfield School District","=""0510011""","*",489,232,824,269,8362,10207,"*"
"Farmington School District","=""0520011""",7,524,210,195,6,3209,4151,0
"Franklin School District","=""0530011""",0,"*",0,15,"*",200,224,"*"
"Glastonbury School District","=""0540011""","*",583,212,430,178,5425,6841,"*"
"Granby School District","=""0560011""","*","*",82,71,54,2016,2253,0
"Greenwich School District","=""0570011""","*",696,265,1463,184,6254,8873,"*"
"Griswold School District","=""0580011""",31,44,63,92,30,1753,2013,0
"Groton School District","=""0590011""","*",353,626,696,133,3103,4997,"*"
"Guilford School District","=""0600011""","*",121,37,210,70,3260,3702,"*"
"Hamden School District","=""0620011""",7,440,1878,929,133,2657,6044,0
"Hampton School District","=""0630011""",0,0,0,"*","*",129,140,0
"Hartford School District","=""0640011""",50,461,7377,11155,582,1731,21365,9
"Hartland School District","=""0650011""","*","*","*","*","*",208,225,0
"Hebron School District","=""0670011""","*",10,"*",36,21,1065,1136,0
"Highville Charter School District","=""2860013""",0,0,278,14,"*","*",300,0
"Integrated Day Charter School District","=""2640013""",0,21,25,41,29,215,331,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",47,68,6,58,182,0
"Jumoke Academy District","=""2610013""","*",0,411,7,"*",0,432,7
"Kent School District","=""0680011""",0,"*","*",22,19,239,287,0
"Killingly School District","=""0690011""",30,53,74,86,107,2361,2711,0
"Learn","=""2450014""","*",64,206,374,86,555,1295,"*"
"Lebanon School District","=""0710011""",24,21,7,50,"*",1306,1412,"*"
"Ledyard School District","=""0720011""",139,133,175,209,"*",1984,2643,"*"
"Lisbon School District","=""0730011""","*",11,"*",19,38,461,535,0
"Litchfield School District","=""0740011""","*",17,12,47,"*",1086,1176,9
"Madison School District","=""0760011""","*",123,28,79,61,3327,3630,"*"
"Manchester School District","=""0770011""",28,528,1476,1527,265,3038,6862,0
"Mansfield School District","=""0780011""","*",120,37,137,50,985,1331,"*"
"Marlborough School District","=""0790011""",0,22,"*",34,"*",597,675,0
"Meriden School District","=""0800011""",17,177,1063,3967,138,2988,8406,56
"Middletown School District","=""0830011""","*",278,1184,737,153,2885,5251,"*"
"Milford School District","=""0840011""","*",534,315,379,"*",5747,6988,0
"Monroe School District","=""0850011""",12,123,64,225,58,3279,3761,0
"Montville School District","=""0860011""","*",212,97,199,210,1897,2670,"*"
"Naugatuck School District","=""0880011""","*",177,311,846,214,3116,4674,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,0,267,84,"*","*",360,0
"New Britain School District","=""0890011""","*",256,1615,5956,108,2262,10222,"*"
"New Canaan School District","=""0900011""","*",165,40,125,55,3732,4143,"*"
"New Fairfield School District","=""0910011""","*",60,35,167,"*",2624,2920,0
"New Hartford School District","=""0920011""","*",6,"*",21,8,572,610,0
"New Haven School District","=""0930011""","*",423,9323,7518,"*",2879,20194,0
"New London School District","=""0950011""","*",51,903,1494,109,508,3106,"*"
"New Milford School District","=""0960011""","*",191,93,381,61,4045,4773,"*"
"Newington School District","=""0940011""",6,376,213,617,173,3062,4447,0
"Newtown School District","=""0970011""","*",193,64,245,"*",4901,5464,0
"Norfolk School District","=""0980011""",0,"*","*","*","*",133,141,0
"North Branford School District","=""0990011""","*",56,53,89,"*",2090,2293,0
"North Canaan School District","=""1000011""",0,"*","*",32,9,271,318,0
"North Haven School District","=""1010011""","*",227,136,226,79,2947,3624,"*"
"North Stonington School District","=""1020011""",10,6,18,24,13,725,796,0
"Norwalk School District","=""1030011""",19,535,2417,3991,75,4106,11143,0
"Norwich Free Academy District","=""9010022""",41,109,221,311,176,1470,2381,53
"Norwich School District","=""1040011""",52,300,728,952,292,1541,3877,12
"Odyssey Community School District","=""2630013""","*",8,35,40,9,87,181,"*"
"Old Saybrook School District","=""1060011""","*",94,29,75,18,1358,1577,"*"
"Orange School District","=""1070011""","*",152,34,52,"*",1035,1284,0
"Oxford School District","=""1080011""","*",45,38,110,"*",1975,2205,0
"Park City Prep Charter School District","=""2830013""",0,"*",151,87,"*","*",250,"*"
"Plainfield School District","=""1090011""",37,57,98,70,"*",2380,2645,"*"
"Plainville School District","=""1100011""","*",49,120,283,80,1946,2486,"*"
"Plymouth School District","=""1110011""","*",21,34,48,"*",1632,1745,0
"Pomfret School District","=""1120011""","*",14,8,12,"*",482,518,0
"Portland School District","=""1130011""","*",21,29,69,48,1239,1408,"*"
"Preston School District","=""1140011""",8,10,10,"*",10,392,438,"*"
"Putnam School District","=""1160011""","*",16,16,75,59,1121,1301,"*"
"Redding School District","=""1170011""","*",34,8,46,67,1085,1246,"*"
"Regional School District 01","=""2010012""",0,"*","*",17,7,471,506,0
"Regional School District 04","=""2040012""","*",16,"*",41,8,908,983,0
"Regional School District 05","=""2050012""","*",249,74,95,"*",2067,2495,0
"Regional School District 06","=""2060012""","*",11,11,30,11,984,1053,"*"
"Regional School District 07","=""2070012""","*",14,10,23,"*",1130,1179,0
"Regional School District 08","=""2080012""","*",32,13,31,"*",1695,1780,0
"Regional School District 09","=""2090012""",0,25,9,35,10,906,985,0
"Regional School District 10","=""2100012""",0,47,16,110,"*",2588,2773,"*"
"Regional School District 11","=""2110012""","*","*",6,19,0,254,282,0
"Regional School District 12","=""2120012""",0,8,13,34,7,865,933,6
"Regional School District 13","=""2130012""","*",33,"*",67,51,1889,2052,0
"Regional School District 14","=""2140012""","*",36,15,40,"*",2009,2104,0
"Regional School District 15","=""2150012""","*",222,55,198,14,3941,4440,"*"
"Regional School District 16","=""2160012""","*",26,61,120,"*",2322,2546,0
"Regional School District 17","=""2170012""","*",48,32,30,"*",2355,2485,0
"Regional School District 18","=""2180012""","*",54,6,48,18,1368,1499,"*"
"Regional School District 19","=""2190012""","*",63,23,62,9,1037,1197,"*"
"Ridgefield School District","=""1180011""","*",238,43,241,52,4857,5437,"*"
"Rocky Hill School District","=""1190011""","*",351,100,181,"*",1942,2593,0
"Salem School District","=""1210011""","*",23,13,13,"*",410,463,0
"Salisbury School District","=""1220011""",0,"*","*",21,29,249,310,0
"Scotland School District","=""1230011""",0,0,"*","*",0,132,143,0
"Seymour School District","=""1240011""","*",87,110,212,"*",2009,2424,0
"Sharon School District","=""1250011""",0,"*","*","*","*",186,197,0
"Shelton School District","=""1260011""",16,295,195,426,7,4366,5305,0
"Sherman School District","=""1270011""",0,"*","*","*",12,388,409,0
"Side By Side Charter School District","=""2700013""",0,24,69,72,12,56,233,0
"Simsbury School District","=""1280011""",0,254,194,234,"*",4083,4781,"*"
"Somers School District","=""1290011""","*",23,33,46,23,1511,1640,"*"
"South Windsor School District","=""1320011""",6,437,244,313,99,3486,4599,14
"Southington School District","=""1310011""","*",219,118,360,156,5969,6832,"*"
"Sprague School District","=""1330011""","*","*",7,36,44,282,373,0
"Stafford School District","=""1340011""","*",29,17,83,45,1680,1865,"*"
"Stamford Academy District","=""2820013""","*","*",91,40,"*","*",137,0
"Stamford School District","=""1350011""","*",1193,3195,5176,"*",5719,15390,0
"Sterling School District","=""1360011""","*","*","*",14,16,453,486,0
"Stonington School District","=""1370011""","*",74,54,59,"*",2307,2515,0
"Stratford School District","=""1380011""","*",222,1601,1847,124,3522,7338,"*"
"Suffield School District","=""1390011""","*",50,78,82,"*",2306,2520,0
"The Bridge Academy District","=""2690013""","*","*",134,98,30,"*",271,"*"
"The Gilbert School District","=""9020022""",0,"*",11,36,"*",267,325,0
"The Woodstock Academy District","=""9030022""","*",16,"*",25,"*",1042,1096,0
"Thomaston School District","=""1400011""","*",13,11,30,"*",1066,1129,0
"Thompson School District","=""1410011""","*","*","*",41,26,1197,1277,0
"Tolland School District","=""1420011""",7,99,53,58,0,2857,3074,0
"Torrington School District","=""1430011""","*",148,222,793,105,3338,4620,"*"
"Trailblazers Academy District","=""2780013""",0,0,89,66,0,7,162,0
"Trumbull School District","=""1440011""",15,443,308,464,0,5762,6992,0
"Unified School District #1","=""3360015""",0,"*",435,279,0,"*",816,0
"Unified School District #2","=""3470015""","*","*",121,103,"*",75,305,0
"Union School District","=""1450011""",0,0,"*",0,0,"*",82,0
"Vernon School District","=""1460011""",13,188,465,418,23,2508,3615,0
"Voluntown School District","=""1470011""","*","*","*",12,21,276,318,0
"Wallingford School District","=""1480011""",8,315,174,860,7,5236,6600,0
"Waterbury School District","=""1510011""",80,293,4802,8453,402,4152,18188,6
"Waterford School District","=""1520011""",28,171,120,204,8,2298,2829,0
"Watertown School District","=""1530011""",10,75,62,182,53,2805,3187,0
"West Hartford School District","=""1550011""","*",1079,921,1565,276,6399,10269,"*"
"West Haven School District","=""1560011""",8,220,1369,1841,234,2594,6266,0
"Westbrook School District","=""1540011""","*",21,"*",56,7,861,950,0
"Weston School District","=""1570011""","*",93,"*",74,50,2286,2541,0
"Westport School District","=""1580011""","*",267,95,188,"*",5202,5800,0
"Wethersfield School District","=""1590011""","*",170,174,551,36,2879,3819,"*"
"Willington School District","=""1600011""",0,"*","*",38,10,459,514,"*"
"Wilton School District","=""1610011""","*",257,54,112,38,3875,4340,"*"
"Winchester School District","=""1620011""",7,8,42,65,"*",838,964,"*"
"Windham School District","=""1630011""",18,38,187,2118,56,980,3397,0
"Windsor Locks School District","=""1650011""","*",172,169,142,21,1289,1799,"*"
"Windsor School District","=""1640011""","*",172,1739,511,114,1111,3652,"*"
"Wolcott School District","=""1660011""","*",43,49,112,68,2471,2752,"*"
"Woodbridge School District","=""1670011""","*",102,24,33,"*",555,723,"*"
"Woodstock School District","=""1690011""",0,"*","*",32,34,852,932,0
"Total","=""""",1923,24204,74070,107617,9226,347090,564499,369

