"Student Counts by District and Race"
"All Districts"
"2023-24"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",577,475,15,21,1098,0
"Achievement First Hartford Academy District","=""2880013""",10,"*",724,208,11,"*",961,0
"Amistad Academy District","=""2790013""","*","*",679,402,19,12,1125,0
"Andover School District","=""0010011""",0,0,"*",25,"*",174,205,0
"Ansonia School District","=""0020011""","*",48,508,1144,131,557,2397,"*"
"Area Cooperative Educational Services","=""2440014""","*",44,572,567,95,434,1719,"*"
"Ashford School District","=""0030011""",0,6,6,30,11,302,355,0
"Avon School District","=""0040011""","*",578,199,251,140,1946,3125,"*"
"Barkhamsted School District","=""0050011""",0,"*","*",12,11,193,218,0
"Berlin School District","=""0070011""","*",108,73,362,68,2047,2661,"*"
"Bethany School District","=""0080011""","*",35,10,34,"*",355,445,0
"Bethel School District","=""0090011""",45,236,144,875,133,1803,3249,13
"Bloomfield School District","=""0110011""","*",41,1309,343,96,184,1982,"*"
"Bolton School District","=""0120011""",0,15,45,73,34,532,699,0
"Booker T. Washington Academy District","=""2950013""","*","*",304,63,13,0,384,"*"
"Bozrah School District","=""0130011""",0,"*","*",24,12,131,170,0
"Branford School District","=""0140011""","*",175,111,447,148,1735,2625,"*"
"Brass City Charter School District","=""2900013""",0,10,123,192,23,15,363,0
"Bridgeport School District","=""0150011""",81,347,5445,11625,422,1650,19591,21
"Bristol School District","=""0170011""","*",270,642,2950,456,3444,7774,"*"
"Brookfield School District","=""0180011""",28,203,103,456,"*",1783,2582,"*"
"Brooklyn School District","=""0190011""","*",21,"*",108,42,693,885,0
"Canaan School District","=""0210011""",0,"*",0,"*","*",74,80,0
"Canterbury School District","=""0220011""",0,"*","*",53,12,418,486,0
"Canton School District","=""0230011""",0,"*",93,108,45,1227,1506,"*"
"Capital Preparatory Harbor School District","=""2970013""","*","*",512,260,"*","*",781,0
"Capitol Region Education Council","=""2410014""","*",455,2774,3811,532,1320,8916,"*"
"Chaplin School District","=""0240011""",0,"*","*",19,8,121,154,0
"Cheshire School District","=""0250011""","*",378,150,422,161,3109,4224,"*"
"Chester School District","=""0260011""",0,"*",0,17,"*",182,207,0
"Clinton School District","=""0270011""","*",42,"*",356,28,1014,1457,0
"Colchester School District","=""0280011""","*",45,46,210,105,1751,2161,"*"
"Colebrook School District","=""0290011""",0,"*",0,"*","*",60,66,0
"Columbia School District","=""0300011""","*","*","*",44,21,405,477,0
"Common Ground High School District","=""2680013""",0,"*",72,104,7,36,223,"*"
"Connecticut Technical Education and Career System","=""9000016""",25,88,1372,4785,560,4356,11194,8
"Cooperative Educational Services","=""2430014""","*",36,189,324,34,222,808,"*"
"Cornwall School District","=""0310011""",0,"*","*",6,"*",82,97,"*"
"Coventry School District","=""0320011""","*",18,11,127,76,1396,1633,"*"
"Cromwell School District","=""0330011""","*",102,132,273,117,1275,1904,"*"
"Danbury School District","=""0340011""","*",543,779,7776,463,2538,12126,"*"
"Darien School District","=""0350011""","*",295,35,331,234,3781,4681,"*"
"Deep River School District","=""0360011""",0,"*","*",18,"*",168,195,"*"
"Department of Mental Health and Addiction Services","=""""",0,0,"*",0,0,"*","*",0
"Derby School District","=""0370011""",0,"*",281,583,84,367,1345,"*"
"East Granby School District","=""0400011""",0,67,55,54,36,613,825,0
"East Haddam School District","=""0410011""","*",12,"*",67,29,883,999,"*"
"East Hampton School District","=""0420011""","*",20,19,133,64,1504,1742,"*"
"East Hartford School District","=""0430011""",18,251,1899,3403,206,618,6410,15
"East Haven School District","=""0440011""","*",96,163,1207,120,1306,2903,"*"
"East Lyme School District","=""0450011""","*",238,47,245,156,1810,2506,"*"
"East Windsor School District","=""0470011""","*",80,144,272,72,481,1052,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,0,10,66,29,263,368,0
"Eastford School District","=""0390011""",0,0,"*",13,"*",148,174,0
"Easton School District","=""0460011""",0,67,"*",85,46,677,904,"*"
"EdAdvance","=""2420014""","*","*",20,108,17,133,288,0
"Ellington School District","=""0480011""","*",289,111,221,"*",1836,2547,0
"Elm City College Preparatory School District","=""2890013""","*","*",485,254,19,14,775,"*"
"Elm City Montessori School District","=""2910013""",0,10,78,84,28,105,305,0
"Enfield School District","=""0490011""","*",116,322,1064,310,3008,4826,"*"
"Essex School District","=""0500011""",0,"*","*",25,11,261,300,"*"
"Explorations District","=""2720013""",0,0,"*",16,"*",60,88,0
"Fairfield School District","=""0510011""","*",591,310,1311,515,6620,9355,"*"
"Farmington School District","=""0520011""","*",1026,195,492,254,2218,4194,"*"
"Franklin School District","=""0530011""",0,0,"*",21,"*",148,192,0
"Glastonbury School District","=""0540011""",9,805,189,714,360,3597,5674,0
"Goodwin University Educational Services (GUES)","=""2310018""","*",31,393,571,64,148,1214,"*"
"Granby School District","=""0560011""","*",47,119,119,48,1403,1742,"*"
"Great Oaks Charter School District","=""2940013""","*","*",288,327,9,31,659,0
"Greenwich School District","=""0570011""","*",742,174,2015,541,5098,8589,"*"
"Griswold School District","=""0580011""","*",31,43,245,115,1326,1775,"*"
"Groton School District","=""0590011""",29,251,285,1063,558,1901,4099,12
"Guilford School District","=""0600011""","*",147,35,298,185,2460,3130,"*"
"Hamden School District","=""0620011""","*",379,1756,1539,365,1406,5455,"*"
"Hampton School District","=""0630011""",0,"*","*","*","*",63,74,0
"Hartford School District","=""0640011""",58,833,4820,9510,486,1109,16839,23
"Hartland School District","=""0650011""",0,0,"*","*",7,95,109,0
"Hebron School District","=""0670011""","*",12,"*",35,21,619,701,0
"Highville Charter School District","=""2860013""","*",0,423,69,8,"*",504,"*"
"Integrated Day Charter School District","=""2640013""","*",50,40,82,"*",157,362,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",44,172,22,36,279,0
"Jumoke Academy District","=""2610013""","*","*",577,26,6,"*",619,0
"Kent School District","=""0680011""",0,"*","*",20,9,157,191,0
"Killingly School District","=""0690011""","*",55,56,307,165,1830,2423,"*"
"Learn","=""2450014""","*","*",112,529,182,531,1396,0
"Lebanon School District","=""0710011""","*",8,8,85,22,851,985,"*"
"Ledyard School District","=""0720011""",79,81,89,335,144,1692,2445,25
"Lisbon School District","=""0730011""","*","*",6,59,32,338,442,0
"Litchfield School District","=""0740011""","*",12,"*",63,11,729,822,"*"
"Madison School District","=""0760011""","*",84,18,163,96,2067,2434,"*"
"Manchester School District","=""0770011""",34,519,1517,2195,212,1674,6167,16
"Mansfield School District","=""0780011""","*",124,"*",177,38,625,1002,0
"Marlborough School District","=""0790011""","*",13,"*",40,12,374,445,0
"Meriden School District","=""0800011""","*",149,1012,5434,443,1736,8789,"*"
"Middletown School District","=""0830011""",18,230,951,921,455,1787,4378,16
"Milford School District","=""0840011""","*",447,268,868,270,3466,5327,"*"
"Monroe School District","=""0850011""","*",194,126,567,140,2436,3470,"*"
"Montville School District","=""0860011""","*",124,93,339,231,1217,2021,"*"
"Naugatuck School District","=""0880011""","*",86,533,1645,209,1744,4231,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,"*",214,169,"*","*",392,0
"New Britain School District","=""0890011""",13,207,1035,6801,496,1341,9900,7
"New Canaan School District","=""0900011""","*",293,54,284,223,3244,4109,"*"
"New Fairfield School District","=""0910011""","*",25,54,381,64,1621,2154,"*"
"New Hartford School District","=""0920011""",0,"*",0,32,"*",408,455,0
"New Haven School District","=""0930011""",39,740,6287,9355,668,1871,18966,6
"New London School District","=""0950011""",16,31,499,1711,320,338,2922,7
"New Milford School District","=""0960011""","*",125,120,898,82,2368,3602,"*"
"Newington School District","=""0940011""","*",405,221,1027,213,2019,3893,"*"
"Newtown School District","=""0970011""","*",88,93,533,65,3164,3951,"*"
"Norfolk School District","=""0980011""",0,"*",0,"*","*",49,56,0
"North Branford School District","=""0990011""","*",28,"*",163,44,1284,1541,0
"North Canaan School District","=""1000011""","*",0,10,39,"*",187,244,0
"North Haven School District","=""1010011""","*",275,174,444,127,2207,3236,"*"
"North Stonington School District","=""1020011""","*",8,14,34,12,667,741,"*"
"Norwalk School District","=""1030011""",18,425,1544,6521,410,2592,11520,10
"Norwich Free Academy District","=""9010022""",24,111,302,607,132,887,2071,8
"Norwich School District","=""1040011""",9,206,617,1305,314,873,3336,12
"Odyssey Community School District","=""2630013""","*",89,86,71,"*",98,370,0
"Old Saybrook School District","=""1060011""",0,35,"*",159,33,795,1030,"*"
"Orange School District","=""1070011""",0,160,"*",105,60,929,1281,"*"
"Oxford School District","=""1080011""","*",51,40,187,29,1352,1667,"*"
"Park City Prep Charter School District","=""2830013""","*","*",190,178,"*",23,403,0
"Plainfield School District","=""1090011""",15,27,60,195,48,1541,1895,9
"Plainville School District","=""1100011""","*",59,130,552,99,1407,2255,"*"
"Plymouth School District","=""1110011""","*","*",28,205,69,955,1279,0
"Pomfret School District","=""1120011""",0,"*","*",10,6,325,349,0
"Portland School District","=""1130011""",0,17,52,217,62,895,1243,0
"Preston School District","=""1140011""","*",10,8,43,19,363,450,"*"
"Putnam School District","=""1160011""","*",15,16,204,71,872,1181,"*"
"Redding School District","=""1170011""","*",21,11,113,30,687,865,"*"
"Regional School District 01","=""2010012""",0,"*","*",35,16,253,314,0
"Regional School District 04","=""2040012""","*","*",8,74,29,603,723,0
"Regional School District 05","=""2050012""","*",307,"*",201,88,1433,2112,0
"Regional School District 06","=""2060012""",0,"*",14,44,31,757,848,"*"
"Regional School District 07","=""2070012""","*",7,"*",35,15,769,831,0
"Regional School District 08","=""2080012""","*",11,18,107,39,985,1162,"*"
"Regional School District 09","=""2090012""",0,36,18,70,31,594,749,0
