"Student Counts by District and Race"
"All Districts"
"2012-13"

"",,"Race",,,,,,,
"Essex School District","=""0500011""",0,17,6,19,16,472,530,0
"Explorations District","=""2720013""","*",0,"*","*",0,66,73,0
"Fairfield School District","=""0510011""",14,556,251,874,270,8355,10327,7
"Farmington School District","=""0520011""",8,633,211,236,22,2961,4071,0
"Franklin School District","=""0530011""","*","*",0,14,6,179,204,"*"
"Glastonbury School District","=""0540011""","*",586,177,482,211,5134,6606,"*"
"Granby School District","=""0560011""","*","*",85,67,59,1872,2112,0
"Greenwich School District","=""0570011""","*",713,270,1608,254,6013,8871,"*"
"Griswold School District","=""0580011""","*",41,60,115,80,1651,1975,"*"
"Groton School District","=""0590011""",68,297,515,846,242,2829,4811,14
"Guilford School District","=""0600011""","*",130,38,207,89,3130,3597,"*"
"Hamden School District","=""0620011""","*",430,1754,976,"*",2483,5841,0
"Hampton School District","=""0630011""",0,"*",0,10,"*",102,116,0
"Hartford School District","=""0640011""",79,634,6993,11015,804,2417,21965,23
"Hartland School District","=""0650011""","*","*","*","*","*",201,215,0
"Hebron School District","=""0670011""","*",7,"*",33,19,873,938,0
"Highville Charter School District","=""2860013""",0,"*",312,14,9,"*",341,0
"Integrated Day Charter School District","=""2640013""","*","*",30,41,30,202,330,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",34,86,16,53,191,0
"Jumoke Academy District","=""2610013""","*",0,572,"*","*","*",589,8
"Kent School District","=""0680011""",0,7,0,19,19,226,271,0
"Killingly School District","=""0690011""",33,58,56,90,150,2329,2716,0
"Learn","=""2450014""","*",59,240,524,155,737,1728,"*"
"Lebanon School District","=""0710011""",22,21,11,48,"*",1131,1238,"*"
"Ledyard School District","=""0720011""",132,113,158,208,"*",1931,2616,"*"
"Lisbon School District","=""0730011""",0,7,"*",22,34,381,448,"*"
"Litchfield School District","=""0740011""",0,18,7,38,7,960,1040,10
"Madison School District","=""0760011""","*",117,19,84,67,3095,3390,"*"
"Manchester School District","=""0770011""","*",502,1372,1535,268,2576,6275,"*"
"Mansfield School District","=""0780011""",0,131,"*",132,52,981,1321,"*"
"Marlborough School District","=""0790011""",0,"*","*",34,25,564,639,0
"Meriden School District","=""0800011""",38,251,967,3975,146,2847,8260,36
"Middletown School District","=""0830011""","*",239,1038,782,211,2661,4948,"*"
"Milford School District","=""0840011""","*",545,311,397,15,5387,6670,"*"
"Monroe School District","=""0850011""",15,127,46,233,72,2995,3488,0
"Montville School District","=""0860011""","*",221,73,212,230,1674,2455,"*"
"Naugatuck School District","=""0880011""","*",152,326,868,192,2942,4490,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,0,289,100,"*","*",399,0
"New Britain School District","=""0890011""","*",251,1482,6158,184,2226,10322,"*"
"New Canaan School District","=""0900011""","*",190,48,136,68,3769,4223,"*"
"New Fairfield School District","=""0910011""","*",51,"*",188,42,2486,2805,0
"New Hartford School District","=""0920011""",0,"*","*",22,11,526,567,0
"New Haven School District","=""0930011""",33,466,9271,8200,84,3186,21246,6
"New London School District","=""0950011""",36,42,780,1531,195,516,3107,7
"New Milford School District","=""0960011""","*",173,"*",437,97,3822,4620,0
"Newington School District","=""0940011""","*",399,231,684,170,2851,4343,"*"
"Newtown School District","=""0970011""","*",183,"*",252,75,4579,5159,0
"Norfolk School District","=""0980011""",0,0,0,"*","*",115,121,0
"North Branford School District","=""0990011""","*",48,52,95,"*",1888,2094,0
"North Canaan School District","=""1000011""",0,"*","*",27,9,273,315,0
"North Haven School District","=""1010011""","*",251,135,224,88,2832,3537,"*"
"North Stonington School District","=""1020011""",8,13,19,24,9,691,764,0
"Norwalk School District","=""1030011""","*",563,2257,4201,139,3978,11148,"*"
"Norwich Free Academy District","=""9010022""",47,167,339,362,40,1253,2264,56
"Norwich School District","=""1040011""",24,282,714,1008,378,1451,3869,12
"Odyssey Community School District","=""2630013""","*",30,74,47,13,156,324,"*"
"Old Saybrook School District","=""1060011""",0,80,27,89,"*",1281,1505,"*"
"Orange School District","=""1070011""","*",137,25,54,"*",1014,1248,0
"Oxford School District","=""1080011""","*",45,24,113,40,1876,2103,"*"
"Park City Prep Charter School District","=""2830013""",0,"*",143,91,"*",10,251,0
"Plainfield School District","=""1090011""",32,63,116,41,"*",2246,2507,"*"
"Plainville School District","=""1100011""","*","*",122,315,83,1795,2376,0
"Plymouth School District","=""1110011""","*",18,31,72,7,1484,1619,"*"
"Pomfret School District","=""1120011""","*",15,6,13,"*",439,476,0
"Portland School District","=""1130011""","*",20,39,97,49,1175,1382,"*"
"Preston School District","=""1140011""",12,13,8,"*",9,363,415,"*"
"Putnam School District","=""1160011""","*",16,10,78,60,1101,1273,"*"
"Redding School District","=""1170011""","*",31,8,46,70,974,1133,"*"
"Regional School District 01","=""2010012""",0,11,11,17,0,385,424,0
"Regional School District 04","=""2040012""","*",14,16,56,"*",894,994,0
"Regional School District 05","=""2050012""","*",254,67,95,18,1927,2369,"*"
"Regional School District 06","=""2060012""","*",7,7,33,18,963,1034,"*"
"Regional School District 07","=""2070012""","*",11,9,23,"*",1100,1146,0
"Regional School District 08","=""2080012""","*",25,"*",31,13,1692,1776,0
"Regional School District 09","=""2090012""","*",29,"*",36,15,942,1032,0
"Regional School District 10","=""2100012""","*",52,12,86,10,2471,2638,"*"
"Regional School District 11","=""2110012""","*","*",8,16,"*",258,290,0
"Regional School District 12","=""2120012""",0,10,11,34,"*",779,843,"*"
"Regional School District 13","=""2130012""","*",34,"*",72,62,1785,1960,0
"Regional School District 14","=""2140012""","*",37,12,53,"*",1834,1943,0
"Regional School District 15","=""2150012""","*",215,55,184,29,3600,4093,"*"
"Regional School District 16","=""2160012""","*",29,59,114,"*",2217,2429,0
"Regional School District 17","=""2170012""","*",49,38,"*",40,2172,2320,0
"Regional School District 18","=""2180012""","*",49,"*",63,21,1309,1450,0
"Regional School District 19","=""2190012""","*",68,27,77,8,1052,1235,"*"
"Ridgefield School District","=""1180011""","*",275,32,271,82,4632,5296,"*"
"Rocky Hill School District","=""1190011""","*",408,76,184,"*",1770,2470,0
"Salem School District","=""1210011""","*",21,13,14,6,370,428,"*"
"Salisbury School District","=""1220011""",0,"*","*",20,30,251,310,0
"Scotland School District","=""1230011""",0,0,"*","*","*",119,127,0
"Seymour School District","=""1240011""","*",87,94,232,"*",1865,2294,0
"Sharon School District","=""1250011""",0,"*","*","*","*",177,188,0
"Shelton School District","=""1260011""","*",314,180,492,37,4094,5130,"*"
"Sherman School District","=""1270011""","*","*","*",7,11,359,384,0
"Side By Side Charter School District","=""2700013""",0,21,67,83,"*",47,233,"*"
"Simsbury School District","=""1280011""",0,246,231,235,40,3801,4553,0
"Somers School District","=""1290011""","*",24,35,56,26,1442,1586,"*"
"South Windsor School District","=""1320011""","*",504,244,319,134,3102,4321,"*"
"Southington School District","=""1310011""","*",203,132,366,165,5861,6740,"*"
"Sprague School District","=""1330011""","*","*",7,46,33,285,373,0
"Stafford School District","=""1340011""","*",21,16,87,36,1556,1727,"*"
"Stamford Academy District","=""2820013""",0,"*",79,51,"*","*",138,0
"Stamford School District","=""1350011""","*",1345,3118,5763,154,5445,15834,"*"
"Sterling School District","=""1360011""","*","*","*",20,15,458,502,0
"Stonington School District","=""1370011""","*",78,56,82,23,2125,2369,"*"
"Stratford School District","=""1380011""","*",216,1535,1897,176,3398,7239,"*"
"Suffield School District","=""1390011""","*",63,92,112,"*",2174,2457,0
"The Bridge Academy District","=""2690013""","*","*",148,104,17,"*",276,"*"
"The Gilbert School District","=""9020022""","*","*",14,62,24,394,505,0
"The Woodstock Academy District","=""9030022""","*",70,"*",32,15,926,1055,0
"Thomaston School District","=""1400011""","*",11,8,24,12,959,1017,"*"
"Thompson School District","=""1410011""","*","*","*",34,35,1088,1167,0
"Tolland School District","=""1420011""",7,105,42,70,"*",2630,2857,"*"
"Torrington School District","=""1430011""",11,154,190,838,138,3109,4446,6
"Trailblazers Academy District","=""2780013""",0,0,91,70,0,7,168,0
"Trumbull School District","=""1440011""","*",480,302,548,17,5575,6937,"*"
"Unified School District #1","=""3360015""","*","*",341,204,11,82,641,0
"Unified School District #2","=""3470015""","*","*",87,65,"*",64,227,0
"Union School District","=""1450011""",0,0,"*","*",0,68,"*",0
"Vernon School District","=""1460011""",9,169,463,413,54,2369,3477,0
"Voluntown School District","=""1470011""","*","*",7,11,14,284,321,0
"Wallingford School District","=""1480011""","*",307,148,893,22,4908,6292,"*"
"Waterbury School District","=""1510011""",75,319,4564,8935,544,4038,18485,10
"Waterford School District","=""1520011""",25,147,113,208,39,2110,2642,0
"Watertown School District","=""1530011""",8,71,65,202,75,2615,3036,0
"West Hartford School District","=""1550011""","*",1123,877,1568,298,6184,10078,"*"
"West Haven School District","=""1560011""","*",210,1321,1915,232,2391,6079,"*"
"Westbrook School District","=""1540011""","*",17,"*",61,10,783,877,0
"Weston School District","=""1570011""","*",82,"*",74,62,2171,2428,0
"Westport School District","=""1580011""","*",294,92,228,97,5102,5818,"*"
"Wethersfield School District","=""1590011""","*",172,167,538,62,2753,3703,"*"
"Willington School District","=""1600011""",0,"*",6,27,11,430,480,"*"
"Wilton School District","=""1610011""","*",304,64,124,53,3762,4312,"*"
"Winchester School District","=""1620011""","*","*",19,46,"*",627,698,0
"Windham School District","=""1630011""",16,26,136,2144,70,831,3223,0
"Windsor Locks School District","=""1650011""","*",155,151,164,64,1219,1761,"*"
"Windsor School District","=""1640011""","*",157,1595,494,140,1021,3415,"*"
"Wolcott School District","=""1660011""","*",49,51,107,78,2290,2580,"*"
"Woodbridge School District","=""1670011""","*",111,26,39,12,548,745,"*"
"Woodstock School District","=""1690011""",0,"*","*",28,23,834,897,0
"Total","=""""",1661,25291,72004,113808,12014,329583,554804,443

