"Student Counts by District and Race"
"All Districts"
"2012-13"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",386,300,"*",6,702,0
"Achievement First Hartford Academy District","=""2880013""","*","*",704,108,9,0,824,"*"
"Amistad Academy District","=""2790013""","*",0,554,316,"*",15,904,0
"Andover School District","=""0010011""",0,"*","*",9,10,290,315,0
"Ansonia School District","=""0020011""",9,34,502,673,23,1164,2425,20
"Area Cooperative Educational Services","=""2440014""",7,70,560,548,71,676,1932,0
"Ashford School District","=""0030011""",0,"*","*",24,8,398,440,0
"Avon School District","=""0040011""","*",334,120,197,103,2659,3421,"*"
"Barkhamsted School District","=""0050011""",0,"*","*",6,"*",336,349,0
"Berlin School District","=""0070011""","*",91,59,229,73,2529,2985,"*"
"Bethany School District","=""0080011""","*",41,9,7,"*",414,473,0
"Bethel School District","=""0090011""","*",197,73,390,61,2263,2987,"*"
"Bloomfield School District","=""0110011""","*",36,1573,201,49,254,2119,"*"
"Bolton School District","=""0120011""",0,23,37,34,19,784,897,0
"Bozrah School District","=""0130011""","*","*",13,16,0,208,243,"*"
"Branford School District","=""0140011""",6,262,102,268,69,2575,3282,0
"Bridgeport School District","=""0150011""",105,580,7863,9963,63,1753,20338,11
"Bristol School District","=""0170011""",15,261,525,1663,233,5668,8365,0
"Brookfield School District","=""0180011""",6,167,49,167,"*",2400,2793,"*"
"Brooklyn School District","=""0190011""","*",19,15,49,28,834,948,"*"
"Canaan School District","=""0210011""",0,0,0,"*","*",69,75,0
"Canterbury School District","=""0220011""",0,"*","*",23,21,445,499,0
"Canton School District","=""0230011""","*",44,68,93,"*",1530,1758,0
"Capitol Region Education Council","=""2410014""","*",374,1827,1794,212,2024,6258,"*"
"Chaplin School District","=""0240011""",0,"*","*",11,8,162,185,0
"Cheshire School District","=""0250011""",11,414,112,181,15,3941,4674,0
"Chester School District","=""0260011""",0,"*","*","*",8,235,252,0
"Clinton School District","=""0270011""","*",54,16,179,42,1689,1989,"*"
"Colchester School District","=""0280011""","*",56,77,151,43,2540,2893,"*"
"Colebrook School District","=""0290011""",0,0,0,"*","*",92,104,0
"Columbia School District","=""0300011""",0,"*","*",27,7,467,511,0
"Common Ground High School District","=""2680013""",0,"*",55,70,"*",35,169,0
"Connecticut Technical Education and Career System","=""9000016""",59,103,1380,3339,236,5527,10651,7
"Cooperative Educational Services","=""2430014""","*",29,257,252,"*",284,838,0
"Cornwall School District","=""0310011""",0,"*","*",8,7,85,103,0
"Coventry School District","=""0320011""","*","*",21,78,60,1558,1735,0
"Cromwell School District","=""0330011""","*",121,173,155,16,1516,1985,"*"
"Danbury School District","=""0340011""","*",825,898,4480,235,4497,10950,"*"
"Darien School District","=""0350011""",9,176,19,169,18,4489,4880,0
"Deep River School District","=""0360011""",0,0,"*",29,"*",309,350,0
"Department of Mental Health and Addiction Services","=""""",0,0,"*","*",0,"*","*",0
"Derby School District","=""0370011""","*",31,233,383,42,802,1498,"*"
"East Granby School District","=""0400011""","*",33,63,52,"*",691,865,0
"East Haddam School District","=""0410011""",0,9,7,26,6,1209,1257,0
"East Hampton School District","=""0420011""","*",35,15,70,29,1747,1898,"*"
"East Hartford School District","=""0430011""",27,368,2453,2977,"*",1218,7053,"*"
"East Haven School District","=""0440011""","*",145,110,635,48,2298,3241,"*"
"East Lyme School District","=""0450011""","*",275,64,133,35,2422,2939,"*"
"East Windsor School District","=""0470011""","*",74,137,159,56,846,1276,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",11,54,11,249,330,0
"Eastford School District","=""0390011""","*","*","*","*",6,154,169,0
"Easton School District","=""0460011""","*",54,10,46,17,889,1019,"*"
"EdAdvance","=""2420014""","*",7,7,60,0,172,249,"*"
"Ellington School District","=""0480011""","*",148,93,121,"*",2276,2721,0
"Elm City College Preparatory School District","=""2890013""","*","*",462,125,6,6,604,0
"Enfield School District","=""0490011""",21,121,313,556,245,4214,5480,10
