"Student Counts by District and Race"
"All Districts"
"2019-20"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","*",6,596,487,"*","*",13,1110
"Achievement First Hartford Academy District","=""2880013""",6,"*",842,299,"*",15,"*",1169
"Amistad Academy District","=""2790013""","*",0,684,381,0,20,"*",1103
"Andover School District","=""0010011""",0,0,"*",24,0,"*",158,195
"Ansonia School District","=""0020011""","*",45,433,974,"*",134,693,2284
"Area Cooperative Educational Services","=""2440014""","*",66,575,672,"*",79,434,1836
"Ashford School District","=""0030011""",0,"*",7,31,"*",17,330,390
"Avon School District","=""0040011""",9,628,175,213,0,122,2038,3185
"Barkhamsted School District","=""0050011""",0,"*","*","*",0,11,203,219
"Berlin School District","=""0070011""","*",104,"*",306,0,90,2188,2755
"Bethany School District","=""0080011""","*",23,"*",28,0,7,306,370
"Bethel School District","=""0090011""","*",239,103,675,"*",101,2004,3148
"Bloomfield School District","=""0110011""",8,53,1566,293,0,97,189,2206
"Bolton School District","=""0120011""",0,17,41,88,0,33,600,779
"Booker T. Washington Academy District","=""2950013""",0,"*",354,55,0,6,"*",420
"Bozrah School District","=""0130011""",0,0,"*",21,0,"*",150,190
"Branford School District","=""0140011""",7,205,104,346,0,104,2036,2802
"Brass City Charter School District","=""2900013""",0,8,114,152,0,22,30,326
"Bridgeport School District","=""0150011""",144,483,6555,10436,35,221,2437,20311
"Bristol School District","=""0170011""","*",283,562,2486,"*",350,4281,7976
"Brookfield School District","=""0180011""","*",195,58,303,"*",25,2024,2623
"Brooklyn School District","=""0190011""","*",23,20,103,"*",43,725,918
"Canaan School District","=""0210011""",0,0,0,"*",0,"*",63,67
"Canterbury School District","=""0220011""","*","*","*",27,0,6,432,475
"Canton School District","=""0230011""",0,44,92,115,"*","*",1285,1574
"Capital Preparatory Harbor School District","=""2970013""",0,0,539,211,0,"*","*",760
"Capitol Region Education Council","=""2410014""",19,504,2549,3297,11,360,1917,8657
"Chaplin School District","=""0240011""",0,"*","*",8,0,"*",122,140
"Cheshire School District","=""0250011""",7,395,119,255,0,116,3307,4199
"Chester School District","=""0260011""",0,"*","*",15,0,6,163,186
"Clinton School District","=""0270011""","*",48,11,304,"*",24,1290,1682
"Colchester School District","=""0280011""","*",52,35,162,"*",95,1976,2322
"Colebrook School District","=""0290011""",0,0,0,"*",0,"*",68,74
"Columbia School District","=""0300011""","*","*","*",28,0,12,365,410
"Common Ground High School District","=""2680013""",0,0,84,90,0,"*","*",223
"Connecticut Technical Education and Career System","=""9000016""",25,150,1293,4402,14,434,4677,10995
"Cooperative Educational Services","=""2430014""","*",34,203,329,"*",41,250,859
"Cornwall School District","=""0310011""",0,"*",0,12,0,"*",66,87
"Coventry School District","=""0320011""","*",21,"*",116,0,72,1457,1678
"Cromwell School District","=""0330011""","*",126,155,233,"*",74,1388,1982
"Danbury School District","=""0340011""",11,759,866,5942,6,270,4074,11928
"Darien School District","=""0350011""","*",247,"*",266,0,158,4038,4765
"Deep River School District","=""0360011""","*","*","*",16,0,13,197,235
"Department of Mental Health and Addiction Services","=""""",0,0,"*","*",0,0,"*",7
"Derby School District","=""0370011""",0,"*",249,450,"*",94,478,1295
"East Granby School District","=""0400011""","*",60,67,59,"*",32,614,836
"East Haddam School District","=""0410011""","*",15,"*",37,0,20,913,997
"East Hampton School District","=""0420011""","*",23,18,114,"*",50,1634,1842
