"Student Counts by District and Race"
"All Districts"
"2007-08"

"",,"Race",,,,,,
"District","District Code","Black, not of Hispanic Origin","Hispanic/Latino","White, not of Hispanic Origin","Total","American Indian","Asian","Not Reported"
"Achievement First Bridgeport Academy District","=""2850013""",50,"*","*",85,0,0,0
"Amistad Academy District","=""2790013""",362,172,10,547,"*","*",0
"Andover School District","=""0010011""","*","*",327,347,0,11,0
"Ansonia School District","=""0020011""",577,596,1515,2743,13,42,0
"Area Cooperative Educational Services","=""2440014""",630,491,900,2098,7,70,0
"Ashford School District","=""0030011""",10,20,465,505,"*","*",0
"Avon School District","=""0040011""","*",138,3088,3612,"*",280,0
"Barkhamsted School District","=""0050011""","*","*",350,358,0,"*",0
"Berlin School District","=""0070011""",37,85,3021,3275,8,124,0
"Bethany School District","=""0080011""",16,"*",509,570,"*",37,0
"Bethel School District","=""0090011""","*",321,2549,3157,"*",218,0
"Bloomfield School District","=""0110011""",1951,158,113,2240,"*","*",0
"Bolton School District","=""0120011""",30,"*",816,876,"*",17,0
"Bozrah School District","=""0130011""",10,16,241,269,"*","*",0
"Branford School District","=""0140011""",107,187,2980,3514,10,230,0
"Bridgeport School District","=""0150011""",8714,9703,1895,20958,38,608,0
"Bristol School District","=""0170011""",686,1289,6763,8980,20,222,0
"Brookfield School District","=""0180011""","*",102,2706,2955,"*",111,0
"Brooklyn School District","=""0190011""","*",17,946,993,"*",18,0
"Canaan School District","=""0210011""","*","*",94,102,"*","*",0
"Canterbury School District","=""0220011""",12,17,544,584,"*","*",0
"Canton School District","=""0230011""",48,"*",1605,1739,"*",44,0
"Capitol Region Education Council","=""2410014""",1082,565,1033,2793,9,104,0
"Chaplin School District","=""0240011""","*",14,189,210,"*","*",0
"Cheshire School District","=""0250011""",93,138,4524,5144,6,383,0
"Chester School District","=""0260011""","*","*",322,341,0,9,0
"Clinton School District","=""0270011""","*",133,1906,2113,"*",57,0
"Colchester School District","=""0280011""",98,117,2980,3262,23,44,0
"Colebrook School District","=""0290011""",0,0,119,123,"*","*",0
