"Student Counts by District and Race"
"All Districts"
"2011-12"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",296,236,"*","*",543,0
"Achievement First Hartford Academy District","=""2880013""","*","*",646,106,6,"*",762,"*"
"Amistad Academy District","=""2790013""","*",0,536,295,13,"*",857,0
"Andover School District","=""0010011""",0,"*","*","*",9,292,314,0
"Ansonia School District","=""0020011""",13,30,523,649,8,1282,2526,21
"Area Cooperative Educational Services","=""2440014""",7,77,574,533,66,698,1955,0
"Ashford School District","=""0030011""",0,7,"*",37,12,420,481,"*"
"Avon School District","=""0040011""","*",312,103,201,100,2794,3518,"*"
"Barkhamsted School District","=""0050011""",0,"*","*","*","*",346,357,0
"Berlin School District","=""0070011""","*",99,"*",206,77,2607,3027,0
"Bethany School District","=""0080011""","*",36,"*",10,0,436,492,0
"Bethel School District","=""0090011""","*",189,69,386,54,2280,2982,"*"
"Bloomfield School District","=""0110011""","*",35,1651,193,64,215,2164,"*"
"Bolton School District","=""0120011""",0,20,35,35,17,790,897,0
"Bozrah School District","=""0130011""","*","*",14,17,"*",199,236,0
"Branford School District","=""0140011""",6,236,96,271,59,2673,3341,0
"Bridgeport School District","=""0150011""",168,591,7923,9925,54,1694,20367,12
"Bristol School District","=""0170011""",13,247,545,1613,216,5889,8523,0
"Brookfield School District","=""0180011""","*",166,44,168,0,2460,2845,"*"
"Brooklyn School District","=""0190011""","*","*",16,40,23,842,939,0
"Canaan School District","=""0210011""",0,0,0,"*","*",79,86,0
"Canterbury School District","=""0220011""",0,"*","*",25,14,469,520,0
"Canton School District","=""0230011""","*",32,56,85,"*",1552,1751,0
"Capitol Region Education Council","=""2410014""",18,314,1762,1523,152,1789,5558,0
"Chaplin School District","=""0240011""",0,"*","*",13,13,152,182,0
"Cheshire School District","=""0250011""",8,428,101,180,10,4082,4809,0
"Chester School District","=""0260011""",0,6,"*","*",7,241,260,0
"Clinton School District","=""0270011""","*",50,14,166,38,1734,2012,"*"
"Colchester School District","=""0280011""",25,62,88,137,47,2672,3031,0
"Colebrook School District","=""0290011""",0,0,0,"*","*",90,99,0
"Columbia School District","=""0300011""",0,"*","*",25,7,489,530,0
"Common Ground High School District","=""2680013""",0,"*",46,72,"*",36,165,0
"Connecticut Technical Education and Career System","=""9000016""",74,98,1522,3196,160,5599,10656,7
"Cooperative Educational Services","=""2430014""","*",24,243,257,"*",275,813,0
"Cornwall School District","=""0310011""",0,"*",0,7,"*",91,106,0
"Coventry School District","=""0320011""","*",19,"*",73,64,1619,1796,0
