"Student Counts by District and Race"
"All Districts"
"2015-16"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Achievement First Bridgeport Academy District","=""2850013""","*",10,551,430,"*",15,1016,0
"Achievement First Hartford Academy District","=""2880013""","*","*",784,255,11,"*",1063,"*"
"Amistad Academy District","=""2790013""","*",0,640,362,18,"*",1036,0
"Andover School District","=""0010011""",0,"*","*",14,6,226,250,0
"Ansonia School District","=""0020011""","*",47,471,747,85,1012,2382,"*"
"Area Cooperative Educational Services","=""2440014""","*",70,580,641,75,577,1948,"*"
"Ashford School District","=""0030011""",0,"*",15,27,12,339,400,"*"
"Avon School District","=""0040011""","*",508,154,209,125,2280,3285,"*"
"Barkhamsted School District","=""0050011""",0,"*","*","*","*",273,286,0
"Berlin School District","=""0070011""","*",86,65,264,80,2378,2879,"*"
"Bethany School District","=""0080011""","*",40,8,19,"*",312,383,0
"Bethel School District","=""0090011""","*",196,56,474,81,2159,2971,"*"
"Bloomfield School District","=""0110011""","*",28,1507,210,93,234,2078,"*"
"Bolton School District","=""0120011""",0,18,59,45,26,672,820,0
"Booker T. Washington Academy District","=""2950013""",0,0,156,20,"*","*",180,0
"Bozrah School District","=""0130011""",0,"*",8,11,0,179,202,"*"
"Branford School District","=""0140011""",7,231,98,296,65,2369,3066,0
"Brass City Charter School District","=""2900013""",0,"*",55,87,23,"*",186,0
"Bridgeport School District","=""0150011""",114,586,7461,10342,124,2542,21191,22
"Bristol School District","=""0170011""","*",286,589,1918,246,5118,8170,"*"
"Brookfield School District","=""0180011""","*",200,55,190,12,2223,2692,"*"
"Brooklyn School District","=""0190011""","*",19,12,77,36,760,908,"*"
"Canaan School District","=""0210011""",0,0,0,"*",0,"*","*",0
"Canterbury School District","=""0220011""",0,"*","*",27,22,437,494,0
"Canton School District","=""0230011""","*",48,98,106,"*",1361,1633,0
"Capital Preparatory Harbor School District","=""2970013""",0,"*",188,47,7,"*",249,0
"Capitol Region Education Council","=""2410014""",28,512,2310,2720,328,2442,8354,14
