"Student Counts by District and Race"
"All Districts"
"2025-26"

"",,"Race",,,,,,,
"Columbia School District","=""0300011""","*","*","*",47,18,364,436,0
"Common Ground High School District","=""2680013""",0,"*",67,111,"*",23,219,0
"Connecticut Technical Education and Career System","=""9000016""","*",76,1455,5238,626,4182,11612,"*"
"Cooperative Educational Services","=""2430014""","*",37,173,288,32,217,753,"*"
"Cornwall School District","=""0310011""",0,0,"*",8,"*",82,94,0
"Coventry School District","=""0320011""","*",23,17,137,66,1370,1619,"*"
"Cromwell School District","=""0330011""","*",94,113,272,112,1193,1789,"*"
"Danbury School District","=""0340011""",18,108,164,7641,1347,2172,11450,0
"Darien School District","=""0350011""","*",317,38,341,246,3635,4581,"*"
"Deep River School District","=""0360011""",0,0,"*",22,"*",153,180,"*"
"Department of Mental Health and Addiction Services","=""""",0,0,"*","*",0,"*","*",0
"Derby School District","=""0370011""",0,"*",251,573,85,295,1231,"*"
"East Granby School District","=""0400011""",0,58,54,72,"*",631,853,"*"
"East Haddam School District","=""0410011""","*","*","*",70,27,826,934,"*"
"East Hampton School District","=""0420011""",0,21,"*",141,62,1385,1631,"*"
"East Hartford School District","=""0430011""",21,222,1844,3274,194,604,6171,12
"East Haven School District","=""0440011""","*",102,190,1229,119,1141,2789,"*"
"East Lyme School District","=""0450011""","*",236,37,277,165,1722,2447,"*"
"East Windsor School District","=""0470011""","*",73,126,263,"*",465,992,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*",0,"*",70,33,242,359,0
"Eastford School District","=""0390011""",0,"*","*",12,12,136,163,0
"Easton School District","=""0460011""",0,64,39,95,42,670,910,0
"EdAdvance","=""2420014""",0,9,20,107,10,111,257,0
"Edmonds Cofield Preparatory Academy for Young Men, Inc. District","=""""",0,"*",29,12,"*",0,45,0
"Ellington School District","=""0480011""","*",287,121,235,96,1772,2515,"*"
"Elm City College Preparatory School District","=""2890013""",0,"*",433,291,17,15,758,"*"
"Elm City Montessori School District","=""2910013""",0,7,77,88,29,116,317,0
"Enfield School District","=""0490011""","*",96,294,1154,318,2717,4589,"*"
"Essex School District","=""0500011""",0,"*","*",35,8,257,307,0
"Explorations District","=""2720013""",0,0,"*",12,"*",60,82,0
"Fairfield School District","=""0510011""","*",518,322,1301,553,6307,9012,"*"
"Farmington School District","=""0520011""",6,1018,178,537,262,2090,4091,0
"Franklin School District","=""0530011""","*","*","*",20,13,156,195,0
"Glastonbury School District","=""0540011""","*",854,195,731,371,3465,5631,"*"
"Goodwin University Educational Services (GUES)","=""2310018""","*",42,423,677,65,147,1364,"*"
"Granby School District","=""0560011""","*",53,119,155,51,1315,1696,"*"
"Great Oaks Charter School District","=""2940013""","*",12,273,341,12,21,661,"*"
"Greenwich School District","=""0570011""","*",708,134,2007,543,4896,8313,"*"
"Griswold School District","=""0580011""","*",38,52,281,125,1304,1818,"*"
"Groton School District","=""0590011""",24,226,265,1043,476,1777,3820,9
"Guilford School District","=""0600011""",0,122,"*",301,185,2355,3000,"*"
"Hamden School District","=""0620011""","*",333,1762,1650,362,1230,5350,"*"
"Hampton School District","=""0630011""",0,0,0,"*","*",60,71,0
"Hartford School District","=""0640011""",61,727,4469,8923,501,867,15563,15
"Hartland School District","=""0650011""",0,0,0,"*","*",102,116,0
"Hebron School District","=""0670011""","*",11,"*",45,33,592,689,0
"Highville Charter School District","=""2860013""","*",0,398,100,"*","*",507,0
"Integrated Day Charter School District","=""2640013""",6,48,44,96,28,142,364,0
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",37,195,39,54,330,0
"Jumoke Academy District","=""2610013""",0,0,589,"*","*",0,621,0
"Kent School District","=""0680011""",0,"*","*",25,8,143,185,0
"Killingly School District","=""0690011""","*",35,47,322,178,1733,2322,"*"
"Learn","=""2450014""","*",33,113,561,201,487,1399,"*"
"Lebanon School District","=""0710011""","*",8,8,79,22,801,926,"*"
"Ledyard School District","=""0720011""","*",61,54,358,239,1552,2302,"*"
"Lisbon School District","=""0730011""",6,6,9,42,32,306,401,0
"Madison School District","=""0760011""","*",74,11,185,124,2065,2464,"*"
"Manchester School District","=""0770011""",26,488,1474,2199,273,1440,5913,13
"Mansfield School District","=""0780011""","*",123,33,182,44,554,939,"*"
"Marlborough School District","=""0790011""","*",11,"*",45,9,390,462,0
"Meriden School District","=""0800011""","*",145,981,5233,464,1540,8381,"*"
"Middletown School District","=""0830011""",11,221,863,1223,425,1590,4344,11
"Milford School District","=""0840011""","*",382,242,918,270,3350,5170,"*"
"Monroe School District","=""0850011""",6,187,134,606,144,2329,3413,7
"Montville School District","=""0860011""","*",109,88,315,241,1103,1873,"*"
"Naugatuck School District","=""0880011""","*",88,525,1689,196,1474,3981,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,0,221,204,"*","*",434,0
"New Britain School District","=""0890011""","*",195,1082,6756,565,1282,9897,"*"
"New Canaan School District","=""0900011""","*",283,51,272,230,3181,4029,"*"
"New Fairfield School District","=""0910011""","*",28,49,421,76,1513,2095,"*"
"New Hartford School District","=""0920011""","*","*","*",24,14,392,437,0
"New Haven School District","=""0930011""","*",780,5546,9092,783,1605,17837,"*"
"New London School District","=""0950011""","*",36,511,1655,319,334,2867,"*"
"New Milford School District","=""0960011""","*",125,108,1004,103,2098,3446,"*"
"Newington School District","=""0940011""","*",407,219,1094,206,1893,3827,"*"
"Newtown School District","=""0970011""","*",97,100,558,64,3052,3881,"*"
"Norfolk School District","=""0980011""",0,0,"*","*","*",49,55,0
"North Branford School District","=""0990011""","*",32,"*",174,49,1259,1548,0
"North Canaan School District","=""1000011""",0,0,"*",46,"*",178,236,0
"North Haven School District","=""1010011""","*",270,188,479,"*",2057,3135,0
"North Stonington School District","=""1020011""","*",6,6,43,19,652,732,"*"
"Norwalk School District","=""1030011""",29,417,1461,6476,431,2469,11292,9
"Norwich Free Academy District","=""9010022""","*",133,354,569,127,797,2004,"*"
"Norwich School District","=""1040011""",15,187,614,1329,283,816,3256,12
"Odyssey Community School District","=""2630013""","*",103,89,93,"*",104,420,0
"Old Saybrook School District","=""1060011""",0,37,"*",148,38,761,990,"*"
"Orange School District","=""1070011""",0,161,32,120,61,900,1274,0
"Oxford School District","=""1080011""","*",44,39,229,34,1243,1597,"*"
"Park City Prep Charter School District","=""2830013""","*","*",166,230,10,24,437,0
"Plainfield School District","=""1090011""",11,25,60,106,58,1547,1815,8
"Plainville School District","=""1100011""","*",45,129,583,93,1284,2141,"*"
"Plymouth School District","=""1110011""",0,15,26,234,70,899,1244,0
"Pomfret School District","=""1120011""",0,"*","*",27,12,282,328,0
"Portland School District","=""1130011""",0,16,47,212,68,889,1232,0
"Preston School District","=""1140011""","*",8,9,39,13,338,414,"*"
"Putnam School District","=""1160011""",0,"*",21,220,90,810,1161,"*"
"Redding School District","=""1170011""","*",20,13,104,28,681,850,"*"
"Regional School District 01","=""2010012""",0,"*","*",40,18,264,327,0
"Regional School District 04","=""2040012""","*",8,"*",51,24,503,595,0
"Regional School District 05","=""2050012""","*",331,"*",258,102,1367,2136,0
"Regional School District 07","=""2070012""","*","*",9,45,16,689,767,0
"Regional School District 08","=""2080012""","*",9,8,91,37,884,1031,"*"
"Regional School District 09","=""2090012""",0,38,8,74,25,551,696,0
"Regional School District 10","=""2100012""","*",19,"*",166,187,1670,2055,0
"Regional School District 11","=""2110012""",0,"*","*",22,"*",156,192,0
"Regional School District 12","=""2120012""",0,6,6,97,37,664,810,0
"Regional School District 13","=""2130012""","*",18,"*",117,42,1104,1294,0
"Regional School District 14","=""2140012""","*",10,22,249,60,1191,1536,"*"
"Regional School District 15","=""2150012""","*",152,75,377,133,2608,3350,"*"
"Regional School District 16","=""2160012""","*",35,82,252,63,1456,1890,"*"
"Regional School District 17","=""2170012""","*",20,"*",109,58,1463,1668,0
"Regional School District 18","=""2180012""",0,33,7,91,46,1072,1249,0
"Regional School District 19","=""2190012""","*",56,37,145,"*",726,1004,0
"Regional School District 20","=""2200012""","*","*",24,117,41,1403,1598,0
"Ridgefield School District","=""1180011""","*",283,28,433,210,3425,4389,"*"
"Rocky Hill School District","=""1190011""","*",793,"*",335,129,1186,2561,0
"Salem School District","=""1210011""","*","*",6,35,27,326,399,0
"Salisbury School District","=""1220011""",0,"*","*",30,20,217,276,"*"
"Scotland School District","=""1230011""",0,0,0,"*",0,"*",87,0
"Seymour School District","=""1240011""",0,79,177,471,62,1242,2031,0
"Sharon School District","=""1250011""",0,0,"*",13,"*",78,94,0
"Shelton School District","=""1260011""","*",225,436,1127,179,2435,4409,"*"
"Sherman School District","=""1270011""",0,"*","*",20,17,190,234,"*"
"Side By Side Charter School District","=""2700013""",0,"*",49,156,16,"*",236,0
"Simsbury School District","=""1280011""","*",264,259,461,"*",2831,4036,0
"Somers School District","=""1290011""","*","*",35,97,32,1124,1304,0
"South Windsor School District","=""1320011""","*",1833,309,576,231,2189,5153,"*"
"Southington School District","=""1310011""","*",316,144,846,327,4476,6115,"*"
"Sprague School District","=""1330011""","*","*",7,48,35,158,254,0
"Stafford School District","=""1340011""","*","*",20,137,36,1061,1269,0
"Stamford Big Picture Learning Academy District","=""""",0,0,"*",6,"*",0,"*",0
"Stamford Charter School for Excellence District","=""2960013""","*",113,202,192,12,17,541,"*"
"Stamford School District","=""1350011""",31,868,1930,8321,539,3647,15342,6
"Sterling School District","=""1360011""","*","*","*",21,23,248,300,0
"Stonington School District","=""1370011""","*",31,13,135,102,1381,1668,"*"
"Stratford School District","=""1380011""",9,132,1698,2860,269,1433,6407,6
"Suffield School District","=""1390011""","*",91,88,193,"*",1651,2035,"*"
"The Bridge Academy District","=""2690013""","*","*",137,133,"*",0,281,"*"
"The Gilbert School District","=""9020022""","*",14,13,86,27,271,415,"*"
"The Woodstock Academy District","=""9030022""","*",82,24,69,34,784,998,"*"
"Thomaston School District","=""1400011""",0,20,14,98,30,603,765,0
"Thompson School District","=""1410011""","*","*",15,65,23,681,794,0
"Tolland School District","=""1420011""","*",66,"*",221,85,1677,2114,0
"Torrington School District","=""1430011""","*",153,259,1695,97,1652,3868,"*"
"Trumbull School District","=""1440011""","*",764,504,1452,229,3915,6879,"*"
"Unified School District #1","=""3360015""","*","*",63,61,6,11,143,0
"Unified School District #2","=""3470015""",0,0,20,31,6,33,90,0
"Union School District","=""1450011""",0,0,0,"*",0,"*",41,0
"Vernon School District","=""1460011""","*",235,337,860,283,1526,3246,"*"
"Voluntown School District","=""1470011""",0,"*","*",14,11,177,209,"*"
"Wallingford School District","=""1480011""","*",216,94,1155,200,3416,5091,"*"
"Waterbury School District","=""1510011""",61,300,3770,11891,746,1613,18381,0
"Waterford School District","=""1520011""",8,113,55,367,140,1514,2205,8
"Watertown School District","=""1530011""","*",34,125,396,102,1879,2544,"*"
"West Hartford School District","=""1550011""",21,953,720,1953,554,4852,9069,16
"West Haven School District","=""1560011""",17,374,1401,2486,267,1312,5863,6
"Westbrook School District","=""1540011""","*",6,"*",144,8,388,553,"*"
"Weston School District","=""1570011""","*",124,"*",180,162,1542,2034,0
"Westport School District","=""1580011""","*",330,118,469,388,3957,5266,"*"
"Wethersfield School District","=""1590011""","*",204,163,779,147,2109,3412,"*"
"Willington School District","=""1600011""","*",12,"*",40,16,300,376,0
"Wilton School District","=""1610011""","*",409,34,261,237,2755,3702,"*"
"Winchester School District","=""1620011""",0,"*",16,94,26,459,607,"*"
"Windham School District","=""1630011""",8,26,109,2202,74,639,3058,0
"Windsor Locks School District","=""1650011""","*",93,176,285,89,792,1441,"*"
"Windsor School District","=""1640011""","*",101,1354,814,302,638,3217,"*"
"Wolcott School District","=""1660011""","*",53,84,394,58,1431,2025,"*"
"Woodbridge School District","=""1670011""","*",177,29,82,"*",568,862,0
"Woodstock School District","=""1690011""",0,"*","*",52,32,657,747,0
"Total","=""""",1159,25720,60935,161679,25141,222724,497764,406

