"Student Counts by District and Race"
"All Districts"
"2008-09"

"",,"Race",,,,,,
"District","District Code","Black, not of Hispanic Origin","Hispanic/Latino","White, not of Hispanic Origin","Total","American Indian","Asian","Not Reported"
"Achievement First Bridgeport Academy District","=""2850013""",96,"*","*",160,0,0,0
"Achievement First Hartford Academy District","=""2880013""",230,28,0,261,"*","*",0
"Amistad Academy District","=""2790013""",424,202,12,641,"*","*",0
"Andover School District","=""0010011""","*","*",311,334,0,11,0
"Ansonia School District","=""0020011""",568,593,1495,2722,12,54,0
"Area Cooperative Educational Services","=""2440014""",613,523,876,2098,7,79,0
"Ashford School District","=""0030011""","*",26,440,488,"*",10,0
"Avon School District","=""0040011""","*",155,2997,3569,"*",310,0
"Barkhamsted School District","=""0050011""",6,"*",347,362,"*","*",0
"Berlin School District","=""0070011""",44,92,2948,3223,7,132,0
"Bethany School District","=""0080011""",16,"*",492,551,"*",32,0
"Bethel School District","=""0090011""","*",324,2486,3087,"*",213,0
"Bloomfield School District","=""0110011""",1898,150,99,2181,"*","*",0
"Bolton School District","=""0120011""",34,13,806,869,"*","*",0
"Bozrah School District","=""0130011""",9,15,234,261,"*","*",0
"Branford School District","=""0140011""",109,205,2951,3515,10,240,0
"Bridgeport School District","=""0150011""",8451,9719,1830,20596,31,565,0
"Bristol School District","=""0170011""",695,1348,6583,8866,"*",221,"*"
"Brookfield School District","=""0180011""","*",101,2692,2952,"*",124,0
"Brooklyn School District","=""0190011""","*",21,927,987,"*",18,0
"Canaan School District","=""0210011""",0,"*",81,85,"*",0,0
"Canterbury School District","=""0220011""",13,19,556,605,10,7,0
"Canton School District","=""0230011""",51,47,1615,1761,"*","*",0
"Capitol Region Education Council","=""2410014""",1279,755,1239,3436,17,146,0
"Chaplin School District","=""0240011""","*",14,158,178,"*","*",0
"Charter School for Young Children on Asylum Hill District","=""2870013""",55,34,45,136,"*","*",0
"Cheshire School District","=""0250011""",89,153,4388,5032,9,393,0
"Chester School District","=""0260011""","*","*",302,319,0,8,0
"Clinton School District","=""0270011""","*",136,1871,2091,"*",60,0
"Colchester School District","=""0280011""",102,121,2898,3197,22,54,0
"Colebrook School District","=""0290011""","*",0,109,116,"*","*",0
"Columbia School District","=""0300011""","*",19,553,579,"*","*",0
"Common Ground High School District","=""2680013""",71,57,"*",155,0,"*",0
"Connecticut Technical Education and Career System","=""9000016""",1542,2762,5792,10257,73,88,0
"Cooperative Educational Services","=""2430014""",246,191,293,754,"*","*",0
"Cornwall School District","=""0310011""","*","*",109,122,0,6,0
"Coventry School District","=""0320011""",36,45,1854,1962,"*","*",0
"Cromwell School District","=""0330011""",169,119,1658,2029,"*","*",0
"Danbury School District","=""0340011""",999,3444,5051,10350,9,847,0
"Darien School District","=""0350011""",40,95,4462,4732,13,122,0
"Deep River School District","=""0360011""",9,25,316,355,"*","*",0
"Department of Mental Health and Addiction Services","=""""","*","*","*",8,0,"*",0
"Derby School District","=""0370011""",228,324,883,1489,"*","*",0
"East Granby School District","=""0400011""",41,23,797,900,6,33,0
"East Haddam School District","=""0410011""","*",38,1362,1437,"*",18,0
"East Hampton School District","=""0420011""","*",61,1931,2064,"*",39,0
"East Hartford School District","=""0430011""",2582,2726,1482,7264,28,446,0
"East Haven School District","=""0440011""",105,470,2852,3599,12,160,0
"East Lyme School District","=""0450011""",63,100,2718,3169,17,271,0
"East Windsor School District","=""0470011""",208,142,1021,1452,"*","*",0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*",17,121,147,"*","*",0
"Eastford School District","=""0390011""","*","*",175,187,0,"*",0
"Easton School District","=""0460011""",15,42,1055,1158,0,46,0
"EdAdvance","=""2420014""","*",56,118,194,0,"*",0
"Ellington School District","=""0480011""",88,58,2394,2645,9,96,0
"Elm City College Preparatory School","=""2810013""",401,"*","*",509,0,0,0
"Enfield School District","=""0490011""",497,370,5278,6314,15,154,0
"Essex School District","=""0500011""","*",18,546,594,"*",15,0
"Explorations District","=""2720013""","*","*",79,85,0,"*",0
"Fairfield School District","=""0510011""",250,612,8584,9975,6,523,0
"Farmington School District","=""0520011""",234,173,3367,4206,6,426,0
"Franklin School District","=""0530011""","*",6,212,226,6,"*",0
"Glastonbury School District","=""0540011""",253,305,5750,6883,19,556,0
"Granby School District","=""0560011""",101,44,2097,2281,8,31,0
"Greenwich School District","=""0570011""",233,1286,6585,8893,10,779,0
"Griswold School District","=""0580011""",61,85,1901,2123,34,42,0
"Groton School District","=""0590011""",728,531,3422,5172,90,401,0
"Guilford School District","=""0600011""","*",174,3432,3796,"*",143,0
"Hamden School District","=""0620011""",2068,797,2836,6118,11,406,0
"Hampton School District","=""0630011""",0,"*",138,149,"*",0,0
"Hartford School District","=""0640011""",8600,11493,1476,21956,"*",337,"*"
"Hartland School District","=""0650011""",0,"*",226,239,"*",7,0
"Hebron School District","=""0670011""",6,19,1130,1173,0,18,0
"Highville Charter School District","=""2860013""",273,21,"*",300,0,"*",0
"Integrated Day Charter School District","=""2640013""",46,27,235,330,"*","*",0
"Interdistrict School for Arts and Comm District","=""2650013""",44,66,67,182,"*","*",0
"Jumoke Academy District","=""2610013""",398,"*",0,412,0,"*",0
"Kent School District","=""0680011""",6,20,245,284,0,13,0
"Killingly School District","=""0690011""",99,97,2444,2724,26,58,0
"Learn","=""2450014""",171,267,526,1037,18,55,0
"Lebanon School District","=""0710011""",22,42,1457,1547,14,12,0
"Ledyard School District","=""0720011""",157,174,2155,2761,124,151,0
"Lisbon School District","=""0730011""","*",14,512,564,"*",23,0
"Litchfield School District","=""0740011""",8,34,1123,1203,8,30,0
"Madison School District","=""0760011""",36,49,3509,3740,10,136,0
"Manchester School District","=""0770011""",1573,1441,3415,6936,"*",469,"*"
"Mansfield School District","=""0780011""","*",80,1013,1285,"*",142,0
"Marlborough School District","=""0790011""",14,24,610,676,0,28,0
"Meriden School District","=""0800011""",1167,3818,3504,8720,"*",211,"*"
"Middletown School District","=""0830011""",1302,676,2913,5189,16,282,0
"Milford School District","=""0840011""",311,414,6057,7326,19,525,0
"Monroe School District","=""0850011""",87,157,3663,4050,12,131,0
"Montville School District","=""0860011""",147,175,2135,2784,"*",225,"*"
"Naugatuck School District","=""0880011""",425,591,3605,4832,"*",194,"*"
"New Beginnings Inc Family Academy District","=""2800013""",303,49,6,358,0,0,0
"New Britain School District","=""0890011""",1901,5940,2371,10496,12,272,0
