"Student Counts by District and Race"
"All Districts"
"2014-15"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Two or More Races","White","Total","Native Hawaiian or Other Pacific Islander"
"Achievement First Bridgeport Academy District","=""2850013""","*",8,544,402,"*",13,977,0
"Achievement First Hartford Academy District","=""2880013""","*","*",733,197,16,"*",954,"*"
"Amistad Academy District","=""2790013""","*",0,588,357,18,"*",984,0
"Andover School District","=""0010011""",0,"*","*",15,"*",250,275,0
"Ansonia School District","=""0020011""","*",51,491,734,73,1044,2415,"*"
"Area Cooperative Educational Services","=""2440014""","*",72,552,602,69,639,1939,"*"
"Ashford School District","=""0030011""",0,"*","*",32,8,371,417,0
"Avon School District","=""0040011""","*",430,150,204,119,2419,3332,"*"
"Barkhamsted School District","=""0050011""",0,"*","*","*","*",307,317,0
"Berlin School District","=""0070011""","*",86,68,256,74,2421,2909,"*"
"Bethany School District","=""0080011""","*",38,10,11,"*",344,407,0
"Bethel School District","=""0090011""",0,190,"*",433,81,2172,2939,"*"
"Bloomfield School District","=""0110011""","*",26,1559,225,53,246,2115,"*"
"Bolton School District","=""0120011""",0,21,66,45,19,696,847,0
"Booker T. Washington Academy District","=""2950013""",0,0,78,10,"*","*",91,0
"Bozrah School District","=""0130011""",0,"*",10,10,0,187,211,"*"
"Branford School District","=""0140011""",6,240,90,266,60,2446,3108,0
"Brass City Charter School District","=""2900013""",0,"*",47,67,18,"*",150,0
"Bridgeport School District","=""0150011""",89,583,7711,10323,114,2401,21244,23
"Bristol School District","=""0170011""","*",256,564,1856,252,5295,8233,"*"
"Brookfield School District","=""0180011""",10,194,47,186,"*",2276,2719,"*"
"Brooklyn School District","=""0190011""","*",16,13,66,37,785,920,"*"
"Canaan School District","=""0210011""",0,0,0,"*","*",64,78,0
"Canterbury School District","=""0220011""","*","*","*",20,25,426,477,0
"Canton School District","=""0230011""","*",44,87,96,"*",1382,1629,0
"Capitol Region Education Council","=""2410014""",27,472,2270,2523,298,2565,8166,11
"Chaplin School District","=""0240011""",0,0,"*",13,"*",154,178,0
"Cheshire School District","=""0250011""",12,436,135,190,35,3743,4551,0
"Chester School District","=""0260011""",0,"*","*",9,7,197,219,0
"Clinton School District","=""0270011""","*",46,14,204,34,1583,1888,"*"
"Colchester School District","=""0280011""","*",53,57,133,51,2337,2654,"*"
"Colebrook School District","=""0290011""",0,0,"*","*",6,82,91,0
"Columbia School District","=""0300011""",0,"*",6,27,"*",419,458,0
"Common Ground High School District","=""2680013""",0,"*",58,64,"*",50,180,0
"Connecticut Technical Education and Career System","=""9000016""",42,104,1320,3569,354,5393,10790,8
"Cooperative Educational Services","=""2430014""","*",34,232,279,23,279,849,"*"
"Cornwall School District","=""0310011""",0,"*","*",9,6,73,91,0
"Coventry School District","=""0320011""","*",17,"*",79,57,1479,1651,0
"Cromwell School District","=""0330011""","*",124,175,165,22,1490,1984,"*"
"Danbury School District","=""0340011""",10,748,837,4850,298,4194,10945,8
"Darien School District","=""0350011""","*",194,30,203,47,4446,4932,"*"
"Deep River School District","=""0360011""",0,"*","*",21,10,280,316,0
"Department of Mental Health and Addiction Services","=""""",0,0,"*","*",0,"*",7,0
"Derby School District","=""0370011""",0,34,227,388,49,763,1467,6
"East Granby School District","=""0400011""","*",52,68,55,"*",687,886,0
"East Haddam School District","=""0410011""",0,8,6,28,10,1091,1143,0
"East Hampton School District","=""0420011""","*",31,14,86,32,1670,1835,"*"
"East Hartford School District","=""0430011""","*",348,2462,3028,43,1162,7060,"*"
"East Haven School District","=""0440011""","*",135,108,638,49,2076,3011,"*"
"East Lyme School District","=""0450011""","*",265,57,142,47,2320,2839,"*"
"East Windsor School District","=""0470011""","*",63,133,175,54,710,1138,"*"
