"Student Counts by District and Race"
"All Districts"
"2021-22"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","*",10,586,481,"*",9,16,1105
"Achievement First Hartford Academy District","=""2880013""",10,"*",818,276,0,15,"*",1123
"Amistad Academy District","=""2790013""","*","*",666,406,0,23,13,1115
"Andover School District","=""0010011""",0,0,"*",20,0,"*",163,192
"Ansonia School District","=""0020011""","*",43,441,1040,"*",118,619,2265
"Area Cooperative Educational Services","=""2440014""","*",45,608,608,"*",103,445,1819
"Ashford School District","=""0030011""",0,7,"*",34,"*",18,314,381
"Avon School District","=""0040011""","*",603,189,231,"*",120,1972,3127
"Barkhamsted School District","=""0050011""",0,"*","*",8,0,12,186,209
"Berlin School District","=""0070011""","*",101,71,323,"*",88,2083,2668
"Bethany School District","=""0080011""","*",31,6,32,0,"*",312,389
"Bethel School District","=""0090011""",38,238,137,743,10,100,1894,3160
"Bloomfield School District","=""0110011""","*",46,1411,324,"*",81,170,2041
"Bolton School District","=""0120011""",0,16,36,85,0,34,579,750
"Booker T. Washington Academy District","=""2950013""",0,0,431,74,0,"*","*",519
"Bozrah School District","=""0130011""",0,"*","*",24,0,14,126,169
"Branford School District","=""0140011""","*",181,102,383,"*",117,1847,2634
"Brass City Charter School District","=""2900013""","*","*",114,185,0,20,27,360
"Bridgeport School District","=""0150011""",116,400,5847,10702,28,291,1847,19231
"Bristol School District","=""0170011""","*",259,572,2713,"*",395,3808,7756
"Brookfield School District","=""0180011""","*",198,75,371,"*",30,1903,2601
"Brooklyn School District","=""0190011""","*",17,"*",102,0,48,693,878
"Canaan School District","=""0210011""",0,0,0,"*",0,0,"*",74
"Canterbury School District","=""0220011""","*",0,"*",38,0,"*",424,470
"Canton School District","=""0230011""",0,"*",91,101,"*",43,1241,1512
"Capital Preparatory Harbor School District","=""2970013""","*",0,534,246,0,"*",6,793
"Capitol Region Education Council","=""2410014""","*",475,2670,3624,"*",468,1493,8751
"Chaplin School District","=""0240011""",0,"*",6,12,0,"*",133,155
"Cheshire School District","=""0250011""","*",389,134,311,0,"*",3229,4193
"Chester School District","=""0260011""",0,"*",0,17,0,"*",186,210
"Clinton School District","=""0270011""","*",45,"*",323,0,31,1136,1549
"Colchester School District","=""0280011""","*",46,31,180,"*",115,1847,2221
"Colebrook School District","=""0290011""",0,0,"*","*",0,"*",72,77
"Columbia School District","=""0300011""","*","*","*",38,0,16,378,442
"Common Ground High School District","=""2680013""",0,"*",73,99,"*",7,50,231
"Connecticut Technical Education and Career System","=""9000016""",34,124,1355,4813,11,555,4608,11500
"Cooperative Educational Services","=""2430014""","*",38,183,325,"*",40,239,828
"Cornwall School District","=""0310011""",0,6,"*",10,0,"*",92,111
"Coventry School District","=""0320011""","*",20,14,113,"*",64,1440,1658
"Cromwell School District","=""0330011""","*",115,124,266,"*",96,1341,1948
"Danbury School District","=""0340011""","*",634,805,7083,"*",376,2923,11843
"Darien School District","=""0350011""","*",267,"*",317,0,193,3934,4754
"Deep River School District","=""0360011""","*","*","*",13,"*",10,176,204
"Department of Mental Health and Addiction Services","=""""",0,0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""",0,"*",261,504,"*",77,411,1285
"East Granby School District","=""0400011""","*",59,68,59,"*",30,608,827
"East Haddam School District","=""0410011""","*",13,"*",132,0,24,797,971
"East Hampton School District","=""0420011""","*",23,24,123,"*",60,1554,1786
"East Hartford School District","=""0430011""",16,256,1907,3194,14,227,712,6326
"East Haven School District","=""0440011""","*",113,151,1052,"*",84,1464,2869
"East Lyme School District","=""0450011""","*",250,34,232,"*",149,1969,2644
"East Windsor School District","=""0470011""","*",58,150,235,"*",68,518,1031
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*",12,81,"*",31,291,417
"Eastford School District","=""0390011""",0,0,"*",13,0,"*",120,144
"Easton School District","=""0460011""",0,67,"*",70,"*",34,694,895
"EdAdvance","=""2420014""","*",7,13,85,0,"*",139,254
"Ellington School District","=""0480011""","*",290,111,194,"*",94,1930,2621
"Elm City College Preparatory School District","=""2890013""","*",0,505,238,0,"*",24,776
"Elm City Montessori School District","=""2910013""",0,6,89,78,0,21,88,282
"Enfield School District","=""0490011""","*",138,311,983,"*",282,3169,4895
"Essex School District","=""0500011""",0,"*","*",29,0,14,254,301
"Explorations District","=""2720013""",0,0,"*",12,0,"*",70,89
"Fairfield School District","=""0510011""","*",571,264,1183,"*",478,6872,9378
"Farmington School District","=""0520011""","*",969,209,409,0,"*",2323,4116
"Franklin School District","=""0530011""","*","*","*",16,0,13,143,180
"Glastonbury School District","=""0540011""","*",735,183,656,"*",314,3805,5700
"Goodwin University Educational Services (GUES)","=""2310018""","*",28,295,523,"*",54,160,1065
"Granby School District","=""0560011""","*",35,104,86,"*",52,1482,1765
"Great Oaks Charter School District","=""2940013""",0,0,298,318,"*","*",24,650
"Greenwich School District","=""0570011""","*",762,192,1946,"*",494,5218,8630
"Griswold School District","=""0580011""","*",31,42,200,"*",125,1305,1719
"Groton School District","=""0590011""",30,263,295,992,19,466,2048,4113
"Guilford School District","=""0600011""",0,148,"*",268,"*",170,2507,3136
"Hamden School District","=""0620011""","*",376,1734,1350,"*",310,1677,5462
"Hampton School District","=""0630011""","*","*",0,"*",0,"*",66,74
"Hartford School District","=""0640011""",64,816,5044,9533,27,445,1254,17183
"Hartland School District","=""0650011""",0,0,"*","*",0,15,118,140
"Hebron School District","=""0670011""","*",13,"*",34,0,18,600,679
"Highville Charter School District","=""2860013""",0,0,430,54,"*",9,"*",501
"Integrated Day Charter School District","=""2640013""","*",50,41,67,0,"*",158,353
"Interdistrict School for Arts and Comm District","=""2650013""",0,"*",44,183,0,"*",40,279
"Jumoke Academy District","=""2610013""","*","*",636,37,0,6,"*",686
"Kent School District","=""0680011""",0,"*","*",18,0,9,181,212
"Killingly School District","=""0690011""","*",54,38,264,"*",158,1860,2387
"Learn","=""2450014""","*",42,139,495,"*",170,558,1413
"Lebanon School District","=""0710011""","*",15,13,68,"*",13,815,936
"Ledyard School District","=""0720011""",70,89,109,283,16,129,1754,2450
"Lisbon School District","=""0730011""","*","*",6,51,"*",24,341,429
"Litchfield School District","=""0740011""","*",16,7,61,"*",14,739,842
"Madison School District","=""0760011""","*",88,17,156,"*",93,2102,2461
"Manchester School District","=""0770011""",34,504,1530,2020,18,129,1964,6199
"Mansfield School District","=""0780011""","*",127,"*",158,0,39,636,998
"Marlborough School District","=""0790011""","*","*",7,35,0,11,389,448
"Meriden School District","=""0800011""","*",174,938,5082,"*",351,1963,8521
"Middletown School District","=""0830011""",15,208,967,703,19,485,2033,4430
"Milford School District","=""0840011""","*",478,245,772,"*",201,3709,5416
"Monroe School District","=""0850011""","*",174,97,494,"*",130,2442,3345
"Montville School District","=""0860011""","*",142,82,292,"*",229,1239,1999
"Naugatuck School District","=""0880011""","*",122,464,1517,"*",225,1967,4311
"New Beginnings Inc Family Academy District","=""2800013""","*",0,270,196,0,"*",9,484
"New Britain School District","=""0890011""",8,209,1041,6568,7,416,1489,9738
"New Canaan School District","=""0900011""","*",290,55,242,"*",190,3349,4137
"New Fairfield School District","=""0910011""","*",29,34,350,"*",62,1647,2132
"New Hartford School District","=""0920011""",0,"*","*",23,0,13,390,430
"New Haven School District","=""0930011""",42,545,6829,9326,10,538,2130,19420
"New London School District","=""0950011""",21,39,536,1723,6,374,423,3122
"New Milford School District","=""0960011""","*",113,118,750,"*",154,2553,3694
"Newington School District","=""0940011""","*",362,225,968,"*",206,2153,3922
"Newtown School District","=""0970011""","*",100,82,436,"*",73,3354,4051
