District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2017,ELA,Non-High Needs,18.0,17.0,,17.0,,
Achievement First Bridgeport Academy District,2017,ELA,High Needs,18.0,17.0,,17.0,,
Achievement First Hartford Academy District,2017,ELA,High Needs,39.0,39.0,100.0,39.0,,488.0
Amistad Academy District,2017,ELA,Non-High Needs,20.0,19.0,95.0,19.0,,
Amistad Academy District,2017,ELA,High Needs,30.0,29.0,96.7,28.0,,500.0
Ansonia School District,2017,ELA,Non-High Needs,40.0,40.0,100.0,40.0,,536.0
Ansonia School District,2017,ELA,High Needs,94.0,87.0,92.6,87.0,,451.0
Area Cooperative Educational Services,2017,ELA,High Needs,18.0,15.0,,15.0,,
Avon School District,2017,ELA,Non-High Needs,243.0,242.0,99.6,242.0,,623.0
Avon School District,2017,ELA,High Needs,42.0,40.0,95.2,40.0,,482.0
Berlin School District,2017,ELA,Non-High Needs,168.0,167.0,99.4,167.0,82.0,557.0
Berlin School District,2017,ELA,High Needs,50.0,49.0,98.0,49.0,42.9,453.0
Bethel School District,2017,ELA,Non-High Needs,150.0,149.0,99.3,149.0,,563.0
Bethel School District,2017,ELA,High Needs,49.0,45.0,91.8,45.0,,496.0
Bloomfield School District,2017,ELA,Non-High Needs,80.0,76.0,95.0,76.0,,489.0
Bloomfield School District,2017,ELA,High Needs,80.0,78.0,97.5,78.0,,461.0
Bolton School District,2017,ELA,Non-High Needs,64.0,64.0,100.0,64.0,,584.0
Bolton School District,2017,ELA,High Needs,15.0,15.0,,15.0,,
Branford School District,2017,ELA,Non-High Needs,144.0,143.0,99.3,143.0,,552.0
Branford School District,2017,ELA,High Needs,75.0,72.0,96.0,72.0,,470.0
Bridgeport School District,2017,ELA,Non-High Needs,491.0,473.0,96.3,473.0,54.1,493.0
Bridgeport School District,2017,ELA,High Needs,756.0,671.0,88.8,671.0,21.2,419.0
Bristol School District,2017,ELA,Non-High Needs,322.0,317.0,98.4,317.0,80.1,545.0
