District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2022,Math,Non-High Needs,27.0,25.0,92.6,25.0,32.0,450.0
Achievement First Bridgeport Academy District,2022,Math,High Needs,42.0,41.0,97.6,39.0,20.5,427.0
Achievement First Hartford Academy District,2022,Math,Non-High Needs,20.0,20.0,100.0,20.0,,428.0
Achievement First Hartford Academy District,2022,Math,High Needs,52.0,48.0,92.3,48.0,,421.0
Amistad Academy District,2022,Math,Non-High Needs,29.0,27.0,93.1,27.0,,460.0
Amistad Academy District,2022,Math,High Needs,40.0,38.0,95.0,37.0,,415.0
Ansonia School District,2022,Math,Non-High Needs,34.0,32.0,94.1,32.0,21.9,434.0
Ansonia School District,2022,Math,High Needs,84.0,80.0,95.2,79.0,11.4,408.0
Area Cooperative Educational Services,2022,Math,High Needs,21.0,13.0,61.9,13.0,,
Avon School District,2022,Math,Non-High Needs,186.0,185.0,99.5,185.0,,600.0
Avon School District,2022,Math,High Needs,43.0,42.0,97.7,42.0,21.4,459.0
Berlin School District,2022,Math,Non-High Needs,176.0,176.0,100.0,176.0,,540.0
Berlin School District,2022,Math,High Needs,60.0,58.0,96.7,58.0,22.4,443.0
Bethel School District,2022,Math,Non-High Needs,160.0,158.0,98.8,158.0,,531.0
Bethel School District,2022,Math,High Needs,85.0,80.0,94.1,77.0,26.0,462.0
Bloomfield School District,2022,Math,Non-High Needs,67.0,66.0,98.5,66.0,24.2,460.0
Bloomfield School District,2022,Math,High Needs,78.0,71.0,91.0,71.0,11.3,417.0
Bolton School District,2022,Math,Non-High Needs,57.0,56.0,98.2,56.0,,542.0
Bolton School District,2022,Math,High Needs,21.0,15.0,71.4,15.0,,
Branford School District,2022,Math,Non-High Needs,136.0,132.0,97.1,132.0,34.1,495.0
Branford School District,2022,Math,High Needs,73.0,70.0,95.9,70.0,8.6,429.0
Bridgeport School District,2022,Math,Non-High Needs,267.0,260.0,97.4,258.0,18.2,444.0
Bridgeport School District,2022,Math,High Needs,778.0,709.0,91.1,703.0,6.7,394.0
Bristol School District,2022,Math,Non-High Needs,293.0,290.0,99.0,289.0,,498.0
Bristol School District,2022,Math,High Needs,310.0,292.0,94.2,291.0,12.0,428.0
Brookfield School District,2022,Math,Non-High Needs,157.0,152.0,96.8,152.0,,556.0
Brookfield School District,2022,Math,High Needs,61.0,58.0,95.1,58.0,,460.0
Brooklyn School District,2022,Math,High Needs,,,,,,
Canterbury School District,2022,Math,High Needs,,,,,,
Canton School District,2022,Math,Non-High Needs,91.0,90.0,98.9,89.0,,562.0
Canton School District,2022,Math,High Needs,34.0,30.0,88.2,30.0,,440.0
Capital Preparatory Harbor School District,2022,Math,Non-High Needs,16.0,15.0,,15.0,,
Capital Preparatory Harbor School District,2022,Math,High Needs,37.0,37.0,100.0,37.0,,404.0
Capitol Region Education Council,2022,Math,Non-High Needs,133.0,127.0,95.5,127.0,23.6,463.0
Capitol Region Education Council,2022,Math,High Needs,350.0,298.0,85.1,293.0,6.5,400.0
Cheshire School District,2022,Math,Non-High Needs,250.0,249.0,99.6,249.0,,563.0
Cheshire School District,2022,Math,High Needs,74.0,70.0,94.6,70.0,24.3,464.0
Clinton School District,2022,Math,Non-High Needs,107.0,107.0,100.0,106.0,,537.0
Clinton School District,2022,Math,High Needs,52.0,48.0,92.3,46.0,30.4,459.0
Colchester School District,2022,Math,Non-High Needs,126.0,123.0,97.6,123.0,,533.0
Colchester School District,2022,Math,High Needs,46.0,45.0,97.8,45.0,26.7,471.0
Common Ground High School District,2022,Math,Non-High Needs,11.0,11.0,,10.0,,
Common Ground High School District,2022,Math,High Needs,43.0,40.0,93.0,40.0,,394.0
Connecticut Technical Education and Career System,2022,Math,Non-High Needs,846.0,820.0,96.9,817.0,15.8,441.0
Connecticut Technical Education and Career System,2022,Math,High Needs,1817.0,1755.0,96.6,1742.0,6.9,409.0
Cooperative Educational Services,2022,Math,High Needs,18.0,11.0,,10.0,,
Coventry School District,2022,Math,Non-High Needs,68.0,67.0,98.5,67.0,,522.0
Coventry School District,2022,Math,High Needs,31.0,27.0,87.1,26.0,,431.0
Cromwell School District,2022,Math,Non-High Needs,107.0,105.0,98.1,103.0,53.4,531.0
Cromwell School District,2022,Math,High Needs,39.0,36.0,92.3,36.0,16.7,440.0
Danbury School District,2022,Math,Non-High Needs,299.0,291.0,97.3,291.0,28.2,480.0
Danbury School District,2022,Math,High Needs,476.0,444.0,93.3,442.0,6.8,404.0
Darien School District,2022,Math,Non-High Needs,255.0,250.0,98.0,250.0,90.4,642.0
Darien School District,2022,Math,High Needs,83.0,77.0,92.8,77.0,,537.0
Derby School District,2022,Math,Non-High Needs,23.0,23.0,100.0,23.0,,477.0
Derby School District,2022,Math,High Needs,43.0,39.0,90.7,39.0,,405.0
East Granby School District,2022,Math,Non-High Needs,53.0,53.0,100.0,53.0,,544.0
East Granby School District,2022,Math,High Needs,19.0,19.0,,19.0,,
East Haddam School District,2022,Math,Non-High Needs,53.0,53.0,100.0,51.0,,514.0
East Haddam School District,2022,Math,High Needs,7.0,6.0,,6.0,,
East Hampton School District,2022,Math,Non-High Needs,86.0,84.0,97.7,84.0,,502.0
East Hampton School District,2022,Math,High Needs,43.0,39.0,90.7,38.0,18.4,428.0
East Hartford School District,2022,Math,Non-High Needs,122.0,121.0,99.2,121.0,,498.0
East Hartford School District,2022,Math,High Needs,299.0,284.0,95.0,281.0,8.5,409.0
East Haven School District,2022,Math,Non-High Needs,104.0,98.0,94.2,98.0,15.3,454.0
East Haven School District,2022,Math,High Needs,96.0,84.0,87.5,83.0,12.0,411.0
East Lyme School District,2022,Math,Non-High Needs,199.0,191.0,96.0,191.0,,572.0
East Lyme School District,2022,Math,High Needs,51.0,48.0,94.1,47.0,25.5,481.0
East Windsor School District,2022,Math,Non-High Needs,25.0,25.0,100.0,25.0,,478.0
