District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
East Lyme School District,2018,ELA,Non-High Needs,192.0,187.0,97.4,187.0,,575.0
East Windsor School District,2018,ELA,High Needs,30.0,28.0,93.3,28.0,25.0,436.0
East Windsor School District,2018,ELA,Non-High Needs,37.0,37.0,100.0,37.0,,497.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,ELA,High Needs,50.0,42.0,84.0,41.0,,427.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,ELA,Non-High Needs,30.0,28.0,93.3,27.0,,523.0
EdAdvance,2018,ELA,High Needs,8.0,6.0,,6.0,,
Ellington School District,2018,ELA,High Needs,38.0,35.0,92.1,35.0,,472.0
Ellington School District,2018,ELA,Non-High Needs,161.0,161.0,100.0,161.0,,550.0
Elm City College Preparatory School District,2018,ELA,High Needs,29.0,28.0,96.6,28.0,,506.0
Enfield School District,2018,ELA,High Needs,109.0,104.0,95.4,104.0,,483.0
Enfield School District,2018,ELA,Non-High Needs,202.0,202.0,100.0,202.0,,522.0
Explorations District,2018,ELA,High Needs,16.0,16.0,,15.0,,
Explorations District,2018,ELA,Non-High Needs,8.0,8.0,,8.0,,
Fairfield School District,2018,ELA,High Needs,157.0,149.0,94.9,146.0,41.8,470.0
Fairfield School District,2018,ELA,Non-High Needs,621.0,613.0,98.7,612.0,91.7,593.0
Farmington School District,2018,ELA,High Needs,68.0,65.0,95.6,65.0,58.5,497.0
Farmington School District,2018,ELA,Non-High Needs,221.0,219.0,99.1,218.0,95.4,609.0
Glastonbury School District,2018,ELA,High Needs,82.0,80.0,97.6,79.0,,458.0
Glastonbury School District,2018,ELA,Non-High Needs,425.0,421.0,99.1,421.0,,592.0
Granby School District,2018,ELA,High Needs,38.0,37.0,97.4,37.0,,476.0
Granby School District,2018,ELA,Non-High Needs,138.0,136.0,98.6,135.0,,584.0
Greenwich School District,2018,ELA,High Needs,195.0,172.0,88.2,172.0,65.7,519.0
Greenwich School District,2018,ELA,Non-High Needs,490.0,485.0,99.0,485.0,93.6,616.0
Griswold School District,2018,ELA,High Needs,60.0,52.0,86.7,52.0,,443.0
Griswold School District,2018,ELA,Non-High Needs,74.0,73.0,98.6,73.0,,517.0
Groton School District,2018,ELA,High Needs,127.0,109.0,85.8,102.0,,468.0
Groton School District,2018,ELA,Non-High Needs,146.0,142.0,97.3,142.0,,547.0
Guilford School District,2018,ELA,High Needs,50.0,49.0,98.0,49.0,71.4,528.0
Guilford School District,2018,ELA,Non-High Needs,219.0,219.0,100.0,219.0,90.0,603.0
Hamden School District,2018,ELA,High Needs,176.0,166.0,94.3,165.0,33.3,447.0
Hamden School District,2018,ELA,Non-High Needs,187.0,175.0,93.6,175.0,77.7,543.0
