District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
New Fairfield School District,2023,Math,Non-High Needs,125.0,124.0,99.2,124.0,,548.0
New Fairfield School District,2023,Math,High Needs,52.0,49.0,94.2,47.0,25.5,477.0
New Haven School District,2023,Math,Non-High Needs,283.0,267.0,94.3,266.0,25.2,464.0
New Haven School District,2023,Math,High Needs,997.0,803.0,80.5,791.0,6.7,396.0
New London School District,2023,Math,Non-High Needs,14.0,14.0,,14.0,,
New London School District,2023,Math,High Needs,186.0,174.0,93.5,171.0,,399.0
New Milford School District,2023,Math,Non-High Needs,188.0,183.0,97.3,181.0,,522.0
New Milford School District,2023,Math,High Needs,111.0,103.0,92.8,103.0,12.6,441.0
Newington School District,2023,Math,Non-High Needs,206.0,203.0,98.5,203.0,,531.0
Newington School District,2023,Math,High Needs,115.0,106.0,92.2,106.0,21.7,465.0
Newtown School District,2023,Math,Non-High Needs,261.0,258.0,98.9,258.0,,575.0
Newtown School District,2023,Math,High Needs,77.0,68.0,88.3,68.0,20.6,458.0
North Branford School District,2023,Math,Non-High Needs,68.0,67.0,98.5,67.0,46.3,510.0
North Branford School District,2023,Math,High Needs,31.0,29.0,93.5,29.0,20.7,444.0
North Haven School District,2023,Math,Non-High Needs,158.0,157.0,99.4,156.0,,531.0
North Haven School District,2023,Math,High Needs,73.0,71.0,97.3,71.0,18.3,452.0
North Stonington School District,2023,Math,Non-High Needs,32.0,32.0,100.0,32.0,,532.0
North Stonington School District,2023,Math,High Needs,12.0,12.0,,12.0,,
Norwalk School District,2023,Math,Non-High Needs,396.0,379.0,95.7,379.0,38.3,495.0
Norwalk School District,2023,Math,High Needs,580.0,547.0,94.3,547.0,11.3,413.0
Norwich Free Academy District,2023,Math,Non-High Needs,222.0,220.0,99.1,220.0,,483.0
Norwich Free Academy District,2023,Math,High Needs,267.0,249.0,93.3,247.0,9.7,414.0
Norwich School District,2023,Math,High Needs,11.0,7.0,,7.0,,
Old Saybrook School District,2023,Math,Non-High Needs,62.0,62.0,100.0,62.0,,558.0
Old Saybrook School District,2023,Math,High Needs,19.0,18.0,,18.0,,
Oxford School District,2023,Math,Non-High Needs,101.0,100.0,99.0,100.0,,535.0
Oxford School District,2023,Math,High Needs,29.0,26.0,89.7,25.0,28.0,446.0
Plainfield School District,2023,Math,Non-High Needs,53.0,52.0,98.1,51.0,,453.0
Plainfield School District,2023,Math,High Needs,71.0,60.0,84.5,58.0,,404.0
Plainville School District,2023,Math,Non-High Needs,78.0,77.0,98.7,77.0,,533.0
Plainville School District,2023,Math,High Needs,83.0,81.0,97.6,81.0,30.9,467.0
Plymouth School District,2023,Math,Non-High Needs,51.0,50.0,98.0,49.0,,493.0
Plymouth School District,2023,Math,High Needs,53.0,48.0,90.6,48.0,,426.0
Portland School District,2023,Math,Non-High Needs,48.0,48.0,100.0,47.0,,526.0
Portland School District,2023,Math,High Needs,26.0,24.0,92.3,23.0,,479.0
Preston School District,2023,Math,High Needs,,0.0,,0.0,,
Putnam School District,2023,Math,Non-High Needs,29.0,28.0,96.6,28.0,,480.0
