District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2018,Math,High Needs,53.0,45.0,84.9,45.0,,490.0
Achievement First Hartford Academy District,2018,Math,High Needs,36.0,36.0,100.0,36.0,19.4,453.0
Amistad Academy District,2018,Math,High Needs,51.0,45.0,88.2,45.0,33.3,481.0
Ansonia School District,2018,Math,High Needs,104.0,102.0,98.1,102.0,16.7,445.0
Ansonia School District,2018,Math,Non-High Needs,46.0,46.0,100.0,46.0,,492.0
Area Cooperative Educational Services,2018,Math,High Needs,20.0,13.0,65.0,13.0,,
Avon School District,2018,Math,High Needs,38.0,34.0,89.5,34.0,,473.0
Avon School District,2018,Math,Non-High Needs,188.0,184.0,97.9,184.0,,616.0
Berlin School District,2018,Math,High Needs,43.0,43.0,100.0,43.0,23.3,452.0
Berlin School District,2018,Math,Non-High Needs,189.0,188.0,99.5,188.0,,556.0
Bethel School District,2018,Math,High Needs,82.0,79.0,96.3,79.0,24.1,469.0
Bethel School District,2018,Math,Non-High Needs,151.0,151.0,100.0,150.0,,541.0
Bloomfield School District,2018,Math,High Needs,75.0,72.0,96.0,71.0,12.7,435.0
Bloomfield School District,2018,Math,Non-High Needs,81.0,80.0,98.8,80.0,,484.0
Bolton School District,2018,Math,High Needs,12.0,12.0,,12.0,,
Bolton School District,2018,Math,Non-High Needs,55.0,55.0,100.0,55.0,,544.0
Branford School District,2018,Math,High Needs,98.0,92.0,93.9,92.0,21.7,461.0
Branford School District,2018,Math,Non-High Needs,127.0,125.0,98.4,125.0,,534.0
Bridgeport School District,2018,Math,High Needs,912.0,763.0,83.7,760.0,7.8,409.0
Bridgeport School District,2018,Math,Non-High Needs,306.0,289.0,94.4,287.0,27.2,478.0
Bristol School District,2018,Math,High Needs,338.0,315.0,93.2,315.0,16.2,438.0
Bristol School District,2018,Math,Non-High Needs,256.0,251.0,98.0,251.0,,529.0
Brookfield School District,2018,Math,High Needs,57.0,51.0,89.5,51.0,,475.0
Brookfield School District,2018,Math,Non-High Needs,160.0,158.0,98.8,157.0,,567.0
Brooklyn School District,2018,Math,High Needs,,,,,,
Canton School District,2018,Math,High Needs,19.0,18.0,,18.0,,
Canton School District,2018,Math,Non-High Needs,101.0,99.0,98.0,99.0,,578.0
Capital Preparatory Harbor School District,2018,Math,High Needs,17.0,16.0,,16.0,,
Capital Preparatory Harbor School District,2018,Math,Non-High Needs,14.0,13.0,,13.0,,
Capitol Region Education Council,2018,Math,High Needs,277.0,250.0,90.3,243.0,13.6,434.0
Capitol Region Education Council,2018,Math,Non-High Needs,246.0,238.0,96.7,238.0,,502.0
Cheshire School District,2018,Math,High Needs,81.0,72.0,88.9,72.0,23.6,476.0
Cheshire School District,2018,Math,Non-High Needs,294.0,286.0,97.3,286.0,,567.0
Clinton School District,2018,Math,High Needs,42.0,40.0,95.2,40.0,22.5,453.0
Clinton School District,2018,Math,Non-High Needs,99.0,98.0,99.0,98.0,,521.0
Colchester School District,2018,Math,High Needs,49.0,44.0,89.8,42.0,,438.0
Colchester School District,2018,Math,Non-High Needs,140.0,139.0,99.3,138.0,,538.0
Columbia School District,2018,Math,High Needs,,,,,,
Common Ground High School District,2018,Math,High Needs,23.0,22.0,95.7,22.0,,438.0
Common Ground High School District,2018,Math,Non-High Needs,23.0,23.0,100.0,23.0,,495.0
Connecticut Technical Education and Career System,2018,Math,High Needs,1280.0,1251.0,97.7,1244.0,7.8,428.0
Connecticut Technical Education and Career System,2018,Math,Non-High Needs,1155.0,1138.0,98.5,1136.0,19.8,464.0
Cooperative Educational Services,2018,Math,High Needs,20.0,18.0,90.0,17.0,,
Coventry School District,2018,Math,High Needs,33.0,33.0,100.0,30.0,,441.0
Coventry School District,2018,Math,Non-High Needs,71.0,71.0,100.0,71.0,,551.0
Cromwell School District,2018,Math,High Needs,43.0,38.0,88.4,37.0,18.9,443.0
Cromwell School District,2018,Math,Non-High Needs,89.0,88.0,98.9,88.0,52.3,530.0
Danbury School District,2018,Math,High Needs,412.0,394.0,95.6,394.0,11.9,430.0
Danbury School District,2018,Math,Non-High Needs,274.0,268.0,97.8,268.0,,505.0
Darien School District,2018,Math,High Needs,72.0,65.0,90.3,65.0,,502.0
Darien School District,2018,Math,Non-High Needs,267.0,241.0,90.3,240.0,90.8,632.0
Derby School District,2018,Math,High Needs,51.0,48.0,94.1,48.0,,416.0
Derby School District,2018,Math,Non-High Needs,19.0,18.0,,18.0,,
East Granby School District,2018,Math,High Needs,11.0,11.0,,11.0,,
East Granby School District,2018,Math,Non-High Needs,62.0,62.0,100.0,62.0,,548.0
East Haddam School District,2018,Math,High Needs,24.0,22.0,91.7,22.0,,461.0
East Haddam School District,2018,Math,Non-High Needs,50.0,49.0,98.0,49.0,,528.0
East Hampton School District,2018,Math,High Needs,26.0,25.0,96.2,25.0,28.0,477.0
East Hampton School District,2018,Math,Non-High Needs,104.0,102.0,98.1,102.0,,536.0
East Hartford School District,2018,Math,High Needs,371.0,349.0,94.1,348.0,12.1,432.0
East Hartford School District,2018,Math,Non-High Needs,159.0,154.0,96.9,154.0,29.9,493.0
East Haven School District,2018,Math,High Needs,104.0,97.0,93.3,97.0,12.4,433.0
East Haven School District,2018,Math,Non-High Needs,106.0,100.0,94.3,99.0,,483.0
East Lyme School District,2018,Math,High Needs,62.0,59.0,95.2,59.0,16.9,458.0
East Lyme School District,2018,Math,Non-High Needs,192.0,187.0,97.4,186.0,,566.0
East Windsor School District,2018,Math,High Needs,30.0,28.0,93.3,28.0,,425.0
East Windsor School District,2018,Math,Non-High Needs,37.0,37.0,100.0,37.0,,487.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,Math,High Needs,50.0,42.0,84.0,40.0,,399.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,Math,Non-High Needs,30.0,28.0,93.3,27.0,,477.0
EdAdvance,2018,Math,High Needs,8.0,6.0,,6.0,,
Ellington School District,2018,Math,High Needs,38.0,35.0,92.1,35.0,22.9,453.0
Ellington School District,2018,Math,Non-High Needs,161.0,161.0,100.0,161.0,,544.0
Elm City College Preparatory School District,2018,Math,High Needs,29.0,28.0,96.6,27.0,,492.0
Enfield School District,2018,Math,High Needs,109.0,104.0,95.4,104.0,18.3,467.0
Enfield School District,2018,Math,Non-High Needs,202.0,202.0,100.0,202.0,,501.0
Explorations District,2018,Math,High Needs,16.0,16.0,,15.0,,
Explorations District,2018,Math,Non-High Needs,8.0,8.0,,8.0,,
Fairfield School District,2018,Math,High Needs,157.0,149.0,94.9,146.0,22.6,452.0
Fairfield School District,2018,Math,Non-High Needs,621.0,613.0,98.7,612.0,68.6,581.0
Farmington School District,2018,Math,High Needs,68.0,65.0,95.6,64.0,,496.0
Farmington School District,2018,Math,Non-High Needs,221.0,219.0,99.1,218.0,,607.0
Glastonbury School District,2018,Math,High Needs,82.0,80.0,97.6,79.0,17.7,465.0
Glastonbury School District,2018,Math,Non-High Needs,425.0,421.0,99.1,421.0,,600.0
Granby School District,2018,Math,High Needs,38.0,37.0,97.4,36.0,22.2,467.0
Granby School District,2018,Math,Non-High Needs,138.0,136.0,98.6,135.0,66.7,571.0
Greenwich School District,2018,Math,High Needs,195.0,172.0,88.2,172.0,39.5,501.0
Greenwich School District,2018,Math,Non-High Needs,490.0,485.0,99.0,485.0,79.4,620.0
Griswold School District,2018,Math,High Needs,60.0,52.0,86.7,52.0,15.4,443.0
Griswold School District,2018,Math,Non-High Needs,74.0,73.0,98.6,73.0,,503.0
Groton School District,2018,Math,High Needs,127.0,109.0,85.8,102.0,25.5,455.0
Groton School District,2018,Math,Non-High Needs,146.0,142.0,97.3,142.0,,534.0
Guilford School District,2018,Math,High Needs,50.0,49.0,98.0,49.0,36.7,502.0
Guilford School District,2018,Math,Non-High Needs,219.0,219.0,100.0,219.0,69.4,589.0
Hamden School District,2018,Math,High Needs,176.0,166.0,94.3,165.0,12.1,431.0
