District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2019,Math,High Needs,47.0,47.0,100.0,47.0,27.7,487.0
Achievement First Hartford Academy District,2019,Math,High Needs,39.0,39.0,100.0,39.0,41.0,492.0
Amistad Academy District,2019,Math,High Needs,57.0,55.0,96.5,54.0,,474.0
Ansonia School District,2019,Math,High Needs,100.0,98.0,98.0,98.0,15.3,424.0
Ansonia School District,2019,Math,Non-High Needs,49.0,49.0,100.0,49.0,22.4,470.0
Area Cooperative Educational Services,2019,Math,High Needs,22.0,18.0,81.8,17.0,,
Avon School District,2019,Math,High Needs,49.0,48.0,98.0,47.0,29.8,472.0
Avon School District,2019,Math,Non-High Needs,187.0,184.0,98.4,184.0,,617.0
Berlin School District,2019,Math,High Needs,55.0,55.0,100.0,55.0,21.8,437.0
Berlin School District,2019,Math,Non-High Needs,147.0,147.0,100.0,147.0,49.0,545.0
Bethel School District,2019,Math,High Needs,85.0,83.0,97.6,82.0,29.3,480.0
Bethel School District,2019,Math,Non-High Needs,143.0,143.0,100.0,143.0,56.6,547.0
Bloomfield School District,2019,Math,High Needs,79.0,76.0,96.2,74.0,9.5,423.0
Bloomfield School District,2019,Math,Non-High Needs,81.0,78.0,96.3,78.0,16.7,456.0
Bolton School District,2019,Math,High Needs,17.0,17.0,,17.0,,
Bolton School District,2019,Math,Non-High Needs,44.0,44.0,100.0,44.0,,531.0
Bozrah School District,2019,Math,High Needs,,0.0,,0.0,,
Branford School District,2019,Math,High Needs,88.0,79.0,89.8,79.0,20.3,443.0
Branford School District,2019,Math,Non-High Needs,150.0,150.0,100.0,150.0,,550.0
Bridgeport School District,2019,Math,High Needs,819.0,745.0,91.0,741.0,7.8,396.0
Bridgeport School District,2019,Math,Non-High Needs,330.0,321.0,97.3,321.0,23.7,451.0
Bristol School District,2019,Math,High Needs,265.0,251.0,94.7,247.0,20.6,454.0
Bristol School District,2019,Math,Non-High Needs,263.0,259.0,98.5,259.0,44.4,514.0
Brookfield School District,2019,Math,High Needs,72.0,68.0,94.4,68.0,,495.0
Brookfield School District,2019,Math,Non-High Needs,132.0,130.0,98.5,130.0,,579.0
Brooklyn School District,2019,Math,High Needs,,,,,,
Canton School District,2019,Math,High Needs,29.0,28.0,96.6,27.0,,472.0
Canton School District,2019,Math,Non-High Needs,86.0,85.0,98.8,85.0,,581.0
Capital Preparatory Harbor School District,2019,Math,High Needs,27.0,27.0,100.0,27.0,,430.0
Capital Preparatory Harbor School District,2019,Math,Non-High Needs,17.0,17.0,,17.0,,
Capitol Region Education Council,2019,Math,High Needs,321.0,291.0,90.7,284.0,11.3,425.0
Capitol Region Education Council,2019,Math,Non-High Needs,196.0,195.0,99.5,195.0,,506.0
Cheshire School District,2019,Math,High Needs,72.0,65.0,90.3,64.0,,482.0
Cheshire School District,2019,Math,Non-High Needs,272.0,268.0,98.5,268.0,,581.0
Clinton School District,2019,Math,High Needs,60.0,60.0,100.0,60.0,25.0,456.0
Clinton School District,2019,Math,Non-High Needs,102.0,101.0,99.0,101.0,,514.0
Colchester School District,2019,Math,High Needs,44.0,42.0,95.5,42.0,19.0,452.0
Colchester School District,2019,Math,Non-High Needs,137.0,137.0,100.0,136.0,,526.0
Common Ground High School District,2019,Math,High Needs,32.0,32.0,100.0,32.0,,409.0
Common Ground High School District,2019,Math,Non-High Needs,9.0,9.0,,9.0,,
Connecticut Technical Education and Career System,2019,Math,High Needs,1520.0,1508.0,99.2,1507.0,8.2,422.0
Connecticut Technical Education and Career System,2019,Math,Non-High Needs,909.0,909.0,100.0,904.0,18.7,453.0
Cooperative Educational Services,2019,Math,High Needs,12.0,12.0,,10.0,,
Coventry School District,2019,Math,High Needs,29.0,28.0,96.6,28.0,,481.0
Coventry School District,2019,Math,Non-High Needs,93.0,92.0,98.9,91.0,,548.0
