District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2023,ELA,Non-High Needs,9.0,9.0,,9.0,,
Achievement First Bridgeport Academy District,2023,ELA,High Needs,40.0,37.0,92.5,37.0,,416.0
Achievement First Hartford Academy District,2023,ELA,Non-High Needs,47.0,43.0,91.5,43.0,,400.0
Achievement First Hartford Academy District,2023,ELA,High Needs,19.0,18.0,,18.0,,
Amistad Academy District,2023,ELA,Non-High Needs,22.0,22.0,100.0,22.0,,477.0
Amistad Academy District,2023,ELA,High Needs,47.0,41.0,87.2,41.0,,408.0
Ansonia School District,2023,ELA,Non-High Needs,50.0,50.0,100.0,50.0,,469.0
Ansonia School District,2023,ELA,High Needs,89.0,87.0,97.8,87.0,,420.0
Area Cooperative Educational Services,2023,ELA,High Needs,26.0,13.0,50.0,13.0,,
Avon School District,2023,ELA,Non-High Needs,183.0,182.0,99.5,182.0,,602.0
Avon School District,2023,ELA,High Needs,44.0,36.0,81.8,36.0,,506.0
Berlin School District,2023,ELA,Non-High Needs,141.0,140.0,99.3,140.0,,544.0
Berlin School District,2023,ELA,High Needs,51.0,49.0,96.1,49.0,,465.0
Bethel School District,2023,ELA,Non-High Needs,159.0,155.0,97.5,155.0,,559.0
Bethel School District,2023,ELA,High Needs,87.0,80.0,92.0,79.0,,463.0
Bloomfield School District,2023,ELA,Non-High Needs,44.0,43.0,97.7,43.0,37.2,453.0
Bloomfield School District,2023,ELA,High Needs,84.0,78.0,92.9,77.0,19.5,421.0
Bolton School District,2023,ELA,Non-High Needs,40.0,38.0,95.0,38.0,,535.0
Bolton School District,2023,ELA,High Needs,8.0,6.0,,6.0,,
Branford School District,2023,ELA,Non-High Needs,136.0,132.0,97.1,132.0,,519.0
Branford School District,2023,ELA,High Needs,81.0,74.0,91.4,74.0,,458.0
Bridgeport School District,2023,ELA,Non-High Needs,202.0,193.0,95.5,193.0,43.0,471.0
Bridgeport School District,2023,ELA,High Needs,992.0,887.0,89.4,881.0,19.8,410.0
Bristol School District,2023,ELA,Non-High Needs,258.0,250.0,96.9,250.0,58.4,500.0
Bristol School District,2023,ELA,High Needs,334.0,295.0,88.3,292.0,30.1,448.0
Brookfield School District,2023,ELA,Non-High Needs,154.0,154.0,100.0,154.0,,543.0
Brookfield School District,2023,ELA,High Needs,71.0,70.0,98.6,70.0,,474.0
Brooklyn School District,2023,ELA,High Needs,,,,,,
Canton School District,2023,ELA,Non-High Needs,77.0,77.0,100.0,77.0,,578.0
Canton School District,2023,ELA,High Needs,29.0,26.0,89.7,26.0,,491.0
Capital Preparatory Harbor School District,2023,ELA,Non-High Needs,12.0,12.0,,12.0,,
Capital Preparatory Harbor School District,2023,ELA,High Needs,42.0,42.0,100.0,42.0,,422.0
Capitol Region Education Council,2023,ELA,Non-High Needs,126.0,121.0,96.0,121.0,57.9,514.0
Capitol Region Education Council,2023,ELA,High Needs,364.0,300.0,82.4,296.0,22.0,421.0
Cheshire School District,2023,ELA,Non-High Needs,212.0,210.0,99.1,210.0,77.6,562.0
Cheshire School District,2023,ELA,High Needs,74.0,70.0,94.6,70.0,51.4,489.0
Clinton School District,2023,ELA,Non-High Needs,77.0,77.0,100.0,77.0,,534.0
Clinton School District,2023,ELA,High Needs,44.0,42.0,95.5,42.0,,451.0
Colchester School District,2023,ELA,Non-High Needs,112.0,111.0,99.1,110.0,,543.0
Colchester School District,2023,ELA,High Needs,49.0,41.0,83.7,41.0,,467.0
Common Ground High School District,2023,ELA,Non-High Needs,11.0,10.0,,10.0,,
Common Ground High School District,2023,ELA,High Needs,36.0,33.0,91.7,30.0,,392.0
Connecticut Technical Education and Career System,2023,ELA,Non-High Needs,1162.0,1149.0,98.9,1146.0,39.2,461.0
Connecticut Technical Education and Career System,2023,ELA,High Needs,1506.0,1472.0,97.7,1466.0,25.4,428.0
Cooperative Educational Services,2023,ELA,High Needs,16.0,12.0,,12.0,,
Coventry School District,2023,ELA,Non-High Needs,76.0,75.0,98.7,75.0,,528.0
Coventry School District,2023,ELA,High Needs,26.0,23.0,88.5,23.0,,489.0
Cromwell School District,2023,ELA,Non-High Needs,90.0,90.0,100.0,90.0,71.1,530.0
Cromwell School District,2023,ELA,High Needs,51.0,48.0,94.1,47.0,36.2,450.0
Danbury School District,2023,ELA,Non-High Needs,289.0,281.0,97.2,281.0,54.1,502.0
Danbury School District,2023,ELA,High Needs,479.0,455.0,95.0,453.0,22.7,418.0
Darien School District,2023,ELA,Non-High Needs,249.0,240.0,96.4,237.0,93.2,617.0
Darien School District,2023,ELA,High Needs,80.0,75.0,93.8,73.0,72.6,535.0
Derby School District,2023,ELA,Non-High Needs,36.0,33.0,91.7,33.0,,473.0
Derby School District,2023,ELA,High Needs,59.0,53.0,89.8,53.0,,419.0
East Granby School District,2023,ELA,Non-High Needs,34.0,34.0,100.0,34.0,,549.0
East Granby School District,2023,ELA,High Needs,13.0,13.0,,13.0,,
East Haddam School District,2023,ELA,Non-High Needs,43.0,42.0,97.7,42.0,,515.0
East Haddam School District,2023,ELA,High Needs,21.0,20.0,95.2,20.0,,445.0
East Hampton School District,2023,ELA,Non-High Needs,115.0,114.0,99.1,113.0,,538.0
East Hampton School District,2023,ELA,High Needs,32.0,30.0,93.8,30.0,,446.0
East Hartford School District,2023,ELA,Non-High Needs,153.0,150.0,98.0,150.0,56.0,496.0
East Hartford School District,2023,ELA,High Needs,318.0,291.0,91.5,291.0,26.1,425.0
East Haven School District,2023,ELA,Non-High Needs,75.0,73.0,97.3,73.0,,499.0
East Haven School District,2023,ELA,High Needs,125.0,120.0,96.0,120.0,24.2,431.0
East Lyme School District,2023,ELA,Non-High Needs,175.0,174.0,99.4,174.0,86.2,566.0
East Lyme School District,2023,ELA,High Needs,66.0,61.0,92.4,61.0,,502.0
East Windsor School District,2023,ELA,Non-High Needs,21.0,21.0,100.0,21.0,,507.0
East Windsor School District,2023,ELA,High Needs,43.0,38.0,88.4,38.0,,418.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2023,ELA,Non-High Needs,15.0,15.0,,15.0,,
Eastern Connecticut Regional Educational Service Center (EASTCONN),2023,ELA,High Needs,51.0,40.0,78.4,39.0,,469.0
EdAdvance,2023,ELA,High Needs,14.0,6.0,,6.0,,
Ellington School District,2023,ELA,Non-High Needs,148.0,144.0,97.3,144.0,,522.0
Ellington School District,2023,ELA,High Needs,46.0,35.0,76.1,35.0,,463.0
Elm City College Preparatory School District,2023,ELA,Non-High Needs,14.0,12.0,,12.0,,
Elm City College Preparatory School District,2023,ELA,High Needs,36.0,35.0,97.2,35.0,,445.0
Enfield School District,2023,ELA,Non-High Needs,202.0,200.0,99.0,199.0,61.3,507.0
Enfield School District,2023,ELA,High Needs,153.0,145.0,94.8,145.0,32.4,450.0
Explorations District,2023,ELA,Non-High Needs,9.0,9.0,,9.0,,
Explorations District,2023,ELA,High Needs,14.0,14.0,,14.0,,
Fairfield School District,2023,ELA,Non-High Needs,568.0,554.0,97.5,554.0,89.2,582.0
Fairfield School District,2023,ELA,High Needs,243.0,225.0,92.6,222.0,49.1,490.0
Farmington School District,2023,ELA,Non-High Needs,224.0,223.0,99.6,223.0,91.0,599.0
Farmington School District,2023,ELA,High Needs,78.0,72.0,92.3,72.0,43.1,477.0
Glastonbury School District,2023,ELA,Non-High Needs,353.0,350.0,99.2,350.0,82.0,569.0
Glastonbury School District,2023,ELA,High Needs,93.0,84.0,90.3,84.0,44.0,472.0
Goodwin University Educational Services (GUES),2023,ELA,Non-High Needs,34.0,32.0,94.1,31.0,,492.0
Goodwin University Educational Services (GUES),2023,ELA,High Needs,71.0,67.0,94.4,67.0,22.4,436.0
Granby School District,2023,ELA,Non-High Needs,109.0,108.0,99.1,108.0,,554.0
Granby School District,2023,ELA,High Needs,31.0,30.0,96.8,30.0,,496.0
Great Oaks Charter School District,2023,ELA,Non-High Needs,14.0,10.0,,10.0,,
Great Oaks Charter School District,2023,ELA,High Needs,52.0,45.0,86.5,44.0,,399.0
Greenwich School District,2023,ELA,Non-High Needs,437.0,428.0,97.9,427.0,91.8,606.0
Greenwich School District,2023,ELA,High Needs,211.0,204.0,96.7,199.0,44.7,483.0
Griswold School District,2023,ELA,Non-High Needs,52.0,51.0,98.1,51.0,,506.0
Griswold School District,2023,ELA,High Needs,61.0,53.0,86.9,53.0,,441.0
Groton School District,2023,ELA,Non-High Needs,134.0,130.0,97.0,130.0,,549.0
Groton School District,2023,ELA,High Needs,104.0,92.0,88.5,91.0,28.6,442.0
Guilford School District,2023,ELA,Non-High Needs,212.0,210.0,99.1,210.0,,580.0
Guilford School District,2023,ELA,High Needs,56.0,54.0,96.4,54.0,,497.0
Hamden School District,2023,ELA,Non-High Needs,196.0,192.0,98.0,192.0,,504.0
Hamden School District,2023,ELA,High Needs,234.0,206.0,88.0,204.0,20.1,426.0
Hartford School District,2023,ELA,Non-High Needs,135.0,125.0,92.6,125.0,53.6,493.0
Hartford School District,2023,ELA,High Needs,908.0,753.0,82.9,745.0,21.7,416.0
Highville Charter School District,2023,ELA,Non-High Needs,,,,,,
Highville Charter School District,2023,ELA,High Needs,,,,,,
Jumoke Academy District,2023,ELA,Non-High Needs,,,,,,
Jumoke Academy District,2023,ELA,High Needs,,0.0,,0.0,,
Killingly School District,2023,ELA,Non-High Needs,97.0,92.0,94.8,92.0,,510.0
Killingly School District,2023,ELA,High Needs,60.0,55.0,91.7,55.0,,473.0
Learn,2023,ELA,Non-High Needs,57.0,54.0,94.7,54.0,,557.0
Learn,2023,ELA,High Needs,38.0,36.0,94.7,36.0,,483.0
Lebanon School District,2023,ELA,Non-High Needs,48.0,47.0,97.9,46.0,,520.0
Lebanon School District,2023,ELA,High Needs,36.0,36.0,100.0,36.0,,436.0
Ledyard School District,2023,ELA,Non-High Needs,113.0,113.0,100.0,113.0,72.6,529.0
Ledyard School District,2023,ELA,High Needs,76.0,69.0,90.8,68.0,42.6,466.0
Litchfield School District,2023,ELA,Non-High Needs,44.0,44.0,100.0,44.0,,559.0
Litchfield School District,2023,ELA,High Needs,16.0,16.0,,16.0,,
Madison School District,2023,ELA,Non-High Needs,178.0,178.0,100.0,178.0,,575.0
Madison School District,2023,ELA,High Needs,34.0,33.0,97.1,33.0,,488.0
Manchester School District,2023,ELA,Non-High Needs,184.0,153.0,83.2,153.0,55.6,494.0
Manchester School District,2023,ELA,High Needs,235.0,174.0,74.0,172.0,21.5,420.0
Meriden School District,2023,ELA,Non-High Needs,118.0,113.0,95.8,113.0,58.4,500.0
Meriden School District,2023,ELA,High Needs,468.0,417.0,89.1,416.0,29.3,432.0
Middletown School District,2023,ELA,Non-High Needs,150.0,140.0,93.3,139.0,,521.0
Middletown School District,2023,ELA,High Needs,163.0,134.0,82.2,131.0,20.6,414.0
Milford School District,2023,ELA,Non-High Needs,263.0,261.0,99.2,260.0,73.5,534.0
Milford School District,2023,ELA,High Needs,147.0,135.0,91.8,135.0,40.7,460.0
Monroe School District,2023,ELA,Non-High Needs,211.0,201.0,95.3,201.0,,559.0
Monroe School District,2023,ELA,High Needs,48.0,39.0,81.3,38.0,,467.0
Montville School District,2023,ELA,Non-High Needs,64.0,62.0,96.9,62.0,,540.0
Montville School District,2023,ELA,High Needs,50.0,50.0,100.0,50.0,,453.0
Naugatuck School District,2023,ELA,Non-High Needs,127.0,120.0,94.5,119.0,,483.0
Naugatuck School District,2023,ELA,High Needs,195.0,151.0,77.4,150.0,,429.0
New Britain School District,2023,ELA,Non-High Needs,124.0,121.0,97.6,121.0,,459.0
New Britain School District,2023,ELA,High Needs,448.0,392.0,87.5,392.0,16.8,410.0
New Canaan School District,2023,ELA,Non-High Needs,255.0,251.0,98.4,251.0,,617.0
New Canaan School District,2023,ELA,High Needs,54.0,50.0,92.6,49.0,,496.0
New Fairfield School District,2023,ELA,Non-High Needs,125.0,124.0,99.2,124.0,,546.0
New Fairfield School District,2023,ELA,High Needs,52.0,49.0,94.2,48.0,,479.0
New Haven School District,2023,ELA,Non-High Needs,283.0,267.0,94.3,266.0,49.2,495.0
New Haven School District,2023,ELA,High Needs,997.0,803.0,80.5,792.0,19.3,411.0
New London School District,2023,ELA,Non-High Needs,14.0,14.0,,14.0,,
New London School District,2023,ELA,High Needs,186.0,174.0,93.5,172.0,,403.0
New Milford School District,2023,ELA,Non-High Needs,188.0,183.0,97.3,181.0,,532.0
New Milford School District,2023,ELA,High Needs,111.0,103.0,92.8,103.0,,457.0
Newington School District,2023,ELA,Non-High Needs,206.0,203.0,98.5,203.0,70.4,525.0
Newington School District,2023,ELA,High Needs,115.0,106.0,92.2,106.0,35.8,463.0
Newtown School District,2023,ELA,Non-High Needs,261.0,258.0,98.9,258.0,,565.0
Newtown School District,2023,ELA,High Needs,77.0,68.0,88.3,68.0,,466.0
North Branford School District,2023,ELA,Non-High Needs,68.0,67.0,98.5,67.0,,523.0
North Branford School District,2023,ELA,High Needs,31.0,29.0,93.5,29.0,,454.0
North Haven School District,2023,ELA,Non-High Needs,158.0,157.0,99.4,156.0,,529.0
North Haven School District,2023,ELA,High Needs,73.0,71.0,97.3,71.0,,457.0
North Stonington School District,2023,ELA,Non-High Needs,32.0,32.0,100.0,32.0,,539.0
North Stonington School District,2023,ELA,High Needs,12.0,12.0,,12.0,,
Norwalk School District,2023,ELA,Non-High Needs,396.0,379.0,95.7,379.0,62.8,516.0
Norwalk School District,2023,ELA,High Needs,580.0,547.0,94.3,547.0,27.2,420.0
Norwich Free Academy District,2023,ELA,Non-High Needs,222.0,220.0,99.1,220.0,59.5,498.0
Norwich Free Academy District,2023,ELA,High Needs,267.0,249.0,93.3,248.0,25.8,424.0
Norwich School District,2023,ELA,High Needs,11.0,7.0,,7.0,,
Old Saybrook School District,2023,ELA,Non-High Needs,62.0,62.0,100.0,62.0,,559.0
Old Saybrook School District,2023,ELA,High Needs,19.0,18.0,,18.0,,
Oxford School District,2023,ELA,Non-High Needs,101.0,100.0,99.0,100.0,,541.0
Oxford School District,2023,ELA,High Needs,29.0,26.0,89.7,26.0,,457.0
Plainfield School District,2023,ELA,Non-High Needs,53.0,52.0,98.1,51.0,,499.0
Plainfield School District,2023,ELA,High Needs,71.0,60.0,84.5,58.0,,426.0
Plainville School District,2023,ELA,Non-High Needs,78.0,77.0,98.7,77.0,68.8,532.0
Plainville School District,2023,ELA,High Needs,83.0,81.0,97.6,81.0,45.7,479.0
Plymouth School District,2023,ELA,Non-High Needs,51.0,50.0,98.0,50.0,,500.0
Plymouth School District,2023,ELA,High Needs,53.0,48.0,90.6,48.0,,444.0
Portland School District,2023,ELA,Non-High Needs,48.0,48.0,100.0,48.0,,528.0
Portland School District,2023,ELA,High Needs,26.0,24.0,92.3,23.0,,518.0
Preston School District,2023,ELA,High Needs,,0.0,,0.0,,
Putnam School District,2023,ELA,Non-High Needs,29.0,28.0,96.6,28.0,,517.0
Putnam School District,2023,ELA,High Needs,27.0,25.0,92.6,25.0,,451.0
Regional School District 01,2023,ELA,Non-High Needs,32.0,31.0,96.9,31.0,,499.0
Regional School District 01,2023,ELA,High Needs,29.0,27.0,93.1,27.0,37.0,453.0
Regional School District 04,2023,ELA,Non-High Needs,85.0,84.0,98.8,81.0,76.5,561.0
Regional School District 04,2023,ELA,High Needs,57.0,52.0,91.2,52.0,,466.0
Regional School District 05,2023,ELA,Non-High Needs,278.0,276.0,99.3,276.0,84.8,574.0
Regional School District 05,2023,ELA,High Needs,75.0,70.0,93.3,69.0,53.6,499.0
Regional School District 06,2023,ELA,Non-High Needs,52.0,52.0,100.0,52.0,65.4,527.0
Regional School District 06,2023,ELA,High Needs,37.0,33.0,89.2,33.0,39.4,463.0
Regional School District 07,2023,ELA,Non-High Needs,89.0,87.0,97.8,87.0,,556.0
Regional School District 07,2023,ELA,High Needs,52.0,45.0,86.5,45.0,,473.0
Regional School District 08,2023,ELA,Non-High Needs,166.0,161.0,97.0,161.0,,557.0
Regional School District 08,2023,ELA,High Needs,43.0,36.0,83.7,36.0,,467.0
Regional School District 09,2023,ELA,Non-High Needs,142.0,141.0,99.3,141.0,90.1,589.0
Regional School District 09,2023,ELA,High Needs,50.0,45.0,90.0,45.0,73.3,540.0
Regional School District 10,2023,ELA,Non-High Needs,123.0,122.0,99.2,122.0,,548.0
Regional School District 10,2023,ELA,High Needs,27.0,24.0,88.9,24.0,,469.0
Regional School District 11,2023,ELA,Non-High Needs,20.0,20.0,100.0,20.0,,532.0
Regional School District 11,2023,ELA,High Needs,16.0,16.0,,16.0,,
Regional School District 12,2023,ELA,Non-High Needs,53.0,53.0,100.0,53.0,,543.0
Regional School District 12,2023,ELA,High Needs,27.0,27.0,100.0,27.0,,483.0
Regional School District 13,2023,ELA,Non-High Needs,64.0,63.0,98.4,63.0,,559.0
Regional School District 13,2023,ELA,High Needs,27.0,23.0,85.2,23.0,,450.0
Regional School District 14,2023,ELA,Non-High Needs,104.0,103.0,99.0,103.0,,527.0
Regional School District 14,2023,ELA,High Needs,56.0,56.0,100.0,55.0,,456.0
Regional School District 15,2023,ELA,Non-High Needs,207.0,205.0,99.0,205.0,,551.0
Regional School District 15,2023,ELA,High Needs,63.0,57.0,90.5,55.0,,466.0
Regional School District 16,2023,ELA,Non-High Needs,111.0,111.0,100.0,111.0,,543.0
Regional School District 16,2023,ELA,High Needs,34.0,32.0,94.1,32.0,,456.0
Regional School District 17,2023,ELA,Non-High Needs,103.0,102.0,99.0,102.0,,570.0
Regional School District 17,2023,ELA,High Needs,32.0,27.0,84.4,27.0,,483.0
Regional School District 18,2023,ELA,Non-High Needs,87.0,85.0,97.7,85.0,,598.0
Regional School District 18,2023,ELA,High Needs,18.0,17.0,,17.0,,
Regional School District 19,2023,ELA,Non-High Needs,171.0,168.0,98.2,168.0,78.6,557.0
Regional School District 19,2023,ELA,High Needs,101.0,92.0,91.1,91.0,48.4,482.0
Ridgefield School District,2023,ELA,Non-High Needs,288.0,272.0,94.4,272.0,93.4,600.0
Ridgefield School District,2023,ELA,High Needs,76.0,73.0,96.1,71.0,,511.0
Rocky Hill School District,2023,ELA,Non-High Needs,134.0,132.0,98.5,132.0,,576.0
