District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2016,ELA,Non-High Needs,8.0,8.0,,8.0,,
Achievement First Bridgeport Academy District,2016,ELA,High Needs,28.0,27.0,96.4,26.0,,508.0
Achievement First Hartford Academy District,2016,ELA,High Needs,32.0,30.0,93.8,30.0,,529.0
Amistad Academy District,2016,ELA,Non-High Needs,,,,,,
Amistad Academy District,2016,ELA,High Needs,,,,,,526.0
Ansonia School District,2016,ELA,Non-High Needs,60.0,58.0,96.7,58.0,,509.0
Ansonia School District,2016,ELA,High Needs,91.0,80.0,87.9,80.0,40.0,452.0
Area Cooperative Educational Services,2016,ELA,High Needs,30.0,19.0,63.3,18.0,,
Avon School District,2016,ELA,Non-High Needs,214.0,212.0,99.1,211.0,94.8,621.0
Avon School District,2016,ELA,High Needs,35.0,33.0,94.3,32.0,,520.0
Berlin School District,2016,ELA,Non-High Needs,188.0,186.0,98.9,186.0,,544.0
Berlin School District,2016,ELA,High Needs,48.0,44.0,91.7,44.0,,482.0
Bethel School District,2016,ELA,Non-High Needs,150.0,149.0,99.3,149.0,,560.0
Bethel School District,2016,ELA,High Needs,52.0,45.0,86.5,45.0,,487.0
Bloomfield School District,2016,ELA,Non-High Needs,93.0,90.0,96.8,90.0,,483.0
Bloomfield School District,2016,ELA,High Needs,80.0,76.0,95.0,76.0,,449.0
Bolton School District,2016,ELA,Non-High Needs,57.0,57.0,100.0,57.0,,578.0
Bolton School District,2016,ELA,High Needs,10.0,10.0,,10.0,,
Branford School District,2016,ELA,Non-High Needs,167.0,162.0,97.0,162.0,,549.0
Branford School District,2016,ELA,High Needs,89.0,83.0,93.3,83.0,,460.0
Bridgeport School District,2016,ELA,High Needs,1185.0,1022.0,86.2,1022.0,29.2,438.0
Bristol School District,2016,ELA,Non-High Needs,337.0,333.0,98.8,333.0,79.9,539.0
Bristol School District,2016,ELA,High Needs,243.0,221.0,90.9,221.0,51.6,478.0
Brookfield School District,2016,ELA,Non-High Needs,186.0,182.0,97.8,182.0,,583.0
Brookfield School District,2016,ELA,High Needs,42.0,41.0,97.6,41.0,,487.0
Brooklyn School District,2016,ELA,High Needs,,,,,,
Canton School District,2016,ELA,Non-High Needs,92.0,91.0,98.9,91.0,,590.0
Canton School District,2016,ELA,High Needs,25.0,25.0,100.0,25.0,,503.0
Capital Preparatory Harbor School District,2016,ELA,Non-High Needs,9.0,9.0,,9.0,,
Capital Preparatory Harbor School District,2016,ELA,High Needs,19.0,19.0,,19.0,,
Capitol Region Education Council,2016,ELA,Non-High Needs,231.0,223.0,96.5,223.0,76.2,559.0
Capitol Region Education Council,2016,ELA,High Needs,295.0,264.0,89.5,264.0,39.4,461.0
Cheshire School District,2016,ELA,Non-High Needs,319.0,315.0,98.7,315.0,,584.0
Cheshire School District,2016,ELA,High Needs,72.0,59.0,81.9,59.0,,478.0
Clinton School District,2016,ELA,Non-High Needs,101.0,99.0,98.0,99.0,,554.0
Clinton School District,2016,ELA,High Needs,28.0,26.0,92.9,26.0,,463.0
Colchester School District,2016,ELA,Non-High Needs,146.0,144.0,98.6,144.0,,573.0
Colchester School District,2016,ELA,High Needs,54.0,50.0,92.6,50.0,,480.0
Columbia School District,2016,ELA,High Needs,,0.0,,0.0,,
Common Ground High School District,2016,ELA,Non-High Needs,20.0,19.0,95.0,19.0,,
Common Ground High School District,2016,ELA,High Needs,22.0,20.0,90.9,20.0,,416.0
Connecticut Technical Education and Career System,2016,ELA,Non-High Needs,1199.0,1176.0,98.1,1176.0,55.4,491.0
Connecticut Technical Education and Career System,2016,ELA,High Needs,1299.0,1269.0,97.7,1269.0,34.0,450.0
Cooperative Educational Services,2016,ELA,High Needs,13.0,10.0,,10.0,,
Coventry School District,2016,ELA,Non-High Needs,100.0,99.0,99.0,99.0,,555.0
Coventry School District,2016,ELA,High Needs,31.0,29.0,93.5,29.0,,478.0
Cromwell School District,2016,ELA,Non-High Needs,96.0,95.0,99.0,95.0,,563.0
Cromwell School District,2016,ELA,High Needs,54.0,51.0,94.4,51.0,,464.0
Danbury School District,2016,ELA,Non-High Needs,339.0,328.0,96.8,328.0,72.9,535.0
Danbury School District,2016,ELA,High Needs,334.0,314.0,94.0,314.0,28.7,434.0
Darien School District,2016,ELA,Non-High Needs,282.0,268.0,95.0,268.0,,634.0
Darien School District,2016,ELA,High Needs,49.0,44.0,89.8,44.0,,526.0
Derby School District,2016,ELA,Non-High Needs,25.0,25.0,100.0,25.0,,476.0
Derby School District,2016,ELA,High Needs,65.0,61.0,93.8,61.0,,433.0
East Granby School District,2016,ELA,Non-High Needs,46.0,46.0,100.0,46.0,,588.0
East Granby School District,2016,ELA,High Needs,17.0,16.0,,16.0,,
East Haddam School District,2016,ELA,Non-High Needs,67.0,65.0,97.0,65.0,,540.0
East Haddam School District,2016,ELA,High Needs,15.0,14.0,,13.0,,
East Hampton School District,2016,ELA,Non-High Needs,106.0,102.0,96.2,102.0,,565.0
East Hampton School District,2016,ELA,High Needs,28.0,27.0,96.4,27.0,,489.0
East Hartford School District,2016,ELA,Non-High Needs,155.0,148.0,95.5,148.0,65.5,508.0
East Hartford School District,2016,ELA,High Needs,336.0,301.0,89.6,301.0,32.9,447.0
East Haven School District,2016,ELA,Non-High Needs,115.0,113.0,98.3,113.0,,510.0
East Haven School District,2016,ELA,High Needs,115.0,102.0,88.7,102.0,,449.0
East Lyme School District,2016,ELA,Non-High Needs,201.0,199.0,99.0,199.0,92.0,592.0
East Lyme School District,2016,ELA,High Needs,59.0,57.0,96.6,57.0,,518.0
East Windsor School District,2016,ELA,Non-High Needs,34.0,34.0,100.0,34.0,,522.0
East Windsor School District,2016,ELA,High Needs,35.0,32.0,91.4,31.0,,477.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,ELA,Non-High Needs,36.0,33.0,91.7,33.0,,528.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,ELA,High Needs,49.0,39.0,79.6,39.0,,454.0
EdAdvance,2016,ELA,High Needs,,,,,,
Ellington School District,2016,ELA,Non-High Needs,174.0,174.0,100.0,174.0,82.8,554.0
Ellington School District,2016,ELA,High Needs,30.0,29.0,96.7,29.0,37.9,451.0
Elm City College Preparatory School District,2016,ELA,Non-High Needs,10.0,10.0,,10.0,,
Elm City College Preparatory School District,2016,ELA,High Needs,24.0,23.0,95.8,23.0,,475.0
Enfield School District,2016,ELA,Non-High Needs,221.0,218.0,98.6,218.0,74.8,524.0
Enfield School District,2016,ELA,High Needs,142.0,128.0,90.1,128.0,33.6,459.0
Explorations District,2016,ELA,Non-High Needs,11.0,10.0,,10.0,,
Explorations District,2016,ELA,High Needs,12.0,11.0,,11.0,,
Fairfield School District,2016,ELA,Non-High Needs,587.0,575.0,98.0,575.0,93.0,591.0
Fairfield School District,2016,ELA,High Needs,149.0,138.0,92.6,138.0,49.3,489.0
Farmington School District,2016,ELA,Non-High Needs,247.0,241.0,97.6,241.0,,599.0
Farmington School District,2016,ELA,High Needs,66.0,59.0,89.4,59.0,,483.0
Franklin School District,2016,ELA,High Needs,,0.0,,0.0,,
Glastonbury School District,2016,ELA,Non-High Needs,396.0,392.0,99.0,392.0,91.6,588.0
Glastonbury School District,2016,ELA,High Needs,99.0,91.0,91.9,91.0,58.2,495.0
Granby School District,2016,ELA,Non-High Needs,124.0,122.0,98.4,122.0,,583.0
Granby School District,2016,ELA,High Needs,32.0,29.0,90.6,29.0,,492.0
Greenwich School District,2016,ELA,Non-High Needs,500.0,483.0,96.6,483.0,91.9,603.0
Greenwich School District,2016,ELA,High Needs,147.0,134.0,91.2,134.0,42.5,470.0
Griswold School District,2016,ELA,Non-High Needs,84.0,84.0,100.0,84.0,,538.0
Griswold School District,2016,ELA,High Needs,50.0,41.0,82.0,41.0,,467.0
Groton School District,2016,ELA,Non-High Needs,156.0,150.0,96.2,150.0,,558.0
Groton School District,2016,ELA,High Needs,102.0,90.0,88.2,90.0,,461.0
Guilford School District,2016,ELA,Non-High Needs,215.0,214.0,99.5,214.0,,600.0
Guilford School District,2016,ELA,High Needs,43.0,40.0,93.0,40.0,,517.0
Hamden School District,2016,ELA,Non-High Needs,214.0,207.0,96.7,206.0,82.0,558.0
Hamden School District,2016,ELA,High Needs,201.0,168.0,83.6,168.0,44.6,471.0
Hartford School District,2016,ELA,Non-High Needs,234.0,228.0,97.4,228.0,64.5,526.0
Hartford School District,2016,ELA,High Needs,1095.0,935.0,85.4,934.0,26.7,430.0
Highville Charter School District,2016,ELA,Non-High Needs,,,,,,
Highville Charter School District,2016,ELA,High Needs,,,,,,
Jumoke Academy District,2016,ELA,High Needs,7.0,,,,,
Killingly School District,2016,ELA,Non-High Needs,110.0,109.0,99.1,109.0,,527.0
Killingly School District,2016,ELA,High Needs,83.0,64.0,77.1,64.0,,469.0
Learn,2016,ELA,Non-High Needs,98.0,98.0,100.0,98.0,,577.0
Learn,2016,ELA,High Needs,97.0,88.0,90.7,88.0,,448.0
