District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2025,Math,Non-High Needs,15.0,15.0,,15.0,,
Achievement First Bridgeport Academy District,2025,Math,High Needs,38.0,33.0,86.8,33.0,,449.0
Achievement First Hartford Academy District,2025,Math,Non-High Needs,10.0,10.0,,10.0,,
Achievement First Hartford Academy District,2025,Math,High Needs,38.0,38.0,100.0,38.0,,428.0
Amistad Academy District,2025,Math,Non-High Needs,16.0,16.0,,16.0,,
Amistad Academy District,2025,Math,High Needs,38.0,31.0,81.6,30.0,,440.0
Ansonia School District,2025,Math,Non-High Needs,54.0,53.0,98.1,53.0,11.3,439.0
Ansonia School District,2025,Math,High Needs,98.0,96.0,98.0,96.0,8.3,396.0
Area Cooperative Educational Services,2025,Math,High Needs,40.0,29.0,72.5,29.0,0.0,336.0
Avon School District,2025,Math,Non-High Needs,172.0,171.0,99.4,171.0,,595.0
Avon School District,2025,Math,High Needs,43.0,42.0,97.7,42.0,31.0,482.0
Berlin School District,2025,Math,Non-High Needs,131.0,130.0,99.2,130.0,,520.0
Berlin School District,2025,Math,High Needs,62.0,58.0,93.5,58.0,19.0,441.0
Bethel School District,2025,Math,Non-High Needs,162.0,160.0,98.8,160.0,,546.0
Bethel School District,2025,Math,High Needs,116.0,106.0,91.4,106.0,17.9,439.0
Bloomfield School District,2025,Math,Non-High Needs,59.0,59.0,100.0,59.0,,439.0
Bloomfield School District,2025,Math,High Needs,92.0,90.0,97.8,88.0,,389.0
Bolton School District,2025,Math,Non-High Needs,46.0,46.0,100.0,46.0,,530.0
Bolton School District,2025,Math,High Needs,18.0,18.0,,18.0,,
Branford School District,2025,Math,Non-High Needs,109.0,107.0,98.2,107.0,,516.0
Branford School District,2025,Math,High Needs,79.0,70.0,88.6,70.0,27.1,461.0
Bridgeport School District,2025,Math,Non-High Needs,160.0,154.0,96.3,154.0,24.0,450.0
Bridgeport School District,2025,Math,High Needs,1108.0,952.0,85.9,949.0,7.7,385.0
Bristol School District,2025,Math,Non-High Needs,246.0,244.0,99.2,244.0,,493.0
Bristol School District,2025,Math,High Needs,311.0,292.0,93.9,290.0,12.1,412.0
Brookfield School District,2025,Math,Non-High Needs,136.0,136.0,100.0,136.0,,541.0
Brookfield School District,2025,Math,High Needs,69.0,66.0,95.7,66.0,21.2,463.0
Brooklyn School District,2025,Math,High Needs,,0.0,,0.0,,
Canterbury School District,2025,Math,High Needs,,0.0,,0.0,,
Canton School District,2025,Math,Non-High Needs,71.0,71.0,100.0,71.0,,535.0
Canton School District,2025,Math,High Needs,28.0,28.0,100.0,28.0,,497.0
Capital Preparatory Harbor School District,2025,Math,Non-High Needs,18.0,18.0,,18.0,,
Capital Preparatory Harbor School District,2025,Math,High Needs,36.0,36.0,100.0,36.0,,399.0
Capitol Region Education Council,2025,Math,Non-High Needs,191.0,187.0,97.9,187.0,15.5,445.0
Capitol Region Education Council,2025,Math,High Needs,384.0,356.0,92.7,356.0,4.2,372.0
Cheshire School District,2025,Math,Non-High Needs,216.0,211.0,97.7,211.0,,562.0
Cheshire School District,2025,Math,High Needs,80.0,73.0,91.3,73.0,,478.0
Clinton School District,2025,Math,Non-High Needs,66.0,66.0,100.0,66.0,,523.0
Clinton School District,2025,Math,High Needs,66.0,63.0,95.5,62.0,,444.0
Colchester School District,2025,Math,Non-High Needs,108.0,107.0,99.1,107.0,50.5,524.0
Colchester School District,2025,Math,High Needs,39.0,35.0,89.7,35.0,17.1,432.0
Common Ground High School District,2025,Math,Non-High Needs,14.0,13.0,,13.0,,
Common Ground High School District,2025,Math,High Needs,35.0,32.0,91.4,32.0,,401.0
Connecticut Technical Education and Career System,2025,Math,Non-High Needs,1048.0,1040.0,99.2,1039.0,13.4,436.0
Connecticut Technical Education and Career System,2025,Math,High Needs,1542.0,1500.0,97.3,1496.0,7.0,396.0
Cooperative Educational Services,2025,Math,High Needs,7.0,6.0,,6.0,,
Coventry School District,2025,Math,Non-High Needs,87.0,86.0,98.9,86.0,,546.0
Coventry School District,2025,Math,High Needs,29.0,24.0,82.8,24.0,,457.0
Cromwell School District,2025,Math,Non-High Needs,75.0,75.0,100.0,74.0,48.6,525.0
Cromwell School District,2025,Math,High Needs,38.0,36.0,94.7,36.0,19.4,448.0
Danbury School District,2025,Math,Non-High Needs,281.0,277.0,98.6,277.0,23.8,468.0
Danbury School District,2025,Math,High Needs,584.0,558.0,95.5,558.0,5.9,384.0
Darien School District,2025,Math,Non-High Needs,275.0,271.0,98.5,271.0,89.3,630.0
Darien School District,2025,Math,High Needs,84.0,80.0,95.2,80.0,,514.0
Derby School District,2025,Math,Non-High Needs,35.0,35.0,100.0,35.0,,436.0
Derby School District,2025,Math,High Needs,34.0,32.0,94.1,31.0,,382.0
East Granby School District,2025,Math,Non-High Needs,45.0,45.0,100.0,45.0,,567.0
East Granby School District,2025,Math,High Needs,21.0,21.0,100.0,21.0,,449.0
East Haddam School District,2025,Math,Non-High Needs,44.0,43.0,97.7,43.0,,490.0
East Haddam School District,2025,Math,High Needs,17.0,16.0,,16.0,,
East Hampton School District,2025,Math,Non-High Needs,78.0,78.0,100.0,78.0,,506.0
East Hampton School District,2025,Math,High Needs,42.0,39.0,92.9,39.0,25.6,459.0
East Hartford School District,2025,Math,Non-High Needs,150.0,146.0,97.3,146.0,,500.0
East Hartford School District,2025,Math,High Needs,407.0,368.0,90.4,368.0,13.9,409.0
East Haven School District,2025,Math,Non-High Needs,84.0,84.0,100.0,84.0,,476.0
East Haven School District,2025,Math,High Needs,132.0,125.0,94.7,125.0,11.2,406.0
East Lyme School District,2025,Math,Non-High Needs,159.0,154.0,96.9,154.0,,570.0
East Lyme School District,2025,Math,High Needs,83.0,80.0,96.4,80.0,,466.0
East Windsor School District,2025,Math,Non-High Needs,17.0,17.0,,17.0,,
East Windsor School District,2025,Math,High Needs,41.0,41.0,100.0,41.0,,426.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2025,Math,Non-High Needs,38.0,35.0,92.1,35.0,,446.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2025,Math,High Needs,50.0,41.0,82.0,41.0,,410.0
EdAdvance,2025,Math,Non-High Needs,,,,,,
EdAdvance,2025,Math,High Needs,,,,,,
Ellington School District,2025,Math,Non-High Needs,126.0,124.0,98.4,124.0,,571.0
Ellington School District,2025,Math,High Needs,68.0,53.0,77.9,53.0,18.9,442.0
Elm City College Preparatory School District,2025,Math,Non-High Needs,12.0,12.0,,12.0,,
Elm City College Preparatory School District,2025,Math,High Needs,27.0,20.0,74.1,20.0,,418.0
Enfield School District,2025,Math,Non-High Needs,161.0,160.0,99.4,160.0,,509.0
Enfield School District,2025,Math,High Needs,161.0,153.0,95.0,153.0,16.3,429.0
Explorations District,2025,Math,Non-High Needs,,,,,,
Explorations District,2025,Math,High Needs,,,,,,
Fairfield School District,2025,Math,Non-High Needs,506.0,505.0,99.8,505.0,66.3,574.0
Fairfield School District,2025,Math,High Needs,223.0,203.0,91.0,202.0,19.3,449.0
Farmington School District,2025,Math,Non-High Needs,241.0,241.0,100.0,239.0,,598.0
Farmington School District,2025,Math,High Needs,87.0,83.0,95.4,81.0,28.4,466.0
Franklin School District,2025,Math,High Needs,,0.0,,0.0,,
Glastonbury School District,2025,Math,Non-High Needs,328.0,327.0,99.7,327.0,65.1,583.0
Glastonbury School District,2025,Math,High Needs,100.0,96.0,96.0,96.0,31.3,478.0
Goodwin University Educational Services (GUES),2025,Math,Non-High Needs,36.0,36.0,100.0,36.0,,479.0
Goodwin University Educational Services (GUES),2025,Math,High Needs,83.0,71.0,85.5,69.0,,409.0
Granby School District,2025,Math,Non-High Needs,91.0,91.0,100.0,91.0,,557.0
Granby School District,2025,Math,High Needs,41.0,41.0,100.0,41.0,,450.0
Great Oaks Charter School District,2025,Math,Non-High Needs,12.0,12.0,,12.0,,
Great Oaks Charter School District,2025,Math,High Needs,75.0,64.0,85.3,64.0,0.0,367.0
Greenwich School District,2025,Math,Non-High Needs,477.0,470.0,98.5,470.0,77.0,606.0
Greenwich School District,2025,Math,High Needs,184.0,179.0,97.3,179.0,29.1,479.0
Griswold School District,2025,Math,Non-High Needs,59.0,59.0,100.0,59.0,28.8,478.0
Griswold School District,2025,Math,High Needs,87.0,80.0,92.0,80.0,10.0,411.0
Groton School District,2025,Math,Non-High Needs,123.0,121.0,98.4,118.0,,514.0
Groton School District,2025,Math,High Needs,111.0,103.0,92.8,103.0,20.4,438.0
Guilford School District,2025,Math,Non-High Needs,173.0,173.0,100.0,173.0,,565.0
Guilford School District,2025,Math,High Needs,47.0,44.0,93.6,44.0,,461.0
Hamden School District,2025,Math,Non-High Needs,205.0,198.0,96.6,198.0,,484.0
Hamden School District,2025,Math,High Needs,206.0,188.0,91.3,188.0,8.0,409.0
Hartford School District,2025,Math,Non-High Needs,137.0,123.0,89.8,123.0,39.0,486.0
Hartford School District,2025,Math,High Needs,887.0,745.0,84.0,739.0,11.9,394.0
Highville Charter School District,2025,Math,Non-High Needs,,,,,,
Highville Charter School District,2025,Math,High Needs,,,,,,
Jumoke Academy District,2025,Math,Non-High Needs,,,,,,
Killingly School District,2025,Math,Non-High Needs,111.0,110.0,99.1,110.0,16.4,463.0
Killingly School District,2025,Math,High Needs,87.0,79.0,90.8,79.0,16.5,417.0
Learn,2025,Math,Non-High Needs,66.0,64.0,97.0,64.0,,526.0
Learn,2025,Math,High Needs,49.0,46.0,93.9,45.0,24.4,450.0
Lebanon School District,2025,Math,Non-High Needs,45.0,43.0,95.6,43.0,,490.0
Lebanon School District,2025,Math,High Needs,27.0,27.0,100.0,27.0,,426.0
Ledyard School District,2025,Math,Non-High Needs,112.0,112.0,100.0,112.0,51.8,530.0
Ledyard School District,2025,Math,High Needs,64.0,62.0,96.9,62.0,12.9,440.0
Lisbon School District,2025,Math,High Needs,,,,,,
Madison School District,2025,Math,Non-High Needs,149.0,149.0,100.0,149.0,,593.0
Madison School District,2025,Math,High Needs,38.0,34.0,89.5,34.0,,510.0
Manchester School District,2025,Math,Non-High Needs,149.0,142.0,95.3,141.0,27.7,477.0
Manchester School District,2025,Math,High Needs,273.0,225.0,82.4,224.0,10.7,401.0
Meriden School District,2025,Math,Non-High Needs,127.0,125.0,98.4,125.0,,486.0
Meriden School District,2025,Math,High Needs,521.0,471.0,90.4,471.0,8.7,403.0
Middletown School District,2025,Math,Non-High Needs,140.0,132.0,94.3,132.0,24.2,469.0
Middletown School District,2025,Math,High Needs,183.0,148.0,80.9,148.0,7.4,396.0
Milford School District,2025,Math,Non-High Needs,229.0,226.0,98.7,226.0,49.1,524.0
Milford School District,2025,Math,High Needs,163.0,148.0,90.8,148.0,25.0,462.0
Monroe School District,2025,Math,Non-High Needs,225.0,220.0,97.8,220.0,,549.0
Monroe School District,2025,Math,High Needs,53.0,48.0,90.6,48.0,,403.0
Montville School District,2025,Math,Non-High Needs,65.0,65.0,100.0,65.0,30.8,489.0
Montville School District,2025,Math,High Needs,72.0,71.0,98.6,71.0,18.3,416.0
Naugatuck School District,2025,Math,Non-High Needs,113.0,109.0,96.5,109.0,22.9,456.0
Naugatuck School District,2025,Math,High Needs,187.0,180.0,96.3,180.0,5.6,385.0
New Britain School District,2025,Math,Non-High Needs,111.0,104.0,93.7,104.0,16.3,435.0
New Britain School District,2025,Math,High Needs,521.0,453.0,86.9,450.0,4.9,374.0
New Canaan School District,2025,Math,Non-High Needs,268.0,256.0,95.5,256.0,,617.0
New Canaan School District,2025,Math,High Needs,42.0,41.0,97.6,41.0,,505.0
New Fairfield School District,2025,Math,Non-High Needs,134.0,134.0,100.0,134.0,,553.0
New Fairfield School District,2025,Math,High Needs,44.0,44.0,100.0,44.0,27.3,477.0
New Haven School District,2025,Math,Non-High Needs,250.0,242.0,96.8,242.0,26.0,470.0
New Haven School District,2025,Math,High Needs,1065.0,920.0,86.4,917.0,7.9,389.0
