District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2025,ELA,Non-High Needs,15.0,15.0,,15.0,,
Achievement First Bridgeport Academy District,2025,ELA,High Needs,38.0,33.0,86.8,33.0,,470.0
Achievement First Hartford Academy District,2025,ELA,Non-High Needs,10.0,10.0,,10.0,,
Achievement First Hartford Academy District,2025,ELA,High Needs,38.0,38.0,100.0,38.0,,428.0
Amistad Academy District,2025,ELA,Non-High Needs,16.0,16.0,,16.0,,
Amistad Academy District,2025,ELA,High Needs,38.0,31.0,81.6,30.0,,459.0
Ansonia School District,2025,ELA,Non-High Needs,54.0,53.0,98.1,53.0,,478.0
Ansonia School District,2025,ELA,High Needs,98.0,96.0,98.0,96.0,,419.0
Area Cooperative Educational Services,2025,ELA,High Needs,40.0,29.0,72.5,29.0,,373.0
Avon School District,2025,ELA,Non-High Needs,172.0,171.0,99.4,171.0,91.2,611.0
Avon School District,2025,ELA,High Needs,43.0,42.0,97.7,42.0,,512.0
Berlin School District,2025,ELA,Non-High Needs,131.0,130.0,99.2,130.0,,542.0
Berlin School District,2025,ELA,High Needs,62.0,58.0,93.5,58.0,,463.0
Bethel School District,2025,ELA,Non-High Needs,162.0,160.0,98.8,160.0,,564.0
Bethel School District,2025,ELA,High Needs,116.0,106.0,91.4,106.0,,469.0
Bloomfield School District,2025,ELA,Non-High Needs,59.0,59.0,100.0,59.0,,482.0
Bloomfield School District,2025,ELA,High Needs,92.0,90.0,97.8,88.0,,426.0
Bolton School District,2025,ELA,Non-High Needs,46.0,46.0,100.0,46.0,,555.0
Bolton School District,2025,ELA,High Needs,18.0,18.0,,18.0,,
Branford School District,2025,ELA,Non-High Needs,109.0,107.0,98.2,107.0,,536.0
Branford School District,2025,ELA,High Needs,79.0,70.0,88.6,70.0,,488.0
Bridgeport School District,2025,ELA,Non-High Needs,160.0,154.0,96.3,154.0,56.5,495.0
Bridgeport School District,2025,ELA,High Needs,1108.0,952.0,85.9,949.0,29.8,420.0
Bristol School District,2025,ELA,Non-High Needs,246.0,244.0,99.2,244.0,68.0,513.0
Bristol School District,2025,ELA,High Needs,311.0,292.0,93.9,290.0,36.6,438.0
Brookfield School District,2025,ELA,Non-High Needs,136.0,136.0,100.0,136.0,,562.0
Brookfield School District,2025,ELA,High Needs,69.0,66.0,95.7,66.0,,489.0
Brooklyn School District,2025,ELA,High Needs,,0.0,,0.0,,
Canterbury School District,2025,ELA,High Needs,,0.0,,0.0,,
Canton School District,2025,ELA,Non-High Needs,71.0,71.0,100.0,71.0,,578.0
Canton School District,2025,ELA,High Needs,28.0,28.0,100.0,28.0,,520.0
Capital Preparatory Harbor School District,2025,ELA,Non-High Needs,18.0,18.0,,18.0,,
Capital Preparatory Harbor School District,2025,ELA,High Needs,36.0,36.0,100.0,36.0,,449.0
Capitol Region Education Council,2025,ELA,Non-High Needs,191.0,187.0,97.9,187.0,62.6,506.0
Capitol Region Education Council,2025,ELA,High Needs,384.0,356.0,92.7,356.0,26.7,418.0
Cheshire School District,2025,ELA,Non-High Needs,216.0,211.0,97.7,211.0,,575.0
Cheshire School District,2025,ELA,High Needs,80.0,73.0,91.3,73.0,,498.0
Clinton School District,2025,ELA,Non-High Needs,66.0,66.0,100.0,66.0,,551.0
Clinton School District,2025,ELA,High Needs,66.0,63.0,95.5,62.0,,465.0
Colchester School District,2025,ELA,Non-High Needs,108.0,107.0,99.1,107.0,77.6,547.0
Colchester School District,2025,ELA,High Needs,39.0,35.0,89.7,35.0,40.0,443.0
Common Ground High School District,2025,ELA,Non-High Needs,14.0,13.0,,13.0,,
Common Ground High School District,2025,ELA,High Needs,35.0,32.0,91.4,32.0,,408.0
Connecticut Technical Education and Career System,2025,ELA,Non-High Needs,1048.0,1040.0,99.2,1039.0,47.2,464.0
Connecticut Technical Education and Career System,2025,ELA,High Needs,1542.0,1500.0,97.3,1496.0,26.6,419.0
Cooperative Educational Services,2025,ELA,High Needs,7.0,6.0,,6.0,,
Coventry School District,2025,ELA,Non-High Needs,87.0,86.0,98.9,86.0,,569.0
Coventry School District,2025,ELA,High Needs,29.0,24.0,82.8,24.0,,471.0
Cromwell School District,2025,ELA,Non-High Needs,75.0,75.0,100.0,74.0,,539.0
Cromwell School District,2025,ELA,High Needs,38.0,36.0,94.7,36.0,,495.0
Danbury School District,2025,ELA,Non-High Needs,281.0,277.0,98.6,277.0,61.0,506.0
Danbury School District,2025,ELA,High Needs,584.0,558.0,95.5,558.0,23.1,405.0
Darien School District,2025,ELA,Non-High Needs,275.0,271.0,98.5,271.0,,635.0
Darien School District,2025,ELA,High Needs,84.0,80.0,95.2,80.0,78.8,546.0
Derby School District,2025,ELA,Non-High Needs,35.0,35.0,100.0,35.0,,485.0
Derby School District,2025,ELA,High Needs,34.0,32.0,94.1,31.0,,398.0
East Granby School District,2025,ELA,Non-High Needs,45.0,45.0,100.0,45.0,,586.0
East Granby School District,2025,ELA,High Needs,21.0,21.0,100.0,21.0,,487.0
East Haddam School District,2025,ELA,Non-High Needs,44.0,43.0,97.7,43.0,,533.0
East Haddam School District,2025,ELA,High Needs,17.0,16.0,,16.0,,
East Hampton School District,2025,ELA,Non-High Needs,78.0,78.0,100.0,78.0,,558.0
East Hampton School District,2025,ELA,High Needs,42.0,39.0,92.9,39.0,,517.0
East Hartford School District,2025,ELA,Non-High Needs,150.0,146.0,97.3,146.0,61.6,517.0
East Hartford School District,2025,ELA,High Needs,407.0,368.0,90.4,368.0,30.7,422.0
East Haven School District,2025,ELA,Non-High Needs,84.0,84.0,100.0,84.0,67.9,515.0
East Haven School District,2025,ELA,High Needs,132.0,125.0,94.7,125.0,26.4,432.0
East Lyme School District,2025,ELA,Non-High Needs,159.0,154.0,96.9,154.0,,601.0
East Lyme School District,2025,ELA,High Needs,83.0,80.0,96.4,80.0,,492.0
East Windsor School District,2025,ELA,Non-High Needs,17.0,17.0,,17.0,,
East Windsor School District,2025,ELA,High Needs,41.0,41.0,100.0,41.0,,445.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2025,ELA,Non-High Needs,38.0,35.0,92.1,35.0,,528.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2025,ELA,High Needs,50.0,41.0,82.0,41.0,,479.0
EdAdvance,2025,ELA,Non-High Needs,,,,,,
EdAdvance,2025,ELA,High Needs,,,,,,
Ellington School District,2025,ELA,Non-High Needs,126.0,124.0,98.4,124.0,,571.0
Ellington School District,2025,ELA,High Needs,68.0,53.0,77.9,53.0,,467.0
Elm City College Preparatory School District,2025,ELA,Non-High Needs,12.0,12.0,,12.0,,
Elm City College Preparatory School District,2025,ELA,High Needs,27.0,20.0,74.1,20.0,,454.0
