District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2017,Math,Non-High Needs,18.0,17.0,,17.0,,
Achievement First Bridgeport Academy District,2017,Math,High Needs,18.0,17.0,,17.0,,
Achievement First Hartford Academy District,2017,Math,High Needs,39.0,39.0,100.0,38.0,,494.0
Amistad Academy District,2017,Math,Non-High Needs,20.0,19.0,95.0,19.0,,
Amistad Academy District,2017,Math,High Needs,30.0,29.0,96.7,28.0,,466.0
Ansonia School District,2017,Math,Non-High Needs,40.0,40.0,100.0,40.0,,490.0
Ansonia School District,2017,Math,High Needs,94.0,87.0,92.6,86.0,8.1,422.0
Area Cooperative Educational Services,2017,Math,High Needs,18.0,15.0,,13.0,,
Avon School District,2017,Math,Non-High Needs,243.0,242.0,99.6,242.0,,630.0
Avon School District,2017,Math,High Needs,42.0,40.0,95.2,40.0,,498.0
Berlin School District,2017,Math,Non-High Needs,168.0,167.0,99.4,167.0,55.1,548.0
Berlin School District,2017,Math,High Needs,50.0,49.0,98.0,49.0,12.2,438.0
Bethel School District,2017,Math,Non-High Needs,150.0,149.0,99.3,149.0,,541.0
Bethel School District,2017,Math,High Needs,49.0,45.0,91.8,45.0,26.7,478.0
Bloomfield School District,2017,Math,Non-High Needs,80.0,76.0,95.0,76.0,19.7,467.0
Bloomfield School District,2017,Math,High Needs,80.0,78.0,97.5,78.0,10.3,434.0
Bolton School District,2017,Math,Non-High Needs,64.0,64.0,100.0,64.0,,546.0
Bolton School District,2017,Math,High Needs,15.0,15.0,,15.0,,
Branford School District,2017,Math,Non-High Needs,144.0,143.0,99.3,143.0,,541.0
Branford School District,2017,Math,High Needs,75.0,72.0,96.0,72.0,22.2,442.0
Bridgeport School District,2017,Math,Non-High Needs,491.0,473.0,96.3,472.0,27.8,474.0
Bridgeport School District,2017,Math,High Needs,756.0,671.0,88.8,665.0,7.5,400.0
Bristol School District,2017,Math,Non-High Needs,322.0,317.0,98.4,317.0,,518.0
Bristol School District,2017,Math,High Needs,242.0,235.0,97.1,234.0,16.7,438.0
Brookfield School District,2017,Math,Non-High Needs,175.0,172.0,98.3,172.0,,564.0
Brookfield School District,2017,Math,High Needs,39.0,35.0,89.7,35.0,,502.0
Brooklyn School District,2017,Math,High Needs,,,,,,
Canton School District,2017,Math,Non-High Needs,92.0,92.0,100.0,92.0,,591.0
Canton School District,2017,Math,High Needs,26.0,23.0,88.5,23.0,,494.0
Capital Preparatory Harbor School District,2017,Math,Non-High Needs,16.0,16.0,,16.0,,
Capital Preparatory Harbor School District,2017,Math,High Needs,17.0,17.0,,17.0,,
Capitol Region Education Council,2017,Math,Non-High Needs,239.0,239.0,100.0,239.0,36.0,503.0
Capitol Region Education Council,2017,Math,High Needs,330.0,311.0,94.2,310.0,12.6,435.0
Cheshire School District,2017,Math,Non-High Needs,275.0,272.0,98.9,272.0,,581.0
