District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2024,ELA,Non-High Needs,16.0,15.0,,15.0,,
Achievement First Bridgeport Academy District,2024,ELA,High Needs,44.0,34.0,77.3,33.0,,416.0
Achievement First Hartford Academy District,2024,ELA,Non-High Needs,23.0,23.0,100.0,23.0,,453.0
Achievement First Hartford Academy District,2024,ELA,High Needs,38.0,37.0,97.4,37.0,,385.0
Amistad Academy District,2024,ELA,Non-High Needs,18.0,17.0,,17.0,,
Amistad Academy District,2024,ELA,High Needs,44.0,37.0,84.1,37.0,,443.0
Ansonia School District,2024,ELA,Non-High Needs,48.0,48.0,100.0,48.0,,455.0
Ansonia School District,2024,ELA,High Needs,103.0,101.0,98.1,101.0,24.8,421.0
Area Cooperative Educational Services,2024,ELA,Non-High Needs,,,,,,
Area Cooperative Educational Services,2024,ELA,High Needs,,,,,,
Avon School District,2024,ELA,Non-High Needs,193.0,192.0,99.5,190.0,,596.0
Avon School District,2024,ELA,High Needs,46.0,38.0,82.6,38.0,,473.0
Berlin School District,2024,ELA,Non-High Needs,169.0,167.0,98.8,167.0,77.2,543.0
Berlin School District,2024,ELA,High Needs,71.0,70.0,98.6,70.0,45.7,465.0
Bethel School District,2024,ELA,Non-High Needs,178.0,173.0,97.2,173.0,79.2,546.0
Bethel School District,2024,ELA,High Needs,109.0,94.0,86.2,94.0,47.9,474.0
Bloomfield School District,2024,ELA,Non-High Needs,63.0,63.0,100.0,63.0,,497.0
Bloomfield School District,2024,ELA,High Needs,104.0,98.0,94.2,98.0,20.4,401.0
Bolton School District,2024,ELA,Non-High Needs,31.0,31.0,100.0,31.0,,572.0
Bolton School District,2024,ELA,High Needs,17.0,17.0,,17.0,,
Branford School District,2024,ELA,Non-High Needs,123.0,121.0,98.4,121.0,,529.0
Branford School District,2024,ELA,High Needs,69.0,66.0,95.7,66.0,,463.0
Bridgeport School District,2024,ELA,Non-High Needs,150.0,141.0,94.0,141.0,46.8,476.0
Bridgeport School District,2024,ELA,High Needs,1063.0,956.0,89.9,956.0,23.7,403.0
Bristol School District,2024,ELA,Non-High Needs,270.0,263.0,97.4,263.0,58.9,498.0
Bristol School District,2024,ELA,High Needs,349.0,316.0,90.5,316.0,29.1,424.0
Brookfield School District,2024,ELA,Non-High Needs,147.0,147.0,100.0,147.0,78.9,558.0
Brookfield School District,2024,ELA,High Needs,75.0,72.0,96.0,72.0,55.6,485.0
Brooklyn School District,2024,ELA,High Needs,,,,,,
Canterbury School District,2024,ELA,High Needs,,,,,,
Canton School District,2024,ELA,Non-High Needs,85.0,82.0,96.5,82.0,,572.0
Canton School District,2024,ELA,High Needs,25.0,21.0,84.0,21.0,,465.0
Capital Preparatory Harbor School District,2024,ELA,Non-High Needs,13.0,12.0,,12.0,,
Capital Preparatory Harbor School District,2024,ELA,High Needs,26.0,25.0,96.2,25.0,,442.0
Capitol Region Education Council,2024,ELA,Non-High Needs,155.0,150.0,96.8,150.0,54.0,497.0
Capitol Region Education Council,2024,ELA,High Needs,304.0,271.0,89.1,271.0,24.4,415.0
Cheshire School District,2024,ELA,Non-High Needs,234.0,233.0,99.6,233.0,,573.0
Cheshire School District,2024,ELA,High Needs,72.0,71.0,98.6,70.0,,488.0
Clinton School District,2024,ELA,Non-High Needs,69.0,69.0,100.0,69.0,,544.0
Clinton School District,2024,ELA,High Needs,61.0,58.0,95.1,58.0,,444.0
Colchester School District,2024,ELA,Non-High Needs,89.0,88.0,98.9,88.0,,541.0
Colchester School District,2024,ELA,High Needs,48.0,45.0,93.8,45.0,,455.0
Common Ground High School District,2024,ELA,Non-High Needs,13.0,12.0,,12.0,,
Common Ground High School District,2024,ELA,High Needs,37.0,34.0,91.9,34.0,,426.0
Connecticut Technical Education and Career System,2024,ELA,Non-High Needs,1113.0,1094.0,98.3,1092.0,41.2,457.0
Connecticut Technical Education and Career System,2024,ELA,High Needs,1551.0,1515.0,97.7,1515.0,24.5,413.0
Cooperative Educational Services,2024,ELA,High Needs,11.0,6.0,,6.0,,
Coventry School District,2024,ELA,Non-High Needs,64.0,62.0,96.9,62.0,,546.0
Coventry School District,2024,ELA,High Needs,28.0,27.0,96.4,27.0,,483.0
Cromwell School District,2024,ELA,Non-High Needs,85.0,81.0,95.3,80.0,78.8,552.0
Cromwell School District,2024,ELA,High Needs,48.0,48.0,100.0,48.0,45.8,488.0
Danbury School District,2024,ELA,Non-High Needs,283.0,279.0,98.6,279.0,63.4,507.0
Danbury School District,2024,ELA,High Needs,610.0,587.0,96.2,587.0,21.8,396.0
Darien School District,2024,ELA,Non-High Needs,255.0,250.0,98.0,238.0,97.5,631.0
Darien School District,2024,ELA,High Needs,97.0,81.0,83.5,80.0,71.3,530.0
Derby School District,2024,ELA,Non-High Needs,41.0,41.0,100.0,41.0,,491.0
Derby School District,2024,ELA,High Needs,68.0,64.0,94.1,64.0,,406.0
East Granby School District,2024,ELA,Non-High Needs,48.0,48.0,100.0,48.0,,551.0
East Granby School District,2024,ELA,High Needs,19.0,19.0,,19.0,,
East Haddam School District,2024,ELA,Non-High Needs,43.0,43.0,100.0,43.0,,544.0
East Haddam School District,2024,ELA,High Needs,24.0,22.0,91.7,22.0,,493.0
East Hampton School District,2024,ELA,Non-High Needs,93.0,92.0,98.9,91.0,81.3,555.0
East Hampton School District,2024,ELA,High Needs,30.0,30.0,100.0,30.0,46.7,447.0
East Hartford School District,2024,ELA,Non-High Needs,149.0,144.0,96.6,144.0,55.6,490.0
East Hartford School District,2024,ELA,High Needs,402.0,367.0,91.3,367.0,26.2,418.0
East Haven School District,2024,ELA,Non-High Needs,72.0,71.0,98.6,71.0,,485.0
East Haven School District,2024,ELA,High Needs,121.0,109.0,90.1,108.0,,428.0
East Lyme School District,2024,ELA,Non-High Needs,145.0,144.0,99.3,144.0,83.3,566.0
East Lyme School District,2024,ELA,High Needs,74.0,61.0,82.4,61.0,72.1,536.0
East Windsor School District,2024,ELA,Non-High Needs,20.0,19.0,95.0,19.0,,
East Windsor School District,2024,ELA,High Needs,39.0,38.0,97.4,38.0,,425.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2024,ELA,Non-High Needs,31.0,29.0,93.5,29.0,,537.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2024,ELA,High Needs,48.0,41.0,85.4,41.0,,467.0
EdAdvance,2024,ELA,Non-High Needs,,,,,,
EdAdvance,2024,ELA,High Needs,,,,,,
Ellington School District,2024,ELA,Non-High Needs,106.0,104.0,98.1,104.0,83.7,563.0
Ellington School District,2024,ELA,High Needs,65.0,56.0,86.2,56.0,51.8,479.0
Elm City College Preparatory School District,2024,ELA,Non-High Needs,11.0,11.0,,11.0,,
Elm City College Preparatory School District,2024,ELA,High Needs,34.0,26.0,76.5,26.0,,443.0
Enfield School District,2024,ELA,Non-High Needs,165.0,164.0,99.4,164.0,70.1,527.0
Enfield School District,2024,ELA,High Needs,165.0,152.0,92.1,152.0,37.5,465.0
Explorations District,2024,ELA,Non-High Needs,7.0,6.0,,6.0,,
Explorations District,2024,ELA,High Needs,19.0,14.0,,14.0,,
Fairfield School District,2024,ELA,Non-High Needs,466.0,461.0,98.9,458.0,91.5,594.0
Fairfield School District,2024,ELA,High Needs,212.0,199.0,93.9,198.0,57.6,498.0
Farmington School District,2024,ELA,Non-High Needs,232.0,226.0,97.4,217.0,87.1,594.0
Farmington School District,2024,ELA,High Needs,89.0,85.0,95.5,83.0,55.4,500.0
Glastonbury School District,2024,ELA,Non-High Needs,374.0,374.0,100.0,372.0,88.2,585.0
Glastonbury School District,2024,ELA,High Needs,95.0,85.0,89.5,85.0,40.0,481.0
Goodwin University Educational Services (GUES),2024,ELA,Non-High Needs,28.0,27.0,96.4,27.0,37.0,463.0
Goodwin University Educational Services (GUES),2024,ELA,High Needs,83.0,65.0,78.3,64.0,18.8,427.0
Granby School District,2024,ELA,Non-High Needs,105.0,104.0,99.0,104.0,,579.0
Granby School District,2024,ELA,High Needs,35.0,33.0,94.3,33.0,,508.0
Great Oaks Charter School District,2024,ELA,Non-High Needs,21.0,18.0,85.7,18.0,,
Great Oaks Charter School District,2024,ELA,High Needs,70.0,59.0,84.3,59.0,,366.0
Greenwich School District,2024,ELA,Non-High Needs,461.0,457.0,99.1,447.0,93.7,617.0
Greenwich School District,2024,ELA,High Needs,210.0,201.0,95.7,200.0,55.5,493.0
Griswold School District,2024,ELA,Non-High Needs,70.0,69.0,98.6,69.0,63.8,511.0
Griswold School District,2024,ELA,High Needs,76.0,72.0,94.7,72.0,31.9,428.0
Groton School District,2024,ELA,Non-High Needs,104.0,102.0,98.1,102.0,76.5,538.0
Groton School District,2024,ELA,High Needs,135.0,120.0,88.9,120.0,35.8,432.0
Guilford School District,2024,ELA,Non-High Needs,201.0,201.0,100.0,199.0,,585.0
Guilford School District,2024,ELA,High Needs,68.0,65.0,95.6,63.0,,487.0
Hamden School District,2024,ELA,Non-High Needs,205.0,199.0,97.1,199.0,,520.0
Hamden School District,2024,ELA,High Needs,198.0,181.0,91.4,180.0,,432.0
Hartford School District,2024,ELA,Non-High Needs,168.0,159.0,94.6,159.0,58.5,498.0
Hartford School District,2024,ELA,High Needs,946.0,739.0,78.1,736.0,22.0,395.0
Highville Charter School District,2024,ELA,Non-High Needs,,,,,,
Highville Charter School District,2024,ELA,High Needs,,,,,,
Jumoke Academy District,2024,ELA,Non-High Needs,,,,,,
Killingly School District,2024,ELA,Non-High Needs,82.0,82.0,100.0,82.0,,508.0
Killingly School District,2024,ELA,High Needs,88.0,80.0,90.9,80.0,,454.0
Learn,2024,ELA,Non-High Needs,49.0,49.0,100.0,49.0,,589.0
Learn,2024,ELA,High Needs,51.0,51.0,100.0,51.0,,500.0
Lebanon School District,2024,ELA,Non-High Needs,51.0,50.0,98.0,50.0,,533.0
Lebanon School District,2024,ELA,High Needs,29.0,29.0,100.0,27.0,,454.0
Ledyard School District,2024,ELA,Non-High Needs,108.0,108.0,100.0,108.0,66.7,526.0
Ledyard School District,2024,ELA,High Needs,69.0,65.0,94.2,65.0,47.7,466.0
Litchfield School District,2024,ELA,Non-High Needs,26.0,26.0,100.0,26.0,,550.0
Litchfield School District,2024,ELA,High Needs,26.0,25.0,96.2,25.0,,499.0
Madison School District,2024,ELA,Non-High Needs,163.0,162.0,99.4,161.0,,590.0
Madison School District,2024,ELA,High Needs,30.0,30.0,100.0,30.0,,455.0
Manchester School District,2024,ELA,Non-High Needs,166.0,147.0,88.6,147.0,59.2,496.0
Manchester School District,2024,ELA,High Needs,303.0,238.0,78.5,237.0,30.0,424.0
Meriden School District,2024,ELA,Non-High Needs,125.0,123.0,98.4,123.0,68.3,520.0
Meriden School District,2024,ELA,High Needs,518.0,465.0,89.8,463.0,29.4,418.0
Middletown School District,2024,ELA,Non-High Needs,134.0,132.0,98.5,132.0,,520.0
Middletown School District,2024,ELA,High Needs,186.0,167.0,89.8,167.0,,414.0
Milford School District,2024,ELA,Non-High Needs,242.0,238.0,98.3,238.0,74.4,535.0
Milford School District,2024,ELA,High Needs,151.0,138.0,91.4,138.0,42.0,463.0
Monroe School District,2024,ELA,Non-High Needs,223.0,215.0,96.4,214.0,,550.0
Monroe School District,2024,ELA,High Needs,49.0,43.0,87.8,43.0,27.9,443.0
