District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2022,ELA,Non-High Needs,27.0,25.0,92.6,25.0,,464.0
Achievement First Bridgeport Academy District,2022,ELA,High Needs,42.0,41.0,97.6,40.0,22.5,431.0
Achievement First Hartford Academy District,2022,ELA,Non-High Needs,20.0,20.0,100.0,20.0,,444.0
Achievement First Hartford Academy District,2022,ELA,High Needs,52.0,48.0,92.3,48.0,,421.0
Amistad Academy District,2022,ELA,Non-High Needs,29.0,27.0,93.1,27.0,,460.0
Amistad Academy District,2022,ELA,High Needs,40.0,38.0,95.0,37.0,16.2,419.0
Ansonia School District,2022,ELA,Non-High Needs,34.0,32.0,94.1,32.0,46.9,468.0
Ansonia School District,2022,ELA,High Needs,84.0,80.0,95.2,79.0,,433.0
Area Cooperative Educational Services,2022,ELA,High Needs,21.0,13.0,61.9,13.0,,
Avon School District,2022,ELA,Non-High Needs,186.0,185.0,99.5,185.0,,600.0
Avon School District,2022,ELA,High Needs,43.0,42.0,97.7,42.0,,467.0
Berlin School District,2022,ELA,Non-High Needs,176.0,176.0,100.0,176.0,,543.0
Berlin School District,2022,ELA,High Needs,60.0,58.0,96.7,58.0,,456.0
Bethel School District,2022,ELA,Non-High Needs,160.0,158.0,98.8,158.0,73.4,537.0
Bethel School District,2022,ELA,High Needs,85.0,80.0,94.1,78.0,48.7,483.0
Bloomfield School District,2022,ELA,Non-High Needs,67.0,66.0,98.5,66.0,,489.0
Bloomfield School District,2022,ELA,High Needs,78.0,71.0,91.0,71.0,,428.0
Bolton School District,2022,ELA,Non-High Needs,57.0,56.0,98.2,56.0,,571.0
Bolton School District,2022,ELA,High Needs,21.0,15.0,71.4,15.0,,
Branford School District,2022,ELA,Non-High Needs,136.0,132.0,97.1,132.0,,524.0
Branford School District,2022,ELA,High Needs,73.0,70.0,95.9,70.0,22.9,441.0
Bridgeport School District,2022,ELA,Non-High Needs,267.0,260.0,97.4,258.0,46.9,474.0
Bridgeport School District,2022,ELA,High Needs,778.0,709.0,91.1,704.0,20.6,419.0
Bristol School District,2022,ELA,Non-High Needs,293.0,290.0,99.0,290.0,67.6,515.0
Bristol School District,2022,ELA,High Needs,310.0,292.0,94.2,291.0,35.1,449.0
Brookfield School District,2022,ELA,Non-High Needs,157.0,152.0,96.8,152.0,,567.0
Brookfield School District,2022,ELA,High Needs,61.0,58.0,95.1,58.0,,468.0
Brooklyn School District,2022,ELA,High Needs,,,,,,
Canterbury School District,2022,ELA,High Needs,,,,,,
Canton School District,2022,ELA,Non-High Needs,91.0,90.0,98.9,89.0,88.8,579.0
Canton School District,2022,ELA,High Needs,34.0,30.0,88.2,30.0,46.7,458.0
Capital Preparatory Harbor School District,2022,ELA,Non-High Needs,16.0,15.0,,15.0,,
Capital Preparatory Harbor School District,2022,ELA,High Needs,37.0,37.0,100.0,37.0,,414.0
Capitol Region Education Council,2022,ELA,Non-High Needs,133.0,127.0,95.5,127.0,53.5,498.0
Capitol Region Education Council,2022,ELA,High Needs,350.0,298.0,85.1,296.0,23.3,423.0
Cheshire School District,2022,ELA,Non-High Needs,250.0,249.0,99.6,249.0,87.6,575.0
Cheshire School District,2022,ELA,High Needs,74.0,70.0,94.6,70.0,,474.0
Clinton School District,2022,ELA,Non-High Needs,107.0,107.0,100.0,106.0,,546.0
Clinton School District,2022,ELA,High Needs,52.0,48.0,92.3,46.0,,457.0
Colchester School District,2022,ELA,Non-High Needs,126.0,123.0,97.6,123.0,,529.0
Colchester School District,2022,ELA,High Needs,46.0,45.0,97.8,45.0,,482.0
Common Ground High School District,2022,ELA,Non-High Needs,11.0,11.0,,10.0,,
Common Ground High School District,2022,ELA,High Needs,43.0,40.0,93.0,40.0,,428.0
Connecticut Technical Education and Career System,2022,ELA,Non-High Needs,846.0,820.0,96.9,817.0,41.0,464.0
Connecticut Technical Education and Career System,2022,ELA,High Needs,1817.0,1755.0,96.6,1746.0,24.0,429.0
Cooperative Educational Services,2022,ELA,High Needs,18.0,11.0,,10.0,,
Coventry School District,2022,ELA,Non-High Needs,68.0,67.0,98.5,67.0,,530.0
Coventry School District,2022,ELA,High Needs,31.0,27.0,87.1,26.0,,458.0
Cromwell School District,2022,ELA,Non-High Needs,107.0,105.0,98.1,104.0,,529.0
Cromwell School District,2022,ELA,High Needs,39.0,36.0,92.3,36.0,30.6,451.0
Danbury School District,2022,ELA,Non-High Needs,299.0,291.0,97.3,291.0,61.2,511.0
Danbury School District,2022,ELA,High Needs,476.0,444.0,93.3,443.0,22.3,422.0
Darien School District,2022,ELA,Non-High Needs,255.0,250.0,98.0,250.0,94.8,620.0
Darien School District,2022,ELA,High Needs,83.0,77.0,92.8,77.0,,531.0
Derby School District,2022,ELA,Non-High Needs,23.0,23.0,100.0,23.0,,525.0
Derby School District,2022,ELA,High Needs,43.0,39.0,90.7,39.0,28.2,433.0
East Granby School District,2022,ELA,Non-High Needs,53.0,53.0,100.0,53.0,,578.0
East Granby School District,2022,ELA,High Needs,19.0,19.0,,19.0,,
East Haddam School District,2022,ELA,Non-High Needs,53.0,53.0,100.0,51.0,,532.0
East Haddam School District,2022,ELA,High Needs,7.0,6.0,,6.0,,
East Hampton School District,2022,ELA,Non-High Needs,86.0,84.0,97.7,84.0,67.9,530.0
East Hampton School District,2022,ELA,High Needs,43.0,39.0,90.7,39.0,25.6,443.0
East Hartford School District,2022,ELA,Non-High Needs,122.0,121.0,99.2,121.0,57.9,506.0
East Hartford School District,2022,ELA,High Needs,299.0,284.0,95.0,282.0,21.3,423.0
East Haven School District,2022,ELA,Non-High Needs,104.0,98.0,94.2,98.0,,487.0
East Haven School District,2022,ELA,High Needs,96.0,84.0,87.5,83.0,,430.0
East Lyme School District,2022,ELA,Non-High Needs,199.0,191.0,96.0,191.0,87.4,587.0
East Lyme School District,2022,ELA,High Needs,51.0,48.0,94.1,48.0,60.4,504.0
East Windsor School District,2022,ELA,Non-High Needs,25.0,25.0,100.0,25.0,,507.0
East Windsor School District,2022,ELA,High Needs,37.0,36.0,97.3,34.0,,432.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2022,ELA,Non-High Needs,40.0,39.0,97.5,39.0,,516.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2022,ELA,High Needs,55.0,48.0,87.3,48.0,,457.0
Eastford School District,2022,ELA,High Needs,,,,,,
EdAdvance,2022,ELA,Non-High Needs,,0.0,,0.0,,
EdAdvance,2022,ELA,High Needs,,,,,,
Ellington School District,2022,ELA,Non-High Needs,152.0,151.0,99.3,151.0,76.8,552.0
Ellington School District,2022,ELA,High Needs,41.0,31.0,75.6,31.0,,449.0
Elm City College Preparatory School District,2022,ELA,Non-High Needs,11.0,10.0,,10.0,,
Elm City College Preparatory School District,2022,ELA,High Needs,34.0,32.0,94.1,32.0,,422.0
Enfield School District,2022,ELA,Non-High Needs,211.0,210.0,99.5,210.0,58.6,502.0
Enfield School District,2022,ELA,High Needs,146.0,139.0,95.2,139.0,43.2,461.0
Explorations District,2022,ELA,Non-High Needs,,,,,,
Explorations District,2022,ELA,High Needs,,,,,,
Fairfield School District,2022,ELA,Non-High Needs,503.0,495.0,98.4,495.0,90.9,591.0
Fairfield School District,2022,ELA,High Needs,232.0,207.0,89.2,207.0,55.1,490.0
Farmington School District,2022,ELA,Non-High Needs,224.0,223.0,99.6,223.0,90.6,593.0
Farmington School District,2022,ELA,High Needs,71.0,66.0,93.0,65.0,,502.0
Glastonbury School District,2022,ELA,Non-High Needs,389.0,384.0,98.7,383.0,,582.0
Glastonbury School District,2022,ELA,High Needs,84.0,73.0,86.9,72.0,34.7,461.0
Goodwin University Educational Services (GUES),2022,ELA,Non-High Needs,48.0,46.0,95.8,46.0,,485.0
Goodwin University Educational Services (GUES),2022,ELA,High Needs,74.0,67.0,90.5,66.0,,438.0
Granby School District,2022,ELA,Non-High Needs,92.0,92.0,100.0,92.0,,578.0
Granby School District,2022,ELA,High Needs,32.0,31.0,96.9,31.0,,456.0
Great Oaks Charter School District,2022,ELA,Non-High Needs,16.0,16.0,,16.0,,
Great Oaks Charter School District,2022,ELA,High Needs,57.0,51.0,89.5,51.0,,405.0
Greenwich School District,2022,ELA,Non-High Needs,473.0,468.0,98.9,467.0,89.1,601.0
Greenwich School District,2022,ELA,High Needs,198.0,190.0,96.0,188.0,49.5,492.0
Griswold School District,2022,ELA,Non-High Needs,63.0,62.0,98.4,62.0,71.0,521.0
Griswold School District,2022,ELA,High Needs,53.0,49.0,92.5,49.0,36.7,445.0
Groton School District,2022,ELA,Non-High Needs,115.0,110.0,95.7,110.0,,525.0
Groton School District,2022,ELA,High Needs,106.0,87.0,82.1,87.0,,457.0
Guilford School District,2022,ELA,Non-High Needs,242.0,239.0,98.8,239.0,,581.0
Guilford School District,2022,ELA,High Needs,47.0,45.0,95.7,45.0,,477.0
Hamden School District,2022,ELA,Non-High Needs,229.0,222.0,96.9,222.0,,518.0
Hamden School District,2022,ELA,High Needs,187.0,153.0,81.8,149.0,,439.0
Hartford School District,2022,ELA,Non-High Needs,179.0,157.0,87.7,157.0,60.5,505.0
Hartford School District,2022,ELA,High Needs,850.0,618.0,72.7,616.0,25.2,418.0
Highville Charter School District,2022,ELA,Non-High Needs,,,,,,
Highville Charter School District,2022,ELA,High Needs,,,,,,
Jumoke Academy District,2022,ELA,Non-High Needs,,,,6.0,,
Jumoke Academy District,2022,ELA,High Needs,,,,0.0,,
Killingly School District,2022,ELA,Non-High Needs,109.0,105.0,96.3,105.0,,517.0
Killingly School District,2022,ELA,High Needs,65.0,56.0,86.2,55.0,,478.0
Learn,2022,ELA,Non-High Needs,61.0,61.0,100.0,61.0,,587.0
Learn,2022,ELA,High Needs,35.0,35.0,100.0,35.0,,528.0
Lebanon School District,2022,ELA,Non-High Needs,46.0,45.0,97.8,45.0,,525.0
Lebanon School District,2022,ELA,High Needs,25.0,25.0,100.0,25.0,,480.0
Ledyard School District,2022,ELA,Non-High Needs,123.0,123.0,100.0,123.0,,547.0
Ledyard School District,2022,ELA,High Needs,68.0,68.0,100.0,68.0,,464.0
Litchfield School District,2022,ELA,Non-High Needs,35.0,35.0,100.0,35.0,,571.0
Litchfield School District,2022,ELA,High Needs,22.0,21.0,95.5,20.0,,454.0
Madison School District,2022,ELA,Non-High Needs,181.0,177.0,97.8,177.0,,565.0
Madison School District,2022,ELA,High Needs,38.0,38.0,100.0,38.0,,494.0
Manchester School District,2022,ELA,Non-High Needs,167.0,148.0,88.6,147.0,,503.0
Manchester School District,2022,ELA,High Needs,230.0,175.0,76.1,175.0,24.6,425.0
Meriden School District,2022,ELA,Non-High Needs,121.0,120.0,99.2,120.0,65.0,507.0
Meriden School District,2022,ELA,High Needs,461.0,418.0,90.7,417.0,26.9,437.0
Middletown School District,2022,ELA,Non-High Needs,159.0,153.0,96.2,153.0,,505.0
Middletown School District,2022,ELA,High Needs,162.0,146.0,90.1,146.0,24.0,419.0
Milford School District,2022,ELA,Non-High Needs,262.0,255.0,97.3,254.0,72.4,535.0
Milford School District,2022,ELA,High Needs,140.0,124.0,88.6,124.0,41.9,473.0
Monroe School District,2022,ELA,Non-High Needs,206.0,201.0,97.6,199.0,,562.0
Monroe School District,2022,ELA,High Needs,44.0,38.0,86.4,38.0,,480.0
Montville School District,2022,ELA,Non-High Needs,60.0,59.0,98.3,59.0,76.3,544.0
Montville School District,2022,ELA,High Needs,46.0,43.0,93.5,42.0,42.9,459.0
Naugatuck School District,2022,ELA,Non-High Needs,123.0,114.0,92.7,114.0,,500.0
Naugatuck School District,2022,ELA,High Needs,193.0,144.0,74.6,144.0,32.6,448.0
New Britain School District,2022,ELA,Non-High Needs,125.0,119.0,95.2,119.0,,486.0
New Britain School District,2022,ELA,High Needs,376.0,328.0,87.2,324.0,21.0,418.0
New Canaan School District,2022,ELA,Non-High Needs,277.0,267.0,96.4,267.0,95.9,605.0
New Canaan School District,2022,ELA,High Needs,50.0,47.0,94.0,47.0,,482.0
New Fairfield School District,2022,ELA,Non-High Needs,103.0,102.0,99.0,102.0,,532.0
New Fairfield School District,2022,ELA,High Needs,44.0,41.0,93.2,41.0,,466.0
New Haven School District,2022,ELA,Non-High Needs,302.0,281.0,93.0,280.0,47.5,493.0
New Haven School District,2022,ELA,High Needs,931.0,746.0,80.1,740.0,20.9,418.0
