District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2016,Math,Non-High Needs,8.0,8.0,,8.0,,
Achievement First Bridgeport Academy District,2016,Math,High Needs,28.0,27.0,96.4,27.0,,494.0
Achievement First Hartford Academy District,2016,Math,High Needs,32.0,30.0,93.8,30.0,,537.0
Amistad Academy District,2016,Math,Non-High Needs,,,,,,
Amistad Academy District,2016,Math,High Needs,,,,,,478.0
Ansonia School District,2016,Math,Non-High Needs,60.0,58.0,96.7,58.0,,482.0
Ansonia School District,2016,Math,High Needs,91.0,80.0,87.9,80.0,12.5,423.0
Area Cooperative Educational Services,2016,Math,High Needs,30.0,19.0,63.3,16.0,,
Avon School District,2016,Math,Non-High Needs,214.0,212.0,99.1,211.0,,622.0
Avon School District,2016,Math,High Needs,35.0,33.0,94.3,33.0,,481.0
Berlin School District,2016,Math,Non-High Needs,188.0,186.0,98.9,186.0,,541.0
Berlin School District,2016,Math,High Needs,48.0,44.0,91.7,44.0,18.2,456.0
Bethel School District,2016,Math,Non-High Needs,150.0,149.0,99.3,149.0,,548.0
Bethel School District,2016,Math,High Needs,52.0,45.0,86.5,45.0,35.6,474.0
Bloomfield School District,2016,Math,Non-High Needs,93.0,90.0,96.8,90.0,18.9,469.0
Bloomfield School District,2016,Math,High Needs,80.0,76.0,95.0,76.0,9.2,436.0
Bolton School District,2016,Math,Non-High Needs,57.0,57.0,100.0,57.0,,543.0
Bolton School District,2016,Math,High Needs,10.0,10.0,,10.0,,
Branford School District,2016,Math,Non-High Needs,167.0,162.0,97.0,162.0,,526.0
Branford School District,2016,Math,High Needs,89.0,83.0,93.3,83.0,16.9,443.0
Bridgeport School District,2016,Math,High Needs,1185.0,1022.0,86.2,1020.0,10.0,422.0
Bristol School District,2016,Math,Non-High Needs,337.0,333.0,98.8,333.0,,512.0
Bristol School District,2016,Math,High Needs,243.0,221.0,90.9,221.0,20.4,461.0
Brookfield School District,2016,Math,Non-High Needs,186.0,182.0,97.8,182.0,,560.0
Brookfield School District,2016,Math,High Needs,42.0,41.0,97.6,41.0,,462.0
Brooklyn School District,2016,Math,High Needs,,,,,,
Canton School District,2016,Math,Non-High Needs,92.0,91.0,98.9,91.0,,568.0
Canton School District,2016,Math,High Needs,25.0,25.0,100.0,25.0,,462.0
Capital Preparatory Harbor School District,2016,Math,Non-High Needs,9.0,9.0,,9.0,,
Capital Preparatory Harbor School District,2016,Math,High Needs,19.0,19.0,,19.0,,
Capitol Region Education Council,2016,Math,Non-High Needs,231.0,223.0,96.5,223.0,,517.0
Capitol Region Education Council,2016,Math,High Needs,295.0,264.0,89.5,264.0,10.2,428.0
Cheshire School District,2016,Math,Non-High Needs,319.0,315.0,98.7,315.0,,581.0
Cheshire School District,2016,Math,High Needs,72.0,59.0,81.9,59.0,23.7,463.0
Clinton School District,2016,Math,Non-High Needs,101.0,99.0,98.0,99.0,,489.0
Clinton School District,2016,Math,High Needs,28.0,26.0,92.9,25.0,,420.0
Colchester School District,2016,Math,Non-High Needs,146.0,144.0,98.6,144.0,,535.0
Colchester School District,2016,Math,High Needs,54.0,50.0,92.6,49.0,22.4,443.0
Columbia School District,2016,Math,High Needs,,0.0,,0.0,,
Common Ground High School District,2016,Math,Non-High Needs,20.0,19.0,95.0,19.0,,
Common Ground High School District,2016,Math,High Needs,22.0,20.0,90.9,20.0,,393.0
Connecticut Technical Education and Career System,2016,Math,Non-High Needs,1199.0,1176.0,98.1,1176.0,19.6,463.0
Connecticut Technical Education and Career System,2016,Math,High Needs,1299.0,1269.0,97.7,1268.0,9.3,431.0
Cooperative Educational Services,2016,Math,High Needs,13.0,10.0,,10.0,,
Coventry School District,2016,Math,Non-High Needs,100.0,99.0,99.0,99.0,,537.0
Coventry School District,2016,Math,High Needs,31.0,29.0,93.5,29.0,,433.0
Cromwell School District,2016,Math,Non-High Needs,96.0,95.0,99.0,95.0,,539.0
Cromwell School District,2016,Math,High Needs,54.0,51.0,94.4,51.0,,453.0
Danbury School District,2016,Math,Non-High Needs,339.0,328.0,96.8,328.0,,502.0
Danbury School District,2016,Math,High Needs,334.0,314.0,94.0,313.0,10.5,420.0
Darien School District,2016,Math,Non-High Needs,282.0,268.0,95.0,268.0,,644.0
Darien School District,2016,Math,High Needs,49.0,44.0,89.8,44.0,,514.0
Derby School District,2016,Math,Non-High Needs,25.0,25.0,100.0,25.0,,459.0
Derby School District,2016,Math,High Needs,65.0,61.0,93.8,61.0,,419.0
East Granby School District,2016,Math,Non-High Needs,46.0,46.0,100.0,46.0,,549.0
East Granby School District,2016,Math,High Needs,17.0,16.0,,16.0,,
East Haddam School District,2016,Math,Non-High Needs,67.0,65.0,97.0,65.0,,494.0
East Haddam School District,2016,Math,High Needs,15.0,14.0,,13.0,,
East Hampton School District,2016,Math,Non-High Needs,106.0,102.0,96.2,102.0,,523.0
East Hampton School District,2016,Math,High Needs,28.0,27.0,96.4,27.0,29.6,456.0
East Hartford School District,2016,Math,Non-High Needs,155.0,148.0,95.5,148.0,,490.0
East Hartford School District,2016,Math,High Needs,336.0,301.0,89.6,299.0,14.0,439.0
East Haven School District,2016,Math,Non-High Needs,115.0,113.0,98.3,113.0,26.5,482.0
East Haven School District,2016,Math,High Needs,115.0,102.0,88.7,102.0,8.8,415.0
East Lyme School District,2016,Math,Non-High Needs,201.0,199.0,99.0,199.0,68.8,576.0
East Lyme School District,2016,Math,High Needs,59.0,57.0,96.6,57.0,26.3,471.0
East Windsor School District,2016,Math,Non-High Needs,34.0,34.0,100.0,34.0,,503.0
East Windsor School District,2016,Math,High Needs,35.0,32.0,91.4,31.0,,448.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,Math,Non-High Needs,36.0,33.0,91.7,33.0,,448.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,Math,High Needs,49.0,39.0,79.6,39.0,,414.0
EdAdvance,2016,Math,High Needs,,,,,,
Ellington School District,2016,Math,Non-High Needs,174.0,174.0,100.0,174.0,,542.0
Ellington School District,2016,Math,High Needs,30.0,29.0,96.7,29.0,,444.0
Elm City College Preparatory School District,2016,Math,Non-High Needs,10.0,10.0,,10.0,,
Elm City College Preparatory School District,2016,Math,High Needs,24.0,23.0,95.8,23.0,,467.0
Enfield School District,2016,Math,Non-High Needs,221.0,218.0,98.6,218.0,,509.0
Enfield School District,2016,Math,High Needs,142.0,128.0,90.1,128.0,19.5,451.0
Explorations District,2016,Math,Non-High Needs,11.0,10.0,,10.0,,
Explorations District,2016,Math,High Needs,12.0,11.0,,11.0,,
Fairfield School District,2016,Math,Non-High Needs,587.0,575.0,98.0,575.0,,578.0
Fairfield School District,2016,Math,High Needs,149.0,138.0,92.6,138.0,25.4,469.0
Farmington School District,2016,Math,Non-High Needs,247.0,241.0,97.6,241.0,,593.0
Farmington School District,2016,Math,High Needs,66.0,59.0,89.4,59.0,20.3,464.0
Franklin School District,2016,Math,High Needs,,0.0,,0.0,,
Glastonbury School District,2016,Math,Non-High Needs,396.0,392.0,99.0,392.0,76.8,602.0
Glastonbury School District,2016,Math,High Needs,99.0,91.0,91.9,91.0,37.4,490.0
Granby School District,2016,Math,Non-High Needs,124.0,122.0,98.4,122.0,,571.0
Granby School District,2016,Math,High Needs,32.0,29.0,90.6,29.0,,487.0
Greenwich School District,2016,Math,Non-High Needs,500.0,483.0,96.6,483.0,75.4,607.0
Greenwich School District,2016,Math,High Needs,147.0,134.0,91.2,134.0,23.9,462.0
Griswold School District,2016,Math,Non-High Needs,84.0,84.0,100.0,84.0,,500.0
Griswold School District,2016,Math,High Needs,50.0,41.0,82.0,41.0,22.0,457.0
Groton School District,2016,Math,Non-High Needs,156.0,150.0,96.2,150.0,,532.0
Groton School District,2016,Math,High Needs,102.0,90.0,88.2,90.0,13.3,443.0
Guilford School District,2016,Math,Non-High Needs,215.0,214.0,99.5,213.0,,580.0
Guilford School District,2016,Math,High Needs,43.0,40.0,93.0,40.0,,460.0
Hamden School District,2016,Math,Non-High Needs,214.0,207.0,96.7,206.0,43.7,521.0
Hamden School District,2016,Math,High Needs,201.0,168.0,83.6,168.0,19.6,450.0
Hartford School District,2016,Math,Non-High Needs,234.0,228.0,97.4,228.0,37.7,499.0
Hartford School District,2016,Math,High Needs,1095.0,935.0,85.4,933.0,9.2,413.0
Highville Charter School District,2016,Math,Non-High Needs,,,,,,
Highville Charter School District,2016,Math,High Needs,,,,,,
Jumoke Academy District,2016,Math,High Needs,7.0,,,,,
Killingly School District,2016,Math,Non-High Needs,110.0,109.0,99.1,109.0,,480.0
Killingly School District,2016,Math,High Needs,83.0,64.0,77.1,64.0,15.6,437.0
Learn,2016,Math,Non-High Needs,98.0,98.0,100.0,98.0,49.0,527.0
Learn,2016,Math,High Needs,97.0,88.0,90.7,87.0,16.1,435.0
Lebanon School District,2016,Math,Non-High Needs,72.0,72.0,100.0,72.0,,553.0
Lebanon School District,2016,Math,High Needs,11.0,11.0,,11.0,,
Ledyard School District,2016,Math,Non-High Needs,134.0,131.0,97.8,131.0,,544.0
Ledyard School District,2016,Math,High Needs,75.0,68.0,90.7,68.0,19.1,461.0
Litchfield School District,2016,Math,Non-High Needs,60.0,60.0,100.0,60.0,,550.0
Litchfield School District,2016,Math,High Needs,18.0,14.0,,14.0,,
Madison School District,2016,Math,Non-High Needs,258.0,255.0,98.8,255.0,,594.0
Madison School District,2016,Math,High Needs,45.0,41.0,91.1,41.0,,480.0
Manchester School District,2016,Math,Non-High Needs,169.0,161.0,95.3,161.0,,493.0
Manchester School District,2016,Math,High Needs,232.0,191.0,82.3,191.0,9.4,421.0
Meriden School District,2016,Math,Non-High Needs,168.0,167.0,99.4,166.0,27.7,473.0
Meriden School District,2016,Math,High Needs,342.0,312.0,91.2,311.0,6.1,396.0
Middletown School District,2016,Math,Non-High Needs,155.0,152.0,98.1,152.0,,494.0
Middletown School District,2016,Math,High Needs,149.0,133.0,89.3,131.0,13.7,433.0
Milford School District,2016,Math,Non-High Needs,354.0,340.0,96.0,340.0,,519.0
Milford School District,2016,Math,High Needs,131.0,112.0,85.5,111.0,18.9,451.0
Monroe School District,2016,Math,Non-High Needs,221.0,219.0,99.1,219.0,,571.0
Monroe School District,2016,Math,High Needs,58.0,51.0,87.9,50.0,28.0,467.0
Montville School District,2016,Math,Non-High Needs,84.0,83.0,98.8,83.0,47.0,526.0
Montville School District,2016,Math,High Needs,60.0,54.0,90.0,52.0,23.1,459.0
Naugatuck School District,2016,Math,Non-High Needs,136.0,128.0,94.1,127.0,,489.0
Naugatuck School District,2016,Math,High Needs,176.0,163.0,92.6,161.0,8.7,415.0
New Britain School District,2016,Math,Non-High Needs,131.0,124.0,94.7,124.0,29.0,478.0
New Britain School District,2016,Math,High Needs,415.0,347.0,83.6,347.0,4.9,400.0
New Canaan School District,2016,Math,Non-High Needs,298.0,291.0,97.7,291.0,,620.0
New Canaan School District,2016,Math,High Needs,30.0,28.0,93.3,28.0,,504.0
New Fairfield School District,2016,Math,Non-High Needs,193.0,193.0,100.0,193.0,,536.0
New Fairfield School District,2016,Math,High Needs,34.0,34.0,100.0,34.0,26.5,448.0
New Haven School District,2016,Math,Non-High Needs,445.0,413.0,92.8,412.0,24.3,467.0
New Haven School District,2016,Math,High Needs,868.0,734.0,84.6,733.0,7.2,412.0
New London School District,2016,Math,Non-High Needs,49.0,48.0,98.0,48.0,,516.0
New London School District,2016,Math,High Needs,143.0,122.0,85.3,122.0,11.5,416.0
New Milford School District,2016,Math,Non-High Needs,227.0,222.0,97.8,222.0,,548.0
New Milford School District,2016,Math,High Needs,84.0,80.0,95.2,80.0,25.0,462.0
Newington School District,2016,Math,Non-High Needs,229.0,227.0,99.1,227.0,54.6,544.0
Newington School District,2016,Math,High Needs,79.0,73.0,92.4,73.0,20.5,453.0
Newtown School District,2016,Math,Non-High Needs,360.0,350.0,97.2,350.0,,574.0
Newtown School District,2016,Math,High Needs,64.0,53.0,82.8,53.0,,488.0
North Branford School District,2016,Math,Non-High Needs,106.0,106.0,100.0,106.0,44.3,524.0
North Branford School District,2016,Math,High Needs,49.0,48.0,98.0,47.0,12.8,424.0
North Haven School District,2016,Math,Non-High Needs,205.0,205.0,100.0,205.0,,517.0
North Haven School District,2016,Math,High Needs,44.0,40.0,90.9,40.0,25.0,461.0
North Stonington School District,2016,Math,Non-High Needs,47.0,46.0,97.9,46.0,,553.0
North Stonington School District,2016,Math,High Needs,9.0,9.0,,9.0,,
Norwalk School District,2016,Math,Non-High Needs,406.0,384.0,94.6,384.0,42.2,521.0
Norwalk School District,2016,Math,High Needs,426.0,368.0,86.4,368.0,15.5,441.0
Norwich Free Academy District,2016,Math,Non-High Needs,299.0,296.0,99.0,296.0,48.6,529.0
Norwich Free Academy District,2016,Math,High Needs,294.0,274.0,93.2,273.0,17.2,437.0
Norwich School District,2016,Math,High Needs,9.0,,,,,
Old Saybrook School District,2016,Math,Non-High Needs,78.0,77.0,98.7,77.0,,550.0
Old Saybrook School District,2016,Math,High Needs,19.0,19.0,,19.0,,
Oxford School District,2016,Math,Non-High Needs,146.0,146.0,100.0,146.0,,527.0
Oxford School District,2016,Math,High Needs,25.0,21.0,84.0,21.0,,448.0
Path Academy District,2016,Math,High Needs,23.0,6.0,26.1,6.0,,
Plainfield School District,2016,Math,Non-High Needs,80.0,80.0,100.0,79.0,,502.0
