District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2024,Math,Non-High Needs,16.0,15.0,,15.0,,
Achievement First Bridgeport Academy District,2024,Math,High Needs,44.0,34.0,77.3,33.0,,411.0
Achievement First Hartford Academy District,2024,Math,Non-High Needs,23.0,23.0,100.0,23.0,,445.0
Achievement First Hartford Academy District,2024,Math,High Needs,38.0,37.0,97.4,37.0,,395.0
Amistad Academy District,2024,Math,Non-High Needs,18.0,17.0,,17.0,,
Amistad Academy District,2024,Math,High Needs,44.0,37.0,84.1,37.0,0.0,408.0
Ansonia School District,2024,Math,Non-High Needs,48.0,48.0,100.0,48.0,12.5,433.0
Ansonia School District,2024,Math,High Needs,103.0,101.0,98.1,101.0,6.9,392.0
Area Cooperative Educational Services,2024,Math,Non-High Needs,,,,,,
Area Cooperative Educational Services,2024,Math,High Needs,,,,,,
Avon School District,2024,Math,Non-High Needs,193.0,192.0,99.5,190.0,,575.0
Avon School District,2024,Math,High Needs,46.0,38.0,82.6,38.0,23.7,455.0
Berlin School District,2024,Math,Non-High Needs,169.0,167.0,98.8,167.0,,524.0
Berlin School District,2024,Math,High Needs,71.0,70.0,98.6,70.0,14.3,438.0
Bethel School District,2024,Math,Non-High Needs,178.0,173.0,97.2,173.0,53.2,532.0
Bethel School District,2024,Math,High Needs,109.0,94.0,86.2,94.0,23.4,469.0
Bloomfield School District,2024,Math,Non-High Needs,63.0,63.0,100.0,63.0,,449.0
Bloomfield School District,2024,Math,High Needs,104.0,98.0,94.2,98.0,,388.0
Bolton School District,2024,Math,Non-High Needs,31.0,31.0,100.0,31.0,,567.0
Bolton School District,2024,Math,High Needs,17.0,17.0,,17.0,,
Branford School District,2024,Math,Non-High Needs,123.0,121.0,98.4,121.0,,505.0
Branford School District,2024,Math,High Needs,69.0,66.0,95.7,66.0,22.7,448.0
Bridgeport School District,2024,Math,Non-High Needs,150.0,141.0,94.0,141.0,17.0,437.0
Bridgeport School District,2024,Math,High Needs,1063.0,956.0,89.9,956.0,6.1,384.0
Bristol School District,2024,Math,Non-High Needs,270.0,263.0,97.4,263.0,,477.0
Bristol School District,2024,Math,High Needs,349.0,316.0,90.5,316.0,10.1,414.0
Brookfield School District,2024,Math,Non-High Needs,147.0,147.0,100.0,147.0,,530.0
Brookfield School District,2024,Math,High Needs,75.0,72.0,96.0,72.0,27.8,462.0
Brooklyn School District,2024,Math,High Needs,,,,,,
Canterbury School District,2024,Math,High Needs,,,,,,
Canton School District,2024,Math,Non-High Needs,85.0,82.0,96.5,82.0,,539.0
Canton School District,2024,Math,High Needs,25.0,21.0,84.0,21.0,,446.0
Capital Preparatory Harbor School District,2024,Math,Non-High Needs,13.0,12.0,,12.0,,
Capital Preparatory Harbor School District,2024,Math,High Needs,26.0,25.0,96.2,25.0,,422.0
Capitol Region Education Council,2024,Math,Non-High Needs,155.0,150.0,96.8,150.0,22.0,454.0
Capitol Region Education Council,2024,Math,High Needs,304.0,271.0,89.1,271.0,3.7,381.0
Cheshire School District,2024,Math,Non-High Needs,234.0,233.0,99.6,233.0,60.9,556.0
Cheshire School District,2024,Math,High Needs,72.0,71.0,98.6,70.0,11.4,454.0
Clinton School District,2024,Math,Non-High Needs,69.0,69.0,100.0,69.0,,531.0
