District,District Code,fiscal_year,total_expenditures,ppe_total,pupils_enrolled_plus_outplaced,pupils_enrolled_in_district,pupils_transported,exp_central_and_other_support_services,exp_enterprise_operations,exp_food_services,exp_instruction,exp_minor_school_construction,exp_operation_and_maintenance_of_plant,exp_student_transportation_services,exp_support_services_general_administration,exp_support_services_instruction,exp_support_services_school_based_administration,exp_support_services_students,ppe_central_and_other_support_services,ppe_enterprise_operations,ppe_food_services,ppe_instruction,ppe_minor_school_construction,ppe_operation_and_maintenance_of_plant,ppe_student_transportation_services,ppe_support_services_general_administration,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_support_services_students,cpi_u,deflator,ppe_total_real,total_expenditures_real,exp_central_and_other_support_services_real,exp_enterprise_operations_real,exp_food_services_real,exp_instruction_real,exp_minor_school_construction_real,exp_operation_and_maintenance_of_plant_real,exp_student_transportation_services_real,exp_support_services_general_administration_real,exp_support_services_instruction_real,exp_support_services_school_based_administration_real,exp_support_services_students_real,ppe_central_and_other_support_services_real,ppe_enterprise_operations_real,ppe_food_services_real,ppe_instruction_real,ppe_minor_school_construction_real,ppe_operation_and_maintenance_of_plant_real,ppe_student_transportation_services_real,ppe_support_services_general_administration_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_support_services_students_real
Bethany School District,0080011,2018,6933075.0,18738.0,370.0,364.0,376.0,971.0,22630.0,0.0,4471308.0,0.0,599008.0,388776.0,756708.0,190536.0,368615.0,134523.0,3.0,62.0,0.0,12085.0,0.0,1646.0,1034.0,2079.0,523.0,1013.0,370.0,251.1,1.282206292313819,24025.98150537634,8889632.390083632,1245.0223098367183,29016.328395061726,0.0,5733139.252473118,0.0,768051.8267463162,498491.03350059735,970255.7590442054,244306.45811230585,472640.47244125843,172486.2370609319,3.8466188769414575,79.49679012345679,0.0,15495.463042612504,0.0,2110.511557148546,1325.801306252489,2665.70688172043,670.5938908801274,1298.8749741138988,474.4163281561131
Bethel School District,0090011,2018,48582469.0,15657.0,3103.0,3047.0,3147.0,2256622.0,0.0,0.0,29477390.0,0.0,4235634.0,2587199.0,507067.0,3748926.0,2387562.0,3382068.0,741.0,0.0,0.0,9500.0,0.0,1390.0,822.0,166.0,1230.0,784.0,1110.0,251.1,1.282206292313819,20075.503918757466,62292747.44794106,2893454.927773795,0.0,0.0,37796094.93898845,0.0,5430956.566738351,3317322.8372680205,650164.4980246914,4806896.506618877,3061347.0196893667,4336508.870633214,950.11486260454,0.0,0.0,12180.95977698128,0.0,1782.2667463162086,1053.9735722819594,212.84624452409398,1577.1137395459975,1005.2497331740342,1423.2489844683391
Bloomfield School District,0110011,2018,52551186.0,19906.0,2640.0,2139.0,1875.0,2442097.0,621272.0,1163.0,30693921.0,0.0,5171520.0,3179772.0,2315187.0,913990.0,4069924.0,3142339.0,1142.0,290.0,1.0,11626.0,0.0,2418.0,1696.0,1082.0,427.0,1903.0,1469.0,251.1,1.282206292313819,25523.598454798885,67381461.35775387,3131272.1398407007,796598.867638391,1491.2059179609716,39355938.64198327,0.0,6630955.484826762,4077123.6665232973,2968547.339283154,1171923.7291119075,5218482.162039028,4029126.838383114,1464.2795858223815,371.83982477100756,1.282206292313819,14906.930354440461,0.0,3100.3748148148147,2174.6218717642373,1387.3472082835522,547.5020868180007,2440.038574273198,1883.5610434090004
Bolton School District,0120011,2018,14736889.0,17734.0,831.0,806.0,708.0,713783.0,206240.0,0.0,8447883.0,0.0,1390385.0,680449.0,533296.0,633044.0,1113518.0,1018291.0,886.0,256.0,0.0,10166.0,0.0,1725.0,961.0,662.0,785.0,1382.0,1263.0,251.1,1.282206292313819,22738.646387893266,18895731.804930307,915217.0539466348,264442.2257268021,0.0,10831928.739330944,0.0,1782760.3957387493,872475.9893986459,683795.4868657904,811693.0001115093,1427759.7862046992,1305659.1276065311,1136.0347749900436,328.2448108323377,0.0,13034.909167662285,0.0,2211.805854241338,1232.2002469135803,848.8205655117482,1006.531939466348,1772.009095977698,1619.4265471923536
Booker T. Washington Academy District,2950013,2018,3585990.0,11953.0,300.0,300.0,210.0,0.0,0.0,0.0,2043204.0,0.0,620226.0,56077.0,10142.0,298566.0,400011.0,157763.0,0.0,0.0,0.0,6811.0,0.0,2067.0,267.0,34.0,995.0,1333.0,526.0,251.1,1.282206292313819,15326.21181202708,4597978.942174432,0.0,0.0,0.0,2619809.0252807643,0.0,795257.6798566307,71902.28225408203,13004.136216646753,382823.2038709677,512896.6211947431,202284.71129430505,0.0,0.0,0.0,8733.107056949422,0.0,2650.3204062126642,342.3490800477897,43.59501393866985,1275.79526085225,1709.180987654321,674.4405097570689
Bozrah School District,0130011,2018,5929549.0,19831.0,299.0,202.0,331.0,139779.0,12495.0,31030.0,4002370.0,24672.0,434811.0,343530.0,243538.0,51367.0,201815.0,444142.0,692.0,62.0,154.0,13386.0,122.0,2153.0,1038.0,1206.0,254.0,999.0,2199.0,251.1,1.282206292313819,25427.432982875347,7602905.038383114,179225.5133333333,16021.16762246117,39786.86125049781,5131863.998168061,31634.593643966546,557517.400167264,440476.3275985663,312265.9560175229,65863.09061728395,258768.4628833134,569481.6670808443,887.2867542811629,79.49679012345679,197.45976901632815,17163.613428912784,156.42916766228592,2760.5901473516524,1330.9301314217441,1546.340788530466,325.68039824771006,1280.9240860215052,2819.571636798088
Branford School District,0140011,2018,57853990.0,19330.0,2993.0,2900.0,2907.0,1464522.0,987877.0,61025.0,34950836.0,191573.0,4972387.0,3062505.0,1633246.0,3160855.0,2737295.0,4631868.0,505.0,341.0,21.0,11678.0,66.0,1715.0,1053.0,563.0,1090.0,944.0,1597.0,251.1,1.282206292313819,24785.047630426125,74180750.01346077,1877819.3236320189,1266662.1054320987,78246.63898845081,44814181.84082835,245636.10603743527,6375625.899219434,3926763.1812425326,2094158.2980963758,4052868.170091597,3509776.8729191553,5939010.294767025,647.5141776184787,437.2323456790123,26.9263321385902,14973.605081640779,84.62561529271206,2198.9837913181996,1350.1632258064515,721.8821425726802,1397.604858622063,1210.4027399442452,2047.683448825169
Brass City Charter School District,2900013,2018,3625450.0,14273.0,254.0,254.0,220.0,130205.0,17061.0,0.0,2085199.0,0.0,277772.0,290861.0,171238.0,196956.0,226558.0,229601.0,513.0,67.0,0.0,8209.0,0.0,1094.0,1322.0,674.0,775.0,892.0,904.0,251.1,1.282206292313819,18300.93041019514,4648574.802469135,166949.67029072082,21875.72155316607,0.0,2673655.278526483,0.0,356161.00622859417,372943.80438868975,219562.44108323375,252538.22250896055,290494.0931740342,294395.84692154516,657.7718279569892,85.90782158502589,0.0,10525.631453604141,0.0,1402.733683791318,1695.076718438869,864.2070410195141,993.7098765432098,1143.7280127439267,1159.1144882516924
Bridgeport School District,0150011,2018,305935999.0,14051.0,21773.0,21043.0,11642.0,16140742.0,840068.0,0.0,189737973.0,1889179.0,31646542.0,21368279.0,3946372.0,4077906.0,18225331.0,18063607.0,767.0,40.0,0.0,8714.0,90.0,1504.0,1835.0,188.0,194.0,866.0,858.0,251.1,1.282206292313819,18016.28061330147,392273062.96311426,20695760.95501394,1077140.4755714855,0.0,243283222.87146953,2422317.2011071285,40577395.282373555,27398541.789717242,5060063.010211071,5228716.732664277,23368634.08770211,23161270.55728395,983.4522262046993,51.28825169255276,0.0,11173.14563122262,115.39856630824372,1928.438263639984,2352.848546395858,241.054782954998,248.74802070888092,1110.3906491437674,1100.1329988052569
Bristol School District,0170011,2018,127250636.0,15194.0,8375.0,7884.0,4593.0,22494683.0,1882648.0,0.0,68724161.0,1205540.0,8635937.0,9050064.0,1548287.0,4661926.0,4603281.0,4444109.0,2853.0,239.0,0.0,8206.0,153.0,1095.0,1970.0,196.0,591.0,584.0,564.0,251.1,1.282206292313819,19481.842405416166,163161566.1801354,28842824.086204696,2413943.1118120267,0.0,88118551.66818796,1545750.9736360016,11073052.761425726,11604049.006642772,1985223.333707686,5977550.851501393,5902355.86348865,5698264.523528474,3658.134551971326,306.4473038630028,0.0,10521.7848347272,196.17756272401434,1404.015890083632,2525.9463958582237,251.31243329350855,757.7839187574671,748.8084747112704,723.1643488649939
Brookfield School District,0180011,2018,42944876.0,15900.0,2701.0,2628.0,2677.0,1447778.0,750510.0,0.0,25975887.0,0.0,2837378.0,2876058.0,1269104.0,2074365.0,2868459.0,2845337.0,551.0,286.0,0.0,9617.0,0.0,1080.0,1074.0,483.0,789.0,1091.0,1083.0,251.1,1.282206292313819,20387.080047789725,55064190.22983672,1856350.0614735165,962308.6444444443,0.0,33306445.759832732,0.0,3638103.9252727996,3687699.664659498,1627253.1344006371,2659763.8555555553,3677956.179044205,3648309.005153325,706.4956670649143,366.7109996017523,0.0,12330.977913181998,0.0,1384.7827956989247,1377.0895579450416,619.3056391875747,1011.6607646356033,1398.8870649143767,1388.6294145758661
Brooklyn School District,0190011,2018,20489992.0,16484.0,1243.0,885.0,1204.0,229606.0,0.0,0.0,13880500.0,2095125.0,1106291.0,1179596.0,416974.0,355146.0,710584.0,516171.0,259.0,0.0,0.0,11167.0,2367.0,1250.0,980.0,471.0,401.0,803.0,583.0,251.1,1.282206292313819,21135.888522500994,26272396.671859816,294402.2579530068,0.0,0.0,17797664.440461967,2686382.4581839903,1418493.2813301473,1512485.4135882119,534646.6865312624,455370.4358900836,911115.2760175228,661837.7041099163,332.09142970927917,0.0,0.0,14318.397666268418,3034.98229390681,1602.757865392274,1256.5621664675427,603.9191636798088,514.1647232178415,1029.6116527279967,747.5262684189565
Canaan School District,0210011,2018,2233000.0,30176.0,74.0,71.0,98.0,0.0,0.0,0.0,1104587.0,0.0,221796.0,153261.0,33573.0,87049.0,210578.0,422156.0,0.0,0.0,0.0,14927.0,0.0,3124.0,1564.0,473.0,1226.0,2966.0,5946.0,251.1,1.282206292313819,38691.85707686181,2863166.650736758,0.0,0.0,0.0,1416308.4018080444,0.0,284388.2268100358,196512.21856630823,43047.51185185185,111614.77553962564,270004.4366228594,541291.0795380326,0.0,0.0,0.0,19139.493325368378,0.0,4005.612457188371,2005.370641178813,606.4835762644365,1571.9849143767422,3803.0238630027875,7623.998614097968
Canterbury School District,0220011,2018,11671694.0,17190.0,679.0,456.0,678.0,217080.0,30227.0,31701.0,8342862.0,0.0,908161.0,596032.0,371429.0,135454.0,458924.0,579825.0,476.0,66.0,70.0,12287.0,0.0,1992.0,879.0,815.0,297.0,1006.0,1272.0,251.1,1.282206292313819,22041.12616487455,14965519.48876145,278341.34193548386,38757.24959776981,40647.22167264038,10697270.152305853,0.0,1164449.7486340103,764235.9808203903,476248.60094782955,173679.97111907604,588435.2404938272,743455.2634408602,610.3301951413779,84.62561529271206,89.75444046196733,15754.468713659895,0.0,2554.1549342891276,1127.059330943847,1044.9981282357626,380.8152688172043,1289.899530067702,1630.9664038231779
Canton School District,0230011,2018,28540782.0,17214.0,1658.0,1601.0,1510.0,2800720.0,545857.0,11852.0,14905378.0,712450.0,2213993.0,1641792.0,619952.0,679130.0,1095401.0,3314257.0,1749.0,341.0,7.0,8990.0,445.0,1383.0,1087.0,387.0,424.0,684.0,2070.0,251.1,1.282206292313819,22071.899115890083,36595170.26795699,3591100.8070091596,699901.2801035444,15196.708976503383,19111769.460915968,913507.8729589804,2838795.755738749,2105116.0330704898,794906.3553325367,870784.759299084,1404530.0548068497,4249561.179745121,2242.5788052568696,437.2323456790123,8.975444046196733,11527.034567901233,570.5818000796495,1773.2913022700118,1393.7582397451213,496.213835125448,543.6554679410593,877.0291039426522,2654.1670250896054
Capital Preparatory Harbor School District,2970013,2018,4887344.0,11133.0,439.0,439.0,297.0,642024.0,0.0,0.0,1697943.0,0.0,1296088.0,395324.0,24675.0,13274.0,742976.0,75040.0,1462.0,0.0,0.0,3868.0,0.0,2952.0,1331.0,56.0,30.0,1692.0,171.0,251.1,1.282206292313819,14274.802652329749,6266583.22950219,823207.2126164874,0.0,0.0,2177113.198590203,0.0,1661852.1889924332,506886.92030266824,31638.440262843487,17020.006324173635,952648.5022381521,96216.76017522899,1874.5855993628036,0.0,0.0,4959.573938669852,0.0,3785.072974910394,1706.6165750696932,71.80355236957386,38.46618876941457,2169.493046594982,219.25727598566306
Capitol Region Education Council,2410014,2018,203215036.0,22960.0,8851.0,8851.0,7922.0,11168457.0,0.0,0.0,97349355.0,0.0,20513650.0,23846531.0,5461419.0,6690564.0,13735253.0,24449807.0,1262.0,0.0,0.0,10999.0,0.0,2318.0,3010.0,617.0,756.0,1552.0,2762.0,251.1,1.282206292313819,29439.456471525285,260563597.8519793,14320265.84083632,0.0,0.0,124821955.53369175,0.0,26302731.108323377,30576172.098056547,7002665.8067622455,8578683.259928314,17611427.82312226,31349696.38125846,1618.1443409000397,0.0,0.0,14102.987009159697,0.0,2972.1541855834325,3859.4409398645953,791.1212823576263,969.3479569892472,1989.9841656710473,3541.453779370768
Chaplin School District,0240011,2018,3771914.0,22722.0,166.0,147.0,234.0,58280.0,1326.0,24962.0,2158270.0,0.0,259050.0,315892.0,120276.0,360522.0,258595.0,214742.0,396.0,9.0,170.0,13002.0,0.0,1762.0,1350.0,818.0,2453.0,1759.0,1461.0,251.1,1.282206292313819,29134.2913739546,4836371.864866586,74726.98271604937,1700.2055436081241,32006.433468737552,2767347.374512146,0.0,332155.54002389486,405038.71009159693,154218.6440143369,462263.5769175627,331572.136160892,275343.5436240541,507.75369175627236,11.539856630824373,217.97506969334924,16671.246212664275,0.0,2259.2474870569495,1730.9784946236557,1048.844747112704,3145.2520350457985,2255.400868180008,1873.3033930704896
Cheshire School District,0250011,2018,70957651.0,16372.0,4334.0,4284.0,3621.0,2119457.0,998841.0,29303.0,43793386.0,0.0,7091863.0,4026028.0,938623.0,2628570.0,3622656.0,5708925.0,495.0,233.0,7.0,10105.0,0.0,1655.0,1112.0,219.0,614.0,846.0,1333.0,251.1,1.282206292313819,20992.281417761846,90982346.60000795,2717581.10168857,1280720.2152210274,37572.49098367184,56152155.090927914,0.0,9093231.362827558,5162198.4346316205,1203508.3167104737,3370368.9937873357,4644992.31808841,7320019.55734767,634.6921146953405,298.75406610911983,8.975444046196733,12956.694583831142,0.0,2122.0514137793707,1425.8133970529668,280.8031780167264,787.2746634806849,1084.746523297491,1709.180987654321
Chester School District,0260011,2018,4609467.0,21540.0,214.0,205.0,205.0,594765.0,0.0,85700.0,2382056.0,0.0,366745.0,88742.0,610784.0,85439.0,324216.0,71018.0,2901.0,0.0,418.0,11131.0,0.0,1789.0,433.0,2979.0,417.0,1582.0,346.0,251.1,1.282206292313819,27618.723536439662,5910287.5916129025,762611.4254480286,0.0,109885.0792512943,3054287.191843887,0.0,470242.7466746316,113785.55079251294,783151.0880446037,109550.42340900039,415711.79526881716,91059.7264675428,3719.680454002389,0.0,535.9622301871764,14272.23823974512,0.0,2293.8670569494225,555.1953245718837,3819.692544802867,534.6800238948625,2028.4503544404618,443.64337714058144
Clinton School District,0270011,2018,32662409.0,18268.0,1788.0,1763.0,1682.0,918949.0,0.0,116117.0,19962586.0,0.0,2152986.0,1479176.0,3979601.0,739624.0,1447277.0,1866094.0,521.0,0.0,66.0,11165.0,0.0,1221.0,879.0,2257.0,420.0,821.0,1058.0,251.1,1.282206292313819,23423.344547988847,41879946.34192751,1178282.1901154919,0.0,148885.94804460372,25596153.38005575,0.0,2760572.19646356,1896608.7746395858,5102669.443098367,948350.5467463161,1855707.6761210673,2392717.468849064,668.0294782954998,0.0,84.62561529271206,14315.83325368379,0.0,1565.573882915173,1127.059330943847,2893.93960175229,538.5266427718041,1052.6913659896454,1356.5742572680206
Colchester School District,0280011,2018,41111229.0,15978.0,2573.0,2438.0,2539.0,920720.0,485590.0,0.0,25098952.0,0.0,3698399.0,2533498.0,1214273.0,741158.0,2968215.0,3450423.0,378.0,199.0,0.0,9755.0,0.0,1517.0,998.0,498.0,304.0,1217.0,1415.0,251.1,1.282206292313819,20487.0921385902,52713076.508554354,1180552.9774591795,622626.5534846674,0.0,32182034.184882514,0.0,4742110.469287137,3248467.0771644763,1556948.481186778,950317.4511987255,3805863.9499402624,4424154.081744324,484.6739784946236,255.15905217045,0.0,12507.922381521304,0.0,1945.1069454400636,1279.6418797291915,638.5387335722819,389.790712863401,1560.445057745918,1814.3219036240541
Colebrook School District,0290011,2018,2019417.0,21714.0,93.0,87.0,92.0,73748.0,0.0,9588.0,1265584.0,35494.0,133212.0,121536.0,158022.0,24903.0,130069.0,67260.0,848.0,0.0,110.0,13608.0,408.0,1531.0,1321.0,1816.0,286.0,1495.0,773.0,251.1,1.282206292313819,27841.827431302267,2589309.1842054958,94560.14964555953,0.0,12293.793930704898,1622739.7682516924,45510.630139386696,170805.26461170847,155834.22394265232,202616.80272401433,31930.783297491038,166775.29023496615,86241.19522102748,1087.3109358821187,0.0,141.0426921545201,17448.26322580645,523.1401672640382,1963.0578335324572,1693.794512146555,2328.4866268418955,366.7109996017523,1916.8984070091597,991.1454639585821
Columbia School District,0300011,2018,13032411.0,18101.0,720.0,430.0,692.0,128856.0,391134.0,23386.0,8292619.0,67221.0,296133.0,879835.0,506029.0,100327.0,431723.0,1915149.0,300.0,910.0,54.0,11518.0,156.0,689.0,1271.0,1177.0,233.0,1004.0,4454.0,251.1,1.282206292313819,23209.21609717244,16710239.388219832,165219.97400238947,501514.4759378733,29985.676352050974,10632848.261561131,86191.18917562724,379703.5959617682,1128129.973197929,648833.5678932696,128639.91068896854,553557.9471365989,2455616.0985185183,384.6618876941457,1166.8077260055754,69.23913978494623,14768.452074870569,200.02418160095579,883.4401354042213,1629.6841975308641,1509.156806053365,298.75406610911983,1287.3351174830743,5710.946825965751
Common Ground High School District,2680013,2018,3201816.0,15851.0,202.0,202.0,202.0,343.0,0.0,0.0,1325111.0,0.0,241367.0,9328.0,126359.0,421065.0,697321.0,380922.0,2.0,0.0,0.0,6560.0,0.0,1195.0,46.0,626.0,2084.0,3452.0,1886.0,251.1,1.282206292313819,20324.251939466347,4105388.622031063,439.79675826363996,0.0,0.0,1699065.662214257,0.0,309482.2861569096,11960.420294703305,162018.30489048187,539892.1924731182,894109.3739625646,488420.5852807646,2.564412584627638,0.0,0.0,8411.273277578654,0.0,1532.2365193150138,58.98148944643568,802.6611389884507,2672.117913181999,4426.176121067304,2418.241067303863
Connecticut Technical Education and Career System,9000016,2018,0.0,0.0,10806.0,10806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.1,1.282206292313819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooperative Educational Services,2430014,2018,29978829.0,28497.0,1052.0,1052.0,96.0,1261423.0,85562.0,0.0,22468110.0,0.0,2424080.0,124800.0,1246385.0,339770.0,1091624.0,937074.0,1199.0,81.0,0.0,21358.0,0.0,2304.0,1300.0,1185.0,323.0,1038.0,891.0,251.1,1.282206292313819,36539.0327120669,38439043.18,1617404.5078693747,109708.13478295499,0.0,28808752.01839904,0.0,3108170.6290720827,160019.34528076462,1598122.6896455595,435655.2319394663,1399687.1616407805,1201522.1791636797,1537.3653444842691,103.85870967741934,0.0,27385.361991238547,0.0,2954.2032974910394,1666.8681800079648,1519.4144563918755,414.1526324173636,1330.9301314217441,1142.4458064516127
