district,district_code,fiscal_year,object,expenditures,pupils,pupil_basis,ppe,cpi_u,deflator,expenditures_real,ppe_real
Bloomfield School District,0110011,2018,Supplies,2091527,2139,2,978,251.1,1.282206292313819,2681769.079944245,1253.997753882915
Bloomfield School District,0110011,2018,Property,640162,2139,2,299,251.1,1.282206292313819,820819.7445001991,383.37968140183193
Bloomfield School District,0110011,2018,Other,144795,2139,2,68,251.1,1.282206292313819,185657.06009557945,87.1900278773397
Bloomfield School District,0110011,2018,Total,52551186,2640,1,19906,251.1,1.282206292313819,67381461.35775387,25523.598454798885
Bolton School District,0120011,2018,Salaries,9421507,806,2,11689,251.1,1.282206292313819,12080315.558478693,14987.709350856232
Bolton School District,0120011,2018,Employee Benefits,2292402,806,2,2844,251.1,1.282206292313819,2939332.2689127834,3646.5946953405014
Bolton School District,0120011,2018,Purchased Services,1531560,806,2,1900,251.1,1.282206292313819,1963775.8690561529,2436.191955396256
Bolton School District,0120011,2018,Tuition,635900,25,4,25436,251.1,1.282206292313819,815354.9812823576,32614.199251294303
Bolton School District,0120011,2018,Supplies,727681,806,2,903,251.1,1.282206292313819,933037.1569972122,1157.8322819593786
Bolton School District,0120011,2018,Property,82848,806,2,103,251.1,1.282206292313819,106228.22690561529,132.06724810832335
Bolton School District,0120011,2018,Other,44991,806,2,56,251.1,1.282206292313819,57687.74329749103,71.80355236957386
Bolton School District,0120011,2018,Total,14736889,831,1,17734,251.1,1.282206292313819,18895731.804930307,22738.646387893266
Booker T. Washington Academy District,2950013,2018,Salaries,1988053,300,2,6627,251.1,1.282206292313819,2549094.066053365,8497.18109916368
Booker T. Washington Academy District,2950013,2018,Employee Benefits,370663,300,2,1236,251.1,1.282206292313819,475266.4309279171,1584.8069772998804
Booker T. Washington Academy District,2950013,2018,Purchased Services,963953,300,2,3213,251.1,1.282206292313819,1235986.602094783,4119.728817204301
Booker T. Washington Academy District,2950013,2018,Tuition,0,0,4,0,251.1,1.282206292313819,0.0,0.0
Booker T. Washington Academy District,2950013,2018,Supplies,207687,300,2,692,251.1,1.282206292313819,266297.57823178015,887.2867542811629
Booker T. Washington Academy District,2950013,2018,Property,38722,300,2,129,251.1,1.282206292313819,49649.592050975705,165.40461170848266
Booker T. Washington Academy District,2950013,2018,Other,16911,300,2,56,251.1,1.282206292313819,21683.390609318994,71.80355236957386
Booker T. Washington Academy District,2950013,2018,Total,3585990,300,1,11953,251.1,1.282206292313819,4597978.942174432,15326.21181202708
Bozrah School District,0130011,2018,Salaries,2670250,202,2,13219,251.1,1.282206292313819,3423811.3520509754,16949.484978096374
Bozrah School District,0130011,2018,Employee Benefits,742027,202,2,3673,251.1,1.282206292313819,951431.6884667462,4709.543711668658
Bozrah School District,0130011,2018,Purchased Services,700117,202,2,3466,251.1,1.282206292313819,897694.4227558741,4444.127009159697
Bozrah School District,0130011,2018,Tuition,1518207,97,4,15652,251.1,1.282206292313819,1946654.5684348864,20069.092887295898
Bozrah School District,0130011,2018,Supplies,256550,202,2,1270,251.1,1.282206292313819,328950.0242931103,1628.4019912385502
Bozrah School District,0130011,2018,Property,36414,202,2,180,251.1,1.282206292313819,46690.25992831541,230.79713261648743
Bozrah School District,0130011,2018,Other,5984,202,2,30,251.1,1.282206292313819,7672.7224532058935,38.46618876941457
Bozrah School District,0130011,2018,Total,5929549,299,1,19831,251.1,1.282206292313819,7602905.038383114,25427.432982875347
Branford School District,0140011,2018,Salaries,33908727,2900,2,11693,251.1,1.282206292313819,43477983.12375149,14992.838176025487
Branford School District,0140011,2018,Employee Benefits,10651120,2900,2,3673,251.1,1.282206292313819,13656933.084189566,4709.543711668658
Branford School District,0140011,2018,Purchased Services,7274108,2900,2,2508,251.1,1.282206292313819,9326907.04857029,3215.7733811230582
Branford School District,0140011,2018,Tuition,2505168,93,4,26937,251.1,1.282206292313819,3212142.1729032258,34538.79089605735
Branford School District,0140011,2018,Supplies,2507849,2900,2,865,251.1,1.282206292313819,3215579.767972919,1109.1084428514534
Branford School District,0140011,2018,Property,754668,2900,2,260,251.1,1.282206292313819,967640.0582078852,333.37363600159296
Branford School District,0140011,2018,Other,252351,2900,2,87,251.1,1.282206292313819,323566.0400716846,111.55194743130227
Branford School District,0140011,2018,Total,57853990,2993,1,19330,251.1,1.282206292313819,74180750.01346077,24785.047630426125
Brass City Charter School District,2900013,2018,Salaries,2425786,254,2,9550,251.1,1.282206292313819,3110358.07300677,12245.070091596972
Brass City Charter School District,2900013,2018,Employee Benefits,352695,254,2,1389,251.1,1.282206292313819,452227.74826762243,1780.9845400238949
Brass City Charter School District,2900013,2018,Purchased Services,594726,254,2,2341,251.1,1.282206292313819,762561.4194026284,3001.6449303066506
Brass City Charter School District,2900013,2018,Tuition,0,0,4,0,251.1,1.282206292313819,0.0,0.0
Brass City Charter School District,2900013,2018,Supplies,197297,254,2,777,251.1,1.282206292313819,252975.45485463957,996.2742891278374
Brass City Charter School District,2900013,2018,Property,46458,254,2,183,251.1,1.282206292313819,59568.73992831541,234.6437514934289
Brass City Charter School District,2900013,2018,Other,8488,254,2,33,251.1,1.282206292313819,10883.367009159696,42.31280764635603
Brass City Charter School District,2900013,2018,Total,3625450,254,1,14273,251.1,1.282206292313819,4648574.802469135,18300.93041019514
Bridgeport School District,0150011,2018,Salaries,168770114,21043,2,8020,251.1,1.282206292313819,216398102.12532058,10283.29446435683
Bridgeport School District,0150011,2018,Employee Benefits,56913036,21043,2,2705,251.1,1.282206292313819,72974252.8738829,3468.3680207088805
Bridgeport School District,0150011,2018,Purchased Services,44377096,21043,2,2109,251.1,1.282206292313819,56900591.72581441,2704.1730704898446
Bridgeport School District,0150011,2018,Tuition,26005139,730,4,35623,251.1,1.282206292313819,33343952.858295497,45676.034751095176
Bridgeport School District,0150011,2018,Supplies,4040078,21043,2,192,251.1,1.282206292313819,5180213.43303863,246.18360812425328
Bridgeport School District,0150011,2018,Property,1938939,21043,2,92,251.1,1.282206292313819,2486119.786212664,117.96297889287136
Bridgeport School District,0150011,2018,Other,3891597,21043,2,185,251.1,1.282206292313819,4989830.160549581,237.20816407805654
Bridgeport School District,0150011,2018,Total,305935999,21773,1,14051,251.1,1.282206292313819,392273062.96311426,18016.28061330147
Bristol School District,0170011,2018,Salaries,74966729,7884,2,9509,251.1,1.282206292313819,96122811.63798486,12192.499633612106
Bristol School District,0170011,2018,Employee Benefits,18988212,7884,2,2408,251.1,1.282206292313819,24346804.906188767,3087.5527518916765
Bristol School District,0170011,2018,Purchased Services,18457251,7884,2,2341,251.1,1.282206292313819,23666003.37101553,3001.6449303066506
Bristol School District,0170011,2018,Tuition,12233049,491,4,24915,251.1,1.282206292313819,15685292.401983272,31946.169772998805
Bristol School District,0170011,2018,Supplies,2161572,7884,2,274,251.1,1.282206292313819,2771581.2196893664,351.32452409398644
Bristol School District,0170011,2018,Property,325946,7884,2,41,251.1,1.282206292313819,417930.0121545201,52.570457984866586
Bristol School District,0170011,2018,Other,117877,7884,2,15,251.1,1.282206292313819,151142.63111907605,19.233094384707286
Bristol School District,0170011,2018,Total,127250636,8375,1,15194,251.1,1.282206292313819,163161566.1801354,19481.842405416166
Brookfield School District,0180011,2018,Salaries,26643706,2628,2,10138,251.1,1.282206292313819,34162727.483759455,12999.007391477498
Brookfield School District,0180011,2018,Employee Benefits,6768581,2628,2,2576,251.1,1.282206292313819,8678717.148235762,3302.963409000398
Brookfield School District,0180011,2018,Purchased Services,6480548,2628,2,2466,251.1,1.282206292313819,8309399.423241735,3161.920716845878
Brookfield School District,0180011,2018,Tuition,2006364,73,4,27484,251.1,1.282206292313819,2572572.5454719234,35240.157737953006
Brookfield School District,0180011,2018,Supplies,616660,2628,2,235,251.1,1.282206292313819,790685.3322182397,301.31847869374747
Brookfield School District,0180011,2018,Property,365057,2628,2,139,251.1,1.282206292313819,468078.3824532059,178.22667463162085
Brookfield School District,0180011,2018,Other,63959,2628,2,24,251.1,1.282206292313819,82008.63225009956,30.77295101553166
Brookfield School District,0180011,2018,Total,42944876,2701,1,15900,251.1,1.282206292313819,55064190.22983672,20387.080047789725
Brooklyn School District,0190011,2018,Salaries,7621163,885,2,8611,251.1,1.282206292313819,9771903.153349262,11041.078383114296
Brooklyn School District,0190011,2018,Employee Benefits,1817358,885,2,2054,251.1,1.282206292313819,2330227.8629868575,2633.6517244125844
Brooklyn School District,0190011,2018,Purchased Services,4142050,885,2,4680,251.1,1.282206292313819,5310962.5730784545,6000.725448028674
Brooklyn School District,0190011,2018,Tuition,6068052,358,4,16950,251.1,1.282206292313819,7780494.4564874545,21733.396654719232
Brooklyn School District,0190011,2018,Supplies,643745,885,2,727,251.1,1.282206292313819,825413.8896455595,932.1639745121465
Brooklyn School District,0190011,2018,Property,59327,885,2,67,251.1,1.282206292313819,76069.45270410195,85.90782158502589
Brooklyn School District,0190011,2018,Other,138296,885,2,156,251.1,1.282206292313819,177324.00140183192,200.02418160095579
Brooklyn School District,0190011,2018,Total,20489992,1243,1,16484,251.1,1.282206292313819,26272396.671859816,21135.888522500994
Canaan School District,0210011,2018,Salaries,1274453,71,2,17950,251.1,1.282206292313819,1634111.6558582238,23015.602947033054
Canaan School District,0210011,2018,Employee Benefits,406646,71,2,5727,251.1,1.282206292313819,521404.05994424527,7343.195436081242
Canaan School District,0210011,2018,Purchased Services,397354,71,2,5597,251.1,1.282206292313819,509489.7990760653,7176.508618080446
Canaan School District,0210011,2018,Supplies,96190,71,2,1355,251.1,1.282206292313819,123335.42325766626,1737.3895260852248
Canaan School District,0210011,2018,Property,25359,71,2,357,251.1,1.282206292313819,32515.46936678614,457.74764635603344
Canaan School District,0210011,2018,Other � Includes Tuition,32998,74,1,446,251.1,1.282206292313819,42310.243233771405,571.8640063719633
Canaan School District,0210011,2018,Total,2233000,74,1,30176,251.1,1.282206292313819,2863166.650736758,38691.85707686181
Canterbury School District,0220011,2018,Salaries,5084490,456,2,11150,251.1,1.282206292313819,6519365.07120669,14296.600159299083
Canterbury School District,0220011,2018,Employee Benefits,1684450,456,2,3694,251.1,1.282206292313819,2159812.3890880127,4736.470043807248
Canterbury School District,0220011,2018,Purchased Services,1096686,456,2,2405,251.1,1.282206292313819,1406177.689892473,3083.706133014735
Canterbury School District,0220011,2018,Tuition,2860899,223,4,12829,251.1,1.282206292313819,3668262.699474313,16449.424524093985
Canterbury School District,0220011,2018,Supplies,668620,456,2,1466,251.1,1.282206292313819,857308.7711668657,1879.7144245320587
Canterbury School District,0220011,2018,Property,255299,456,2,560,251.1,1.282206292313819,327345.9842214257,718.0355236957387
Canterbury School District,0220011,2018,Other,21251,456,2,47,251.1,1.282206292313819,27248.16591796097,60.2636957387495
Canterbury School District,0220011,2018,Total,11671694,679,1,17190,251.1,1.282206292313819,14965519.48876145,22041.12616487455
Canton School District,0230011,2018,Salaries,17213945,1601,2,10752,251.1,1.282206292313819,22071828.594544005,13786.282054958183
Canton School District,0230011,2018,Employee Benefits,4947945,1601,2,3091,251.1,1.282206292313819,6344286.2130227,3963.299649542015
Canton School District,0230011,2018,Purchased Services,3937799,1601,2,2460,251.1,1.282206292313819,5049070.655667065,3154.227479091995
Canton School District,0230011,2018,Tuition,1195496,57,4,20974,251.1,1.282206292313819,1532872.4936360016,26892.994774990042
Canton School District,0230011,2018,Supplies,1044307,1601,2,652,251.1,1.282206292313819,1339017.0065073676,835.9985025886101
Canton School District,0230011,2018,Property,113987,1601,2,71,251.1,1.282206292313819,146154.8486419753,91.03664675428115
Canton School District,0230011,2018,Other,87304,1601,2,55,251.1,1.282206292313819,111941.73814416566,70.52134607726005
Canton School District,0230011,2018,Total,28540782,1658,1,17214,251.1,1.282206292313819,36595170.26795699,22071.899115890083
Capital Preparatory Harbor School District,2970013,2018,Salaries,1750049,439,2,3986,251.1,1.282206292313819,2243923.839657507,5110.874281162883
Capital Preparatory Harbor School District,2970013,2018,Employee Benefits,385525,439,2,878,251.1,1.282206292313819,494322.5808442851,1125.777124651533
Capital Preparatory Harbor School District,2970013,2018,Purchased Services,2229852,439,2,5079,251.1,1.282206292313819,2859130.265328554,6512.325758661887
Capital Preparatory Harbor School District,2970013,2018,Tuition,0,0,4,0,251.1,1.282206292313819,0.0,0.0
Capital Preparatory Harbor School District,2970013,2018,Supplies,250095,439,2,570,251.1,1.282206292313819,320673.3826762246,730.8575866188769
Capital Preparatory Harbor School District,2970013,2018,Property,271439,439,2,618,251.1,1.282206292313819,348040.7937793707,792.4034886499402
Capital Preparatory Harbor School District,2970013,2018,Other,385,439,2,1,251.1,1.282206292313819,493.64942254082035,1.282206292313819
Capital Preparatory Harbor School District,2970013,2018,Total,4887344,439,1,11133,251.1,1.282206292313819,6266583.22950219,14274.802652329749
Capitol Region Education Council,2410014,2018,Salaries,106506935,8851,2,12033,251.1,1.282206292313819,136563862.23205894,15428.788315412185
Capitol Region Education Council,2410014,2018,Employee Benefits,25476679,8851,2,2878,251.1,1.282206292313819,32666358.121059336,3690.1897092791714
Capitol Region Education Council,2410014,2018,Purchased Services,60055689,8851,2,6785,251.1,1.282206292313819,77003782.32504182,8699.769693349263
Capitol Region Education Council,2410014,2018,Tuition,0,0,4,0,251.1,1.282206292313819,0.0,0.0
Capitol Region Education Council,2410014,2018,Supplies,10638822,8851,2,1202,251.1,1.282206292313819,13641164.51120669,1541.2119633612106
Capitol Region Education Council,2410014,2018,Property,365359,8851,2,41,251.1,1.282206292313819,468465.6087534846,52.570457984866586
Capitol Region Education Council,2410014,2018,Other,171551,8851,2,19,251.1,1.282206292313819,219963.77165272797,24.36191955396256
Capitol Region Education Council,2410014,2018,Total,203215036,8851,1,22960,251.1,1.282206292313819,260563597.8519793,29439.456471525285
Chaplin School District,0240011,2018,Salaries,2068530,147,2,14072,251.1,1.282206292313819,2652282.1818399043,18043.206945440063
Chaplin School District,0240011,2018,Employee Benefits,547669,147,2,3726,251.1,1.282206292313819,702224.637905217,4777.50064516129
Chaplin School District,0240011,2018,Purchased Services,773746,147,2,5264,251.1,1.282206292313819,992101.9898526482,6749.533922739944
Chaplin School District,0240011,2018,Tuition,249869,19,4,13151,251.1,1.282206292313819,320383.60405416164,16862.294950219035
Chaplin School District,0240011,2018,Supplies,92489,147,2,629,251.1,1.282206292313819,118589.97776981282,806.5077578653923
Chaplin School District,0240011,2018,Property,36181,147,2,246,251.1,1.282206292313819,46391.505862206286,315.4227479091995
Chaplin School District,0240011,2018,Other,3429,147,2,23,251.1,1.282206292313819,4396.685376344086,29.49074472321784
Chaplin School District,0240011,2018,Total,3771914,166,1,22722,251.1,1.282206292313819,4836371.864866586,29134.2913739546
Cheshire School District,0250011,2018,Salaries,45233848,4284,2,10559,251.1,1.282206292313819,57999124.53116686,13538.816240541615
Cheshire School District,0250011,2018,Employee Benefits,11369768,4284,2,2654,251.1,1.282206292313819,14578388.071748307,3402.9754998008757
Cheshire School District,0250011,2018,Purchased Services,8917010,4284,2,2081,251.1,1.282206292313819,11433446.330625247,2668.2712943050574
Cheshire School District,0250011,2018,Tuition,2239550,50,4,44791,251.1,1.282206292313819,2871565.101951414,57431.30203902827
Cheshire School District,0250011,2018,Supplies,2014223,4284,2,470,251.1,1.282206292313819,2582649.4047232177,602.6369573874949
Cheshire School District,0250011,2018,Property,1139452,4284,2,266,251.1,1.282206292313819,1461012.5241895658,341.0668737554759
Cheshire School District,0250011,2018,Other,43801,4284,2,10,251.1,1.282206292313819,56161.91780963759,12.82206292313819
Cheshire School District,0250011,2018,Total,70957651,4334,1,16372,251.1,1.282206292313819,90982346.60000795,20992.281417761846
Chester School District,0260011,2018,Salaries,3006988,205,2,14668,251.1,1.282206292313819,3855578.9345121463,18807.4018956591
Chester School District,0260011,2018,Employee Benefits,858054,205,2,4186,251.1,1.282206292313819,1100202.2379450419,5367.315539625647
