"Smarter Balanced Assessments, Trend"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,"Year",,,,,,,,,
"",,,"2018-19",,"2021-22",,"2022-23",,"2023-24",,"2024-25",
"District","District Code","Subject","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%"
,,"Math",79,62.0,77,44.2,71,43.7,77,37.7,77,45.5
"Cheshire School District","=""0250011""","ELA",1825,82.6,1809,74.2,1840,76.4,1890,76.1,1993,77.2
,,"Math",1821,75.2,1803,70.3,1836,73.7,1889,73.5,1993,76.5
"Chester School District","=""0260011""","ELA",102,82.4,109,72.5,124,75.0,122,68.0,116,69.8
,,"Math",102,73.5,109,71.6,124,73.4,122,63.1,116,66.4
"Clinton School District","=""0270011""","ELA",779,61.4,645,52.7,609,49.1,627,51.5,604,50.3
,,"Math",779,55.2,645,45.7,608,48.5,624,52.4,604,56.1
"Colchester School District","=""0280011""","ELA",1005,70.3,915,63.4,912,60.9,936,61.4,955,58.4
,,"Math",1003,69.6,913,64.0,912,65.8,935,61.6,954,61.9
"Colebrook School District","=""0290011""","ELA",52,84.6,46,82.6,50,74.0,46,63.0,37,81.1
,,"Math",52,67.3,46,69.6,50,74.0,46,71.7,37,75.7
"Columbia School District","=""0300011""","ELA",242,67.8,276,51.8,299,50.5,299,51.5,274,52.9
,,"Math",239,48.1,275,42.5,297,46.5,297,50.5,273,48.4
"Cooperative Educational Services","=""2430014""","ELA",329,43.5,305,42.3,287,38.0,281,40.2,263,35.4
,,"Math",328,33.5,304,27.6,287,28.9,280,30.0,263,35.0
"Cornwall School District","=""0310011""","ELA",64,65.6,65,72.3,56,62.5,60,"*",53,73.6
,,"Math",64,59.4,65,66.2,56,58.9,60,68.3,53,75.5
"Coventry School District","=""0320011""","ELA",723,76.2,742,71.3,712,71.3,707,69.3,718,73.5
,,"Math",722,69.1,740,56.9,712,59.0,704,62.8,714,64.0
"Cromwell School District","=""0330011""","ELA",935,67.5,897,55.1,913,52.9,903,54.7,875,61.0
,,"Math",934,60.2,895,48.7,905,48.1,900,50.0,873,53.4
"Danbury School District","=""0340011""","ELA",5376,46.2,5540,32.3,5418,33.1,5415,29.9,5426,33.5
,,"Math",5360,37.6,5535,23.3,5407,24.9,5409,26.6,5422,30.1
"Darien School District","=""0350011""","ELA",2191,84.4,2125,80.8,2113,79.4,2103,81.7,2107,83.5
,,"Math",2190,84.8,2121,79.5,2110,80.8,2098,82.1,2107,82.9
"Deep River School District","=""0360011""","ELA",154,71.4,123,70.7,112,71.4,103,67.0,109,66.1
,,"Math",154,74.7,123,69.9,112,65.2,103,72.8,109,69.7
"Derby School District","=""0370011""","ELA",656,36.1,563,35.5,575,33.6,577,32.4,608,34.0
,,"Math",657,32.1,562,23.5,574,21.8,576,21.0,606,23.8
"East Granby School District","=""0400011""","ELA",392,71.7,399,64.9,390,63.3,387,68.7,403,72.5
,,"Math",392,67.9,399,54.6,389,55.8,385,55.8,402,61.7
"East Haddam School District","=""0410011""","ELA",440,69.8,448,62.3,447,57.5,435,55.6,409,55.5
,,"Math",435,58.9,447,46.8,445,48.5,434,51.8,409,53.8
"East Hampton School District","=""0420011""","ELA",878,65.9,815,58.3,801,59.9,796,62.1,743,62.6
,,"Math",877,57.4,810,48.3,796,49.6,792,54.3,741,57.8
"East Hartford School District","=""0430011""","ELA",2920,36.4,2636,34.9,2557,36.4,2566,38.5,2687,38.8
,,"Math",2905,22.2,2633,23.2,2538,28.9,2554,32.5,2682,33.6
"East Haven School District","=""0440011""","ELA",1215,46.4,1188,40.7,1191,37.9,1179,39.2,1135,38.2
,,"Math",1212,34.2,1189,29.9,1186,29.8,1171,30.9,1132,29.0
"East Lyme School District","=""0450011""","ELA",1114,74.4,1061,63.1,1035,61.4,992,67.2,1016,68.6
,,"Math",1114,67.8,1060,55.4,1030,59.6,987,63.5,1012,63.4
"East Windsor School District","=""0470011""","ELA",456,38.8,454,42.3,471,41.2,452,45.8,444,50.9
,,"Math",457,26.3,452,35.6,468,35.0,445,43.1,444,43.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",55,"*",33,"*","*","*","*","*","*","*"
,,"Math",53,"*",32,0.0,"*","*","*","*","*","*"
"Eastford School District","=""0390011""","ELA",90,64.4,78,66.7,82,80.5,95,66.3,101,76.2
,,"Math",90,61.1,78,56.4,81,60.5,95,56.8,101,56.4
"Easton School District","=""0460011""","ELA",609,80.8,586,77.1,580,80.7,577,76.1,581,75.0
,,"Math",607,74.3,584,70.0,579,75.8,576,76.7,581,78.3
"EdAdvance","=""2420014""","ELA",19,"*",32,"*",31,"*",24,"*",32,"*"
