fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.03393074708724678,0.010358020977884574,426207.3333333333,all
2019,1,0.032996586980074405,0.010352056294758832,212779.33333333334,mth
2019,1,0.03486206802372528,0.010363967532690132,213428.0,rla
2020,2,0.0727146467752392,0.022196363336151746,426207.3333333333,all
2020,2,0.07072057098009209,0.022184297792926237,212779.33333333334,mth
2020,2,0.07470266202303952,0.02220839220885743,213428.0,rla
2021,3,0.11333210215979612,0.03459439189504317,426207.3333333333,all
2021,3,0.1102316904236091,0.03457706227913617,212779.33333333334,mth
2021,3,0.11642309088800759,0.034611668841458866,213428.0,rla
2022,4,0.1530167677086607,0.04670742392685847,426207.3333333333,all
2022,4,0.148838216681692,0.04668541532216929,212779.33333333334,mth
2022,4,0.1571826189644365,0.04672936564131657,213428.0,rla
2023,5,0.15981469142817903,0.04878057317641882,426207.3333333333,all
2023,5,0.15546629088121705,0.04875973786101047,212779.33333333334,mth
2023,5,0.16414987598432382,0.048801345167546396,213428.0,rla
2024,6,0.1636835235867334,0.04996094364583974,426207.3333333333,all
2024,6,0.15923850745532445,0.04994146914260307,212779.33333333334,mth
2024,6,0.1681150300858671,0.049980358960679844,213428.0,rla
2025,7,0.16427576412140293,0.05014153515007311,426207.3333333333,all
2025,7,0.1598190314465786,0.0501230138638298,212779.33333333334,mth
2025,7,0.16871895155413905,0.05016000014500969,213428.0,rla
