year,leaid,grade,enrollment
2018,0901740,k,136
2018,0901770,k,371
2018,0901800,k,195
2018,0901860,k,365
2018,0901890,k,11
2018,0901920,k,1401
2018,0901950,k,13
2018,0902010,k,78
2018,0902040,k,21
2018,0902070,k,174
2018,0902130,k,55
2018,0902160,k,171
2018,0902190,k,31
2018,0902220,k,57
2018,0902280,k,144
2018,0902310,k,515
2018,0902340,k,97
2018,0902370,k,45
2018,0902400,k,626
2018,0902490,k,367
2018,0902520,k,345
2018,0902550,k,197
2018,0902580,k,141
2018,0902640,k,308
2018,0902670,k,850
2018,0902700,k,233
2018,0902730,k,112
2018,0902760,k,60
2018,0902790,k,1481
2018,0902820,k,261
2018,0902850,k,242
2018,0902880,k,247
2018,0902910,k,247
2018,0902940,k,10
2018,0902970,k,103
2018,0903000,k,31
2018,0903030,k,192
2018,0903060,k,53
2018,0903090,k,841
2018,0903120,k,363
2018,0903180,k,68
2018,0903210,k,149
2018,0903240,k,106
2018,0903270,k,132
2018,0903300,k,179
2018,0903330,k,91
2018,0903360,k,38
2018,0903390,k,93
2018,0903420,k,46
2018,0903450,k,233
2018,0903480,k,108
2018,0903510,k,76
2018,0903515,k,53
2018,0903520,k,130
2018,0903530,k,35
2018,0903535,k,106
2018,0903536,k,79
2018,0903537,k,265
2018,0903538,k,139
2018,0903539,k,126
2018,0903540,k,66
2018,0903810,k,296
2018,0903840,k,216
2018,0903900,k,40
2018,0903930,k,36
2018,0903960,k,17
2018,0903990,k,148
2018,0904020,k,18
2018,0904050,k,352
2018,0904080,k,26
2018,0904110,k,268
2018,0904140,k,85
2018,0904170,k,337
2018,0904230,k,426
2018,0904260,k,30
2018,0904290,k,110
2018,0904320,k,1294
2018,0904350,k,24
2018,0904380,k,135
2018,0904440,k,451
2018,0904470,k,129
2018,0904500,k,62
2018,0904530,k,82
2018,0904560,k,130
2018,0904590,k,298
2018,0904620,k,456
2018,0904650,k,4
2018,0904680,k,250
2018,0904710,k,11
2018,0904740,k,365
2018,0904830,k,1509
2018,0904860,k,147
2018,0904890,k,188
2018,0904920,k,635
2018,0904950,k,471
2018,0904980,k,44
2018,0905010,k,109
2018,0905040,k,347
2018,0905070,k,257
2018,0905100,k,38
2018,0905130,k,242
2018,0905160,k,73
2018,0905190,k,266
2018,0905220,k,224
2018,0905250,k,126
2018,0905280,k,137
2018,0905310,k,108
2018,0905370,k,72
2018,0900007,1,73
2018,0900009,1,36
2018,0900010,1,33
2018,0900016,1,22
2018,0900024,1,93
2018,0900028,1,61
2018,0900030,1,18
2018,0900060,1,195
2018,0900070,1,83
2018,0900090,1,42
2018,0900120,1,188
2018,0900150,1,33
2018,0900207,1,39
2018,0900208,1,95
2018,0900210,1,188
2018,0900212,1,93
2018,0900214,1,63
2018,0900215,1,36
2018,0900216,1,30
2018,0900217,1,70
2018,0900220,1,56
2018,0900221,1,52
2018,0900240,1,59
2018,0900270,1,221
2018,0900330,1,122
2018,0900360,1,54
2018,0900390,1,16
2018,0900420,1,183
2018,0900450,1,1579
2018,0900510,1,567
2018,0900540,1,157
2018,0900570,1,82
2018,0900630,1,3
2018,0900660,1,53
2018,0900690,1,110
2018,0900700,1,607
2018,0900720,1,20
2018,0900750,1,276
2018,0900780,1,31
2018,0900810,1,101
2018,0900840,1,160
2018,0900870,1,12
2018,0900900,1,50
2018,0900910,1,50
2018,0900930,1,10
2018,0900960,1,122
2018,0900990,1,143
2018,0901020,1,904
2018,0901050,1,338
2018,0901080,1,27
2018,0901110,1,88
2018,0901170,1,64
2018,0901200,1,84
2018,0901230,1,145
2018,0901260,1,508
2018,0901290,1,179
2018,0901320,1,148
2018,0901350,1,94
2018,0901360,1,3
2018,0901380,1,10
2018,0901410,1,97
2018,0901440,1,225
2018,0901470,1,357
2018,0901500,1,38
2018,0901530,1,643
2018,0901560,1,278
2018,0901590,1,16
2018,0901620,1,377
2018,0901680,1,133
2018,0901710,1,628
2018,0901740,1,116
2018,0901770,1,352
2018,0901800,1,199
2018,0901860,1,371
2018,0901890,1,8
2018,0901920,1,1377
2018,0901950,1,17
2018,0902010,1,91
2018,0902040,1,20
2018,0902070,1,187
2018,0902130,1,54
2018,0902160,1,164
2018,0902190,1,43
2018,0902220,1,52
2018,0902280,1,165
2018,0902310,1,482
2018,0902340,1,94
2018,0902370,1,46
2018,0902400,1,617
2018,0902490,1,396
2018,0902520,1,382
2018,0902550,1,210
2018,0902580,1,142
2018,0902640,1,296
2018,0902670,1,805
2018,0902700,1,285
2018,0902730,1,157
2018,0902760,1,64
2018,0902790,1,1466
2018,0902820,1,302
2018,0902850,1,233
2018,0902880,1,248
2018,0902910,1,257
2018,0902940,1,9
2018,0902970,1,111
2018,0903000,1,27
2018,0903030,1,233
2018,0903060,1,54
2018,0903090,1,814
2018,0903120,1,377
2018,0903180,1,60
2018,0903210,1,154
2018,0903240,1,112
2018,0903270,1,172
2018,0903300,1,131
2018,0903330,1,99
2018,0903360,1,29
2018,0903390,1,92
2018,0903420,1,46
2018,0903450,1,159
2018,0903480,1,94
2018,0903510,1,87
2018,0903515,1,49
2018,0903520,1,152
2018,0903530,1,37
2018,0903535,1,99
2018,0903536,1,98
2018,0903537,1,223
2018,0903538,1,142
2018,0903539,1,131
2018,0903540,1,78
2018,0903600,1,1
2018,0903810,1,310
2018,0903840,1,213
2018,0903900,1,34
2018,0903930,1,33
2018,0903960,1,14
2018,0903990,1,163
2018,0904020,1,9
2018,0904050,1,307
2018,0904080,1,17
2018,0904110,1,283
2018,0904140,1,96
2018,0904170,1,331
2018,0904230,1,423
2018,0904260,1,30
2018,0904290,1,94
2018,0904320,1,1253
2018,0904350,1,26
2018,0904380,1,149
2018,0904440,1,463
2018,0904470,1,129
2018,0904500,1,55
2018,0904530,1,89
2018,0904560,1,149
2018,0904590,1,331
2018,0904620,1,439
2018,0904650,1,3
2018,0904680,1,237
2018,0904710,1,22
2018,0904740,1,372
2018,0904830,1,1498
2018,0904860,1,160
2018,0904890,1,197
2018,0904920,1,628
2018,0904950,1,490
2018,0904980,1,28
2018,0905010,1,128
2018,0905040,1,350
2018,0905070,1,246
2018,0905100,1,33
2018,0905130,1,230
2018,0905160,1,68
2018,0905190,1,267
2018,0905220,1,208
2018,0905250,1,102
2018,0905280,1,150
2018,0905310,1,114
2018,0905370,1,87
2018,0900007,2,73
2018,0900009,2,36
2018,0900010,2,33
2018,0900016,2,23
2018,0900024,2,95
2018,0900028,2,58
2018,0900030,2,16
2018,0900060,2,174
2018,0900070,2,96
2018,0900090,2,35
2018,0900120,2,236
2018,0900150,2,18
2018,0900207,2,39
2018,0900208,2,95
2018,0900210,2,175
