year,leaid,lea_name,agency_type,enrollment,lowest_grade_offered,highest_grade_offered,county_code
2021,0904560,Tolland School District,1,2214,-1,12,9013
2021,0904590,Torrington School District,1,3825,-1,12,9005
2021,0904620,Trumbull School District,1,6868,-1,12,9001
2021,0904650,Union School District,1,41,-1,8,9013
2021,0904680,Vernon School District,1,3169,-1,12,9013
2021,0904710,Voluntown School District,1,246,-1,12,9011
2021,0904740,Wallingford School District,1,5304,-1,12,9009
2021,0904830,Waterbury School District,1,18610,-1,12,9009
2021,0904860,Waterford School District,1,2324,-1,12,9011
2021,0904890,Watertown School District,1,2579,-1,12,9005
2021,0904920,West Hartford School District,1,9098,-1,12,9003
2021,0904950,West Haven School District,1,5756,-1,12,9009
2021,0904980,Westbrook School District,1,628,-1,12,9007
2021,0905010,Weston School District,1,2226,-1,12,9001
2021,0905040,Westport School District,1,5303,-1,12,9001
2021,0905070,Wethersfield School District,1,3592,-1,12,9003
2021,0905100,Willington School District,1,385,-1,8,9013
2021,0905130,Wilton School District,1,3734,-1,12,9001
2021,0905160,Winchester School District,1,559,-1,12,9005
2021,0905190,Windham School District,1,3194,-1,12,9015
2021,0905220,Windsor School District,1,3244,-1,12,9003
2021,0905250,Windsor Locks School District,1,1510,-1,12,9003
2021,0905280,Wolcott School District,1,2153,-1,12,9009
2021,0905310,Woodbridge School District,1,845,-1,6,9009
2021,0905370,Woodstock School District,1,790,-1,12,9015
2021,0905371,Norwich Free Academy District,1,2078,9,12,9011
2021,0905372,The Gilbert School District,1,438,7,12,9005
2021,0905373,The Woodstock Academy District,1,1055,9,12,9015
2022,0900001,Office of Early Childhood (OEC),5,,-1,-1,9110
2022,0900002,Connecticut Technical Education and Career System,5,11183,9,12,9110
2022,0900003,Unified School District #1,5,124,9,12,9110
2022,0900004,Unified School District #2,5,72,6,12,9110
2022,0900005,Regional School District 19,1,1126,9,12,9110
2022,0900007,Jumoke Academy District,7,629,-1,12,9110
2022,0900009,Odyssey Community School District,7,374,-1,8,9110
2022,0900010,Integrated Day Charter School District,7,361,-1,8,9180
2022,0900011,Interdistrict School for Arts and Comm District,7,281,6,8,9180
2022,0900014,Common Ground High School District,7,226,9,12,9170
2022,0900015,The Bridge Academy District,7,280,7,12,9120
2022,0900016,Side By Side Charter School District,7,236,-1,8,9190
2022,0900018,Explorations District,7,93,9,12,9160
2022,0900024,Amistad Academy District,7,1116,0,12,9170
2022,0900026,Department of Social Services,5,,,,9110
2022,0900027,Department of Mental Health and Addiction Services,5,2,9,12,9110
2022,0900028,New Beginnings Inc Family Academy District,7,406,-1,8,9120
2022,0900030,Andover School District,1,197,-1,6,9110
2022,0900033,Park City Prep Charter School District,7,383,4,8,9120
2022,0900060,Ansonia School District,1,2332,-1,12,9140
2022,0900070,Area Cooperative Educational Services,9,1740,-1,12,9170
2022,0900090,Ashford School District,1,368,-1,8,9150
2022,0900120,Avon School District,1,3106,-1,12,9110
2022,0900150,Barkhamsted School District,1,209,-1,6,9160
2022,0900207,Highville Charter School District,7,505,-1,12,9170
2022,0900208,Achievement First Bridgeport Academy District,7,1084,0,12,9170
2022,0900210,Berlin School District,1,2682,-1,12,9110
2022,0900212,Achievement First Hartford Academy District,7,1041,0,12,9170
2022,0900214,Elm City College Preparatory School District,7,783,0,12,9170
2022,0900215,Brass City Charter School District,7,360,-1,8,9140
2022,0900216,Elm City Montessori School District,7,298,-1,8,9170
2022,0900217,Booker T. Washington Academy District,7,444,0,8,9170
2022,0900219,Great Oaks Charter School District,7,664,6,12,9120
2022,0900220,Stamford Charter School for Excellence District,7,561,-1,8,9190
2022,0900221,Capital Preparatory Harbor School District,7,772,0,12,9120
2022,0900222,Judicial Centers,5,,5,12,9110
2022,0900223,Shared Services,4,,,,9160
2022,0900224,Project Oceanology,4,,,,9180
2022,0900225,Office of Higher Education,5,,,,9110
2022,0900226,Goodwin University Educational Services (GUES),9,1140,-1,12,9110
2022,0900227,Department of Aging and Disability Services,5,,,,9110
2022,0900240,Bethany School District,1,429,-1,6,9170
2022,0900270,Bethel School District,1,3223,-1,12,9190
2022,0900330,Bloomfield School District,1,2055,-1,12,9110
2022,0900360,Bolton School District,1,734,-1,12,9110
2022,0900390,Bozrah School District,1,170,-1,12,9180
2022,0900420,Branford School District,1,2651,-1,12,9170
2022,0900450,Bridgeport School District,1,19337,-1,12,9120
2022,0900510,Bristol School District,1,7784,-1,12,9140
2022,0900540,Brookfield School District,1,2563,-1,12,9190
2022,0900570,Brooklyn School District,1,903,-1,12,9150
2022,0900630,Canaan School District,1,72,0,8,9160
2022,0900660,Canterbury School District,1,474,-1,12,9150
2022,0900690,Canton School District,1,1528,-1,12,9110
2022,0900700,Capitol Region Education Council,9,8942,-1,12,9110
2022,0900720,Chaplin School District,1,144,-1,6,9150
2022,0900750,Cheshire School District,1,4208,-1,12,9140
2022,0900780,Chester School District,1,222,0,6,9130
2022,0900810,Clinton School District,1,1497,-1,12,9130
2022,0900840,Colchester School District,1,2235,-1,12,9180
2022,0900870,Colebrook School District,1,72,0,6,9160
2022,0900900,Columbia School District,1,464,-1,12,9110
2022,0900910,Cooperative Educational Services,9,822,-1,12,9120
2022,0900930,Cornwall School District,1,94,-1,8,9160
2022,0900960,Coventry School District,1,1657,-1,12,9110
2022,0900990,Cromwell School District,1,1947,-1,12,9130
2022,0901020,Danbury School District,1,12109,-1,12,9190
2022,0901050,Darien School District,1,4700,-1,12,9190
2022,0901080,Deep River School District,1,192,0,6,9130
2022,0901110,Derby School District,1,1317,-1,12,9140
2022,0901170,East Granby School District,1,864,-1,12,9110
2022,0901200,East Haddam School District,1,990,-1,12,9130
2022,0901230,East Hampton School District,1,1770,-1,12,9130
2022,0901260,East Hartford School District,1,6392,-1,12,9110
2022,0901290,East Haven School District,1,2885,-1,12,9170
2022,0901320,East Lyme School District,1,2617,-1,12,9180
2022,0901350,East Windsor School District,1,1030,-1,12,9110
2022,0901360,Eastern Connecticut Regional Educational Service Center (EAS,9,404,1,12,9150
2022,0901380,Eastford School District,1,154,-1,12,9150
2022,0901410,Easton School District,1,903,-1,8,9120
2022,0901440,Ellington School District,1,2586,-1,12,9110
2022,0901470,Enfield School District,1,4913,-1,12,9110
2022,0901500,Essex School District,1,301,-1,6,9130
2022,0901530,Fairfield School District,1,9379,-1,12,9120
2022,0901560,Farmington School District,1,4147,-1,12,9110
2022,0901590,Franklin School District,1,187,-1,8,9180
2022,0901620,Glastonbury School District,1,5663,-1,12,9110
2022,0901680,Granby School District,1,1738,-1,12,9110
2022,0901710,Greenwich School District,1,8560,-1,12,9190
2022,0901740,Griswold School District,1,1725,-1,12,9180
2022,0901770,Groton School District,1,4104,-1,12,9180
2022,0901800,Guilford School District,1,3155,-1,12,9170
2022,0901860,Hamden School District,1,5468,-1,12,9170
2022,0901890,Hampton School District,1,67,-1,6,9150
2022,0901920,Hartford School District,1,16774,-1,12,9110
2022,0901950,Hartland School District,1,116,-1,8,9160
2022,0902010,Hebron School District,1,696,-1,6,9110
2022,0902040,Kent School District,1,194,-1,8,9160
2022,0902070,Killingly School District,1,2450,-1,12,9150
2022,0902130,Lebanon School District,1,958,-1,12,9180
2022,0902160,Ledyard School District,1,2421,-1,12,9180
2022,0902190,Lisbon School District,1,437,-1,12,9180
2022,0902220,Litchfield School District,1,813,-1,12,9160
2022,0902280,Madison School District,1,2444,-1,12,9170
2022,0902310,Manchester School District,1,6192,-1,12,9110
2022,0902340,Mansfield School District,1,1027,-1,8,9110
2022,0902370,Marlborough School District,1,456,-1,6,9110
2022,0902400,Meriden School District,1,8630,-1,12,9170
2022,0902490,Middletown School District,1,4414,-1,12,9130
2022,0902520,Milford School District,1,5382,-1,12,9170
2022,0902550,Monroe School District,1,3398,-1,12,9120
2022,0902580,Montville School District,1,2017,-1,12,9180
2022,0902640,Naugatuck School District,1,4337,-1,12,9140
2022,0902670,New Britain School District,1,9717,-1,12,9110
2022,0902700,New Canaan School District,1,4168,-1,12,9190
2022,0902730,New Fairfield School District,1,2143,-1,12,9190
2022,0902760,New Hartford School District,1,443,-1,6,9160
2022,0902790,New Haven School District,1,19150,-1,12,9170
2022,0902820,New London School District,1,2948,-1,12,9180
2022,0902850,New Milford School District,1,3683,-1,12,9190
2022,0902880,Newington School District,1,3937,-1,12,9110
2022,0902910,Newtown School District,1,4003,-1,12,9190
2022,0902940,Norfolk School District,1,66,-1,6,9160
2022,0902970,North Branford School District,1,1538,-1,12,9170
2022,0903000,North Canaan School District,1,238,-1,8,9160
2022,0903030,North Haven School District,1,3187,-1,12,9170
2022,0903060,North Stonington School District,1,759,-1,12,9180
2022,0903090,Norwalk School District,1,11514,-1,12,9190
2022,0903120,Norwich School District,1,3348,-1,12,9180
2022,0903180,Old Saybrook School District,1,1070,-1,12,9130
2022,0903210,Orange School District,1,1281,-1,6,9170
2022,0903240,Oxford School District,1,1717,-1,12,9140
2022,0903270,Plainfield School District,1,1944,-1,12,9150
2022,0903300,Plainville School District,1,2291,-1,12,9110
2022,0903330,Plymouth School District,1,1306,-1,12,9140
2022,0903360,Pomfret School District,1,370,-1,8,9150
2022,0903390,Portland School District,1,1240,-1,12,9130
2022,0903420,Preston School District,1,440,-1,11,9180
2022,0903450,Learn,9,1410,-1,12,9130
2022,0903480,Putnam School District,1,1185,-1,12,9150
2022,0903510,Redding School District,1,832,-1,8,9120
2022,0903512,EdAdvance,9,277,1,12,9160
2022,0903515,Regional School District 06,1,853,-1,12,9160
2022,0903520,Regional School District 10,1,2147,-1,12,9160
2022,0903530,Regional School District 12,1,804,-1,12,9160
2022,0903535,Regional School District 13,1,1365,-1,12,9130
2022,0903536,Regional School District 14,1,1617,-1,12,9140
2022,0903537,Regional School District 15,1,3469,-1,12,9140
2022,0903538,Regional School District 16,1,1958,-1,12,9140
2022,0903539,Regional School District 17,1,1814,-1,12,9130
2022,0903540,Regional School District 18,1,1288,-1,12,9130
2022,0903570,Regional School District 11,1,225,7,12,9150
2022,0903600,Regional School District 01,1,326,4,12,9160
2022,0903630,Regional School District 04,1,751,6,12,9130
2022,0903660,Regional School District 05,1,2075,7,12,9170
2022,0903720,Regional School District 07,1,890,7,12,9160
2022,0903750,Regional School District 08,1,1206,7,12,9110
2022,0903780,Regional School District 09,1,779,9,12,9120
2022,0903810,Ridgefield School District,1,4568,-1,12,9190
2022,0903840,Rocky Hill School District,1,2550,-1,12,9110
2022,0903900,Salem School District,1,401,-1,12,9180
2022,0903930,Salisbury School District,1,296,-1,8,9160
2022,0903960,Scotland School District,1,97,-1,6,9150
2022,0903990,Seymour School District,1,2133,-1,12,9140
2022,0904020,Sharon School District,1,97,0,8,9160
2022,0904050,Shelton School District,1,4512,-1,12,9140
2022,0904080,Sherman School District,1,265,-1,12,9190
2022,0904110,Simsbury School District,1,4125,-1,12,9110
2022,0904140,Somers School District,1,1345,-1,12,9110
2022,0904170,South Windsor School District,1,4877,-1,12,9110
2022,0904230,Southington School District,1,6284,-1,12,9110
2022,0904260,Sprague School District,1,276,-1,12,9180
2022,0904290,Stafford School District,1,1401,-1,12,9110
2022,0904320,Stamford School District,1,16158,-1,12,9190
2022,0904350,Sterling School District,1,323,-1,12,9150
2022,0904380,Stonington School District,1,1800,-1,12,9180
2022,0904440,Stratford School District,1,6762,-1,12,9120
2022,0904470,Suffield School District,1,2041,-1,12,9110
2022,0904500,Thomaston School District,1,820,-1,12,9140
2022,0904530,Thompson School District,1,927,-1,12,9150
2022,0904560,Tolland School District,1,2302,-1,12,9110
2022,0904590,Torrington School District,1,3883,-1,12,9160
2022,0904620,Trumbull School District,1,6920,-1,12,9120
2022,0904650,Union School District,1,53,-1,8,9150
2022,0904680,Vernon School District,1,3148,-1,12,9110
2022,0904710,Voluntown School District,1,250,-1,12,9150
2022,0904740,Wallingford School District,1,5335,-1,12,9170
2022,0904830,Waterbury School District,1,18701,-1,12,9140
2022,0904860,Waterford School District,1,2338,-1,12,9180
2022,0904890,Watertown School District,1,2598,-1,12,9140
2022,0904920,West Hartford School District,1,9231,-1,12,9110
2022,0904950,West Haven School District,1,5976,-1,12,9170
2022,0904980,Westbrook School District,1,617,-1,12,9130
2022,0905010,Weston School District,1,2197,-1,12,9190
2022,0905040,Westport School District,1,5387,-1,12,9190
2022,0905070,Wethersfield School District,1,3646,-1,12,9110
2022,0905100,Willington School District,1,398,-1,8,9110
2022,0905130,Wilton School District,1,3788,-1,12,9190
2022,0905160,Winchester School District,1,606,-1,12,9160
2022,0905190,Windham School District,1,3224,-1,12,9180
2022,0905220,Windsor School District,1,3337,-1,12,9110
2022,0905250,Windsor Locks School District,1,1549,-1,12,9110
2022,0905280,Wolcott School District,1,2139,-1,12,9140
2022,0905310,Woodbridge School District,1,848,-1,6,9170
2022,0905370,Woodstock School District,1,774,-1,8,9150
2022,0905371,Norwich Free Academy District,1,2106,9,12,9180
2022,0905372,The Gilbert School District,1,410,7,12,9160
2022,0905373,The Woodstock Academy District,1,1041,9,12,9150
2022,0905374,Regional School District 20,1,,,,9160
2023,0900001,Office of Early Childhood (OEC),5,,-2,-2,9110
2023,0900002,Connecticut Technical Education and Career System,5,11194,9,12,9110
2023,0900003,Unified School District #1,5,144,9,12,9110
2023,0900004,Unified School District #2,5,69,7,12,9110
2023,0900005,Regional School District 19,1,1084,9,12,9110
2023,0900007,Jumoke Academy District,7,619,-1,12,9110
2023,0900009,Odyssey Community School District,7,370,-1,8,9110
2023,0900010,Integrated Day Charter School District,7,362,-1,8,9180
2023,0900011,Interdistrict School for Arts and Comm District,7,279,6,8,9180
2023,0900014,Common Ground High School District,7,223,9,12,9170
2023,0900015,The Bridge Academy District,7,281,7,12,9120
2023,0900016,Side By Side Charter School District,7,236,-1,8,9190
2023,0900018,Explorations District,7,88,9,12,9160
2023,0900024,Amistad Academy District,7,1125,0,12,9170
2023,0900026,Department of Social Services,5,,-2,-2,9110
2023,0900027,Department of Mental Health and Addiction Services,5,3,9,12,9110
2023,0900028,New Beginnings Inc Family Academy District,7,392,-1,8,9120
2023,0900030,Andover School District,1,205,-1,6,9110
2023,0900033,Park City Prep Charter School District,7,403,4,8,9120
2023,0900060,Ansonia School District,1,2397,-1,12,9140
2023,0900070,Area Cooperative Educational Services,9,1719,-1,12,9170
2023,0900090,Ashford School District,1,355,-1,8,9150
2023,0900120,Avon School District,1,3125,-1,12,9110
2023,0900150,Barkhamsted School District,1,218,-1,6,9160
2023,0900207,Highville Charter School District,7,504,-1,12,9170
2023,0900208,Achievement First Bridgeport Academy District,7,1098,0,12,9170
2023,0900210,Berlin School District,1,2661,-1,12,9110
2023,0900212,Achievement First Hartford Academy District,7,961,0,12,9170
2023,0900214,Elm City College Preparatory School District,7,775,0,12,9170
2023,0900215,Brass City Charter School District,7,363,-1,8,9140
2023,0900216,Elm City Montessori School District,7,305,-1,8,9170
2023,0900217,Booker T. Washington Academy District,7,384,0,8,9170
2023,0900219,Great Oaks Charter School District,7,659,6,12,9120
2023,0900220,Stamford Charter School for Excellence District,7,540,-1,8,9190
2023,0900221,Capital Preparatory Harbor School District,7,781,0,12,9120
2023,0900222,Judicial Centers,5,0,5,12,9110
2023,0900223,Shared Services,4,,-2,-2,9160
2023,0900224,Project Oceanology,4,,-2,-2,9180
2023,0900225,Office of Higher Education,5,,-2,-2,9110
2023,0900226,Goodwin University Educational Services (GUES),9,1214,-1,12,9110
2023,0900227,Department of Aging and Disability Services,5,,-2,-2,9110
2023,0900240,Bethany School District,1,445,-1,6,9170
2023,0900270,Bethel School District,1,3249,-1,12,9190
2023,0900330,Bloomfield School District,1,1982,-1,12,9110
2023,0900360,Bolton School District,1,699,-1,12,9110
2023,0900390,Bozrah School District,1,170,-1,10,9180
2023,0900420,Branford School District,1,2625,-1,12,9170
2023,0900450,Bridgeport School District,1,19591,-1,12,9120
2023,0900510,Bristol School District,1,7774,-1,12,9140
2023,0900540,Brookfield School District,1,2582,-1,12,9190
2023,0900570,Brooklyn School District,1,885,-1,12,9150
2023,0900630,Canaan School District,1,80,0,8,9160
2023,0900660,Canterbury School District,1,486,-1,12,9150
2023,0900690,Canton School District,1,1506,-1,12,9110
2023,0900700,Capitol Region Education Council,9,8916,-1,12,9110
2023,0900720,Chaplin School District,1,154,-1,6,9150
2023,0900750,Cheshire School District,1,4224,-1,12,9140
2023,0900780,Chester School District,1,207,-1,6,9130
2023,0900810,Clinton School District,1,1457,-1,12,9130
2023,0900840,Colchester School District,1,2161,-1,12,9180
2023,0900870,Colebrook School District,1,66,0,6,9160
2023,0900900,Columbia School District,1,477,-1,10,9110
2023,0900910,Cooperative Educational Services,9,808,-1,12,9120
2023,0900930,Cornwall School District,1,97,-1,8,9160
2023,0900960,Coventry School District,1,1633,-1,12,9110
2023,0900990,Cromwell School District,1,1904,-1,12,9130
2023,0901020,Danbury School District,1,12126,-1,12,9190
2023,0901050,Darien School District,1,4681,-1,12,9190
2023,0901080,Deep River School District,1,195,-1,6,9130
2023,0901110,Derby School District,1,1345,-1,12,9140
2023,0901170,East Granby School District,1,825,-1,12,9110
2023,0901200,East Haddam School District,1,999,-1,12,9130
2023,0901230,East Hampton School District,1,1742,-1,12,9130
2023,0901260,East Hartford School District,1,6410,-1,12,9110
2023,0901290,East Haven School District,1,2903,-1,12,9170
2023,0901320,East Lyme School District,1,2506,-1,12,9180
2023,0901350,East Windsor School District,1,1052,-1,12,9110
2023,0901360,Eastern Connecticut Regional Educational Service Center (EAS,9,368,1,12,9150
2023,0901380,Eastford School District,1,174,-1,12,9150
2023,0901410,Easton School District,1,904,-1,8,9120
2023,0901440,Ellington School District,1,2547,-1,12,9110
2023,0901470,Enfield School District,1,4826,-1,12,9110
2023,0901500,Essex School District,1,300,-1,6,9130
2023,0901530,Fairfield School District,1,9355,-1,12,9120
2023,0901560,Farmington School District,1,4194,-1,12,9110
2023,0901590,Franklin School District,1,192,-1,8,9180
2023,0901620,Glastonbury School District,1,5674,-1,12,9110
2023,0901680,Granby School District,1,1742,-1,12,9110
2023,0901710,Greenwich School District,1,8589,-1,12,9190
2023,0901740,Griswold School District,1,1775,-1,12,9180
2023,0901770,Groton School District,1,4099,-1,12,9180
2023,0901800,Guilford School District,1,3130,-1,12,9170
2023,0901860,Hamden School District,1,5455,-1,12,9170
2023,0901890,Hampton School District,1,74,-1,6,9150
2023,0901920,Hartford School District,1,16839,-1,12,9110
2023,0901950,Hartland School District,1,109,-1,8,9160
2023,0902010,Hebron School District,1,701,-1,6,9110
2023,0902040,Kent School District,1,191,-1,8,9160
2023,0902070,Killingly School District,1,2423,-1,12,9150
2023,0902130,Lebanon School District,1,985,-1,12,9180
2023,0902160,Ledyard School District,1,2445,-1,12,9180
2023,0902190,Lisbon School District,1,442,-1,12,9180
2023,0902220,Litchfield School District,1,822,-1,12,9160
2023,0902280,Madison School District,1,2434,-1,12,9170
2023,0902310,Manchester School District,1,6167,-1,12,9110
2023,0902340,Mansfield School District,1,1002,-1,8,9110
2023,0902370,Marlborough School District,1,445,-1,6,9110
2023,0902400,Meriden School District,1,8789,-1,12,9170
2023,0902490,Middletown School District,1,4378,-1,12,9130
2023,0902520,Milford School District,1,5327,-1,12,9170
2023,0902550,Monroe School District,1,3470,-1,12,9120
2023,0902580,Montville School District,1,2021,-1,12,9180
2023,0902640,Naugatuck School District,1,4231,-1,12,9140
2023,0902670,New Britain School District,1,9900,-1,12,9110
2023,0902700,New Canaan School District,1,4109,-1,12,9190
2023,0902730,New Fairfield School District,1,2154,-1,12,9190
2023,0902760,New Hartford School District,1,455,-1,6,9160
2023,0902790,New Haven School District,1,18966,-1,12,9170
2023,0902820,New London School District,1,2922,-1,12,9180
2023,0902850,New Milford School District,1,3602,-1,12,9190
2023,0902880,Newington School District,1,3893,-1,12,9110
2023,0902910,Newtown School District,1,3951,-1,12,9190
2023,0902940,Norfolk School District,1,56,-1,6,9160
2023,0902970,North Branford School District,1,1541,-1,12,9170
2023,0903000,North Canaan School District,1,244,-1,8,9160
2023,0903030,North Haven School District,1,3236,-1,12,9170
2023,0903060,North Stonington School District,1,741,-1,12,9180
2023,0903090,Norwalk School District,1,11520,-1,12,9190
2023,0903120,Norwich School District,1,3336,-1,12,9180
2023,0903180,Old Saybrook School District,1,1030,-1,12,9130
2023,0903210,Orange School District,1,1281,-1,6,9170
2023,0903240,Oxford School District,1,1667,-1,12,9140
2023,0903270,Plainfield School District,1,1895,-1,12,9150
2023,0903300,Plainville School District,1,2255,-1,12,9110
2023,0903330,Plymouth School District,1,1279,-1,12,9140
2023,0903360,Pomfret School District,1,349,-1,8,9150
2023,0903390,Portland School District,1,1243,-1,12,9130
2023,0903420,Preston School District,1,450,-1,12,9180
2023,0903450,Learn,9,1396,-1,12,9130
2023,0903480,Putnam School District,1,1181,-1,12,9150
2023,0903510,Redding School District,1,865,-1,8,9120
2023,0903512,EdAdvance,9,288,-1,12,9160
2023,0903515,Regional School District 06,1,848,-1,12,9160
2023,0903520,Regional School District 10,1,2121,-1,12,9160
2023,0903530,Regional School District 12,1,797,-1,12,9160
2023,0903535,Regional School District 13,1,1350,-1,12,9130
2023,0903536,Regional School District 14,1,1581,-1,12,9140
2023,0903537,Regional School District 15,1,3435,-1,12,9140
2023,0903538,Regional School District 16,1,1931,-1,12,9140
2023,0903539,Regional School District 17,1,1770,-1,12,9130
2023,0903540,Regional School District 18,1,1292,-1,12,9130
2023,0903570,Regional School District 11,1,212,7,12,9150
2023,0903600,Regional School District 01,1,314,5,12,9160
2023,0903630,Regional School District 04,1,723,6,12,9130
2023,0903660,Regional School District 05,1,2112,7,12,9170
2023,0903720,Regional School District 07,1,831,7,12,9160
2023,0903750,Regional School District 08,1,1162,7,12,9110
2023,0903780,Regional School District 09,1,749,9,12,9120
2023,0903810,Ridgefield School District,1,4474,-1,12,9190
2023,0903840,Rocky Hill School District,1,2530,-1,12,9110
2023,0903900,Salem School District,1,386,-1,12,9180
2023,0903930,Salisbury School District,1,303,-1,8,9160
2023,0903960,Scotland School District,1,103,-1,6,9150
2023,0903990,Seymour School District,1,2101,-1,12,9140
2023,0904020,Sharon School District,1,106,-1,8,9160
2023,0904050,Shelton School District,1,4513,-1,12,9140
2023,0904080,Sherman School District,1,246,-1,12,9190
2023,0904110,Simsbury School District,1,4165,-1,12,9110
2023,0904140,Somers School District,1,1357,-1,12,9110
2023,0904170,South Windsor School District,1,5022,-1,12,9110
2023,0904230,Southington School District,1,6242,-1,12,9110
2023,0904260,Sprague School District,1,291,-1,12,9180
2023,0904290,Stafford School District,1,1318,-1,12,9110
2023,0904320,Stamford School District,1,16339,-1,12,9190
2023,0904350,Sterling School District,1,328,-1,12,9150
2023,0904380,Stonington School District,1,1762,-1,12,9180
2023,0904440,Stratford School District,1,6743,-1,12,9120
2023,0904470,Suffield School District,1,2038,-1,12,9110
2023,0904500,Thomaston School District,1,776,-1,12,9140
2023,0904530,Thompson School District,1,885,-1,12,9150
2023,0904560,Tolland School District,1,2210,-1,12,9110
2023,0904590,Torrington School District,1,3945,-1,12,9160
2023,0904620,Trumbull School District,1,6940,-1,12,9120
2023,0904650,Union School District,1,51,-1,8,9150
2023,0904680,Vernon School District,1,3226,-1,12,9110
2023,0904710,Voluntown School District,1,236,-1,11,9150
2023,0904740,Wallingford School District,1,5292,-1,12,9170
2023,0904830,Waterbury School District,1,18956,-1,12,9140
2023,0904860,Waterford School District,1,2341,-1,12,9180
2023,0904890,Watertown School District,1,2578,-1,12,9140
2023,0904920,West Hartford School District,1,9261,-1,12,9110
2023,0904950,West Haven School District,1,5998,-1,12,9170
2023,0904980,Westbrook School District,1,597,-1,12,9130
2023,0905010,Weston School District,1,2168,-1,12,9190
2023,0905040,Westport School District,1,5333,-1,12,9190
2023,0905070,Wethersfield School District,1,3584,-1,12,9110
2023,0905100,Willington School District,1,394,-1,8,9110
2023,0905130,Wilton School District,1,3809,-1,12,9190
2023,0905160,Winchester School District,1,619,-1,12,9160
2023,0905190,Windham School District,1,3226,-1,12,9180
2023,0905220,Windsor School District,1,3342,-1,12,9110
2023,0905250,Windsor Locks School District,1,1487,-1,12,9110
2023,0905280,Wolcott School District,1,2132,-1,12,9140
2023,0905310,Woodbridge School District,1,882,-1,6,9170
2023,0905370,Woodstock School District,1,775,-1,12,9150
2023,0905371,Norwich Free Academy District,1,2071,9,12,9180
2023,0905372,The Gilbert School District,1,447,7,12,9160
2023,0905373,The Woodstock Academy District,1,974,9,12,9150
2023,0905374,Regional School District 20,1,,,,9160
2023,0905375,Edmonds Cofield Preparatory Academy for Young Men Inc. Distr,7,,,,9170
