"Student Counts by School and Race"
"All Districts, All Schools"
"2012-13"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",386,300,0,"*",6,702
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",704,108,"*",9,0,824
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",0,554,316,0,"*",15,904
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",9,145,138,"*","*",334,631
,,"Ansonia Middle School","=""0025111""","*","*",104,134,"*","*",215,463
,,"Mead School","=""0020311""","*","*",114,207,9,10,270,619
,,"Prendergast School","=""0020811""","*",13,135,193,"*",11,337,699
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",26,110,282,0,"*",286,722
,,"ACES Mill Road School","=""2449414""","*","*",58,46,0,12,29,147
,,"Village School","=""2449514""","*","*",32,32,0,0,76,149
,,"Whitney Academy","=""2449214""","*","*",38,35,0,"*",34,114
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*","*",263,115,0,32,188,630
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*","*","*",0,"*",24,36
,,"Whitney High School West","=""2449314""",0,"*",10,8,0,"*",25,45
,,"Whitney High School North","=""2449114""",0,0,45,27,0,"*","*",89
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",95,34,58,"*",27,865,1083
,,"Avon Middle School","=""0045111""","*",58,"*",35,0,22,478,611
,,"Pine Grove School","=""0040411""","*",74,26,36,0,"*",438,595
,,"Roaring Brook School","=""0040311""","*",52,24,35,0,"*",437,569
,,"Thompson Brook School","=""0040511""","*",55,18,31,0,"*",429,548
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",24,24,52,0,"*",593,712
,,"Mary E. Griswold School","=""0070511""","*",11,"*",44,0,22,483,567
,,"Berlin High School","=""0076111""",0,35,14,71,"*","*",829,962
,,"Emma Hart Willard School","=""0070411""",0,21,6,40,0,17,417,501
,,"Richard D. Hubbard School","=""0070111""",0,0,"*",22,0,"*",198,232
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",41,9,7,0,"*",414,473
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",62,29,119,0,"*",730,959
,,"Anna H. Rockwell School","=""0090411""",0,19,"*",71,0,"*",293,392
,,"Bethel Middle School","=""0095111""",0,47,14,84,0,17,522,684
,,"Frank A. Berry School","=""0090111""",0,32,15,47,"*","*",395,497
,,"Ralph M. T. Johnson School","=""0090511""",0,37,7,67,0,17,315,443
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",469,46,0,"*",18,541
,,"Metacomet School","=""0110511""","*",9,199,20,0,"*",6,237
,,"Wintonbury Early Childhood Magnet School","=""0110811""","*","*",96,26,0,19,161,322
,,"Carmen Arace Intermediate School","=""0110711""",0,"*",178,35,0,"*","*",220
,,"Carmen Arace Middle School","=""0115211""",0,"*",224,28,0,"*","*",261
,,"Global Experience Magnet School","=""0116311""",0,"*",116,16,0,"*",46,182
,,"Laurel Literacy Academy","=""0110611""",0,"*",273,29,"*",13,16,335
,,"Learning Academy at Bloomfield","=""0116411""",0,0,10,0,0,0,0,10
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",13,16,0,0,207,241
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",79,41,82,0,"*",827,1049
,,"Francis Walsh Intermediate School","=""0145111""","*",66,29,74,0,"*",796,989
,,"John B. Sliney School","=""0141611""","*",19,"*",53,0,11,280,371
,,"Mary T. Murphy School","=""0141411""","*",74,17,38,0,"*",287,429
