"Student Counts by School and Race"
"All Districts, All Schools"
"2011-12"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",296,236,0,"*","*",543
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",646,106,"*",6,"*",762
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",0,536,295,0,13,"*",857
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",6,"*",98,122,"*",0,240,472
,,"Mead School","=""0020311""","*",7,119,166,7,"*",302,610
,,"Prendergast School","=""0020811""","*",12,148,205,9,"*",358,738
,,"Ansonia High School","=""0026111""",0,"*",155,155,"*",0,375,695
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",24,111,278,0,"*",290,721
,,"Whitney Academy","=""2449214""","*","*",41,32,0,"*",36,114
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",37,261,107,0,"*",200,640
,,"ACES Mill Road School","=""2449414""",0,"*",62,49,0,"*",37,160
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*","*","*",0,"*",19,31
,,"Village School","=""2449514""",0,10,33,26,0,0,79,148
,,"Whitney High School North","=""2449114""",0,0,50,30,0,"*","*",94
,,"Whitney High School West","=""2449314""",0,0,12,"*",0,"*",26,47
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",78,33,49,"*",23,924,1112
,,"Pine Grove School","=""0040411""","*",80,23,45,0,"*",464,631
,,"Thompson Brook School","=""0040511""","*",55,"*",31,0,25,468,594
,,"Avon Middle School","=""0045111""",0,48,15,39,0,13,457,572
,,"Roaring Brook School","=""0040311""",0,51,"*",33,"*",21,466,590
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",23,"*",38,0,22,630,730
,,"Mary E. Griswold School","=""0070511""","*",11,"*",42,0,19,502,577
,,"Berlin High School","=""0076111""",0,36,"*",72,0,"*",843,976
,,"Emma Hart Willard School","=""0070411""",0,25,"*",36,0,"*",415,492
,,"Richard D. Hubbard School","=""0070111""",0,"*",7,17,0,"*",208,241
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",36,"*",10,0,0,435,491
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",56,24,118,"*",9,740,949
,,"Frank A. Berry School","=""0090111""","*",35,15,46,"*","*",390,493
,,"Anna H. Rockwell School","=""0090411""",0,21,"*",68,0,"*",290,389
,,"Bethel Middle School","=""0095111""",0,47,13,92,0,20,521,693
,,"Ralph M. T. Johnson School","=""0090511""",0,30,10,61,0,15,331,447
