"Student Counts by School and Race"
"All Districts, All Schools"
"2009-10"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",389,45,0,"*",440
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",470,257,"*",14,744
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*",183,153,0,421,777
,,"Ansonia Middle School","=""0025111""","*","*",93,99,0,275,477
,,"Mead School","=""0020311""","*","*",143,165,0,329,660
,,"Prendergast School","=""0020811""","*","*",163,191,0,436,811
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*","*",130,279,0,298,733
,,"ACES Mill Road School","=""2449414""","*","*",65,45,0,35,148
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*","*",277,96,0,211,630
,,"Collaborative Alternative Magnet School","=""2446114""",0,"*",31,"*",0,59,110
,,"Village School","=""2449514""",0,8,37,22,0,109,176
,,"Whitney Academy","=""2449214""",0,"*",42,"*",0,51,123
,,"Whitney High School North","=""2449114""",0,"*",41,37,0,"*",100
,,"Whitney High School West","=""2449314""",0,"*","*",12,0,32,56
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*",10,"*",26,0,430,475
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",75,"*",39,0,941,1079
,,"Pine Grove School","=""0040411""","*",70,"*",33,0,520,655
,,"Roaring Brook School","=""0040311""","*",83,"*",24,0,551,682
,,"Thompson Brook School","=""0040511""","*",52,"*",30,0,468,568
,,"Avon Middle School","=""0045111""",0,50,15,26,0,510,601
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*",8,0,327,345
,,"Shared Services Integrated Preschool","=""0058011""",0,"*","*",0,0,20,22
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",42,"*",23,0,948,1022
,,"Catherine M. McGee Middle School","=""0075111""","*",22,"*",21,0,682,733
