"Student Counts by School and Race"
"All Districts, All Schools"
"2018-19"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",9,584,480,"*","*",13,1093
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",782,304,"*",15,"*",1112
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",681,360,0,21,19,1083
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*",116,185,10,15,228,565
,,"Ansonia Middle School","=""0025111""",0,"*",64,130,"*",13,121,335
,,"Ansonia Public Schools Pre-K Program","=""0020911""",0,"*",16,43,0,"*",27,94
,,"Mead School","=""0020311""",0,"*",137,284,"*",27,181,634
,,"Prendergast School","=""0020811""",0,15,85,239,0,49,256,644
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,8,15,0,"*","*",27
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*","*",0,0,"*",6
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",37,94,364,"*",36,174,709
,,"Village School","=""2449514""","*",6,46,28,"*","*",54,139
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",23,272,129,"*",21,117,564
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",8,"*",0,"*",26,40
,,"Whitney Academy","=""2449214""",0,"*",19,22,0,"*",27,71
,,"Whitney High School West","=""2449314""",0,"*",9,"*",0,0,9,26
,,"ACES Mill Elementary School","=""2440214""",0,0,16,14,0,"*","*",41
,,"ACES Mill Road School","=""2449414""",0,0,68,40,0,6,20,134
,,"CREATE at Whitney Academy","=""2440114""",0,0,"*",18,0,"*",20,52
,,"Whitney High School North","=""2449114""",0,0,50,28,"*","*",13,98
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",142,40,55,0,"*",679,951
,,"Pine Grove School","=""0040411""","*",156,35,43,0,"*",367,626
,,"Roaring Brook School","=""0040311""","*",93,24,27,0,"*",319,483
,,"Thompson Brook School","=""0040511""","*",104,28,44,0,"*",309,509
,,"Avon Early Learning Center at Roaring Brook School","=""0040111""",0,10,10,"*",0,"*",31,58
,,"Avon Middle School","=""0045111""",0,96,21,34,0,21,339,511
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",19,"*",83,0,19,548,685
,,"Mary E. Griswold School","=""0070511""","*",13,"*",43,0,16,418,502
,,"Berlin High School","=""0076111""",0,35,23,93,0,24,724,899
,,"Emma Hart Willard School","=""0070411""",0,18,11,61,0,17,369,476
,,"Richard D. Hubbard School","=""0070111""",0,13,"*",32,0,"*",163,220
,,"Central Connecticut Transition Academy","=""0070311""",0,0,0,"*",0,0,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",28,"*",32,0,"*",294,364
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*",22,"*",91,0,17,279,429
,,"Bethel High School","=""0096111""","*",70,31,162,"*",16,621,904
,,"Bethel Middle School","=""0095111""","*",46,21,162,"*",11,501,745
,,"Frank A. Berry School","=""0090111""","*",37,"*",101,0,26,339,523
,,"Ralph M. T. Johnson School","=""0090511""",6,32,15,86,0,22,323,484
,,"TASK","=""0090311""",0,"*",0,"*",0,"*","*",12
,,"Community Partnership Program","=""0090211""",0,0,0,0,0,0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",456,56,0,17,13,547
,,"Carmen Arace Middle School","=""0115211""","*","*",173,25,0,13,8,223
,,"Global Experience Magnet School","=""0116311""","*","*",107,39,0,11,44,204
,,"Laurel Literacy Academy","=""0110611""","*","*",273,28,0,22,19,354
,,"Metacomet School","=""0110511""","*","*",213,28,0,10,8,263
,,"Wintonbury Early Childhood Magnet School","=""0110811""","*",25,120,37,0,"*",115,319
,,"Carmen Arace Intermediate School","=""0110711""",0,"*",207,23,"*",6,8,246
,,"Learning Academy at Bloomfield","=""0116411""",0,0,"*","*",0,0,0,8
,,"Steps to Success","=""0110111""",0,0,"*",0,0,"*","*",7
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*",65,35,102,0,"*",640,871
,,"Mary T. Murphy School","=""0141411""","*",41,"*",62,0,21,252,398
,,"Branford High School","=""0146111""",0,71,33,82,0,20,622,828
,,"Indian Neck School","=""0148011""",0,"*","*",12,0,"*",27,45
,,"John B. Sliney School","=""0141611""",0,11,19,42,0,18,213,303
,,"Mary R. Tisko School","=""0141511""",0,12,7,33,0,7,306,365
,,"Branford High School Atlas Program","=""0140211""",0,0,"*","*",0,0,35,40
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","*","*",98,134,0,27,24,287
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""","*",26,150,173,"*","*",95,449
,,"Barnum School","=""0150111""","*","*",146,406,0,"*",57,620
,,"Bassick High School","=""0156111""","*",14,332,477,0,"*",55,884
,,"Beardsley School","=""0150211""","*","*",130,170,0,6,18,331
,,"Black Rock School","=""0150311""","*",10,70,261,"*","*",138,483
,,"Blackham School","=""0154011""","*",41,293,487,"*",13,221,1067
,,"Bridgeport Military Academy","=""0151611""","*",0,75,192,0,"*",26,297
,,"Bryant School","=""0150411""",17,"*",138,132,0,"*",59,366
,,"Central High School","=""0156211""",13,44,591,639,"*","*",211,1515
,,"Cesar Batalla School","=""0151411""",8,25,210,730,"*","*",90,1072
,,"Classical Studies Academy","=""0152111""","*",11,226,153,"*",8,48,453
,,"Columbus School","=""0150511""","*","*",160,302,0,9,87,565
,,"Edison School","=""0150711""","*",6,84,67,0,"*",25,184
,,"Geraldine Claytor Magnet Academy","=""0153111""","*","*",187,223,"*",7,42,466
,,"Geraldine Johnson School","=""0153211""",15,27,203,474,0,11,69,799
,,"High Horizons Magnet School","=""0154511""","*",8,192,167,0,"*",81,454
,,"Information Technology & Software Engineering Magnet High School","=""0151511""","*",27,143,205,0,"*",87,475
,,"Interdistrict Discovery Magnet School","=""0153711""","*",27,139,165,0,"*",143,488
,,"James J. Curiale School","=""0154211""",8,25,230,251,"*","*",42,562
,,"Jettie S. Tisdale School","=""0152211""","*",11,278,293,"*",6,54,647
,,"John Winthrop School","=""0153611""","*",37,201,215,"*",18,188,664
,,"Luis Munoz Marin School","=""0151011""","*","*",204,527,"*",8,73,818
,,"Multicultural Magnet School","=""0154611""",23,6,46,273,"*","*",111,465
,,"Park City Magnet School","=""0151711""","*",50,210,198,0,"*",58,523
,,"Paul Laurence Dunbar School","=""0154111""","*","*",167,183,0,8,23,390
,,"Read School","=""0152511""","*","*",331,388,"*",12,57,797
,,"Roosevelt School","=""0152611""",6,21,197,293,"*","*",65,584
,,"Thomas Hooker School","=""0151311""","*","*",145,150,"*",11,50,360
,,"Waltersville School","=""0153011""","*","*",172,280,0,0,34,490
,,"Warren Harding High School","=""0156311""","*","*",403,597,"*",7,67,1082
