"Student Counts by School and Race"
"All Districts, All Schools"
"2018-19"

"",,,,"Race",,,,,,,
,,"A.B. Skane Center","=""0154411""",0,"*",63,107,0,"*",41,226
,,"Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""",0,30,146,185,"*","*",103,467
,,"Bridgeport Learning Center","=""0159011""",0,"*",37,32,0,0,"*",73
,,"Hall School","=""0151111""",0,"*",104,66,0,"*",22,200
,,"Hallen School","=""0151211""",0,"*",154,98,0,"*",30,289
,,"Madison School","=""0152011""",0,12,135,199,"*","*",98,453
,,"Wilbur Cross School","=""0153911""",0,"*",157,119,0,"*",32,311
,,"The Transition Academy","=""0152811""",0,0,16,"*",0,0,"*",27
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",77,315,0,42,679,1153
,,"Bristol Eastern High School","=""0176211""","*",28,74,227,"*",31,701,1065
,,"Chippens Hill Middle School","=""0175111""","*",26,57,234,"*",28,392,739
,,"Ellen P. Hubbell School","=""0171411""","*","*",31,142,0,27,180,401
,,"Northeast Middle School","=""0175211""","*",19,36,96,"*",19,318,490
,,"South Side School","=""0171111""","*",14,42,141,0,"*",279,489
,,"Stafford School","=""0171211""","*",21,40,110,"*",12,178,363
,,"Edgewood School","=""0170311""",0,13,8,97,0,11,147,276
,,"Chippens Hilll Middle School Extended Resource","=""0170811""",0,"*",0,6,0,0,"*",13
,,"Edgewood Pre-K Academy","=""0170411""",0,"*","*",29,0,8,66,107
,,"Greene-Hills School","=""0170511""",0,45,68,313,"*","*",462,918
,,"Hubbell/Extended Resource","=""0172111""",0,"*",0,"*",0,0,"*","*"
,,"Ivy Drive School","=""0171911""",0,8,36,75,0,21,236,376
,,"LEAD","=""0173711""",0,"*","*","*",0,0,"*",9
,,"LEAD Pre-K","=""0172911""",0,"*","*","*",0,"*","*",7
,,"Mountain View School","=""0171711""",0,21,15,85,0,18,211,350
,,"Stafford LEAD","=""0173211""",0,"*","*","*",0,0,"*",10
,,"West Bristol School","=""0172011""",0,20,52,345,0,46,447,910
,,"Breakthrough","=""0172611""",0,0,"*","*",0,0,"*",6
,,"Bristol Preparatory Academy","=""0173311""",0,0,"*",15,0,"*",18,37
,,"CHMS Learning Center","=""0173411""",0,0,"*",7,0,0,"*",11
,,"Chippens Hill Middle School EXCEL","=""0171011""",0,0,"*",6,0,0,"*",9
,,"Community/Vocational Program","=""0179211""",0,0,"*","*",0,"*",11,17
,,"Destinations Academy","=""0179011""",0,0,"*",8,"*",0,8,20
,,"Greene-Hills GOAL","=""0170911""",0,0,"*","*",0,0,"*",7
,,"ACCESS","=""0170211""",0,0,0,"*",0,0,"*",10
,,"Breakthrough GOAL","=""0172511""",0,0,0,"*",0,"*",0,"*"
,,"EXCEL - MS","=""0171611""",0,0,0,"*",0,0,"*","*"
,,"Mountain View School EXCEL","=""0172311""",0,0,0,"*",0,0,"*","*"
,,"Northeast MS/Extended Resource","=""0172711""",0,0,0,"*",0,0,"*",6
,,"Northeast Middle School Learning Center","=""0172811""",0,0,0,"*",0,0,"*","*"
,,"South Side Extended Resource","=""0173011""",0,0,0,8,0,"*","*",12
,,"South Side GOAL","=""0173111""",0,0,0,"*",0,"*","*",6
,,"Mt. View Extended Resource","=""0172411""",0,0,0,0,0,0,"*","*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",23,13,42,0,"*",262,354
,,"Huckleberry Hill Elementary School","=""0180411""","*",47,12,69,"*",7,391,531
,,"Whisconier Middle School","=""0185311""","*",70,26,104,"*",7,641,854
,,"Brookfield High School","=""0186111""",0,65,20,110,"*","*",680,880
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",16,"*",65,0,22,431,548
,,"Brooklyn Middle School","=""0195111""","*",9,"*",33,"*",12,301,362
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*",0,"*",14,0,0,266,286
,,"Dr. Helen Baldwin Middle School","=""0225111""",0,0,"*",8,0,"*",167,179
"Capital Preparatory Harbor School District","=""2970013""","Capital Preparatory Harbor School","=""2970113""","*",0,463,167,0,"*","*",634
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*",75,229,286,"*",27,166,786
,,"Academy of Aerospace and Engineering Elementary","=""2410714""","*",85,124,150,"*",19,121,501
,,"Academy of Computer Science and Engineering Middle School","=""2415014""","*","*",183,272,0,39,142,666
,,"Academy of International Studies 6-12","=""2416114""","*",28,337,159,"*",46,137,710
,,"Academy of Science and Innovation","=""2416514""","*",38,203,362,"*",27,165,801
,,"Discovery Academy","=""2418114""","*",34,79,201,"*",36,166,519
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*",43,96,179,0,"*",116,456
,,"Museum Academy","=""2410514""","*","*",205,137,0,38,114,521
,,"Reggio Magnet School of the Arts","=""2410314""","*","*",152,164,0,33,162,521
,,"University of Hartford Magnet School","=""2410214""","*",31,211,113,0,"*",91,476
,,"Academy of Computer Science and Engineering","=""2415214""",0,"*",63,189,"*",16,68,344
,,"Academy of International Studies Elementary School","=""2410414""",0,88,155,140,0,25,69,477
,,"Ana Grace Academy of the Arts","=""2410614""",0,"*",119,202,"*",32,117,478
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""",0,"*",125,177,0,"*",116,442
,,"Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,"*",79,155,0,"*",86,335
,,"Montessori Magnet School","=""2413114""",0,11,37,204,0,22,83,357
,,"River Street School","=""2419314""",0,"*",24,22,0,"*",64,117
,,"River Street School Birken Campus","=""2419514""",0,"*",8,12,0,"*",26,52
,,"STRIVE - Southern Transition Real-World and Independent Voc Ed","=""2419714""",0,"*",0,0,0,0,"*",12
,,"Soundbridge","=""2419114""",0,"*",0,0,0,0,"*",18
,,"Soundbridge @ Chippens Hill MS Bristol","=""2411514""",0,"*","*","*",0,0,0,"*"
,,"Soundbridge@Mountain View Elementary School","=""2411714""",0,"*",0,"*",0,0,"*",10
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*",0,0,"*","*",7
,,"IPM @ Plainville High School","=""2419414""",0,0,"*",0,0,0,"*","*"
,,"John J. Allison Polaris Center","=""2419014""",0,0,"*",23,0,0,"*",44
,,"Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,"*","*",0,0,"*",7
,,"River Street School Early Learning Center","=""2411414""",0,0,"*","*",0,"*","*",8
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*",14,"*",10,0,11,267,312
,,"Cheshire High School","=""0256111""","*",156,33,68,0,"*",1177,1450
,,"Doolittle School","=""0250611""","*",31,"*",40,0,20,336,444
,,"Highland School","=""0250411""","*",84,19,48,0,"*",573,743
,,"Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,"*","*",0,0,0,10,12
,,"Darcey School","=""0250211""",0,16,"*",16,0,"*",133,178
,,"Dodd Middle School","=""0255111""",0,61,21,40,0,12,548,682
,,"Norton School","=""0250511""",0,51,8,25,0,17,324,425
,,"Humiston Alternative School","=""0250911""",0,0,"*","*",0,0,12,17
,,"QU College Life","=""0251011""",0,0,0,0,0,0,7,7
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",7,"*",48,0,6,187,251
,,"Jared Eliot School","=""0275111""","*",18,"*",62,0,6,349,438
,,"Lewin G. Joel Jr. School","=""0270311""","*",10,"*",104,0,7,347,472
,,"The Morgan School","=""0276111""","*",15,"*",79,"*",6,477,582
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*",19,"*",47,0,26,651,759
,,"William J. Johnston Middle School","=""0285111""","*",16,7,36,"*",19,440,520
,,"Colchester Elementary School","=""0280411""",0,9,6,38,0,24,456,533
,,"Jack Jackter Intermediate School","=""0280211""",0,10,"*",33,"*",24,409,482
,,"Bacon Academy Alternative Education","=""0280511""",0,0,0,"*",0,0,"*",10
,,"School Resilience Program","=""0280611""",0,0,0,0,0,0,7,7
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*","*",30,0,10,389,433
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*",13,177,444,"*","*",32,677
,,"Bullard-Havens Technical High School","=""9001116""","*","*",213,488,0,20,30,760
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",44,390,0,21,179,647
,,"Eli Whitney Technical High School","=""9001416""","*",7,215,288,"*",14,66,593
,,"Ella T. Grasso Technical High School","=""9002716""","*",7,35,162,"*",34,246,491
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",45,335,0,27,341,763
,,"H. H. Ellis Technical High School","=""9001316""","*",6,"*",39,0,16,590,657
,,"Norwich Technical High School","=""9002016""","*","*",43,111,0,49,426,641
,,"Platt Technical High School","=""9002616""","*","*",111,325,0,35,322,808
,,"Vinal Technical High School","=""9001816""","*","*",33,64,"*",27,280,407
,,"W. F. Kaynor Technical High School","=""9002316""","*",25,97,334,"*",37,288,787
,,"Windham Technical High School","=""9002416""","*","*",6,181,0,6,253,448
,,"Emmett O'Brien Technical High School","=""9002516""",0,"*",50,179,"*",21,350,607
,,"Henry Abbott Technical High School","=""9001216""",0,8,25,320,0,19,300,672
,,"Howell Cheney Technical High School","=""9001616""",0,18,70,169,0,32,342,631
,,"J. M. Wright Technical High School","=""9002116""",0,"*",77,250,0,"*",83,421
,,"Oliver Wolcott Technical High School","=""9002216""",0,"*",12,73,"*",23,524,637
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*","*",24,0,6,326,363
,,"Coventry High School","=""0326111""","*",6,"*",19,0,23,389,440
,,"Coventry Grammar School","=""0320211""",0,"*","*",29,0,19,292,349
,,"George Hersey Robertson School","=""0320411""",0,"*","*",17,0,10,334,372
,,"Hale Early Education Center","=""0320311""",0,"*",0,"*",0,"*",90,98
,,"Coventry Academy","=""0320111""",0,0,0,"*",0,0,"*",19
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",39,51,42,0,"*",384,526
,,"Edna C. Stevens School","=""0330211""","*","*",24,61,0,26,345,478
,,"Woodside Intermediate School","=""0330311""","*",24,42,46,"*",19,316,451
,,"Cromwell Middle School","=""0335111""",0,43,41,43,"*","*",339,477
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*","*",10,44,0,"*",30,91
,,"Broadview Middle School","=""0345111""","*",56,72,479,0,"*",331,977
,,"DPS Early Childhood Center","=""0340111""","*",12,8,73,0,"*",49,150
,,"Danbury High School","=""0346111""","*",225,251,1445,"*",81,1078,3086
,,"Hayestown Avenue School","=""0340211""","*",53,28,253,0,"*",121,470
,,"King Street Primary School","=""0341311""","*",17,22,248,0,"*",156,452
,,"Mill Ridge Primary School","=""0340511""","*",22,33,165,0,"*",140,373
,,"Stadley Rough School","=""0341611""","*",21,34,248,0,"*",193,514
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*",37,39,111,0,"*",185,377
,,"Westside Middle School Academy","=""0340311""","*",53,40,242,0,"*",283,639
,,"Ellsworth Avenue School","=""0341411""",0,22,10,337,0,9,91,469
,,"Great Plain School","=""0341111""",0,26,14,125,0,11,124,300
,,"King Street Intermediate School","=""0341711""",0,13,28,178,0,10,141,370
,,"Morris Street School","=""0340611""",0,12,15,235,0,14,56,332
,,"Park Avenue School","=""0340811""",0,24,28,402,"*","*",167,640
,,"Pembroke School","=""0341511""",0,32,21,157,0,13,122,345
,,"Rogers Park Middle School","=""0345211""",0,53,68,579,"*","*",253,979
,,"Shelter Rock School","=""0341211""",0,49,34,262,0,11,189,545
,,"South Street School","=""0341011""",0,21,36,250,0,9,74,390
,,"Western Connection","=""0340711""",0,0,"*","*",0,0,7,9
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",70,20,73,0,"*",1238,1418
,,"Middlesex Middle School","=""0355111""","*",57,"*",61,0,27,947,1101
,,"Royle Elementary School","=""0350511""","*",17,"*",27,0,13,350,416
,,"Hindley Elementary School","=""0350211""",0,28,"*","*",0,23,386,460
,,"Holmes Elementary School","=""0350711""",0,23,"*","*",0,25,380,449
,,"Ox Ridge Elementary School","=""0351311""",0,20,0,27,0,25,349,421
,,"Tokeneke Elementary School","=""0350611""",0,"*","*",23,0,21,417,476
"Derby School District","=""0370011""","Derby High School","=""0376111""","*","*",64,101,"*",10,150,330
,,"Bradley School","=""0370611""",0,"*",41,76,"*",17,109,252
,,"Derby Middle School","=""0375011""",0,"*",56,109,"*",18,147,341
,,"Irving School","=""0370411""",0,"*",64,142,0,"*",81,313
,,"Little Raiders University","=""0370111""",0,0,10,13,"*","*",16,44
,,"RAISE Academy","=""0370511""",0,0,"*","*",0,0,9,18
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",11,10,9,"*",6,151,189
,,"East Granby High School","=""0406111""","*",16,21,20,0,"*",198,263
,,"R. Dudley Seymour School","=""0400211""","*",17,16,15,0,"*",138,195
,,"East Granby Middle School","=""0405111""",0,16,16,"*",0,"*",155,201
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*","*",13,0,8,294,321
,,"Nathan Hale-Ray High School","=""0416111""","*","*","*",16,"*","*",299,326
,,"Nathan Hale-Ray Middle School","=""0415111""","*",6,"*",16,0,"*",327,360
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*","*",16,0,11,242,276
,,"East Hampton High School","=""0426111""","*",7,6,24,"*",6,455,500
,,"East Hampton Middle School","=""0425111""",0,"*","*",28,"*",10,415,465
,,"Memorial School","=""0420111""",0,14,10,43,0,26,524,617
,,"The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,"*","*",6
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*",35,59,48,0,"*",43,191
,,"Dr. Franklin H. Mayberry School","=""0430611""","*","*",117,195,0,14,21,361
,,"East Hartford High School","=""0436211""","*",101,624,782,"*",34,230,1777
,,"East Hartford Middle School","=""0435111""","*",42,321,519,"*",60,107,1051
,,"Governor William Pitkin School","=""0432011""","*",34,90,131,0,"*",52,324
,,"Joseph O. Goodwin School","=""0430411""","*","*",88,164,0,29,54,353
,,"Silver Lane School","=""0431211""","*",0,89,144,0,17,"*",266
,,"Sunset Ridge Middle School","=""0432411""","*","*",92,152,0,18,46,323
,,"Woodland School","=""0439011""","*","*",63,82,0,9,20,178
,,"Anna E. Norris School","=""0430911""",0,10,69,206,0,12,11,308
,,"Dr. John A. Langford School","=""0432211""",0,8,109,199,0,6,31,353
,,"Dr. Thomas S. O'Connell School","=""0431011""",0,17,122,227,0,38,125,529
,,"Early Childhood Learning Center at Hockanum School","=""0430211""",0,15,74,179,0,14,36,318
,,"Robert J. O'Brien School","=""0431811""",0,"*",130,211,"*",14,19,386
,,"Synergy Alternative Program","=""0436411""",0,0,28,50,0,"*","*",94
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","*",9,11,61,"*",9,139,231
,,"Dominick H. Ferrara School","=""0441311""","*",10,8,48,0,"*",111,185
,,"Grove J. Tuttle School","=""0441011""","*",11,15,96,0,"*",148,280
,,"Joseph Melillo Middle School","=""0445111""","*",18,36,166,0,"*",285,511
,,"Carbone School/East Haven Academy","=""0441711""",0,7,9,56,0,9,233,314
,,"East Haven High School","=""0446111""",0,47,30,239,"*","*",567,897
,,"Momauguin School","=""0440711""",0,6,14,102,0,10,159,291
,,"Overbrook Early Learning Center","=""0441811""",0,9,9,55,0,12,74,159
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*",96,23,74,"*",53,750,1002
,,"East Lyme Middle School","=""0455111""","*",75,"*",62,0,38,617,803
,,"Flanders School","=""0450111""",0,31,"*",30,0,"*",251,334
,,"Integrated Preschool","=""0458011""",0,"*","*","*",0,"*",49,57
,,"Lillie B. Haynes School","=""0450411""",0,33,9,22,0,17,217,298
,,"Niantic Center School","=""0450211""",0,"*","*",11,0,13,146,176
,,"Abilities in Motion (AIM) Program","=""0450511""",0,0,"*","*",0,0,6,8
,,"Coastal Connections","=""0450611""",0,0,0,0,0,"*","*",15
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*",38,58,113,0,"*",236,472
,,"East Windsor Middle School","=""0475411""","*",11,42,77,0,"*",180,319
,,"East Windsor High School","=""0476111""",0,"*",47,55,0,"*",174,295
,,"East Windsor Transition Program","=""0470411""",0,0,0,"*",0,0,"*",6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",0,"*",32,0,9,70,120
,,"EastConn Special Education","=""2539014""","*",0,6,26,0,"*",82,120
,,"Quinebaug Middle College","=""2536114""","*","*",6,37,0,"*",128,178
,,"EastConn Transition Academy","=""2530114""",0,0,"*",0,0,0,"*",11
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",18,"*",21,0,9,281,332
,,"Samuel Staples Elementary School","=""0460111""",0,33,"*",40,"*",15,468,565
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""","*",6,9,40,7,"*",146,210
,,"Torrington Alternative Program","=""2420214""","*",0,"*","*",0,"*",10,17
,,"Steps Middle and High School","=""2420114""",0,0,"*","*",0,"*",14,22
,,"Steps-Expelled Student","=""2420314""",0,0,"*","*",0,0,"*","*"
,,"B.E.A.M Elementary School","=""2429014""",0,0,0,7,0,0,17,24
,,"ACCESS HS- Expelled Student","=""2420414""",0,0,0,0,0,0,"*","*"
"Ellington School District","=""0480011""","Center School","=""0480111""",0,12,20,24,"*","*",412,477
,,"Ellington Middle School","=""0485111""","*",43,20,"*",0,13,352,438
,,"Windermere School","=""0480611""","*",188,26,59,"*",25,389,690
,,"Crystal Lake School","=""0480211""",0,15,17,18,0,12,262,324
,,"ECLIPSE - Ellington Continuing Life Independence Post-Secondary Education","=""0480411""",0,"*",0,0,0,0,"*","*"
,,"Ellington High School","=""0486111""",0,50,27,35,0,20,666,798
,,"TEPSEP - The Ellington Public Schools Expulsion Program","=""0480511""",0,0,"*",0,0,0,0,"*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*","*",529,197,0,12,15,756
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*",53,94,214,"*",58,1073,1500
,,"Hazardville Memorial School","=""0490411""","*",12,28,63,0,"*",244,356
,,"John F. Kennedy Middle School","=""0495211""","*",40,68,194,"*",50,791,1149
,,"Prudence Crandall School","=""0491511""","*",16,28,77,0,"*",265,399
,,"EPS PK STEAM Academy","=""0491011""",0,"*",17,14,0,"*",31,68
,,"Edgar H. Parkman School","=""0491311""",0,9,15,53,0,15,238,330
,,"Eli Whitney School","=""0491611""",0,8,25,57,0,12,249,351
,,"Enfield High - Adaptive Learning Program (ALP)","=""0490111""",0,"*","*",0,0,0,"*",6
,,"Enfield Street School","=""0490211""",0,11,14,41,0,17,229,312
,,"Head Start Program","=""0498011""",0,"*",6,34,0,"*",59,104
,,"Henry Barnard School","=""0491811""",0,"*",36,65,"*",22,241,378
,,"John F. Kennedy - Adaptive Learning Program (ALP)","=""0490911""",0,"*","*","*",0,0,"*",6
,,"SELC Integrated Pre-Kindergarten","=""0492211""",0,"*","*","*",0,"*",62,74
,,"Enfield Transitional Learning Academy","=""0499011""",0,0,"*",0,0,0,"*",12
,,"Henry Barnard - DLP","=""0490311""",0,0,"*",0,0,0,"*","*"
,,"Henry Barnard - Primary Adaptive Learning (PAL)","=""0490811""",0,0,"*",0,0,0,"*","*"
,,"Edgar H. Parkman - Adaptive Learning","=""0490511""",0,0,0,"*",0,0,"*","*"
,,"Eli Whitney - Adaptive Learning (IAL)","=""0491411""",0,0,0,"*",0,0,"*","*"
,,"Prudence Crandall - SOAR","=""0490711""",0,0,0,"*",0,0,"*","*"
,,"Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",0,0,0,0,0,"*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","*",30,"*",34,0,33,311,422
,,"Dwight Elementary School","=""0510111""","*",15,"*",16,0,12,245,298
,,"Fairfield Ludlowe High School","=""0516011""","*",94,"*",130,0,45,1243,1533
,,"Fairfield Warde High School","=""0516211""","*",90,"*",225,0,60,1056,1479
,,"Mill Hill School","=""0510711""","*",23,"*",18,0,19,280,346
,,"Sherman School","=""0511311""","*",9,"*",29,0,25,378,447
,,"Tomlinson Middle School","=""0515111""","*",53,"*",113,0,33,449,662
,,"Early Childhood Center","=""0518011""",0,"*","*",15,0,"*",80,108
,,"Fairfield School/Community Partnership","=""0510511""",0,"*","*","*",0,0,10,15
,,"Fairfield Woods Middle School","=""0515211""",0,62,24,96,0,31,697,910
,,"Holland Hill School","=""0510411""",0,25,13,78,0,23,220,359
