"Student Counts by School and Race"
"All Districts, All Schools"
"2020-21"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",9,597,502,"*","*",12,1127
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",10,"*",840,294,"*",14,"*",1164
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",701,396,0,20,11,1134
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",13,115,196,"*",18,159,503
,,"Ansonia Middle School","=""0025111""",0,7,63,164,0,22,109,365
,,"Mead School","=""0020311""",0,"*",134,310,"*",33,140,623
,,"Prendergast School","=""0020811""",0,15,98,273,0,46,204,636
,,"Ansonia Public Schools Pre-K Program","=""0020911""",0,0,"*",26,0,"*",14,51
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,8,14,0,"*","*",28
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*",0,0,"*","*",6
,,"Ansonia 18-21 Transition Program","=""0021011""",0,0,0,"*",0,0,"*","*"
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",32,111,405,"*",34,133,720
,,"Whitney Academy","=""2449214""","*","*",23,28,"*","*",43,101
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*","*",215,127,0,30,95,491
,,"CREATE at Whitney Academy","=""2440114""",0,"*",19,23,0,"*",22,67
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",8,"*",0,"*",24,40
,,"Village School","=""2449514""",0,"*",44,29,0,"*",47,126
,,"ACES Mill Elementary School","=""2440214""",0,0,38,20,0,"*","*",82
,,"ACES Mill Road School","=""2449414""",0,0,43,21,0,"*","*",82
,,"ACES at Mead Elementary School","=""2440414""",0,0,"*","*",0,"*","*",10
,,"Whitney High School North","=""2449114""",0,0,51,31,"*",12,"*",107
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",166,53,65,0,"*",634,957
,,"Roaring Brook School","=""0040311""","*",86,23,34,"*",21,320,489
,,"Thompson Brook School","=""0040511""","*",122,28,38,0,"*",296,503
,,"Avon Early Learning Center at Roaring Brook School","=""0040111""",0,"*",7,7,0,"*",21,43
,,"Avon Middle School","=""0045111""",0,107,33,47,0,23,301,511
,,"Pine Grove School","=""0040411""",0,133,37,38,0,23,373,604
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",36,"*",102,0,32,716,903
,,"Catherine M. McGee Middle School","=""0075111""",0,24,18,82,0,19,489,632
,,"Emma Hart Willard School","=""0070411""",0,13,13,50,0,20,348,444
,,"Mary E. Griswold School","=""0070511""",0,11,14,51,0,15,403,494
,,"Richard D. Hubbard School","=""0070111""",0,13,"*",28,0,"*",151,208
,,"Central Connecticut Transition Academy","=""0070311""",0,0,0,0,0,"*","*",11
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",19,"*",36,0,7,301,369
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",79,32,183,"*",10,628,935
,,"Bethel Middle School","=""0095111""",12,53,28,178,0,28,496,795
,,"Frank A. Berry School","=""0090111""","*",39,14,89,0,"*",195,356
,,"Ralph M. T. Johnson School","=""0090511""","*",49,24,153,"*",28,430,695
,,"Anna H. Rockwell School","=""0090411""",0,21,10,78,0,13,158,280
,,"TASK","=""0090311""",0,"*","*","*",0,0,10,15
,,"Community Partnership Program","=""0090211""",0,0,0,"*",0,0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",422,58,0,10,10,506
,,"Carmen Arace Intermediate School","=""0110711""","*","*",186,29,0,9,6,234
,,"Carmen Arace Middle School","=""0115211""","*","*",224,29,0,8,7,270
,,"Global Experience Magnet School","=""0116311""","*","*",79,68,0,13,30,192
,,"Metacomet School","=""0110511""","*","*",172,23,0,8,"*",214
,,"Laurel Literacy Academy","=""0110611""",0,"*",243,44,0,16,"*",319
,,"Wintonbury Early Childhood Magnet School","=""0110811""",0,35,113,37,0,18,106,309
,,"Steps to Success","=""0110111""",0,0,"*","*",0,0,0,15
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",63,25,95,0,"*",575,780
,,"Francis Walsh Intermediate School","=""0145111""","*",62,41,105,0,"*",588,825
,,"Mary T. Murphy School","=""0141411""","*",37,18,60,0,"*",190,325
,,"Access Transition Program","=""0140311""",0,"*",0,0,0,0,"*",14
,,"Indian Neck School","=""0148011""",0,"*","*",8,0,"*",28,43
,,"John B. Sliney School","=""0141611""",0,"*","*",45,0,20,161,243
,,"Mary R. Tisko School","=""0141511""",0,11,"*",32,"*",12,266,330
,,"Branford High School Atlas Program","=""0140211""",0,0,0,"*",0,0,"*",19
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","*","*",120,177,0,22,31,361
"Bridgeport School District","=""0150011""","A.B. Skane Center","=""0154411""","*",6,58,117,0,"*",20,205
,,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""","*",21,96,119,"*","*",68,314
,,"Barnum School","=""0150111""","*","*",148,398,0,"*",43,597
,,"Bassick High School","=""0156111""","*",9,316,516,0,"*",53,904
,,"Beardsley School","=""0150211""","*","*",106,164,"*","*",13,292
,,"Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""","*",27,123,166,0,"*",63,382
,,"Black Rock School","=""0150311""","*",9,67,274,"*","*",119,474
,,"Blackham School","=""0154011""",13,31,265,543,"*","*",166,1030
,,"Bridgeport Military Academy","=""0151611""","*","*",84,214,"*","*",36,340
,,"Bryant School","=""0150411""","*",8,115,136,0,"*",40,310
,,"Central High School","=""0156211""","*",38,551,730,"*",17,196,1545
,,"Cesar Batalla School","=""0151411""","*",16,218,721,"*",10,79,1052
,,"Classical Studies Academy","=""0152111""","*",16,212,159,"*",6,28,425
,,"Columbus School","=""0150511""","*","*",120,336,0,"*",60,525
,,"Geraldine Claytor Magnet Academy","=""0153111""","*","*",154,205,0,11,25,403
,,"Geraldine Johnson School","=""0153211""","*",21,195,462,"*",10,52,750
,,"Hallen School","=""0151211""","*","*",157,95,0,6,19,284
,,"High Horizons Magnet School","=""0154511""","*",8,180,194,0,"*",65,456
,,"Information Technology & Software Engineering Magnet High School","=""0151511""","*",21,106,168,0,"*",68,374
,,"Interdistrict Discovery Magnet School","=""0153711""","*",26,136,187,0,"*",126,486
,,"James J. Curiale School","=""0154211""","*",22,195,252,"*",9,34,517
,,"Jettie S. Tisdale School","=""0152211""","*",15,230,265,0,"*",45,563
,,"John Winthrop School","=""0153611""","*",33,166,299,"*",14,91,607
,,"Luis Munoz Marin School","=""0151011""","*","*",170,550,"*",12,51,788
,,"Madison School","=""0152011""","*",6,126,189,"*",9,80,413
,,"Multicultural Magnet School","=""0154611""",23,"*",30,278,"*","*",97,439
,,"Park City Magnet School","=""0151711""","*",34,186,221,0,"*",50,498
,,"Read School","=""0152511""","*","*",266,405,"*","*",62,744
,,"Roosevelt School","=""0152611""","*",18,143,275,0,"*",50,493
,,"Thomas Hooker School","=""0151311""","*","*",116,137,"*",10,37,305
,,"Waltersville School","=""0153011""","*",0,160,299,0,"*",28,493
,,"Warren Harding High School","=""0156311""","*",9,387,712,"*",10,69,1193
,,"Bridgeport Learning Center","=""0159011""",0,"*",37,"*",0,0,0,61
,,"Edison School","=""0150711""",0,"*",87,83,"*","*",16,196
,,"Hall School","=""0151111""",0,"*",90,61,0,"*",14,175
,,"Paul Laurence Dunbar School","=""0154111""",0,"*",107,162,0,"*",19,300
,,"The Transition Academy","=""0152811""",0,"*",15,12,0,0,"*",29
,,"Wilbur Cross School","=""0153911""",0,"*",128,157,0,"*",27,315
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",77,391,0,47,656,1202
,,"Bristol Eastern High School","=""0176211""","*",43,86,274,"*",42,658,1108
,,"Greene-Hills School","=""0170511""","*","*",69,295,0,40,454,898
,,"South Side School","=""0171111""","*","*",37,149,0,13,258,467
,,"Stafford LEAD","=""0173211""","*","*","*","*",0,0,"*",13
,,"Edgewood School","=""0170311""",0,9,8,102,0,14,131,264
,,"Chippens Hill Middle School","=""0175111""",0,34,54,249,"*","*",327,694
,,"EXCEL - MS","=""0171611""",0,"*",0,0,0,0,"*","*"
,,"Edgewood Pre-K Academy","=""0170411""",0,"*","*",38,0,10,46,96
,,"Ellen P. Hubbell School","=""0171411""",0,10,34,146,0,30,154,374
,,"Greene Hills Extended Resource","=""0173811""",0,"*",0,"*",0,0,0,7
,,"Hubbell/Extended Resource","=""0172111""",0,"*",0,"*",0,0,0,"*"
,,"Ivy Drive School","=""0171911""",0,9,31,89,0,24,205,358
,,"LEAD","=""0173711""",0,"*","*","*",0,0,"*",9
,,"LEAD Pre-K","=""0172911""",0,"*",0,"*",0,0,6,12
,,"Mountain View School","=""0171711""",0,16,16,83,0,18,183,316
,,"Northeast Middle School","=""0175211""",0,21,31,104,0,21,244,421
,,"Stafford School","=""0171211""",0,12,30,134,0,17,134,327
,,"West Bristol School","=""0172011""",0,"*",66,351,"*",54,354,843
,,"Breakthrough","=""0172611""",0,0,"*","*",0,"*","*",8
,,"Bristol Preparatory Academy","=""0173311""",0,0,"*",17,0,"*",27,47
,,"CHMS Learning Center","=""0173411""",0,0,"*","*",0,"*","*",10
,,"Chippens Hill Middle School EXCEL","=""0171011""",0,0,"*","*",0,"*","*",11
,,"Chippens Hilll Middle School Extended Resource","=""0170811""",0,0,"*",9,0,0,"*",15
,,"Community/Vocational Program","=""0179211""",0,0,"*","*",0,"*",14,22
,,"Destinations Academy","=""0179011""",0,0,"*","*",0,0,12,26
,,"Mountain View School EXCEL","=""0172311""",0,0,"*","*",0,"*","*",7
