"Student Counts by School and Race"
"All Districts, All Schools"
"2023-24"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",577,475,0,15,21,1098
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",10,"*",724,208,0,11,"*",961
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",679,402,0,19,12,1125
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*",120,274,0,36,145,593
,,"Ansonia Middle School","=""0025111""","*","*",125,272,0,34,131,571
,,"Mead School","=""0020311""","*",9,131,278,"*",33,115,570
,,"Prendergast School","=""0020811""","*","*",115,292,0,25,153,600
,,"Ansonia 18-21 Transition Program","=""0021011""",0,0,"*","*",0,0,"*",6
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,10,16,0,"*","*",29
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*",6,0,0,"*",8
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*","*",94,219,0,41,202,567
,,"CREATE at Whitney Academy","=""2440114""","*","*",22,18,0,"*",38,82
,,"Whitney Academy","=""2449214""","*","*",27,23,"*","*",23,79
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",13,268,169,"*",33,65,550
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",9,9,0,"*",26,47
,,"Village School","=""2449514""",0,"*",55,37,0,"*",32,141
,,"ACES Mill Road School","=""2449414""",0,0,30,40,0,6,18,94
,,"ACES at Ansonia Middle School","=""2440514""",0,0,"*","*",0,0,"*",8
,,"ACES at Mead Elementary School","=""2440414""",0,0,"*","*",0,0,7,13
,,"The Bridge at ACES","=""2440614""",0,0,19,9,0,"*","*",33
,,"Whitney High School North","=""2449114""",0,0,41,37,0,7,20,105
"Avon School District","=""0040011""","Avon Early Learning Center at Roaring Brook School","=""0040111""","*",7,8,7,0,"*",47,72
,,"Avon High School","=""0046111""","*",217,60,86,0,"*",546,941
,,"Avon Middle School","=""0045111""","*",101,31,39,0,"*",323,510
,,"Pine Grove School","=""0040411""","*",103,40,47,0,"*",444,667
,,"Roaring Brook School","=""0040311""","*",64,25,37,"*",31,310,472
,,"Thompson Brook School","=""0040511""","*",82,33,"*",0,30,266,440
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*",20,14,62,"*",10,344,452
,,"Berlin High School","=""0076111""",0,40,22,123,0,25,625,835
,,"Catherine M. McGee Middle School","=""0075111""",0,27,13,73,0,15,462,590
,,"Mary E. Griswold School","=""0070511""",0,"*",13,69,"*",15,414,522
,,"Richard D. Hubbard School","=""0070111""",0,11,"*",31,0,"*",169,223
,,"Central Connecticut Transition Academy","=""0070311""",0,0,0,"*",0,0,"*",22
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",35,10,34,0,"*",355,445
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*",21,13,78,"*",20,163,302
,,"Bethel High School","=""0096111""","*",71,44,273,"*",34,646,1083
,,"Bethel Middle School","=""0095111""","*",56,28,202,"*",33,433,766
,,"Frank A. Berry School","=""0090111""","*",27,19,104,"*",16,212,387
,,"Ralph M. T. Johnson School","=""0090511""","*",58,35,209,"*",29,330,673
