"Student Counts by School and Race"
"All Districts, All Schools"
"2017-18"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",11,569,463,11,0,"*",1062
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*",7,800,332,"*",0,"*",1149
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",682,372,13,"*",9,1081
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",14,119,182,"*",13,226,567
,,"Mead School","=""0020311""","*","*",118,285,0,29,175,612
,,"Ansonia Middle School","=""0025111""",0,"*",69,125,"*",9,151,362
,,"Ansonia Public Schools Pre-K Program","=""0020911""",0,"*",9,33,0,"*",33,79
,,"Prendergast School","=""0020811""",0,18,87,227,0,44,262,638
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,8,"*",0,0,"*",19
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*","*",0,0,"*",6
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",38,88,370,"*",34,177,712
,,"Village School","=""2449514""","*",6,47,35,"*","*",52,143
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",27,285,135,"*",28,146,625
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",8,"*",0,"*",25,38
,,"Whitney Academy","=""2449214""",0,"*",27,31,0,"*",47,111
,,"Whitney High School West","=""2449314""",0,"*","*",17,0,0,14,43
,,"ACES Mill Road School","=""2449414""",0,0,84,42,0,10,35,171
,,"Whitney High School North","=""2449114""",0,0,44,35,0,"*","*",99
"Avon School District","=""0040011""","Avon Early Learning Center at Roaring Brook School","=""0040111""","*",9,9,7,0,"*",32,61
,,"Avon High School","=""0046111""","*",134,47,55,0,"*",730,1011
,,"Avon Middle School","=""0045111""","*",78,27,33,0,"*",391,556
,,"Pine Grove School","=""0040411""","*",136,46,38,0,"*",370,616
,,"Roaring Brook School","=""0040311""","*",89,19,37,0,"*",310,477
,,"Thompson Brook School","=""0040511""",0,103,26,31,0,14,313,487
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",32,24,86,0,"*",747,904
,,"Catherine M. McGee Middle School","=""0075111""","*",16,"*",69,0,26,547,664
,,"Mary E. Griswold School","=""0070511""","*",12,"*",53,0,16,415,505
,,"Emma Hart Willard School","=""0070411""",0,19,11,56,0,16,390,492
,,"Richard D. Hubbard School","=""0070111""",0,8,6,29,"*","*",162,211
,,"Central Connecticut Transition Academy","=""0070311""",0,0,0,"*",0,0,"*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",6,25,14,80,0,21,289,435
,,"Bethel High School","=""0096111""","*",70,24,144,"*",18,638,896
,,"Bethel Middle School","=""0095111""","*",45,18,119,"*",8,466,659
,,"Frank A. Berry School","=""0090111""","*",31,"*",90,0,28,355,522
,,"Ralph M. T. Johnson School","=""0090511""","*",31,"*",97,0,16,352,516
,,"Community Partnership Program","=""0090211""",0,0,0,"*",0,0,"*",8
,,"TASK","=""0090311""",0,0,0,"*",0,"*","*",11
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*",198,20,"*",12,10,244
,,"Global Experience Magnet School","=""0116311""","*","*",117,31,"*",9,53,215
,,"Laurel Literacy Academy","=""0110611""","*","*",292,30,0,19,14,368
,,"Metacomet School","=""0110511""","*","*",191,23,0,6,11,234
,,"Bloomfield High School","=""0116111""",0,"*",440,52,0,15,"*",520
,,"Carmen Arace Middle School","=""0115211""",0,"*",175,26,0,8,"*",217
,,"Wintonbury Early Childhood Magnet School","=""0110811""",0,27,130,31,0,28,107,323
,,"Learning Academy at Bloomfield","=""0116411""",0,0,"*","*",0,0,0,14
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",64,30,85,0,"*",648,852
,,"Francis Walsh Intermediate School","=""0145111""","*",76,36,102,0,"*",655,889
,,"John B. Sliney School","=""0141611""","*","*",16,35,0,14,227,303
,,"Mary T. Murphy School","=""0141411""","*",51,19,38,0,"*",260,388
,,"Indian Neck School","=""0148011""",0,"*","*",7,0,"*",37,48
,,"Mary R. Tisko School","=""0141511""",0,12,9,30,0,10,325,386
,,"Branford High School Atlas Program","=""0140211""",0,0,0,"*",0,"*",29,34
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""","*",26,154,163,"*","*",127,475
,,"Barnum School","=""0150111""","*","*",139,396,0,"*",57,603
,,"Bassick High School","=""0156111""","*",17,395,495,"*","*",58,970
,,"Beardsley School","=""0150211""","*","*",126,178,0,6,17,336
,,"Black Rock School","=""0150311""","*","*",72,238,"*","*",138,458
,,"Blackham School","=""0154011""","*",36,342,498,"*",10,206,1103
,,"Bridgeport Military Academy","=""0151611""","*",0,92,182,0,"*",24,301
,,"Bryant School","=""0150411""",18,17,121,134,"*","*",53,348
,,"Central High School","=""0156211""",12,61,654,657,"*","*",216,1612
,,"Cesar Batalla School","=""0151411""","*",35,222,783,"*",7,75,1127
,,"Classical Studies Academy","=""0152111""","*",10,216,130,"*",6,39,407
,,"Columbus School","=""0150511""","*","*",178,299,0,8,79,576
,,"Edison School","=""0150711""","*",8,113,90,0,"*",26,241
,,"Geraldine Johnson School","=""0153211""",14,34,193,485,0,8,75,809
,,"High Horizons Magnet School","=""0154511""","*",12,197,152,0,"*",52,419
,,"Information Technology & Software Engineering Magnet High School","=""0151511""","*",26,147,188,0,"*",102,475
,,"Interdistrict Discovery Magnet School","=""0153711""","*",27,148,165,"*",6,140,492
,,"James J. Curiale School","=""0154211""","*",27,275,261,0,"*",53,628
,,"Jettie S. Tisdale School","=""0152211""","*",7,286,311,"*",9,40,658
,,"John Winthrop School","=""0153611""","*",36,202,222,"*",12,186,664
,,"Luis Munoz Marin School","=""0151011""","*","*",203,521,"*",7,73,808
,,"Madison School","=""0152011""","*",14,151,225,"*","*",99,497
,,"Multicultural Magnet School","=""0154611""",21,9,50,269,"*","*",109,464
,,"Park City Magnet School","=""0151711""","*",49,219,184,0,"*",49,509
,,"Paul Laurence Dunbar School","=""0154111""",8,"*",185,181,"*","*",20,404
,,"Read School","=""0152511""","*",7,376,442,"*",8,65,905
,,"Roosevelt School","=""0152611""","*",20,201,265,"*","*",57,549
,,"Thomas Hooker School","=""0151311""","*","*",135,159,"*",7,36,343
,,"Waltersville School","=""0153011""","*","*",153,285,0,0,30,473
,,"Warren Harding High School","=""0156311""","*",6,364,543,"*","*",45,967
,,"A.B. Skane Center","=""0154411""",0,17,56,86,0,0,52,211
,,"Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""",0,27,143,186,"*","*",111,471
,,"Bridgeport Learning Center","=""0159011""",0,"*",33,33,0,0,"*",71
,,"Geraldine Claytor Magnet Academy","=""0153111""",0,"*",191,208,"*",9,42,455
,,"Hall School","=""0151111""",0,"*",118,85,0,"*",23,232
,,"Hallen School","=""0151211""",0,"*",168,109,0,"*",25,311
,,"Wilbur Cross School","=""0153911""",0,"*",161,152,0,"*",19,336
,,"The Transition Academy","=""0152811""",0,0,11,"*",0,0,"*",21
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*",37,69,293,"*",44,678,1125
,,"Bristol Eastern High School","=""0176211""","*",36,67,213,"*",31,765,1116
,,"Chippens Hill Middle School","=""0175111""","*",24,57,214,"*",26,402,725
,,"Edgewood Pre-K Academy","=""0170411""","*",0,9,25,0,"*",59,101
,,"Northeast Middle School","=""0175211""","*",16,31,85,"*",13,316,463
,,"South Side School","=""0171111""","*",17,37,138,0,"*",276,479
,,"Edgewood School","=""0170311""",0,10,13,93,0,10,162,288
,,"Chippens Hilll Middle School Extended Resource","=""0170811""",0,"*",0,"*",0,0,7,13
,,"Ellen P. Hubbell School","=""0171411""",0,17,28,150,0,28,200,423
,,"Greene-Hills School","=""0170511""",0,38,63,285,"*","*",494,909
,,"Hubbell/Extended Resource","=""0172111""",0,"*",0,"*",0,0,"*","*"
,,"Ivy Drive School","=""0171911""",0,13,37,67,0,20,245,382
,,"LEAD Pre-K","=""0172911""",0,"*","*","*",0,0,"*",10
,,"Mountain View School","=""0171711""",0,27,13,77,0,17,225,359
,,"Stafford LEAD","=""0173211""",0,"*",0,"*",0,0,"*","*"
,,"Stafford School","=""0171211""",0,25,40,114,"*","*",214,406
,,"West Bristol School","=""0172011""",0,28,55,328,0,28,467,906
,,"ACCESS","=""0170211""",0,0,"*","*",0,0,"*",6
,,"Bristol Preparatory Academy","=""0173311""",0,0,"*",12,0,"*",21,39
,,"Chippens Hill Middle School EXCEL","=""0171011""",0,0,"*",6,0,"*","*",12
,,"Community/Vocational Program","=""0179211""",0,0,"*","*",0,0,10,13
,,"Destinations Academy","=""0179011""",0,0,"*","*","*",0,9,18
,,"Ivy Drive Extended Resource","=""0172211""",0,0,"*","*",0,"*","*",11
,,"LEAD","=""0173711""",0,0,"*","*",0,0,"*","*"
,,"Northeast MS/Extended Resource","=""0172711""",0,0,"*",0,0,0,"*",10
,,"South Side Extended Resource","=""0173011""",0,0,"*","*",0,0,"*",8
,,"West bristol Extended Resource","=""0173611""",0,0,"*","*",0,0,"*",9
,,"Breakthrough","=""0172611""",0,0,0,"*",0,"*","*",6
,,"Breakthrough GOAL","=""0172511""",0,0,0,"*",0,"*","*",6
,,"CHMS Learning Center","=""0173411""",0,0,0,"*",0,"*","*",8
,,"Mountain View School EXCEL","=""0172311""",0,0,0,"*",0,0,"*","*"
,,"Northeast Middle School Learning Center","=""0172811""",0,0,0,"*",0,0,"*","*"
,,"South Side GOAL","=""0173111""",0,0,0,"*",0,0,0,"*"
,,"Greene-Hills GOAL","=""0170911""",0,0,0,0,0,0,"*","*"
,,"Mt. View Extended Resource","=""0172411""",0,0,0,0,0,0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*",57,20,93,"*","*",686,862
,,"Huckleberry Hill Elementary School","=""0180411""","*",47,12,56,"*",7,394,521
,,"Whisconier Middle School","=""0185311""","*",72,26,88,"*","*",694,886
,,"Center Elementary School","=""0180311""",0,26,9,31,0,6,287,359
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",15,8,55,"*",22,436,539
,,"Brooklyn Middle School","=""0195111""","*",12,"*",35,0,10,284,346
"Canton School District","=""0230011""","Canton High School","=""0236111""","*",20,27,24,0,"*",418,498
,,"Canton Intermediate School","=""0230311""","*",10,36,28,0,"*",291,370
,,"Canton Middle School","=""0235111""",0,"*",12,20,0,"*",229,272
,,"Cherry Brook Primary School","=""0230211""",0,"*",36,27,"*",17,367,456
,,"Canton Academy","=""0230411""",0,0,0,0,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*",88,206,263,"*",30,183,773
,,"Academy of Aerospace and Engineering Elementary","=""2410714""","*",65,107,128,"*",16,116,434
,,"Academy of Computer Science and Engineering","=""2415214""","*","*",80,198,"*",19,74,378
,,"Academy of International Studies 6-12","=""2416114""","*",27,325,140,"*",37,120,653
,,"Academy of Science and Innovation","=""2416514""","*",38,218,358,"*",27,130,776
,,"Discovery Academy","=""2418114""","*",38,90,180,"*",34,173,518
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*",45,95,163,0,"*",135,457
,,"Museum Academy","=""2410514""","*","*",191,138,0,37,118,515
,,"Reggio Magnet School of the Arts","=""2410314""","*","*",158,149,0,33,159,508
,,"University of Hartford Magnet School","=""2410214""","*","*",200,117,0,31,83,457
,,"Academy of Computer Science and Engineering Middle School","=""2415014""",0,33,172,252,0,40,166,663
,,"Academy of International Studies Elementary School","=""2410414""",0,78,147,142,0,25,88,480
,,"Ana Grace Academy of the Arts","=""2410614""",0,7,131,200,0,27,118,483
,,"Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,"*",91,153,0,"*",86,339
,,"John J. Allison Polaris Center","=""2419014""",0,"*",14,29,0,0,"*",47
,,"Montessori Magnet School","=""2413114""",0,12,39,191,0,16,92,350
,,"River Street School","=""2419314""",0,"*",28,30,0,"*",79,149
,,"River Street School Birken Campus","=""2419514""",0,"*",7,12,0,"*",33,57
,,"STRIVE - Southern Transition Real-World and Independent Voc Ed","=""2419714""",0,"*",0,0,0,0,"*",9
,,"Soundbridge","=""2419114""",0,"*","*",0,0,0,12,19
,,"Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",0,"*",0,"*",0,0,"*",7
,,"Soundbridge @ Chippens Hill MS Bristol","=""2411514""",0,"*","*","*",0,0,"*","*"
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*","*",0,0,14,18
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""",0,0,125,161,"*","*",144,446
,,"IPM @ Plainville High School","=""2419414""",0,0,"*",0,0,0,"*","*"
,,"Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,"*","*",0,0,0,6
,,"River Street School Early Learning Center","=""2411414""",0,0,"*","*",0,"*","*",8
,,"Soundbridge @ Bristol Central HS","=""2411614""",0,0,0,"*",0,0,0,"*"
,,"Soundbridge @ Museum Academy","=""2411214""",0,0,0,"*",0,0,"*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*",17,11,"*",0,10,265,313
,,"Cheshire High School","=""0256111""","*",137,31,58,0,"*",1164,1401
,,"Doolittle School","=""0250611""","*",31,"*",44,0,14,357,456
,,"Highland School","=""0250411""","*",79,20,35,0,"*",569,721
,,"Darcey School","=""0250211""",0,16,"*",15,0,"*",130,176
,,"Dodd Middle School","=""0255111""",0,89,25,51,0,10,608,783
,,"Norton School","=""0250511""",0,48,11,22,0,17,302,400
,,"Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,0,"*","*",0,0,8,10
,,"Humiston Alternative School","=""0250911""",0,0,"*","*",0,0,13,19
,,"QU College Life","=""0251011""",0,0,0,0,0,0,"*","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",12,"*",45,0,6,207,273
,,"Jared Eliot School","=""0275111""","*",14,"*",52,0,6,367,443
,,"Lewin G. Joel Jr. School","=""0270311""","*",12,"*",97,0,7,357,476
,,"The Morgan School","=""0276111""","*",15,"*",70,"*",11,471,571
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*",19,22,51,0,"*",690,796
,,"William J. Johnston Middle School","=""0285111""","*",18,"*",27,0,26,490,571
,,"Colchester Elementary School","=""0280411""",0,"*","*",35,0,23,468,543
,,"Jack Jackter Intermediate School","=""0280211""",0,12,"*",44,"*",21,427,513
,,"Bacon Academy Alternative Education","=""0280511""",0,0,0,0,0,"*","*",12
,,"School Resilience Program","=""0280611""",0,0,0,0,0,0,"*","*"
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*",16,194,489,"*","*",43,753
,,"Bullard-Havens Technical High School","=""9001116""","*","*",219,494,0,22,33,778
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",40,374,0,13,194,633
,,"Eli Whitney Technical High School","=""9001416""","*","*",205,270,"*",11,57,551
,,"Ella T. Grasso Technical High School","=""9002716""","*","*",45,166,"*",28,222,472
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",42,313,0,23,352,743
,,"H. H. Ellis Technical High School","=""9001316""","*","*","*",42,0,16,608,677
,,"Howell Cheney Technical High School","=""9001616""","*",16,65,160,"*",27,363,634
,,"Norwich Technical High School","=""9002016""","*",7,40,118,"*",46,449,665
,,"Oliver Wolcott Technical High School","=""9002216""","*","*",14,70,"*",22,543,654
,,"Platt Technical High School","=""9002616""","*","*",93,317,0,36,356,816
,,"Vinal Technical High School","=""9001816""","*","*",38,67,"*",24,304,440
,,"W. F. Kaynor Technical High School","=""9002316""","*",20,96,271,"*",26,359,776
,,"Windham Technical High School","=""9002416""","*","*",7,161,0,6,278,454
,,"Emmett O'Brien Technical High School","=""9002516""",0,"*",56,161,"*",25,334,582
,,"Henry Abbott Technical High School","=""9001216""",0,10,22,295,0,28,315,670
