"Student Counts by School and Race"
"All Districts, All Schools"
"2008-09"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",230,28,0,0,261
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",424,202,0,12,641
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*",166,132,0,405,717
,,"Ansonia Middle School","=""0025111""","*","*",120,134,0,316,582
,,"Mead School","=""0020311""","*","*",126,147,0,330,616
,,"Prendergast School","=""0020811""","*","*",140,173,0,419,759
,,"Pine Academy","=""0029011""",0,0,"*","*",0,22,39
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*","*",107,279,0,340,748
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*","*",267,74,0,214,605
,,"A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",0,"*",0,0,0,"*",12
,,"ACES Mill Road School","=""2449414""",0,"*",82,50,0,"*",170
,,"Village School","=""2449514""",0,7,36,24,0,109,176
,,"Whitney Academy","=""2449214""",0,"*",45,"*",0,48,128
,,"Whitney High School North","=""2449114""",0,"*",32,34,0,"*",93
,,"Whitney High School West","=""2449314""",0,"*","*",12,0,32,56
,,"Collaborative Alternative Magnet School","=""2446114""",0,0,33,16,0,61,110
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*",10,"*",26,0,437,485
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",68,"*",36,0,922,1052
,,"Pine Grove School","=""0040411""","*",65,27,"*",0,492,610
,,"Roaring Brook School","=""0040311""","*",76,"*",42,0,605,750
,,"Avon Middle School","=""0045111""",0,44,10,22,0,513,589
,,"Thompson Brook School","=""0040511""",0,57,16,29,0,455,557
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*","*",0,328,341
,,"Shared Services Integrated Preschool","=""0058011""",0,"*","*",0,0,19,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",42,"*",18,0,960,1027
,,"Catherine M. McGee Middle School","=""0075111""","*",27,"*",19,0,688,742
,,"Emma Hart Willard School","=""0070411""","*",35,"*",21,0,531,601
,,"Mary E. Griswold School","=""0070511""","*",21,"*",24,0,527,584
,,"Richard D. Hubbard School","=""0070111""","*","*",8,9,0,239,264
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",32,16,"*",0,490,549
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",60,"*",98,0,832,1010
,,"Bethel Middle School","=""0095111""","*",41,"*",83,0,568,706
,,"Anna H. Rockwell School","=""0090411""",0,41,10,48,0,324,423
,,"Frank A. Berry School","=""0090111""",0,32,10,46,0,392,480
,,"Ralph M. T. Johnson School","=""0090511""",0,39,9,48,0,358,454
"Bloomfield School District","=""0110011""","Laurel Literacy Academy","=""0110611""","*",0,228,21,0,"*",265
,,"Bloomfield High School","=""0116111""",0,"*",577,40,0,"*",646
,,"Carmen Arace Intermediate School","=""0110711""",0,"*",273,22,0,"*",313
,,"Carmen Arace Middle School","=""0115211""",0,"*",260,22,0,"*",302
,,"J. P. Vincent School","=""0110311""",0,7,270,26,0,13,316
,,"Metacomet School","=""0110511""",0,11,202,11,0,8,232
,,"The Big Picture High School","=""0116211""",0,"*",68,"*",0,8,83
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*","*",8,"*",0,261,278
,,"Bolton Center School","=""0120111""",0,11,26,9,0,537,583
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",9,15,0,229,256
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",67,"*",40,0,969,1111
,,"Francis Walsh Intermediate School","=""0145111""","*",78,"*",58,0,910,1083
,,"John B. Sliney School","=""0141611""","*",19,"*",37,0,301,363
,,"Mary R. Tisko School","=""0141511""","*",24,"*",15,0,381,436
,,"Mary T. Murphy School","=""0141411""","*",48,"*",47,0,294,409
,,"Indian Neck School","=""0148011""",0,"*","*",7,0,63,77
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*","*",142,233,0,13,392
,,"Central High School","=""0156211""","*","*",1058,812,0,317,2287
,,"Classical Studies Academy","=""0152111""","*","*",207,92,0,22,343
,,"Edison School","=""0150711""","*","*",153,129,0,25,317
,,"Hall School","=""0151111""","*",0,140,122,0,"*",273
,,"High Horizons Magnet School","=""0154511""","*","*",188,161,0,73,441
,,"Longfellow School","=""0151911""","*","*",183,207,0,18,413
,,"Luis Munoz Marin School","=""0151011""","*","*",230,598,0,19,854
,,"Multicultural Magnet School","=""0154611""","*","*",122,247,0,57,445
