"Student Counts by School and Race"
"All Districts, All Schools"
"2016-17"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",11,567,441,0,"*",14,1044
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",765,276,"*",14,"*",1066
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",0,653,369,0,17,"*",1057
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",12,129,182,"*",13,269,616
,,"Ansonia Middle School","=""0025111""","*",6,81,137,"*",16,194,441
,,"Mead School","=""0020311""","*","*",107,264,"*",26,178,580
,,"Prendergast School","=""0020811""",0,20,97,229,0,39,280,665
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,11,9,0,0,11,31
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*","*",0,0,"*",7
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",35,97,346,"*",25,224,732
,,"Village School","=""2449514""","*","*",28,22,"*","*",58,118
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",9,"*",0,"*",24,40
,,"Whitney Academy","=""2449214""",0,"*","*",32,0,0,50,115
,,"Whitney High School West","=""2449314""",0,"*",9,18,0,"*",11,41
,,"Wintergreen Interdistrict Magnet School","=""2440314""",0,26,290,135,0,29,151,631
,,"ACES Mill Road School","=""2449414""",0,0,79,45,0,14,30,168
,,"Whitney High School North","=""2449114""",0,0,40,40,0,"*","*",102
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",122,43,55,0,"*",763,1024
,,"Avon Middle School","=""0045111""","*",87,26,26,0,"*",396,558
,,"Pine Grove School","=""0040411""","*",132,32,41,"*",23,393,624
,,"Roaring Brook School","=""0040311""","*",95,25,39,0,"*",335,516
,,"Thompson Brook School","=""0040511""","*",89,25,33,0,"*",331,497
,,"Avon Early Learning Center at Roaring Brook School","=""0040111""",0,10,6,8,0,0,32,56
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","*",0,0,"*",0,"*",20,23
,,"Barkhamsted Elementary School","=""0050111""",0,"*","*","*",0,"*",219,228
,,"Bridges at Barkhamsted Elementary School","=""0050211""",0,0,0,0,0,0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",30,28,76,0,"*",738,891
,,"Catherine M. McGee Middle School","=""0075111""","*",23,"*",58,0,23,601,714
,,"Emma Hart Willard School","=""0070411""","*",18,13,54,0,"*",386,482
,,"Mary E. Griswold School","=""0070511""","*",14,"*",46,0,16,408,491
,,"Richard D. Hubbard School","=""0070111""",0,6,"*",29,0,"*",167,213
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",37,"*",22,0,6,285,356
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*",55,16,123,"*",11,475,683
,,"Frank A. Berry School","=""0090111""","*",32,"*",86,0,29,381,542
,,"Ralph M. T. Johnson School","=""0090511""","*",29,10,94,0,"*",336,479
,,"Anna H. Rockwell School","=""0090411""",0,26,8,75,0,15,273,397
,,"Bethel High School","=""0096111""",0,60,"*",136,"*",22,636,871
,,"TASK","=""0090311""",0,"*",0,"*",0,0,9,12
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","*","*",116,26,"*",9,59,217
,,"Laurel Literacy Academy","=""0110611""","*","*",283,38,0,17,15,362
,,"Metacomet School","=""0110511""","*","*",216,22,0,"*",12,256
,,"Bloomfield High School","=""0116111""",0,"*",447,60,0,16,"*",534
,,"Carmen Arace Intermediate School","=""0110711""",0,"*",179,28,"*",17,9,237
,,"Carmen Arace Middle School","=""0115211""",0,"*",172,20,0,"*","*",201
,,"Wintonbury Early Childhood Magnet School","=""0110811""",0,23,130,30,0,26,114,323
,,"Learning Academy at Bloomfield","=""0116411""",0,0,11,"*",0,0,"*",13
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",69,24,75,0,"*",698,888
,,"Francis Walsh Intermediate School","=""0145111""","*",74,33,98,0,"*",644,869
,,"John B. Sliney School","=""0141611""","*",13,"*",39,0,14,253,329
,,"Mary T. Murphy School","=""0141411""","*",55,22,54,0,"*",267,413
,,"Branford High School Atlas Program","=""0140211""",0,"*",0,"*",0,"*",37,43
,,"Mary R. Tisko School","=""0141511""",0,23,"*",23,0,"*",331,383
,,"Indian Neck School","=""0148011""",0,0,"*",9,0,"*",24,39
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""","*",23,166,154,0,"*",152,499
,,"Barnum School","=""0150111""","*","*",149,400,0,6,71,633
,,"Bassick High School","=""0156111""","*",21,424,450,"*","*",59,961
,,"Beardsley School","=""0150211""","*",9,116,193,0,"*",21,349
,,"Black Rock School","=""0150311""","*","*",81,236,0,"*",141,465
,,"Blackham School","=""0154011""","*",35,346,512,"*",7,220,1127
,,"Bridgeport Military Academy","=""0151611""","*","*",103,182,0,"*",39,329
,,"Bryant School","=""0150411""",6,20,130,165,0,6,54,381
,,"Central High School","=""0156211""",10,59,619,618,"*","*",201,1515
,,"Cesar Batalla School","=""0151411""",9,31,219,809,"*","*",93,1167
,,"Classical Studies Academy","=""0152111""","*",11,200,123,"*","*",29,373
,,"Columbus School","=""0150511""","*","*",289,442,0,13,96,843
,,"Edison School","=""0150711""","*",9,116,102,0,"*",34,263
,,"Geraldine Johnson School","=""0153211""",16,33,203,450,"*","*",80,787
,,"Hallen School","=""0151211""","*","*",183,112,0,"*",27,333
,,"Information Technology & Software Engineering Magnet High School","=""0151511""","*",21,169,169,"*",6,133,502
,,"Interdistrict Discovery Magnet School","=""0153711""",6,27,139,148,"*","*",165,490
,,"James J. Curiale School","=""0154211""",9,28,282,309,"*","*",78,712
,,"Jettie S. Tisdale School","=""0152211""","*",9,317,314,"*","*",35,682
,,"John Winthrop School","=""0153611""","*",35,210,216,0,"*",201,678
,,"Luis Munoz Marin School","=""0151011""","*","*",205,570,0,"*",72,858
,,"Madison School","=""0152011""","*",17,170,244,"*","*",100,537
