"Student Counts by School and Race"
"All Districts, All Schools"
"2010-11"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",223,180,0,"*","*",409
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",531,70,0,6,"*",610
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",0,515,279,0,"*",9,812
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",8,178,156,"*",0,378,727
,,"Ansonia Middle School","=""0025111""","*","*",92,113,"*",0,243,458
,,"Mead School","=""0020311""","*",10,136,159,8,"*",326,642
,,"Prendergast School","=""0020811""","*","*",161,197,8,0,409,787
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",22,116,286,0,"*",279,720
,,"Whitney Academy","=""2449214""","*","*",41,35,0,"*",47,128
,,"Whitney High School North","=""2449114""","*",0,45,38,0,"*",17,102
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",41,254,111,0,"*",216,646
,,"ACES Mill Road School","=""2449414""",0,"*",74,47,0,"*",41,170
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*","*","*",0,0,11,19
,,"Village School","=""2449514""",0,"*",31,25,0,"*",88,153
,,"Whitney High School West","=""2449314""",0,"*",12,10,0,"*",29,53
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*",55,22,39,0,"*",446,584
,,"Pine Grove School","=""0040411""","*",70,20,45,"*",17,476,631
,,"Thompson Brook School","=""0040511""","*",50,"*",33,0,22,473,594
,,"Avon High School","=""0046111""",0,67,28,52,"*","*",926,1088
,,"Roaring Brook School","=""0040311""",0,62,"*",32,"*",20,519,651
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","*",0,0,"*",0,0,28,30
,,"Barkhamsted Elementary School","=""0050111""",0,"*",0,"*",0,"*",333,343
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",39,"*",63,0,24,883,1017
,,"Catherine M. McGee Middle School","=""0075111""","*",22,"*",30,0,19,636,719
,,"Emma Hart Willard School","=""0070411""","*",24,"*",32,0,11,462,535
,,"Mary E. Griswold School","=""0070511""","*",14,"*",41,0,17,507,585
,,"Richard D. Hubbard School","=""0070111""",0,"*",7,13,0,"*",231,261
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",38,9,"*",0,0,454,512
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",57,28,102,0,"*",766,959
,,"Frank A. Berry School","=""0090111""","*",32,12,43,"*",8,363,460
,,"Anna H. Rockwell School","=""0090411""",0,26,"*",61,0,"*",286,384
,,"Bethel Middle School","=""0095111""",0,40,"*",91,"*",23,518,683
,,"Ralph M. T. Johnson School","=""0090511""",0,28,10,60,0,8,346,452
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*",260,28,0,"*",10,305
,,"Carmen Arace Middle School","=""0115211""","*","*",230,19,0,"*",11,265
,,"J. P. Vincent School","=""0110311""","*",11,275,35,"*",16,9,351
,,"Wintonbury Early Childhood Magnet School","=""0110811""","*","*",109,20,0,16,150,312
,,"Bloomfield High School","=""0116111""",0,"*",532,41,0,"*",13,593
,,"Laurel Literacy Academy","=""0110611""",0,"*",229,30,0,12,"*",281
,,"The Big Picture High School","=""0116211""",0,"*",74,9,0,0,"*",89
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",11,13,0,0,205,233
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",73,35,58,0,"*",917,1098
,,"Francis Walsh Intermediate School","=""0145111""","*",77,26,76,0,"*",840,1040
,,"Indian Neck School","=""0148011""",0,"*","*",7,0,"*",40,53
,,"John B. Sliney School","=""0141611""",0,20,"*",48,0,"*",287,368
,,"Mary R. Tisko School","=""0141511""",0,20,"*",19,0,"*",379,426
,,"Mary T. Murphy School","=""0141411""",0,57,20,44,0,10,300,431
"Bridgeport School District","=""0150011""","A.B. Skane Center","=""0154411""","*",16,59,105,0,"*",64,246
,,"Bassick High School","=""0156111""","*",41,506,574,0,"*",48,1171
,,"Beardsley School","=""0150211""","*","*",145,210,0,0,9,370
,,"Blackham School","=""0154011""","*",52,405,471,"*",0,180,1114
,,"Bryant School","=""0150411""","*",27,171,196,0,"*",42,439
,,"Central High School","=""0156211""",202,90,874,932,"*","*",201,2303
,,"Classical Studies Academy","=""0152111""","*",18,210,91,0,0,"*",334
,,"Geraldine Johnson School","=""0153211""",6,35,306,456,"*","*",60,868
,,"Hall School","=""0151111""","*",6,162,131,0,"*","*",306
,,"High Horizons Magnet School","=""0154511""","*",9,188,173,0,"*",54,431
,,"Interdistrict Discovery Magnet School","=""0153711""","*","*",42,33,0,0,45,130
,,"Jettie S. Tisdale School","=""0152211""","*",13,352,273,"*","*",13,654
,,"John Winthrop School","=""0153611""","*",36,266,225,0,"*",187,719
,,"Luis Munoz Marin School","=""0151011""","*",6,208,621,0,"*",17,854
,,"Multicultural Magnet School","=""0154611""","*",21,98,287,0,"*",48,457
,,"Park City Magnet School","=""0151711""","*","*",242,164,0,0,67,511
,,"Read School","=""0152511""","*",17,368,374,0,"*",61,822
,,"Roosevelt School","=""0152611""","*","*",184,257,0,0,14,462
,,"Thomas Hooker School","=""0151311""","*",11,181,205,0,"*",64,463
,,"Waltersville School","=""0153011""","*",8,134,388,0,"*","*",537
,,"Warren Harding High School","=""0156311""","*","*",621,725,0,0,32,1394
,,"Wilbur Cross School","=""0153911""","*",6,235,155,0,"*",9,408
,,"Barnum School","=""0150111""",0,"*",174,442,0,"*",12,632
,,"Black Rock School","=""0150311""",0,"*",61,136,0,"*",81,283
,,"Cesar Batalla School","=""0151411""",0,35,229,770,0,"*","*",1063
,,"Columbus School","=""0150511""",0,6,182,422,0,0,53,663
,,"Edison School","=""0150711""",0,8,142,80,0,0,25,255
,,"James J. Curiale School","=""0154211""",0,50,287,232,0,"*","*",596
,,"Longfellow School","=""0151911""",0,"*",195,218,0,0,"*",426
,,"Madison School","=""0152011""",0,"*",192,249,0,"*",84,543
,,"Paul Laurence Dunbar School","=""0154111""",0,"*",186,121,0,0,"*",315
,,"Bridgeport Learning Center","=""0159011""",0,0,23,"*",0,0,"*",50
,,"Hallen School","=""0151211""",0,0,203,102,0,0,11,316
,,"Make The Grade","=""0159511""",0,0,20,7,0,0,0,27
,,"Park City Academy","=""0159211""",0,0,6,"*",0,0,"*",10
,,"Parent-Children Program","=""0158011""",0,0,0,0,0,0,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",78,214,0,39,959,1310
,,"Bristol Eastern High School","=""0176211""","*",39,93,169,0,"*",1033,1352
,,"Chippens Hill Middle School","=""0175111""","*",18,81,167,"*","*",609,881
,,"Ivy Drive School","=""0171911""","*",8,29,54,0,"*",327,420
,,"Northeast Middle School","=""0175211""","*",7,40,71,0,"*",438,563
,,"Edgewood School","=""0170311""",0,11,20,102,0,21,242,396
,,"Clara T. O'Connell School","=""0170711""",0,10,31,140,0,21,141,343
,,"Community/Vocational Program","=""0179211""",0,"*",0,"*",0,0,13,16
