"Student Counts by School and Race"
"All Districts, All Schools"
"2013-14"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",469,341,0,7,10,835
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""","*","*",720,136,"*",10,"*",870
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",0,561,343,0,17,"*",937
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",9,131,148,"*","*",308,602
,,"Ansonia Middle School","=""0025111""","*",12,103,150,"*",7,216,493
,,"Mead School","=""0020311""","*","*",98,196,8,19,240,566
,,"Prendergast School","=""0020811""","*",15,96,212,"*",20,311,661
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",34,101,294,0,"*",275,711
,,"ACES Mill Road School","=""2449414""","*",0,62,50,0,"*",28,151
,,"Village School","=""2449514""","*",10,29,33,0,"*",77,151
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*","*",289,115,0,28,169,631
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*","*","*",0,"*",27,36
,,"Whitney Academy","=""2449214""",0,"*",32,36,0,"*",41,114
,,"Whitney High School West","=""2449314""",0,"*",9,8,0,"*",19,39
,,"Whitney High School North","=""2449114""",0,0,40,32,0,"*","*",100
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",93,36,62,"*",30,834,1057
,,"Avon Middle School","=""0045111""","*",57,"*",32,0,23,454,584
,,"Pine Grove School","=""0040411""","*",89,25,36,"*",16,425,594
,,"Roaring Brook School","=""0040311""","*",55,"*",45,0,30,416,573
,,"Thompson Brook School","=""0040511""","*",75,21,27,0,"*",425,563
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",34,25,65,"*",18,789,933
,,"Catherine M. McGee Middle School","=""0075111""","*",21,21,65,0,"*",567,691
,,"Mary E. Griswold School","=""0070511""","*",13,"*",39,0,26,478,562
,,"Emma Hart Willard School","=""0070411""",0,20,9,43,0,15,427,514
,,"Richard D. Hubbard School","=""0070111""",0,"*",7,43,0,"*",196,251
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",43,11,10,0,"*",369,436
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",490,38,0,6,18,555
,,"Laurel Literacy Academy","=""0110611""","*","*",267,23,0,8,17,318
,,"Wintonbury Early Childhood Magnet School","=""0110811""","*","*",109,50,0,20,125,321
,,"Carmen Arace Intermediate School","=""0110711""",0,7,188,17,0,"*","*",216
,,"Carmen Arace Middle School","=""0115211""",0,"*",175,33,0,"*","*",213
,,"Global Experience Magnet School","=""0116311""",0,"*",117,31,0,"*",63,220
,,"Metacomet School","=""0110511""",0,"*",186,28,"*",6,6,231
,,"Learning Academy at Bloomfield","=""0116411""",0,0,10,"*",0,0,"*",13
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",14,16,0,"*",207,243
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",83,37,84,0,"*",822,1050
,,"Francis Walsh Intermediate School","=""0145111""","*",65,34,72,0,"*",746,942
,,"John B. Sliney School","=""0141611""","*",16,"*",57,0,9,284,374
,,"Indian Neck School","=""0148011""",0,"*","*",0,0,0,34,36
,,"Mary R. Tisko School","=""0141511""",0,20,"*",19,0,"*",352,400
,,"Mary T. Murphy School","=""0141411""",0,61,18,39,0,12,290,420
"Bridgeport School District","=""0150011""","A.B. Skane Center","=""0154411""","*",12,75,143,0,"*",71,304
,,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""","*",10,85,68,"*","*",67,235
,,"Beardsley School","=""0150211""","*",7,143,209,"*","*",11,376
,,"Blackham School","=""0154011""",6,53,339,540,"*","*",183,1127
,,"Bryant School","=""0150411""","*",30,147,201,0,"*",29,413
,,"Central High School","=""0156211""","*",63,818,724,"*",12,209,1838
,,"Cesar Batalla School","=""0151411""","*",53,242,820,"*","*",52,1173
,,"Classical Studies Academy","=""0152111""","*",10,213,101,0,"*",11,340
,,"Columbus School","=""0150511""","*","*",312,524,0,"*",45,886
,,"Geraldine Johnson School","=""0153211""","*",33,252,486,0,"*",58,843
,,"Hall School","=""0151111""","*","*",138,107,0,0,28,275
,,"High Horizons Magnet School","=""0154511""","*","*",215,143,0,7,50,422
,,"Interdistrict Discovery Magnet School","=""0153711""","*",25,157,163,"*",0,159,511
,,"James J. Curiale School","=""0154211""","*",33,323,326,"*",7,43,737
,,"Jettie S. Tisdale School","=""0152211""","*",11,348,276,0,"*",17,655
,,"John Winthrop School","=""0153611""","*",41,231,218,0,"*",188,685
,,"Multicultural Magnet School","=""0154611""","*",9,78,294,"*","*",62,449
,,"Park City Magnet School","=""0151711""","*",49,216,172,"*","*",51,491
,,"Read School","=""0152511""","*",14,330,403,0,"*",85,839
,,"Roosevelt School","=""0152611""","*",14,241,284,0,"*",22,564
,,"Thomas Hooker School","=""0151311""","*","*",135,189,0,"*",53,387
,,"Waltersville School","=""0153011""","*",6,132,364,0,"*",10,514
,,"Warren Harding High School","=""0156311""","*",6,459,571,"*",0,65,1105
,,"Wilbur Cross School","=""0153911""","*","*",232,168,0,0,9,413
,,"Barnum School","=""0150111""",0,"*",171,427,0,"*",21,626
,,"Bassick High School","=""0156111""",0,42,500,503,"*","*",66,1120
,,"Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""",0,"*",73,101,0,"*",51,229
,,"Black Rock School","=""0150311""",0,"*",91,192,0,"*",117,406
,,"Bridgeport Military Academy","=""0151611""",0,"*",42,55,0,0,"*",116
,,"Edison School","=""0150711""",0,"*",119,98,0,"*",24,251
,,"Hallen School","=""0151211""",0,"*",201,107,"*","*",20,332
,,"Information Technology & Software Engineering Magnet High School","=""0151511""",0,"*",102,63,"*","*",63,236
,,"Luis Munoz Marin School","=""0151011""",0,"*",233,631,"*",0,34,904
,,"Madison School","=""0152011""",0,14,152,279,"*","*",87,539
,,"Bridgeport Learning Center","=""0159011""",0,0,29,"*",0,0,"*",57
,,"Paul Laurence Dunbar School","=""0154111""",0,0,181,112,0,"*","*",303
,,"Pride Academy","=""0151811""",0,0,34,"*",0,0,"*",57
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*",34,95,235,"*",37,838,1242
,,"Bristol Eastern High School","=""0176211""","*",37,108,187,0,"*",950,1299
,,"Ellen P. Hubbell School","=""0171411""","*","*",29,114,0,28,241,424
,,"Mountain View School","=""0171711""","*",25,"*",72,0,19,305,437
,,"Northeast Middle School","=""0175211""","*",15,"*",73,0,15,335,453
,,"South Side School","=""0171111""","*","*",39,117,0,7,332,503
,,"West Bristol School","=""0172011""","*","*",55,280,0,47,532,945
,,"Edgewood School","=""0170311""",0,"*",15,95,0,"*",233,355
,,"Chippens Hill Middle School","=""0175111""",0,20,66,140,0,13,479,718
,,"Destinations Academy","=""0179011""",0,"*","*","*",0,"*",6,14
,,"Greene-Hills School","=""0170511""",0,43,55,238,0,31,523,890
,,"Ivy Drive School","=""0171911""",0,11,18,70,0,8,290,397
,,"Stafford School","=""0171211""",0,29,32,107,0,13,323,504
,,"Community/Vocational Program","=""0179211""",0,0,"*","*",0,0,10,13
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*",44,18,38,0,"*",798,901
,,"Center Elementary School","=""0180311""","*",22,7,24,0,"*",318,380
,,"Huckleberry Hill Elementary School","=""0180411""","*",52,13,44,"*",0,512,624
,,"Whisconier Middle School","=""0185311""","*",59,"*",60,0,0,727,859
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",16,8,46,"*",16,456,545
,,"Brooklyn Middle School","=""0195111""",0,"*","*",15,0,14,337,374
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*",12,20,23,0,"*",373,434
,,"Cherry Brook Primary School","=""0230211""","*",15,33,36,0,"*",403,490
,,"Canton High School","=""0236111""",0,11,15,20,0,9,444,499
,,"Canton Middle School","=""0235111""",0,7,8,16,0,7,227,265
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","*",33,58,57,0,"*",66,222
,,"Academy of Computer Science and Engineering","=""2415214""",6,8,114,160,0,11,105,404
,,"Academy of Computer Science and Engineering Middle School","=""2415014""","*",53,132,179,0,"*",268,660
,,"Academy of International Studies 6-12","=""2416114""","*",29,352,121,"*",22,193,722
,,"Academy of International Studies Elementary School","=""2410414""","*",63,100,127,0,"*",111,415
,,"Academy of Science and Innovation","=""2416514""","*",28,124,113,0,"*",82,361
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""","*","*",83,148,0,17,186,438
,,"Montessori Magnet School","=""2413114""","*",13,72,149,0,"*",95,342
,,"Museum Academy","=""2410514""","*",17,155,114,0,"*",105,405
,,"Two Rivers Magnet High School","=""2416714""","*",10,54,84,0,"*",37,189
