"Student Counts by School and Race"
"All Districts, All Schools"
"2013-14"

"",,,,"Race",,,,,,,
,,"Academy of Aerospace and Engineering","=""2415114""",0,70,132,159,0,20,181,562
,,"Ana Grace Academy of the Arts","=""2410614""",0,8,66,66,0,12,65,217
,,"Discovery Academy","=""2418114""",0,23,54,81,"*","*",106,282
,,"Glastonbury/East Hartford Magnet School","=""2410114""",0,40,100,105,"*","*",145,410
,,"Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,"*",89,128,"*",16,92,327
,,"Reggio Magnet School of the Arts","=""2410314""",0,6,138,102,0,9,137,392
,,"River Street School","=""2419314""",0,"*",24,27,0,"*",88,145
,,"River Street School Birken Campus","=""2419514""",0,"*","*",14,0,0,44,64
,,"Soundbridge","=""2419114""",0,9,"*","*",0,0,63,83
,,"University of Hartford Magnet School","=""2410214""",0,22,172,112,0,12,123,441
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*","*",0,"*",16,22
,,"John J. Allison Polaris Center","=""2419014""",0,0,15,26,0,0,12,53
,,"Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,"*","*",0,0,6,8
,,"IPM @ Plainville High School","=""2419414""",0,0,0,0,0,0,"*","*"
,,"STRIVE - Southern Transition Real-World and Independent Voc Ed","=""2419714""",0,0,0,0,0,0,8,8
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*",24,12,9,0,"*",248,298
,,"Cheshire High School","=""0256111""","*",139,"*",44,0,0,1321,1538
,,"Darcey School","=""0250211""","*",30,10,19,0,"*",230,293
,,"Dodd Middle School","=""0255111""","*",65,17,27,0,"*",632,747
,,"Doolittle School","=""0250611""","*",48,16,32,0,"*",428,529
,,"Highland School","=""0250411""","*",83,32,27,0,"*",595,740
,,"Norton School","=""0250511""","*",43,"*",20,0,9,348,429
,,"Humiston School","=""0259011""",0,0,"*","*",0,0,18,20
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",6,"*",27,0,"*",257,296
,,"Jared Eliot School","=""0275111""","*",11,"*",48,"*",8,392,462
,,"Lewin G. Joel Jr. School","=""0270311""","*",19,"*",81,0,10,520,638
,,"The Morgan School","=""0276111""","*",13,6,46,"*",17,473,558
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",9,15,31,49,0,8,788,900
,,"Jack Jackter Intermediate School","=""0280211""","*",16,12,22,0,"*",551,614
,,"William J. Johnston Middle School","=""0285111""","*",15,17,27,0,"*",596,668
,,"Colchester Elementary School","=""0280411""",0,11,"*",41,"*",23,468,551
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",250,461,0,12,70,801
,,"Bullard-Havens Technical High School","=""9001116""","*","*",291,446,0,8,54,805
,,"E. C. Goodwin Technical High School","=""9001916""","*","*",48,370,0,18,203,646
,,"Eli Whitney Technical High School","=""9001416""","*","*",183,311,0,10,35,542
,,"Ella T. Grasso Technical High School","=""9002716""","*","*",47,199,"*",28,250,535
,,"Emmett O'Brien Technical High School","=""9002516""","*",6,48,128,"*",11,371,567
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",44,257,0,17,468,801
,,"H. H. Ellis Technical High School","=""9001316""","*","*",6,37,0,30,504,585
,,"Henry Abbott Technical High School","=""9001216""","*","*",29,246,0,13,335,637
,,"Howell Cheney Technical High School","=""9001616""","*","*",97,159,0,18,373,667
,,"Norwich Technical High School","=""9002016""","*","*",31,79,"*",51,508,680
,,"Oliver Wolcott Technical High School","=""9002216""","*","*",6,50,0,8,579,647
,,"Platt Technical High School","=""9002616""","*","*",114,288,0,28,398,836
,,"Vinal Technical High School","=""9001816""","*","*",63,97,"*",28,463,656
,,"W. F. Kaynor Technical High School","=""9002316""","*",9,96,212,"*",28,392,743
,,"Windham Technical High School","=""9002416""","*","*",7,171,"*",15,350,550
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*","*",20,0,19,347,393
,,"George Hersey Robertson School","=""0320411""","*","*","*",21,0,12,336,377
,,"Coventry Grammar School","=""0320211""",0,"*","*",18,0,8,341,377
,,"Coventry High School","=""0326111""",0,"*","*",19,0,19,471,518
,,"Coventry Early Intervention Services","=""0328011""",0,0,0,"*",0,0,"*",20
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",26,42,47,0,"*",429,549
,,"Cromwell Middle School","=""0335111""","*",27,43,36,0,"*",342,454
,,"Edna C. Stevens School","=""0330211""","*",29,47,38,"*","*",346,468
,,"Woodside Intermediate School","=""0330311""",0,38,37,"*",0,"*",369,477
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""","*","*",8,58,0,8,62,139
,,"King Street Primary School","=""0341311""","*",23,15,175,0,"*",189,417
,,"Pembroke School","=""0341511""","*",28,26,142,0,"*",164,376
,,"Rogers Park Middle School","=""0345211""","*",81,81,567,"*",23,444,1200
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*",38,25,105,0,"*",249,423
,,"Broadview Middle School","=""0345111""",0,70,84,443,0,28,467,1092
,,"Danbury High School","=""0346111""",0,229,300,1035,"*","*",1267,2878
,,"Ellsworth Avenue School","=""0341411""",0,24,25,262,0,18,106,435
,,"Great Plain School","=""0341111""",0,14,9,154,0,15,164,356
,,"Hayestown Avenue School","=""0340211""",0,63,38,221,"*","*",126,469
,,"King Street Intermediate School","=""0341711""",0,28,31,124,0,11,176,370
,,"Mill Ridge Primary School","=""0340511""",0,35,34,133,"*","*",196,412
,,"Morris Street School","=""0340611""",0,21,26,310,0,14,97,468
,,"Park Avenue School","=""0340811""",0,20,21,253,0,12,127,433
,,"Shelter Rock School","=""0341211""",0,41,26,184,0,6,159,416
,,"South Street School","=""0341011""",0,12,36,236,0,14,77,375
,,"Stadley Rough School","=""0341611""",0,33,24,156,"*","*",209,432
,,"Alternative Center For Excellence","=""0346211""",0,0,"*",35,0,"*",28,83
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",37,9,60,0,"*",1244,1354
,,"Ox Ridge Elementary School","=""0351311""","*",19,"*",20,0,"*",412,458
,,"Royle Elementary School","=""0350511""","*",18,"*",19,0,"*",406,452
,,"Holmes Elementary School","=""0350711""",0,20,"*",13,0,"*",413,454
,,"Hindley Elementary School","=""0350211""",0,32,"*",21,0,"*",507,565
,,"Middlesex Middle School","=""0355111""",0,44,"*",36,0,"*",1041,1128
,,"Tokeneke Elementary School","=""0350611""",0,"*","*",15,0,13,451,492
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",18,16,13,0,"*",139,194
,,"East Granby Middle School","=""0405111""","*",9,21,12,0,"*",160,208
,,"R. Dudley Seymour School","=""0400211""","*","*",13,16,0,7,165,207
,,"East Granby High School","=""0406111""",0,"*",16,13,0,"*",215,259
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","*","*","*",10,0,"*",350,372
,,"East Haddam Elementary School","=""0410111""",0,"*","*",11,0,"*",304,326
,,"Nathan Hale-Ray Middle School","=""0415111""",0,0,0,"*",0,"*",485,488
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*",18,79,173,0,"*",22,296
,,"Connecticut IB Academy","=""0436311""","*","*",72,34,0,0,65,197
,,"Dr. John A. Langford School","=""0432211""","*",17,163,189,"*","*",30,402
,,"Dr. Thomas S. O'Connell School","=""0431011""","*",20,159,194,0,"*",154,533
,,"East Hartford High School","=""0436211""","*",85,594,720,0,"*",276,1682
,,"East Hartford Middle School","=""0435111""","*",64,421,435,0,"*",178,1101
,,"Governor William Pitkin School","=""0432011""","*",45,99,114,0,"*",81,343
,,"Joseph O. Goodwin School","=""0430411""","*",11,98,99,0,"*",91,301
,,"Robert J. O'Brien School","=""0431811""","*",31,177,234,"*","*",53,498
,,"Silver Lane School","=""0431211""","*",0,123,147,0,"*",28,304
,,"Sunset Ridge Middle School","=""0432411""","*",9,99,106,0,"*",36,253
,,"Woodland School","=""0439011""","*",0,56,95,0,0,"*",199
,,"Dr. Franklin H. Mayberry School","=""0430611""",0,17,126,168,0,0,53,364
,,"Hockanum School","=""0430511""",0,"*",95,150,0,"*",62,322
,,"Willowbrook Early Childhood","=""0438011""",0,"*",63,125,0,"*",32,231
,,"Synergy Alternative Program","=""0436411""",0,0,40,47,0,0,18,105
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*",14,"*",31,0,"*",215,269
,,"D. C. Moore School","=""0441411""","*",10,"*",51,0,0,147,215
,,"Dominick H. Ferrara School","=""0441311""","*",12,6,33,0,"*",147,202
,,"East Haven High School","=""0446111""","*",27,22,157,0,"*",695,907
,,"Overbrook Early Learning Center","=""0441811""","*","*",8,70,0,8,100,193
,,"Deer Run School","=""0440111""",0,23,8,73,0,11,214,329
,,"Grove J. Tuttle School","=""0441011""",0,11,"*",36,0,"*",114,173
,,"Joseph Melillo Middle School","=""0445111""",0,27,20,144,"*","*",371,571
,,"Momauguin School","=""0440711""",0,10,8,40,0,0,94,152
,,"Pathways","=""0449011""",0,0,"*",6,0,"*",29,40
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*",98,23,34,0,"*",891,1063
,,"East Lyme Middle School","=""0455111""","*",89,24,37,"*",11,712,875
,,"Lillie B. Haynes School","=""0450411""","*",32,"*",24,"*",8,267,339
,,"Flanders School","=""0450111""",0,40,"*",19,0,"*",282,354
,,"Integrated Preschool","=""0458011""",0,"*",0,"*",0,"*",31,41
,,"Niantic Center School","=""0450211""",0,8,"*",9,0,"*",163,190
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*",43,43,78,0,"*",319,506
,,"East Windsor Middle School","=""0475411""","*","*",37,38,0,21,238,345
,,"East Windsor High School","=""0476111""",0,8,46,41,0,15,238,348
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",7,22,0,"*",108,144
,,"Quinebaug Middle College","=""2536114""","*",0,"*",21,0,"*",98,127
,,"EastConn Special Education","=""2539014""",0,"*",6,17,0,"*",66,95
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*","*","*",0,"*",142,152
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",36,"*",36,"*",19,512,610
,,"Helen Keller Middle School","=""0465111""",0,12,"*",17,0,"*",315,351
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""","*",6,"*",38,0,0,140,189
,,"B.E.A.M Elementary School","=""2429014""",0,0,6,12,0,0,22,40
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*",31,30,34,0,"*",677,797
,,"Windermere School","=""0480611""","*",59,29,22,0,"*",314,439
,,"Center School","=""0480111""",0,8,10,17,0,6,352,393
,,"Crystal Lake School","=""0480211""",0,"*","*",7,0,9,180,203
,,"Ellington Middle School","=""0485111""",0,18,21,22,0,13,335,409
,,"Windermere Intermediate School","=""0480711""",0,31,14,13,0,14,344,416
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*","*",470,137,0,"*",6,624
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","*",7,25,34,"*",13,252,336
,,"Eli Whitney School","=""0491611""","*","*",23,60,0,19,265,384
,,"Enfield High School","=""0496111""","*","*",51,71,0,18,558,707
,,"Enrico Fermi High School","=""0496211""","*","*",51,56,0,35,754,918
,,"Hazardville Memorial School","=""0490411""","*",14,16,56,0,"*",256,354
,,"John F. Kennedy Middle School","=""0495211""","*",31,61,116,"*",50,854,1121
,,"Prudence Crandall School","=""0491511""","*",13,14,49,"*",32,305,418
,,"Nathan Hale School","=""0491111""",0,"*","*",10,0,10,195,221
,,"Enfield Street School","=""0490211""",0,14,6,41,0,15,212,288
,,"Enfield Transitional Learning Academy","=""0499011""",0,"*",0,0,0,"*",12,15
,,"Head Start Program","=""0498011""",0,"*",11,33,0,"*",49,104
,,"Henry Barnard School","=""0491811""",0,11,29,43,0,20,237,340
"Explorations District","=""2720013""","Explorations","=""2726113""","*","*","*","*",0,"*",76,83
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*",15,"*",19,0,8,257,306
,,"Fairfield Ludlowe High School","=""0516011""","*",63,34,101,"*",31,1278,1509
,,"Fairfield Warde High School","=""0516211""","*",82,60,153,0,"*",1124,1459
,,"Jennings School","=""0511711""","*",12,8,32,0,"*",267,327
,,"Osborn Hill School","=""0511811""","*",32,"*",10,0,8,467,526
,,"Riverfield School","=""0511211""","*",13,"*",12,0,14,352,399
,,"Roger Ludlowe Middle School","=""0515311""","*",37,"*",46,0,18,744,860
,,"Sherman School","=""0511311""","*",16,"*",25,0,15,394,457
,,"Tomlinson Middle School","=""0515111""","*",47,"*",97,0,30,500,698
,,"Burr Elementary School","=""0510211""",0,23,8,20,0,20,382,453
,,"Early Childhood Center","=""0518011""",0,11,"*",15,0,"*",77,110
,,"Fairfield Woods Middle School","=""0515211""",0,65,22,65,0,17,757,926
,,"Holland Hill School","=""0510411""",0,38,7,73,0,12,268,398
,,"McKinley School","=""0510611""",0,55,26,109,0,20,248,458
,,"Mill Hill School","=""0510711""",0,16,"*",32,"*",14,364,429
,,"North Stratfield School","=""0511611""",0,22,7,44,0,16,355,444
,,"Stratfield School","=""0511411""",0,30,"*",37,"*",11,411,497
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*",160,83,82,0,"*",982,1314
,,"Union School","=""0520111""","*",31,20,34,0,"*",229,316
,,"West District School","=""0520311""","*",61,12,16,0,"*",248,341
,,"West Woods Upper Elementary School","=""0520511""","*",108,28,31,0,"*",446,620
,,"East Farms School","=""0520411""",0,106,13,24,0,6,284,433
,,"Farmington Collaborative PK","=""0528011""",0,22,"*","*",0,0,44,76
,,"Irving A. Robbins Middle School","=""0525111""",0,84,"*",36,0,"*",418,571
,,"Noah Wallace School","=""0520211""",0,72,12,21,0,7,226,338
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*","*",0,12,"*","*",160,181
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","*",209,86,165,"*",46,1628,2140
,,"Hebron Avenue School","=""0540411""","*",43,"*",17,0,12,358,441
,,"Hopewell School","=""0540611""","*",51,"*",24,0,19,340,438
,,"Smith Middle School","=""0545211""","*",110,28,75,"*",29,787,1034
,,"Buttonball Lane School","=""0540211""",0,47,6,34,0,23,369,479
,,"Eastbury School","=""0540311""",0,32,"*","*",0,16,237,294
,,"Gideon Welles School","=""0540811""",0,51,14,35,0,20,389,509
,,"Naubuc School","=""0540711""",0,46,21,71,0,27,248,413
,,"Nayaug Elementary School","=""0540911""",0,22,16,44,0,31,496,609
,,"Links Academy","=""0540111""",0,0,"*","*",0,"*",30,38
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*",22,10,0,9,342,390
,,"Granby Memorial High School","=""0566111""","*","*",23,29,0,11,648,724
,,"Granby Memorial Middle School","=""0565111""","*","*",13,12,0,10,289,332
,,"Kelly Lane Primary School","=""0560411""","*","*",18,12,0,13,269,316
,,"Wells Road Intermediate School","=""0560311""",0,"*",12,"*",0,14,247,288
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*",53,"*",86,0,21,417,595
,,"Greenwich High School","=""0576111""","*",177,90,470,"*",50,1844,2636
,,"Hamilton Avenue School","=""0570511""","*",22,39,184,0,"*",124,386
,,"North Mianus School","=""0570711""","*",65,"*",60,"*",12,305,447
,,"North Street School","=""0570811""","*",36,"*",41,0,32,279,394
,,"Western Middle School","=""0575311""","*",34,39,171,0,"*",251,504
,,"Cos Cob School","=""0570211""",0,41,8,60,0,30,305,444
,,"Eastern Middle School","=""0575211""",0,84,"*",79,"*",24,581,779
,,"Glenville School","=""0570411""",0,39,"*",46,0,"*",310,405
,,"International School At Dundee","=""0571311""",0,54,"*",54,"*",23,231,378
,,"Julian Curtiss School","=""0570311""",0,42,18,92,0,21,171,344
,,"New Lebanon School","=""0570611""",0,10,16,161,0,6,71,264
,,"Old Greenwich School","=""0570911""",0,"*","*",44,0,17,349,428
,,"Parkway School","=""0571111""",0,11,"*",34,0,"*",211,265
,,"Riverside School","=""0571011""",0,27,0,89,0,15,365,496
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",8,11,19,46,0,68,634,786
,,"Griswold High School","=""0586211""","*","*",14,30,0,14,534,602
,,"Griswold Middle School","=""0585111""","*",14,25,32,"*",21,474,577
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*",42,37,43,0,"*",308,449
,,"Claude Chester School","=""0590311""","*",31,63,109,"*",39,114,362
,,"Pleasant Valley School","=""0591211""","*",16,18,50,"*",29,177,294
,,"Robert E. Fitch High School","=""0596111""","*",75,141,180,"*",39,663,1123
,,"S. B. Butler School","=""0590111""","*","*",19,42,0,19,238,333
,,"Thames River Magnet School","=""0591711""","*","*",34,95,0,37,222,422
,,"West Side Middle School","=""0595211""","*",20,71,116,"*",26,239,480
,,"Catherine Kolnaski Magnet School","=""0592011""",0,22,54,126,0,39,170,411
,,"Charles Barnum Magnet School","=""0591811""",0,"*",31,39,"*",31,264,385
,,"Northeast Academy Magnet School","=""0591911""",0,28,"*",41,"*",22,308,410
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","*",42,"*",52,0,14,947,1067
,,"Guilford Lakes School","=""0600211""","*",15,9,14,0,"*",300,343
,,"A. Baldwin Middle School","=""0600711""",0,"*","*",43,0,22,492,580
,,"A. W. Cox School","=""0600611""",0,"*","*",23,0,22,256,313
,,"Calvin Leete School","=""0600411""",0,"*","*",14,0,8,254,287
,,"E. C. Adams Middle School","=""0605111""",0,24,7,34,0,8,510,583
,,"Melissa Jones School","=""0600311""",0,15,"*",30,"*",12,276,337
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","*",16,40,28,0,"*",43,137
,,"Hamden High School","=""0626111""","*",113,632,292,"*",38,732,1811
,,"Helen Street School","=""0620411""","*","*",131,103,0,21,56,330
,,"Shepherd Glen School","=""0620111""","*",70,112,39,0,"*",93,328
,,"West Woods School","=""0621411""","*",80,48,32,0,"*",279,450
,,"Bear Path School","=""0621211""",0,48,41,54,0,24,282,449
,,"Church Street School","=""0620211""",0,15,132,127,0,11,67,352
,,"Dunbar Hill School","=""0620311""",0,25,106,45,0,23,110,309
,,"Hamden Middle School","=""0625211""",0,60,265,135,0,32,373,865
,,"Ridge Hill School","=""0621111""",0,21,98,100,0,11,69,299
,,"Spring Glen School","=""0621011""",0,"*",80,26,"*",33,288,435
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*","*",102,396,0,12,9,527
,,"Betances STEM Magnet School","=""0643811""","*",32,30,67,0,"*",39,173
