"Student Counts by School and Race"
"All Districts, All Schools"
"2021-22"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
,,"Information Technology & Software Engineering Magnet High School","=""0151511""","*",31,106,193,0,"*",65,402
,,"Interdistrict Discovery Magnet School","=""0153711""","*",21,129,199,0,"*",120,482
,,"James J. Curiale School","=""0154211""","*",21,181,284,"*",14,28,530
,,"Jettie S. Tisdale School","=""0152211""","*",12,225,254,"*","*",36,536
,,"John Winthrop School","=""0153611""","*",29,152,325,"*",16,87,614
,,"Luis Munoz Marin School","=""0151011""","*","*",140,537,0,12,32,725
,,"Madison School","=""0152011""","*","*",107,216,"*",15,71,417
,,"Multicultural Magnet School","=""0154611""",19,6,27,268,"*","*",81,407
,,"Park City Magnet School","=""0151711""","*",25,184,227,0,"*",48,495
,,"Paul Laurence Dunbar School","=""0154111""","*","*",139,186,0,14,15,358
,,"Read School","=""0152511""","*",7,252,392,"*",6,47,707
,,"Roosevelt School","=""0152611""","*",16,148,275,0,"*",39,485
,,"Thomas Hooker School","=""0151311""","*",0,105,130,"*",9,30,277
,,"Waltersville School","=""0153011""","*",0,129,283,0,"*",20,440
,,"Warren Harding High School","=""0156311""","*",7,352,691,"*",14,55,1124
,,"Wilbur Cross School","=""0153911""","*","*",123,140,0,"*",19,287
,,"A.B. Skane Center","=""0154411""",0,"*",63,118,0,"*",22,210
,,"Edison School","=""0150711""",0,"*",66,87,"*",6,15,180
,,"The Transition Academy","=""0152811""",0,"*",19,15,0,0,"*",37
,,"Bridgeport Learning Center","=""0159011""",0,0,34,"*",0,0,"*",53
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","*",51,95,310,0,"*",628,1130
,,"Greene-Hills School","=""0170511""","*",38,72,314,0,"*",426,887
,,"South Side School","=""0171111""","*","*",33,185,0,22,241,491
,,"Edgewood School","=""0170311""",0,8,9,98,0,18,126,259
,,"Bristol Central High School","=""0176111""",0,26,79,447,0,52,616,1220
,,"Chippens Hill Middle School","=""0175111""",0,32,58,254,"*","*",321,691
,,"EXCEL - MS","=""0171611""",0,"*",0,"*",0,0,"*",6
,,"Edgewood Pre-K Academy","=""0170411""",0,"*","*",54,0,10,49,116
,,"Ellen P. Hubbell School","=""0171411""",0,11,30,145,0,22,129,337
,,"Ivy Drive School","=""0171911""",0,9,30,99,0,21,200,359
,,"LEAD","=""0173711""",0,"*","*",12,0,"*",10,31
,,"LEAD Pre-K","=""0172911""",0,"*",0,"*",0,"*",6,12
,,"Mountain View School","=""0171711""",0,16,21,100,0,23,180,340
,,"Northeast Middle School","=""0175211""",0,19,29,95,0,22,222,387
,,"Stafford School","=""0171211""",0,8,29,148,0,20,135,340
,,"West Bristol School","=""0172011""",0,"*",60,348,"*",60,377,867
,,"Breakthrough","=""0172611""",0,0,"*",6,0,"*",7,19
,,"Bristol Preparatory Academy","=""0173311""",0,0,"*",14,0,"*",27,47
,,"CHMS Learning Center","=""0173411""",0,0,"*","*",0,0,"*",6
,,"Chippens Hill Middle School EXCEL","=""0171011""",0,0,"*","*",0,"*","*",10
,,"Chippens Hilll Middle School Extended Resource","=""0170811""",0,0,"*",6,0,"*",0,9
,,"Community/Vocational Program","=""0179211""",0,0,"*","*",0,"*",9,16
,,"Destinations Academy","=""0179011""",0,0,"*",11,0,0,"*",25
,,"Mountain View School EXCEL","=""0172311""",0,0,"*","*",0,"*","*",7
,,"ACCESS","=""0170211""",0,0,0,"*",0,0,"*",6
,,"Greene Hills Extended Resource","=""0173811""",0,0,0,"*",0,0,0,"*"
,,"Greene-Hills GOAL","=""0170911""",0,0,0,"*",0,"*","*",6
,,"Ivy Drive Extended Resource","=""0172211""",0,0,0,"*",0,0,0,"*"
,,"Mt. View Extended Resource","=""0172411""",0,0,0,"*",0,0,0,"*"
,,"Northeast MS/Extended Resource","=""0172711""",0,0,0,"*",0,0,"*","*"
,,"Northeast Middle School Learning Center","=""0172811""",0,0,0,"*",0,0,"*","*"
,,"South Side Extended Resource","=""0173011""",0,0,0,"*",0,"*","*",12
,,"Hubbell/Extended Resource","=""0172111""",0,0,0,0,0,0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*",71,26,126,"*","*",673,903
,,"Center Elementary School","=""0180311""","*",27,11,72,0,"*",264,381
,,"Huckleberry Hill Elementary School","=""0180411""",8,36,14,61,0,10,385,514
,,"Whisconier Middle School","=""0185311""","*",64,24,112,"*",13,568,790
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*","*",9,65,0,25,413,522
,,"Brooklyn Middle School","=""0195111""",0,9,7,36,0,22,271,345
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*",0,"*",28,0,"*",234,267
,,"Dr. Helen Baldwin Middle School","=""0225111""","*",0,"*",9,0,"*",182,194
"Capital Preparatory Harbor School District","=""2970013""","Capital Preparatory Harbor School","=""2970113""","*",0,534,246,0,"*",6,793
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*",73,268,303,"*",18,116,781
,,"Academy of Aerospace and Engineering Elementary","=""2410714""","*",82,140,181,"*",27,105,538
,,"Academy of Computer Science and Engineering","=""2415214""","*","*",133,232,0,21,68,462
,,"Academy of Computer Science and Engineering Middle School","=""2415014""","*","*",192,311,0,29,76,628
,,"Academy of International Studies 6-12","=""2416114""","*",14,355,202,"*",44,78,695
,,"Academy of International Studies Elementary School","=""2410414""","*",90,162,170,0,"*",38,491
,,"Academy of Science and Innovation","=""2416514""","*",36,173,380,0,"*",143,768
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*",46,121,195,0,"*",64,453
,,"Museum Academy","=""2410514""","*","*",235,153,0,35,77,515
,,"Reggio Magnet School of the Arts","=""2410314""","*","*",144,190,0,38,133,516
,,"University of Hartford Magnet School","=""2410214""","*","*",221,116,0,38,78,474
,,"Ana Grace Academy of the Arts","=""2410614""",0,"*",141,241,"*",37,76,507
,,"Discovery Academy","=""2418114""",0,28,85,254,0,26,129,522
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""",0,"*",96,229,0,"*",86,434
,,"Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,"*",94,157,0,"*",53,328
,,"Montessori Magnet School","=""2413114""",0,11,41,222,0,18,66,358
,,"River Street School","=""2419314""",0,"*",22,24,0,"*",47,102
,,"River Street School Birken Campus","=""2419514""",0,"*",9,7,0,"*",24,46
,,"STRIVE - Southern Transition Real-World and Independent Voc Ed","=""2419714""",0,"*",0,"*",0,0,14,16
,,"CREC Impact Academy","=""2411914""",0,0,19,30,0,"*","*",51
,,"Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*","*",0,0,6,9
,,"John J. Allison Polaris Center","=""2419014""",0,0,13,18,0,0,6,37
,,"River Street School Early Learning Center","=""2411414""",0,0,"*",0,0,0,"*",11
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",147,46,89,0,"*",1007,1314
,,"Dodd Middle School","=""0255111""","*",70,19,48,0,"*",464,614
,,"Chapman School","=""0250111""",0,14,7,23,0,11,291,346
,,"Cheshire Community Life","=""0251211""",0,"*",0,0,0,0,"*","*"
,,"Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,"*","*",0,0,0,"*",6
,,"Darcey School","=""0250211""",0,7,"*",20,0,"*",125,164
,,"Doolittle School","=""0250611""",0,31,18,35,0,35,365,484
,,"Highland School","=""0250411""",0,75,18,64,0,23,586,766
,,"Highland School Autism Program","=""0250711""",0,"*","*","*",0,"*",13,20
,,"Norton School","=""0250511""",0,40,18,25,0,14,339,436
,,"QU College Life","=""0251011""",0,"*",0,0,0,0,"*",6
,,"Humiston Alternative School","=""0250911""",0,0,"*","*",0,"*",20,25
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","*",13,"*",111,0,9,313,452
,,"The Morgan School","=""0276111""","*",20,"*",81,0,7,422,534
,,"Lewin G. Joel Jr. School","=""0270311""",0,"*","*",130,0,15,396,557
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*",7,"*",54,"*",27,504,599
,,"Bacon Academy","=""0286111""",0,22,13,54,0,39,568,696
,,"Jack Jackter Intermediate School","=""0280211""",0,"*","*",36,0,24,363,436
,,"William J. Johnston Middle School","=""0285111""",0,8,8,35,0,25,402,478
,,"East of the River Transition Academy","=""0280711""",0,0,"*",0,0,0,"*",7
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*","*",38,0,16,376,440
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*",9,199,503,"*",24,47,786
,,"Bullard-Havens Technical High School","=""9001116""","*","*",223,557,0,21,19,827
,,"Ella T. Grasso Technical High School","=""9002716""","*",9,34,221,"*",71,277,621
,,"H. C. Wilcox Technical High School","=""9001716""","*","*",35,359,0,40,347,791
,,"H. H. Ellis Technical High School","=""9001316""","*","*",6,63,0,21,597,693
,,"Henry Abbott Technical High School","=""9001216""","*",10,25,337,"*",26,312,712
,,"Howell Cheney Technical High School","=""9001616""","*","*",74,217,0,41,313,661
,,"Norwich Technical High School","=""9002016""","*",7,44,151,"*",43,412,666
,,"Oliver Wolcott Technical High School","=""9002216""","*","*",6,91,0,35,503,638
,,"Platt Technical High School","=""9002616""","*","*",125,345,0,36,292,808
,,"Vinal Technical High School","=""9001816""","*","*",33,99,0,32,321,491
,,"W. F. Kaynor Technical High School","=""9002316""","*",23,105,374,"*",48,233,792
,,"E. C. Goodwin Technical High School","=""9001916""",0,"*",56,414,"*",25,186,685
,,"Eli Whitney Technical High School","=""9001416""",0,"*",242,365,0,"*",44,678
,,"Emmett O'Brien Technical High School","=""9002516""",0,"*",61,221,"*",35,360,686
,,"J. M. Wright Technical High School","=""9002116""",0,"*",81,302,0,"*",67,465
,,"Windham Technical High School","=""9002416""",0,0,6,194,0,22,278,500
"Cooperative Educational Services","=""2430014""","Merit Academy","=""2439414""","*","*",15,34,0,8,55,114
,,"Oakview Middle/High School","=""2439214""",0,"*",16,18,0,"*",15,54
,,"Oakview Primary School","=""2439114""",0,"*",14,15,"*","*",15,49
,,"Oakview Transition School","=""2430214""",0,"*",14,10,0,"*",17,47
,,"School Readiness","=""2438014""",0,"*",23,44,0,0,"*",82
,,"Six-Six Magnet School","=""2430114""",0,30,101,202,0,22,114,469
,,"RISE Transitional Program","=""2439314""",0,0,0,"*","*",0,10,13
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","*","*","*",21,0,15,330,372
,,"Coventry High School","=""0326111""","*","*",6,25,0,11,356,403
,,"George Hersey Robertson School","=""0320411""","*",6,"*",32,0,19,297,358
,,"Capt. Nathan Hale School","=""0325111""",0,6,"*",26,"*",11,350,398
,,"Hale Early Education Center","=""0320311""",0,"*","*",7,0,"*",91,104
,,"Coventry Academy","=""0320111""",0,0,"*","*",0,"*",14,20
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*",25,36,57,"*",22,315,459
,,"Woodside Intermediate School","=""0330311""","*",21,"*",70,0,25,314,451
,,"Cromwell High School","=""0336111""",0,45,44,58,"*","*",385,546
,,"Edna C. Stevens School","=""0330211""",0,23,22,78,0,35,320,478
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*",47,75,652,0,"*",255,1065
,,"Danbury High School","=""0346111""","*",203,256,1872,"*",88,948,3373
,,"Ellsworth Avenue School","=""0341411""","*",15,15,345,0,"*",66,452
,,"Hayestown Avenue School","=""0340211""","*",42,29,252,0,"*",77,417
,,"King Street Intermediate School","=""0341711""","*",10,30,218,0,"*",122,386
,,"Rogers Park Middle School","=""0345211""","*",28,95,687,0,"*",206,1041
,,"Shelter Rock School","=""0341211""","*",40,30,307,"*",20,122,521
,,"South Street School","=""0341011""","*",21,19,273,0,"*",55,386
,,"Stadley Rough School","=""0341611""","*","*",31,310,0,21,114,490
,,"Westside Middle School Academy","=""0340311""","*",45,42,329,0,"*",279,716
,,"Alternative Center For Excellence","=""0346211""",0,"*",7,42,0,"*",27,83
,,"DPS Early Childhood Center","=""0340111""",0,"*",7,24,0,"*",11,48
,,"DPS Early Childhood Center at Granville","=""0340411""",0,14,12,104,0,8,41,179
,,"Great Plain School","=""0341111""",0,20,12,158,0,11,81,282
,,"King Street Primary School","=""0341311""",0,10,14,243,0,14,100,381
,,"Mill Ridge Primary School","=""0340511""",0,27,42,160,0,19,83,331
,,"Morris Street School","=""0340611""",0,10,6,315,0,14,39,384
,,"Park Avenue School","=""0340811""",0,23,21,452,"*","*",95,610
,,"Pembroke School","=""0341511""",0,32,25,196,0,14,74,341
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,28,35,135,0,18,111,327
,,"Western Connection","=""0340711""",0,0,0,"*",0,0,"*",12
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",79,"*",99,0,30,1196,1422
,,"Hindley Elementary School","=""0350211""","*",33,"*",26,0,21,357,443
,,"Middlesex Middle School","=""0355111""","*",56,"*",67,0,40,926,1098
,,"Holmes Elementary School","=""0350711""",0,36,0,26,0,28,361,451
,,"Ox Ridge Elementary School","=""0351311""",0,23,0,34,0,31,410,498
,,"Royle Elementary School","=""0350511""",0,17,7,34,0,16,302,376
,,"Tokeneke Elementary School","=""0350611""",0,"*","*",29,0,27,355,437
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*","*",13,"*",10,176,204
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*",14,18,14,"*",8,146,203
,,"Allgrove School","=""0400111""",0,8,7,9,0,6,142,172
,,"East Granby High School","=""0406111""",0,23,25,16,0,8,180,252
,,"East Granby Middle School","=""0405111""",0,14,16,19,0,8,134,191
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","*","*",0,31,0,12,323,370
,,"East Haddam Elementary School","=""0410111""",0,"*","*",87,0,8,220,321
,,"Nathan Hale-Ray High School","=""0416111""",0,7,"*",14,0,"*",244,269
,,"East of the River Transition Academy","=""0410311""",0,0,0,0,0,0,8,8
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*",7,26,0,18,376,432
,,"Center School","=""0420311""",0,"*","*",22,0,11,245,288
,,"The Transition Academy","=""0420211""",0,0,0,0,0,0,"*","*"
,,"East Hampton High School","=""0426111""",0,"*","*",36,0,9,481,534
,,"Memorial School","=""0420111""",0,"*",10,36,"*",21,443,519
