"Student Counts by School and Race"
"All Districts, All Schools"
"2025-26"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",539,470,0,17,19,1054
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",11,"*",677,204,0,17,"*",915
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",12,641,397,"*",22,12,1089
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*",141,302,0,36,152,646
,,"Ansonia Middle School","=""0025111""","*",6,128,279,"*",25,93,534
,,"Prendergast School","=""0020811""","*","*",113,281,0,19,154,579
,,"Mead School","=""0020311""",0,12,128,291,0,30,108,569
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,"*","*",19,0,"*",0,26
,,"Ansonia 18-21 Transition Program","=""0021011""",0,0,"*","*",0,"*","*",9
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*","*",0,0,0,8
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",11,97,223,"*",40,184,558
,,"CREATE at Whitney Academy","=""2440114""","*","*",24,24,"*","*",30,85
,,"Whitney Academy","=""2449214""","*",7,32,19,0,"*",13,73
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*","*",241,180,0,36,43,511
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",10,9,0,"*",20,45
,,"Village School","=""2449514""",0,"*",58,36,0,"*",29,137
,,"ACES Mill Road School","=""2449414""",0,0,44,46,0,8,25,123
,,"ACES at Ansonia Middle School","=""2440514""",0,0,6,"*",0,0,"*",10
,,"ACES at Mead Elementary School","=""2440414""",0,0,"*",8,0,"*",12,28
,,"The Bridge at ACES","=""2440614""",0,0,"*",10,0,"*","*",18
,,"Whitney High School North","=""2449114""",0,0,44,32,0,11,17,104
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",200,52,88,0,"*",544,916
,,"Avon Middle School","=""0045111""","*",92,24,34,"*",30,263,445
,,"Pine Grove School","=""0040411""","*",67,"*",45,0,31,412,584
,,"Thompson Brook School","=""0040511""","*",84,23,44,"*",28,306,487
,,"Avon Early Learning Center at Roaring Brook School","=""0040111""",0,10,"*",10,0,"*",36,66
,,"Roaring Brook School","=""0040311""",0,51,"*",44,"*",34,304,456
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*",0,9,0,6,186,203
,,"Bridges at Barkhamsted Elementary School","=""0050211""",0,0,0,"*",0,0,"*",7
,,"Shared Services Integrated Preschool","=""0058011""",0,0,0,"*",0,0,"*",31
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",31,18,82,0,"*",455,603
,,"Emma Hart Willard School","=""0070411""","*",30,12,77,"*",12,308,442
,,"Mary E. Griswold School","=""0070511""","*",8,10,68,"*",15,397,500
,,"Berlin High School","=""0076111""",0,46,15,107,0,23,603,794
,,"Richard D. Hubbard School","=""0070111""",0,"*",7,30,0,"*",162,207
,,"Central Connecticut Transition Academy","=""0070311""",0,0,"*","*",0,"*",10,16
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*",24,12,92,"*",12,160,302
,,"Bethel High School","=""0096111""","*",71,37,309,"*",40,581,1057
,,"Bethel Middle School","=""0095111""","*",68,40,237,"*",34,366,759
,,"Frank A. Berry School","=""0090111""","*",25,17,104,"*",15,188,353
,,"Ralph M. T. Johnson School","=""0090511""","*",49,25,192,"*",23,311,616
,,"TASK","=""0090311""",0,"*",0,8,0,0,"*",11
,,"Community Partnership Program","=""0090211""",0,0,"*","*",0,0,12,15
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",382,76,"*",14,6,485
,,"Bloomfield P.E.E.P.S","=""0110411""","*",0,17,"*",0,"*","*",25
,,"Carmen Arace Intermediate School","=""0110711""","*","*",138,37,"*",9,"*",193
,,"Carmen Arace Middle School","=""0115211""","*","*",155,31,0,10,6,207
,,"Metacomet School","=""0110511""","*","*",119,37,0,9,13,185
,,"Global Experience Magnet School","=""0116311""",0,"*",47,34,0,"*","*",92
,,"Laurel Literacy Academy","=""0110611""",0,"*",180,67,0,"*",15,278
,,"Wintonbury Early Childhood Magnet School","=""0110811""",0,9,93,46,0,14,117,279
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",0,20,0,10,149,183
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",46,36,118,0,"*",476,714
,,"John B. Sliney School","=""0141611""","*",8,"*",50,0,16,156,239
,,"Francis Walsh Intermediate School","=""0145111""",0,44,"*",139,"*",40,488,748
,,"Indian Neck School","=""0148011""",0,10,"*",11,0,"*",55,83
,,"Mary R. Tisko School","=""0141511""",0,"*","*",44,0,18,278,350
,,"Mary T. Murphy School","=""0141411""",0,44,9,72,0,18,161,304
,,"Access Transition Program","=""0140311""",0,0,"*","*",0,"*","*",11
,,"Branford High School Atlas Program","=""0140211""",0,0,0,6,0,0,14,20
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*","*",311,719,0,24,61,1129
,,"Beardsley School","=""0150211""","*",0,75,207,0,"*",12,306
,,"Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""","*",24,86,199,"*",16,37,364
,,"Black Rock School","=""0150311""","*","*",72,267,0,7,80,431
,,"Blackham School","=""0154011""",7,16,237,638,0,34,83,1015
,,"Bridgeport Military Academy","=""0151611""","*","*",57,162,0,6,18,246
,,"Bryant School","=""0150411""","*","*",79,196,0,"*",16,297
,,"Central High School","=""0156211""","*",42,486,1032,"*",30,149,1755
,,"Classical Studies Academy","=""0152111""","*","*",151,155,0,19,19,352
,,"Columbus School","=""0150511""","*","*",103,391,0,7,26,530
,,"Geraldine Johnson School","=""0153211""","*","*",162,569,0,27,39,811
,,"Hall School","=""0151111""","*","*",54,90,"*","*",6,161
,,"High Horizons Magnet School","=""0154511""","*","*",137,253,0,15,29,440
,,"Information Technology & Software Engineering Magnet High School","=""0151511""","*","*",86,204,0,18,61,381
,,"Interdistrict Discovery Magnet School","=""0153711""","*",24,138,227,0,"*",86,495
,,"James J. Curiale School","=""0154211""","*",20,139,287,"*",19,22,489
,,"John Winthrop School","=""0153611""","*",20,133,334,"*",22,82,596
,,"Luis Munoz Marin School","=""0151011""","*","*",97,509,0,13,11,634
,,"Multicultural Magnet School","=""0154611""","*","*",53,323,0,11,28,426
,,"Park City Magnet School","=""0151711""","*",13,155,236,"*",21,41,468
,,"Paul Laurence Dunbar School","=""0154111""","*","*",113,231,0,12,11,370
,,"Read School","=""0152511""","*","*",187,508,0,13,43,759
,,"Waltersville School","=""0153011""","*",0,141,260,0,"*",21,436
,,"Warren Harding High School","=""0156311""","*",14,437,807,"*",26,79,1371
,,"Thomas Hooker School","=""0151311""",0,"*",70,165,"*",9,16,263
,,"A.B. Skane Center","=""0154411""",0,"*",58,99,0,"*",19,182
,,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""",0,"*",72,154,"*",21,52,311
,,"Barnum School","=""0150111""",0,"*",124,386,0,"*",34,554
