"Student Counts by School and Race"
"All Districts, All Schools"
"2024-25"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",570,474,0,14,22,1090
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",12,"*",690,183,0,15,"*",907
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",13,665,393,0,21,"*",1105
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*",119,290,0,33,157,617
,,"Ansonia Middle School","=""0025111""","*",7,121,290,"*",22,118,560
,,"Mead School","=""0020311""","*",10,132,299,"*",25,110,578
,,"Prendergast School","=""0020811""","*","*",133,276,0,27,138,588
,,"Ansonia 18-21 Transition Program","=""0021011""",0,0,"*","*",0,"*","*",7
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,10,17,0,"*","*",29
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,0,"*",0,0,"*",8
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*","*",94,216,0,41,192,556
,,"CREATE at Whitney Academy","=""2440114""","*","*",28,25,"*","*",44,103
,,"Whitney Academy","=""2449214""","*","*",32,18,0,0,16,72
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",8,242,170,"*",31,55,509
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",10,9,0,"*",21,46
,,"Village School","=""2449514""",0,"*",57,33,0,"*",33,137
,,"ACES Mill Road School","=""2449414""",0,0,41,48,0,9,28,126
,,"ACES at Ansonia Middle School","=""2440514""",0,0,6,"*",0,0,"*",14
,,"ACES at Mead Elementary School","=""2440414""",0,0,"*",7,0,"*",10,24
,,"The Bridge at ACES","=""2440614""",0,0,13,15,0,"*","*",32
,,"Whitney High School North","=""2449114""",0,0,39,35,0,9,24,107
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",205,61,96,0,"*",550,946
,,"Avon Middle School","=""0045111""","*",92,26,36,0,"*",288,461
,,"Pine Grove School","=""0040411""","*",89,36,49,0,"*",403,613
,,"Roaring Brook School","=""0040311""","*",48,24,38,"*",36,311,461
,,"Avon Early Learning Center at Roaring Brook School","=""0040111""",0,18,"*",12,0,"*",49,88
,,"Thompson Brook School","=""0040511""",0,95,"*",39,"*",29,306,497
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*",0,10,0,8,185,205
,,"Bridges at Barkhamsted Elementary School","=""0050211""",0,0,0,"*",0,0,"*","*"
,,"Shared Services Integrated Preschool","=""0058011""",0,0,0,"*",0,"*",15,17
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*",24,10,74,"*",14,310,434
,,"Berlin High School","=""0076111""",0,42,19,107,0,19,649,836
,,"Catherine M. McGee Middle School","=""0075111""",0,33,13,77,0,19,453,595
,,"Mary E. Griswold School","=""0070511""",0,"*",12,71,"*",12,407,513
,,"Richard D. Hubbard School","=""0070111""",0,7,"*",32,0,"*",167,215
,,"Central Connecticut Transition Academy","=""0070311""",0,0,"*","*",0,"*",17,21
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",31,11,26,0,"*",351,430
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*",24,10,92,"*",13,159,303
,,"Bethel High School","=""0096111""","*",74,46,290,"*",41,627,1097
,,"Bethel Middle School","=""0095111""","*",57,35,223,"*",29,400,758
,,"Frank A. Berry School","=""0090111""","*",22,21,99,"*",13,217,378
,,"Ralph M. T. Johnson School","=""0090511""",15,55,30,195,0,31,326,652
,,"TASK","=""0090311""","*","*","*","*",0,0,"*",11
,,"Community Partnership Program","=""0090211""",0,0,"*","*",0,0,12,15
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",436,63,"*",12,12,528
,,"Carmen Arace Intermediate School","=""0110711""","*","*",153,34,"*",13,6,210
,,"Carmen Arace Middle School","=""0115211""","*",6,153,28,0,9,"*",202
,,"Metacomet School","=""0110511""","*",8,119,38,"*",9,7,183
,,"Wintonbury Early Childhood Magnet School","=""0110811""","*","*",94,43,0,14,128,289
,,"Global Experience Magnet School","=""0116311""",0,"*",74,77,0,"*",12,175
,,"Laurel Literacy Academy","=""0110611""",0,"*",159,50,0,"*",20,247
,,"BELIEVE Academy","=""0110211""",0,0,"*","*",0,"*",0,"*"
,,"Bloomfield P.E.E.P.S","=""0110411""",0,0,15,"*",0,"*",0,21
,,"Steps to Success","=""0110111""",0,0,"*","*",0,0,"*",8
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*","*",19,0,12,145,180
"Branford School District","=""0140011""","Branford High School","=""0146111""","*",48,47,113,0,"*",497,738
,,"Francis Walsh Intermediate School","=""0145111""","*",42,44,138,0,"*",506,775
,,"Indian Neck School","=""0148011""",0,11,"*",13,0,"*",41,68
,,"John B. Sliney School","=""0141611""",0,8,9,53,0,20,162,252
,,"Mary R. Tisko School","=""0141511""",0,"*","*",43,"*",14,299,365
,,"Mary T. Murphy School","=""0141411""",0,46,12,72,0,21,167,318
,,"Branford High School Atlas Program","=""0140211""",0,0,"*",6,0,"*",11,22
,,"Access Transition Program","=""0140311""",0,0,0,"*",0,"*",7,12
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*","*",135,400,0,10,41,588
,,"Bassick High School","=""0156111""","*","*",308,689,0,17,50,1075
,,"Beardsley School","=""0150211""","*",0,91,213,0,13,"*",327
,,"Biotechnology, Research & Zoological Studies Magnet High School","=""0150611""","*",23,96,200,"*",14,41,376
,,"Blackham School","=""0154011""",6,16,225,698,0,27,116,1088
,,"Bridgeport Military Academy","=""0151611""","*","*",79,209,0,"*",26,321
,,"Bryant School","=""0150411""","*","*",86,202,"*",8,15,317
,,"Central High School","=""0156211""","*",49,521,1028,"*",29,158,1803
,,"Cesar Batalla School","=""0151411""","*",14,181,733,"*",16,44,990
,,"Classical Studies Academy","=""0152111""","*","*",163,145,0,16,17,351
,,"Geraldine Johnson School","=""0153211""","*","*",181,569,0,24,36,825
,,"Hall School","=""0151111""","*","*",59,81,"*",7,9,162
,,"High Horizons Magnet School","=""0154511""","*","*",148,238,0,10,41,443
,,"Information Technology & Software Engineering Magnet High School","=""0151511""","*",17,84,208,0,"*",61,386
,,"Interdistrict Discovery Magnet School","=""0153711""","*",25,122,230,0,"*",99,492
,,"James J. Curiale School","=""0154211""","*",17,150,300,"*",13,27,509
,,"John Winthrop School","=""0153611""","*",23,122,360,"*",17,80,607
,,"Luis Munoz Marin School","=""0151011""","*","*",110,562,"*",14,20,709
,,"Madison School","=""0152011""","*","*",86,302,0,26,31,451
,,"Multicultural Magnet School","=""0154611""","*","*",54,313,0,11,50,436
,,"Park City Magnet School","=""0151711""","*",14,170,233,"*",24,43,487
,,"Paul Laurence Dunbar School","=""0154111""","*","*",124,240,0,11,13,391
,,"Read School","=""0152511""","*","*",231,549,0,18,57,863
,,"Thomas Hooker School","=""0151311""","*","*",79,170,"*",12,22,288
,,"Waltersville School","=""0153011""","*",0,142,265,0,"*",17,432
,,"Warren Harding High School","=""0156311""","*",15,432,778,"*",26,64,1324
,,"Wilbur Cross School","=""0153911""","*","*",100,188,0,7,18,318
,,"A.B. Skane Center","=""0154411""",0,"*",44,105,0,"*",28,183
,,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School","=""0150811""",0,15,77,172,"*","*",45,324
,,"Black Rock School","=""0150311""",0,"*",73,263,0,"*",98,439
,,"Columbus School","=""0150511""",0,"*",103,400,0,"*",36,546
,,"Edison School","=""0150711""",0,"*",57,97,"*",14,8,181
,,"Geraldine Claytor Magnet Academy","=""0153111""",0,"*",165,245,0,"*",24,450
,,"Hallen School","=""0151211""",0,"*",123,129,"*",8,15,280
,,"Jettie S. Tisdale School","=""0152211""",0,"*",199,297,"*",10,36,547
,,"Roosevelt School","=""0152611""",0,8,132,312,0,9,32,493
,,"Bridgeport Learning Center","=""0159011""",0,0,24,19,0,"*","*",46
,,"The Transition Academy","=""0152811""",0,0,"*",23,0,"*",0,40
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*","*",48,208,0,25,241,545
,,"Greene-Hills School","=""0170511""","*","*",89,403,0,61,332,918
,,"LEAD","=""0173711""","*","*","*",15,0,"*",9,31
,,"South Side School","=""0171111""","*","*",44,224,0,37,198,515
,,"Stafford School","=""0171211""","*","*",30,129,0,25,157,353
,,"Bristol Arts and Innovation Magnet School","=""0174011""",0,7,26,96,0,26,113,268
,,"Bristol Central High School","=""0176111""",0,34,103,446,0,64,501,1148
,,"Bristol Central High School EXCEL","=""0174411""",0,"*","*",6,0,"*","*",13
,,"Bristol Eastern High School","=""0176211""",0,57,88,305,"*","*",497,998
,,"Chippens Hill Middle School EXCEL","=""0171011""",0,"*","*",13,0,"*",7,28
,,"Edgewood Pre-K Academy","=""0170411""",0,8,10,112,0,24,113,267
,,"Ellen P. Hubbell School","=""0171411""",0,7,37,154,0,20,113,331
,,"Ivy Drive School","=""0171911""",0,"*",26,129,"*",21,192,385
,,"LEAD Pre-K","=""0172911""",0,"*",0,18,0,"*",6,28
,,"Mountain View School","=""0171711""",0,19,22,153,0,31,131,356
,,"Mountain View School EXCEL","=""0172311""",0,"*","*","*",0,"*","*",11
,,"Northeast Middle School","=""0175211""",0,12,21,108,0,20,163,324
,,"West Bristol School","=""0172011""",0,26,59,321,0,55,372,833
,,"Bristol Central High School Learning Center","=""0174311""",0,0,"*",10,0,0,"*",18
,,"Bristol Eastern High School Learning Center","=""0174511""",0,0,"*","*",0,0,15,26
