"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
,,"John Winthrop School","=""0153611""",0,35,267,264,0,192,758
,,"Madison School","=""0152011""",0,18,231,223,0,90,562
,,"Maplewood Annex","=""0154311""",0,"*",77,84,0,"*",187
,,"Paul Laurence Dunbar School","=""0154111""",0,"*",214,139,0,"*",363
,,"Waltersville School","=""0153011""",0,8,133,300,0,15,456
,,"Wilbur Cross School","=""0153911""",0,10,264,124,0,8,406
,,"Bridgeport Learning Center","=""0159011""",0,0,"*",26,0,"*",54
,,"Make The Grade","=""0159511""",0,0,15,22,0,0,37
,,"New Start Program","=""0159411""",0,0,"*",8,0,"*",14
,,"Park City Academy","=""0159211""",0,0,16,"*",0,"*",30
,,"The University School","=""0159111""",0,0,25,14,0,7,46
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",116,166,0,1161,1465
,,"Bristol Eastern High School","=""0176211""","*","*",102,125,0,1068,1333
,,"Chippens Hill Middle School","=""0175111""","*","*",77,157,0,664,929
,,"Clara T. O'Connell School","=""0170711""","*","*",39,110,0,191,355
,,"Clarence A. Bingham School","=""0170111""","*","*",15,50,0,185,253
,,"Ivy Drive School","=""0171911""","*","*",34,48,0,313,402
,,"Northeast Middle School","=""0175211""","*","*",46,50,0,451,558
,,"South Side School","=""0171111""","*","*",44,98,0,422,580
,,"Stafford School","=""0171211""","*","*",34,73,0,369,497
,,"Edgewood School","=""0170311""",0,8,34,76,0,238,356
,,"Ellen P. Hubbell School","=""0171411""",0,24,33,92,0,341,490
,,"Greene-Hills School","=""0170511""",0,10,30,66,0,290,396
,,"John J. Jennings School","=""0170611""",0,"*","*",41,0,309,374
,,"Memorial Boulevard Middle School","=""0175311""",0,11,36,87,0,408,542
,,"Mountain View School","=""0171711""",0,21,20,35,0,293,369
,,"Destinations Academy","=""0179011""",0,0,0,9,0,14,23
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",18,"*",23,0,329,374
,,"Huckleberry Hill Elementary School","=""0180411""","*",29,"*",24,0,543,604
,,"Brookfield High School","=""0186111""",0,25,10,23,0,962,1020
,,"Whisconier Middle School","=""0185311""",0,39,14,31,0,867,951
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*",6,"*",8,0,388,406
,,"Brooklyn Elementary School","=""0190111""",0,12,8,9,0,551,580
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*","*","*",0,94,101
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",6,13,0,290,316
,,"Dr. Helen Baldwin Middle School","=""0225111""","*","*",6,"*",0,248,262
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*","*",8,"*",0,252,270
,,"Cherry Brook Primary School","=""0230211""","*",23,"*",16,0,485,538
,,"Canton High School","=""0236111""",0,7,19,10,0,478,514
,,"Canton Intermediate School","=""0230311""",0,"*","*",10,0,381,405
"Capitol Region Education Council","=""2410014""","Academy of Computer Science and Engineering Middle School","=""2415014""","*","*",146,156,0,254,582
,,"Academy of International Studies 6-12","=""2416114""","*","*",417,75,0,163,676
,,"Glastonbury/East Hartford Magnet School","=""2410114""","*","*",54,33,0,149,257
,,"University of Hartford Magnet School","=""2410214""","*","*",210,70,0,99,406
,,"Great Path Academy at MCC","=""2416314""",0,"*",38,"*",0,51,111
,,"Greater Hartford Academy of the Arts High School - Full Day","=""2416414""",0,"*",13,18,0,"*",43
,,"John J. Allison Polaris Center","=""2419014""",0,10,66,72,0,241,389
,,"Montessori Magnet School","=""2413114""",0,"*",138,121,0,"*",329
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*","*",14,0,189,210
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*",40,"*",14,0,333,393
,,"Dodd Middle School","=""0255111""","*",57,"*",18,0,733,824
,,"Highland School","=""0250411""","*",77,"*",29,0,788,908
,,"Norton School","=""0250511""","*",37,"*",11,0,438,493
,,"Chapman School","=""0250111""",0,27,9,12,0,284,332
,,"Cheshire High School","=""0256111""",0,102,37,39,0,1434,1612
,,"Doolittle School","=""0250611""",0,43,9,13,0,472,537
,,"Humiston School","=""0259011""",0,0,0,"*",0,"*",23
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",6,"*",16,0,312,338
