"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
,,"Kinsella Magnet School of Performing Arts: PK-8 Campus","=""0641111""","*",0,138,337,"*",40,517
,,"M. D. Fox School","=""0640811""","*","*",121,648,0,46,824
,,"M. L. King, Jr. Middle School","=""0641611""","*","*",527,61,0,9,600
,,"Naylor/CCSU Leadership Academy","=""0641411""","*","*",104,331,0,120,564
,,"Pathways Academy of Technology and Design","=""0646611""","*","*",169,119,0,54,350
,,"Quirk Middle School","=""0645211""","*","*",112,449,0,7,575
,,"Rawson School","=""0641711""","*",0,557,22,0,"*",586
,,"SAND School","=""0640111""","*",0,170,194,0,"*",366
,,"STEM Magnet at Annie Fisher School","=""0642511""","*","*",457,75,0,23,560
,,"Sport and Medical Sciences Academy","=""0646511""","*","*",150,145,0,92,395
,,"University High School of Science and Engineering","=""0646711""","*","*",162,97,0,69,342
,,"Webster Micro Society Magnet School","=""0642011""","*","*",312,217,0,77,620
,,"Barnard-Brown School","=""0640311""",0,"*",50,277,0,"*",333
,,"Betances Learning Lab Magnet School","=""0642811""",0,"*",75,319,0,"*",403
,,"Burns Latino Studies Academy","=""0640611""",0,"*",82,445,0,"*",533
,,"Capital Preparatory Magnet School","=""0646911""",0,10,145,75,0,36,266
,,"Clark School","=""0642411""",0,"*",298,135,0,"*",442
,,"Dr. Joseph Bellizzi Middle School","=""0645311""",0,"*",64,360,0,"*",447
,,"Dwight-Bellizzi Dual Language Academy","=""0640711""",0,12,91,286,0,45,434
,,"Environmental Sciences Magnet at Hooker School","=""0640911""",0,9,100,274,0,20,403
,,"Fox Middle School","=""0645111""",0,"*",359,100,0,"*",461
,,"Little Owls Learning Center","=""0648011""",0,"*","*","*",0,"*",12
,,"Milner Middle School","=""0641911""",0,"*",217,134,0,"*",360
,,"Parkville Community School","=""0641511""",0,24,105,418,0,49,596
,,"Sanchez School","=""0643011""",0,"*",76,501,0,"*",580
,,"Simpson-Waverly School","=""0642611""",0,"*",311,43,0,"*",366
,,"Twain School","=""0641811""",0,"*",243,37,0,"*",282
,,"Weaver High School","=""0646311""",0,"*",1120,134,0,"*",1259
,,"West Middle School","=""0642111""",0,20,400,328,0,20,768
,,"Wish Museum School","=""0642211""",0,"*",236,196,0,"*",437
,,"Expeditionary Learning Academy at Moylan School","=""0643211""",0,0,91,497,0,10,598
,,"Hartford Transitional Learning Academy (Elementary)","=""0649011""",0,0,29,35,0,0,64
,,"Hartford Transitional Learning Academy (Secondary)","=""0649111""",0,0,19,36,0,0,55
,,"McDonough Middle School","=""0641211""",0,0,39,392,0,9,440
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*",8,"*","*",0,218,235
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","*","*",53,26,0,229,330
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""","*","*",34,76,0,64,181
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",6,10,17,14,0,408,455
,,"Killingly High School","=""0696111""","*","*",26,29,0,759,836
,,"Killingly Intermediate School","=""0695211""",8,20,26,25,0,740,819
,,"Killingly Memorial School","=""0690311""",7,15,18,29,0,462,531
,,"Goodyear Early Childhood Center","=""0698011""",0,"*","*","*",0,67,71
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",11,18,94,143,0,262,528
,,"The Friendship School","=""2450214""",12,30,79,137,0,256,514
,,"Learn Special Education","=""2459014""",0,0,"*","*",0,28,35
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",7,7,10,10,0,478,512
,,"Lebanon Middle School","=""0715111""","*","*",6,12,0,399,423
,,"Lyman Memorial High School","=""0716211""","*","*",6,9,0,569,587
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","*",13,13,"*",0,190,230
,,"Gallup Hill School","=""0720411""",15,27,25,33,0,264,364
,,"Juliet W. Long School","=""0720311""","*","*",32,21,0,315,385
,,"Ledyard Center School","=""0720111""",37,21,13,16,0,336,423
,,"Ledyard High School","=""0726111""",38,52,54,70,0,845,1059
,,"Ledyard Middle School","=""0725111""",18,24,18,14,0,346,420
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",6,23,13,12,0,521,575
"Litchfield School District","=""0740011""","Center School","=""0740211""","*",8,"*",19,0,306,337
,,"Litchfield High School","=""0746111""","*",9,"*",9,0,597,624
,,"Litchfield Intermediate School","=""0740311""","*",10,0,"*",0,233,250
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","*",51,16,"*",0,1157,1237
,,"Dr. Robert H. Brown Elementary School","=""0760611""","*",23,"*","*",0,568,600
,,"Island Avenue Elementary School","=""0760211""","*",6,"*",7,0,290,307
,,"J. Milton Jeffrey Elementary School","=""0760111""","*",20,"*",11,0,595,632
,,"Kathleen H. Ryerson Elementary School","=""0760311""","*",20,"*",6,0,320,348
,,"Walter C. Polson Middle School","=""0765211""","*",17,"*",7,0,613,645
"Manchester School District","=""0770011""","Bowers School","=""0770111""","*","*",99,87,0,277,490
,,"Illing Middle School","=""0775311""",6,44,196,204,0,465,915
,,"Keeney School","=""0770611""","*","*",57,51,0,285,417
,,"Manchester Head Start","=""0778011""","*","*",14,22,0,8,46
,,"Manchester High School","=""0776111""","*","*",426,358,0,1196,2077
,,"Nathan Hale School","=""0770911""","*","*",123,110,0,93,343
,,"Robertson School","=""0771011""","*","*",124,94,0,121,413
,,"Verplanck School","=""0771211""","*","*",107,117,0,107,390
,,"Waddell School","=""0771311""","*","*",68,73,0,178,360
,,"Washington School","=""0771411""","*","*",148,93,0,132,395
,,"Buckley School","=""0770311""",0,25,46,58,0,242,371
,,"Highland Park School","=""0770411""",0,15,40,35,0,206,296
,,"Manchester Regional Academy","=""0779011""",0,"*",32,"*",0,39,90
,,"Martin School","=""0771611""",0,14,28,29,0,156,227
"Mansfield School District","=""0780011""","Mansfield Elementary at Vinton","=""0780411""","*",24,"*",17,0,216,262
,,"Mansfield Middle School","=""0785111""","*",60,"*",35,0,480,594
,,"Southeast Elementary School","=""0780511""","*",26,15,"*",0,191,244
,,"Mansfield Elementary at Goodwin","=""0780211""",0,31,"*","*",0,153,202
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",0,23,10,236,0,238,507
,,"Nathan Hale School","=""0800711""","*","*",99,253,0,253,622
,,"Francis T. Maloney High School","=""0806111""","*","*",188,459,0,640,1321
,,"Hanover School","=""0800311""","*","*",29,209,0,338,589
,,"Israel Putnam School","=""0800411""","*","*",89,281,0,232,623
,,"Lincoln Middle School","=""0805211""","*","*",91,315,0,363,777
,,"Orville H. Platt High School","=""0806211""","*","*",167,468,0,557,1213
,,"Roger Sherman School","=""0800811""","*","*",78,303,0,191,590
,,"Washington Middle School","=""0805411""","*","*",144,376,0,331,868
,,"Benjamin Franklin School","=""0800111""",0,16,55,181,0,182,434
,,"Casimir Pulaski School","=""0801111""",0,17,114,353,0,249,733
,,"John Barry School","=""0800511""",0,"*","*",319,0,121,538
"Middletown School District","=""0830011""","Beman Middle School","=""0835411""","*","*",174,85,0,400,700
,,"Bielefield School","=""0830211""","*","*",108,48,0,179,351
,,"Farm Hill School","=""0830511""","*","*",67,45,0,178,309
,,"Keigwin Middle School","=""0831511""","*","*",88,41,0,213,357
,,"Lawrence School","=""0831311""","*",47,66,"*",0,142,286
,,"Middletown High School","=""0836211""",6,61,360,133,0,777,1337
,,"Moody School","=""0831211""","*","*",73,58,0,240,391
,,"Spencer School","=""0830111""","*","*",71,53,0,233,384
,,"Snow School","=""0831111""",0,25,83,51,0,191,350
,,"Wesley School","=""0831411""",0,13,84,39,0,200,336
,,"DEAL Program","=""0839011""",0,0,"*","*",0,12,24
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","*",19,"*",9,0,310,345
,,"East Shore Middle School","=""0845111""","*",32,"*",26,0,535,619
,,"J. F. Kennedy School","=""0841911""","*",26,"*",26,0,325,391
,,"Jonathan Law High School","=""0846211""","*","*",60,75,0,846,1033
,,"Joseph A. Foran High School","=""0846311""","*",42,"*",47,0,897,1012
,,"Live Oaks School","=""0841611""","*",28,"*",11,0,300,349
,,"Orange Avenue School","=""0840811""","*",35,"*",22,0,421,497
,,"Simon Lake School","=""0841411""","*",45,"*",34,0,269,379
,,"West Shore Middle School","=""0845311""","*","*",38,53,0,427,550
,,"Harborside Middle School","=""0845211""",0,28,16,14,0,490,548
,,"Mathewson School","=""0841711""",0,50,21,8,0,414,493
,,"Meadowside School","=""0840711""",0,74,18,29,0,237,358
,,"Orchard Hills School","=""0841811""",0,31,24,28,0,356,439
,,"Pumpkin Delight School","=""0841011""",0,20,20,31,0,211,282
,,"The Academy","=""0846411""",0,0,"*","*",0,74,87
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""","*",18,"*",29,0,623,679
,,"Fawn Hollow Elementary School","=""0850511""","*",24,"*",21,0,532,598
,,"Jockey Hollow School","=""0855211""","*",21,"*",27,0,608,668
,,"Masuk High School","=""0856111""","*",43,"*",67,0,1251,1402
,,"Monroe Elementary School","=""0850111""","*","*",7,"*",0,343,361
,,"Stepney Elementary School","=""0850311""","*",20,"*",25,0,457,513
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",9,14,13,30,0,353,419
,,"Leonard J. Tyl Middle School","=""0865111""",27,43,40,33,0,570,713
,,"Mohegan School","=""0860111""",32,71,"*",31,"*",244,406
,,"Montville High School","=""0866111""",9,58,40,49,0,672,828
,,"Oakdale School","=""0860511""",17,20,26,33,0,374,470
,,"The Palmer School","=""0869011""","*","*",0,"*",0,26,30
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","*",17,"*",46,0,159,228
,,"Cross Street Intermediate School","=""0880211""","*",8,39,32,"*",318,400
,,"Hillside Intermediate School","=""0880411""","*","*",32,56,0,273,384
,,"Hop Brook Elementary School","=""0880511""",8,17,22,45,0,247,339
,,"Maple Hill School","=""0880311""","*","*",48,35,0,328,435
,,"Salem School","=""0880611""","*",7,33,45,"*",165,253
,,"Central Avenue School","=""0880111""",0,12,27,48,0,206,293
,,"City Hill Middle School","=""0885111""",0,17,39,47,0,404,507
,,"Head Start","=""0888111""",0,6,14,28,0,58,106
,,"Hillside Middle School","=""0885211""",0,9,23,25,0,244,301
,,"Naugatuck High School","=""0886111""",0,33,94,139,0,1144,1410
,,"Western School","=""0880711""",0,6,21,26,0,209,262
"New Britain School District","=""0890011""","Holmes Elementary School","=""0890611""","*","*",46,246,0,117,422
,,"DiLoreto Elementary & Middle School","=""0891111""","*","*",99,438,0,109,657
,,"Jefferson Elementary School","=""0890711""","*","*",64,206,0,100,410
,,"Lincoln Elementary School","=""0890811""","*","*",122,403,0,112,656
,,"New Britain High School","=""0896111""","*","*",549,1637,0,882,3130
,,"Pulaski Middle School","=""0895311""","*","*",133,508,0,156,820
,,"Smith Elementary School","=""0891311""","*","*",132,369,0,144,661
,,"Chamberlain Elementary School","=""0890311""",0,13,133,350,0,84,580
,,"Gaffney Elementary School","=""0890511""",0,21,67,205,0,141,434
,,"House of Arts Letters and Science (HALS) Academy","=""0895411""",0,7,21,44,0,83,155
,,"Northend Elementary School","=""0890911""",0,"*",72,176,0,"*",287
,,"Roosevelt Middle School","=""0895111""",0,10,123,336,0,73,542
,,"Slade Middle School","=""0895211""",0,9,137,434,0,117,697
,,"Smalley Elementary School","=""0891211""",0,7,139,432,0,94,672
,,"Vance Elementary School","=""0891511""",0,12,81,242,0,159,494
"New Canaan School District","=""0900011""","East School","=""0900411""","*",25,"*",11,0,496,542
,,"Saxe Middle School","=""0905111""","*",39,"*",21,0,1232,1305
,,"South School","=""0900211""","*",13,"*",9,0,494,520
,,"West School","=""0900311""","*",7,"*",9,0,506,526
,,"New Canaan High School","=""0906111""",0,31,10,27,0,1155,1223
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","*",12,"*",29,0,618,664
,,"New Fairfield High School","=""0916111""","*",24,"*",27,0,882,938
,,"New Fairfield Elementary School","=""0910211""",0,"*","*",17,0,674,699
,,"New Fairfield Middle School","=""0915211""",0,"*","*",30,0,700,743
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","*","*",73,167,0,309,562
,,"Augusta Lewis Troup School","=""0931511""","*","*",271,67,0,7,349
,,"Barnard Environmental Magnet School","=""0930211""","*","*",318,80,0,53,453
,,"Celentano BioTech, Health and Medical Magnet School","=""0934811""","*","*",391,116,0,57,584
,,"Clarence Rogers School","=""0930511""","*",0,102,24,0,"*",135
,,"Conte/West Hills Magnet School","=""0933111""","*","*",345,239,0,56,642
,,"Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""","*",0,157,32,0,"*",204
,,"Davis Academy for Arts & Design Innovation","=""0930911""","*","*",247,31,0,67,361
,,"East Rock Community Magnet School","=""0934611""","*","*",340,205,0,51,613
,,"Edgewood School","=""0931211""","*","*",266,51,0,117,448
,,"High School In The Community","=""0936611""","*","*",162,79,0,86,329
,,"John S. Martinez Sea and Sky STEM School","=""0930811""","*",0,125,486,0,"*",633
,,"Lulac","=""0938011""","*","*",127,281,0,"*",414
,,"Ross/Woodward School","=""0931011""","*","*",283,266,0,65,634
,,"Sheridan Communications and Technology Magnet School","=""0935311""","*","*",138,43,0,62,249
,,"Vincent E. Mauro Elementary Math, Science and Technology Magnet School","=""0932511""","*","*",169,181,0,56,410
,,"Wilbur Cross High School","=""0936111""","*","*",793,808,0,161,1795
,,"Zigler PreK Center","=""0938311""","*","*",259,118,0,14,397
,,"Beecher School","=""0930311""",0,"*",366,28,0,"*",409
,,"Benjamin Jepson Magnet School","=""0931811""",0,"*",202,140,"*",109,459
,,"Betsy Ross Arts and Design Academy","=""0935511""",0,"*",226,"*",0,130,488
,,"Bishop Woods Architecture and Design Magnet School","=""0934311""",0,12,143,101,0,42,298
,,"Clinton Avenue School","=""0930611""",0,"*",134,351,0,"*",512
,,"Cooperative High School - Inter-District Magnet","=""0936411""",0,"*",197,"*",0,114,417
,,"Early Learning Center","=""0938111""",0,"*",98,20,0,"*",125
,,"Hill Regional Career High School","=""0936311""",0,22,390,205,0,124,741
,,"James Hillhouse High School","=""0936211""",0,"*",935,136,0,"*",1087
,,"King/Robinson Magnet School","=""0933011""",0,10,308,30,0,41,389
,,"Sound School","=""0936711""",0,"*","*",63,0,231,329
,,"Timothy Dwight School","=""0931111""",0,"*",145,149,0,"*",298
,,"Truman School","=""0932911""",0,"*",169,436,0,"*",620
,,"West Rock Authors Academy","=""0934911""",0,"*",116,59,0,"*",207
,,"Wexler/Grant - Lincoln/Bassett Community School","=""0933211""",0,"*",423,18,0,"*",448
,,"Worthington Hooker School","=""0933811""",0,90,100,20,0,179,389
,,"Dwight Early Childhood Program","=""0938211""",0,0,35,"*",0,"*",40
,,"Fair Haven School","=""0931611""",0,0,101,431,0,14,546
,,"Family Academy of Multilingual Exploration","=""0934111""",0,0,18,267,0,0,285
,,"Hill Central Music Academy","=""0930711""",0,0,"*",327,0,"*",433
,,"John C. Daniels","=""0931311""",0,0,102,373,0,14,489
,,"Katherine Brennan School","=""0930411""",0,0,163,"*",0,"*",206
,,"Lincoln-Bassett School","=""0932011""",0,0,349,"*",0,"*",364
,,"Metropolitan Business Academy","=""0936011""",0,0,120,40,0,13,173
,,"New Haven Academy","=""0937011""",0,0,107,46,0,30,183
,,"Polly T. McCabe Center","=""0936511""",0,0,20,"*",0,"*",34
,,"Riverside Education Academy","=""0936911""",0,0,123,"*",0,"*",180
,,"Roberto Clemente Leadership Academy for Global Awareness","=""0934211""",0,0,253,185,0,11,449
,,"Urban Youth Center Middle School","=""0935111""",0,0,27,"*",0,"*",34
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",12,"*",215,301,"*",87,628
,,"C.B. Jennings International Elementary Magnet","=""0950311""","*","*",88,212,0,45,352
,,"Harbor School","=""0950211""","*","*",168,117,0,89,393
,,"Nathan Hale Arts Magnet School","=""0950911""",12,10,143,120,0,84,369
,,"New London Clinical Day Program","=""0959111""","*",0,7,11,0,"*",25
,,"New London High School","=""0956111""",14,16,288,333,0,147,798
,,"Winthrop STEM Elementary Magnet School","=""0950811""","*","*",67,198,0,39,316
,,"Dual Language Arts Academy/Academia Bilingue de las Artes","=""0955211""",0,0,"*",18,0,"*",31
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""","*",21,"*",32,0,420,490
,,"New Milford High School","=""0966111""","*",39,"*",87,0,1434,1591
,,"Sarah Noble Intermediate School","=""0960911""","*",45,"*",88,0,964,1119
,,"Hill And Plain School","=""0960511""",0,40,13,35,0,395,483
,,"Northville Elementary School","=""0960811""",0,9,11,30,0,497,547
,,"Schaghticoke Middle School","=""0965211""",0,28,13,54,0,687,782
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","*",45,"*",45,0,333,440
,,"Elizabeth Green School","=""0940211""","*","*",27,26,0,241,313
,,"John Paterson School","=""0940811""","*",47,"*",42,0,338,455
,,"John Wallace Middle School","=""0945311""","*",70,"*",67,0,580,758
,,"Martin Kellogg Middle School","=""0945111""","*",42,"*",60,0,528,666
,,"Newington High School","=""0946111""","*",107,"*",125,0,1205,1528
,,"Ruth Chaffee School","=""0940711""","*","*",35,59,0,263,388
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","*",11,"*",17,0,411,443
,,"Newtown High School","=""0976111""","*",37,"*",58,0,1606,1719
,,"Reed Intermediate School","=""0970511""","*",25,"*",36,0,814,886
,,"Hawley Elementary School","=""0970111""",0,16,"*","*",0,390,418
,,"Middle Gate Elementary School","=""0970311""",0,14,10,16,0,491,531
,,"Newtown Middle School","=""0975111""",0,31,12,27,0,860,930
,,"Newtown Preschool","=""0978011""",0,"*",0,"*",0,57,62
,,"Sandy Hook Elementary School","=""0970211""",0,23,14,23,0,579,639
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","*","*","*",7,0,337,355
,,"North Branford High School","=""0996111""","*","*",12,15,0,695,730
,,"North Branford Intermediate School","=""0995111""","*","*",16,23,0,518,570
,,"Stanley T. Williams School","=""0990511""","*","*","*","*",0,253,268
,,"Totoket Valley Elementary School","=""0990611""",0,8,7,11,0,482,508
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","*",20,11,"*",0,419,461
,,"North Haven High School","=""1016111""","*",73,85,"*",0,1018,1240
,,"Clintonville Elementary School","=""1010811""",0,27,15,15,0,316,373
,,"Green Acres Elementary School","=""1010711""",0,39,29,14,0,355,437
,,"North Haven Middle School","=""1015211""",0,63,35,43,0,776,917
,,"Ridge Road Elementary School","=""1010311""",0,42,21,17,0,355,435
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",9,6,10,10,0,338,373
,,"Wheeler High School","=""1026111""",7,8,"*","*",0,220,245
,,"Wheeler Middle School","=""1025111""","*","*","*","*",0,173,187
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",6,65,500,465,0,626,1662
,,"Concord Magnet School","=""1030311""","*","*",87,57,0,174,356
,,"Jefferson Marine Science Elementary School","=""1030711""","*","*",129,223,0,94,494
,,"Kendall College & Career Academy","=""1030811""","*","*",138,234,0,81,484
,,"Marvin Elementary School","=""1032211""","*","*",70,173,0,207,466
,,"Naramake Elementary School","=""1032111""","*","*",57,98,0,221,397
,,"Norwalk High School","=""1036111""","*","*",359,387,0,741,1558
,,"Roton Middle School","=""1035511""","*","*",118,138,0,148,425
,,"Rowayton School","=""1031311""","*","*",66,92,0,250,424
,,"Tracey Magnet School","=""1031411""","*","*",100,164,0,126,413
,,"Wolfpit Integrated Arts Elementary School","=""1032411""","*","*",67,79,0,152,308
,,"Brookside Elementary School","=""1030211""",0,8,90,191,0,113,402
,,"Cranbury Elementary School","=""1030411""",0,19,70,86,0,289,464
,,"Fox Run Elementary School","=""1032011""",0,27,95,82,0,244,448
,,"Nathan Hale Middle School","=""1035211""",0,22,87,116,0,281,506
,,"Ponus Ridge STEAM Academy","=""1035311""",0,41,181,216,0,204,642
,,"Silvermine Dual Language Magnet School","=""1032311""",0,12,67,193,0,102,374
,,"West Rocks Middle School","=""1035411""",0,19,168,244,0,262,693
,,"Norwalk Pathways Academy at Briggs","=""1036311""",0,0,50,30,0,16,96
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",35,138,296,238,0,1742,2449
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",8,13,45,32,0,74,172
,,"Deborah-Tennant Zinewicz  School","=""1049111""","*",0,9,"*",0,28,44
,,"Greeneville School","=""1040611""","*","*",125,131,0,68,342
,,"Hickory Street School","=""1049011""","*",0,"*","*",0,7,15
,,"John B. Stanton School","=""1041411""",10,31,71,45,0,125,282
,,"Kelly STEAM Magnet Middle School","=""1045111""",28,22,154,137,0,405,746
,,"Moriarty Magnet School","=""1042011""","*","*",64,59,0,228,369
,,"Samuel Huntington School","=""1040811""","*","*",55,77,0,238,398
,,"Teachers' Memorial Middle School","=""1045211""",12,59,132,107,0,230,540
,,"Thomas W. Mahan School","=""1041711""",8,67,38,46,0,120,279
,,"Uncas Elementary School","=""1041911""","*","*",56,57,0,56,193
,,"Veterans' Memorial School","=""1041811""",9,19,79,68,0,103,278
,,"Wequonnoc Magnet School","=""1041511""","*","*",79,44,0,119,255
,,"Thames River Academy","=""1046111""",0,"*",22,"*",0,45,79
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","*","*",43,32,0,97,177
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","*",44,"*",25,0,566,652
,,"Old Saybrook Senior High School","=""1066111""","*",24,"*",15,0,434,483
,,"Kathleen E. Goodwin School","=""1060211""",0,25,12,13,0,428,478
"Orange School District","=""1070011""","Peck Place School","=""1070511""","*",50,"*",16,0,365,439
,,"Mary L. Tracy School","=""1070211""",0,20,"*","*",0,165,197
,,"Race Brook School","=""1070311""",0,41,13,15,0,348,417
,,"Turkey Hill School","=""1070411""",0,37,13,6,0,263,319
"Oxford School District","=""1080011""","Great Oak Elementary School","=""1080111""","*",15,"*",18,0,460,499
,,"Oxford High School","=""1086011""","*",7,"*",6,0,249,266
,,"Oxford Middle School","=""1085111""","*","*",11,23,0,475,520
,,"Quaker Farms School","=""1080311""",0,"*","*",13,0,544,565
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",7,9,11,14,0,260,301
,,"Plainfield Central School","=""1095111""",14,7,16,23,0,512,572
,,"Plainfield High School","=""1096111""","*","*",20,36,0,840,916
,,"Plainfield Memorial School","=""1090311""",11,8,14,18,0,335,386
,,"Shepard Hill Elementary School","=""1090411""","*","*",16,17,0,274,321
,,"Early Childhood Center","=""1090511""",0,"*","*",18,0,238,266
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","*","*",11,47,0,319,388
,,"Louis Toffolon School","=""1100511""","*","*",14,27,0,282,330
,,"Middle School of Plainville","=""1105211""","*","*",52,40,0,517,622
,,"Plainville High School","=""1106111""","*","*",51,44,0,778,898
,,"Frank T. Wheeler School","=""1100411""",0,9,34,24,0,261,328
,,"Prekindergarten Program","=""1108011""",0,"*","*",0,0,31,35
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","*","*","*",10,0,487,506
,,"Terryville High School","=""1116111""","*","*",8,15,0,521,553
,,"Eli Terry Jr. Middle School","=""1115111""",0,"*",15,"*",0,453,484
,,"Main Street School","=""1110111""",0,"*","*",6,0,169,181
,,"Prospect Street School","=""1110311""",0,"*",9,"*",0,159,173
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""","*","*",12,12,0,209,240
,,"Portland High School","=""1136111""","*","*",14,11,0,336,364
,,"Portland Middle School","=""1135111""","*","*",7,7,0,194,215
,,"Valley View School","=""1130211""","*","*",16,8,0,337,370
,,"Brownstone Intermediate School","=""1130511""",0,"*",12,"*",0,222,240
"Preston School District","=""1140011""","Preston Plains School","=""1145111""","*","*",7,8,0,169,191
,,"Preston Veterans' Memorial School","=""1140411""",12,12,"*","*",0,277,312
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""","*","*",21,25,0,574,629
,,"Putnam High School","=""1166111""","*","*",21,11,0,357,394
,,"Putnam Middle School","=""1165111""","*","*","*",8,0,268,284
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","*",15,"*","*",0,551,574
,,"Redding Elementary School","=""1170111""","*",40,"*",17,0,670,734
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""","*","*",6,8,0,545,562
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""","*","*","*",6,0,326,338
,,"Valley Regional High School","=""2046112""","*",15,"*",22,0,570,616
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""","*",35,"*",12,0,359,415
,,"Amity Regional High School","=""2056112""","*",129,"*",54,0,1427,1649
,,"Amity Middle School: Bethany","=""2055112""",0,44,13,7,0,340,404
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","*",13,"*",13,0,984,1019
,,"RHAM Middle School","=""2085112""","*",9,6,"*",0,622,644
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","*",31,"*",23,0,903,963
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","*",13,"*",15,0,744,778
,,"Har-Bur Middle School","=""2105112""",0,"*","*",22,0,886,929
,,"Harwinton Consolidated School","=""2100312""",0,"*",0,"*",0,520,532
,,"Lake Garda Elementary School","=""2100212""",0,16,10,22,0,557,605
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","*","*",7,8,0,273,291
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""","*","*","*",12,0,373,393
,,"The Burnham School","=""2120112""","*","*",0,0,0,102,106
,,"Booth Free School","=""2120212""",0,"*",0,"*",0,123,129
,,"Shepaug Valley Middle School","=""2125112""",0,"*","*",6,0,216,232
,,"Washington Primary School","=""2120412""",0,"*","*",6,0,165,177
,,"Early Childhood Education Center","=""2128012""",0,0,0,0,0,21,21
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","*","*",6,9,0,568,587
,,"Francis E. Korn School","=""2130212""","*","*","*",13,0,193,213
,,"Frank Ward Strong School","=""2135112""","*",8,"*","*",0,345,360
,,"Frederick Brewster School","=""2130112""","*",6,"*",14,0,279,302
,,"John Lyman School","=""2130512""",0,7,"*","*",0,318,333
,,"Middlefield Memorial School","=""2130412""",0,"*","*","*",0,336,350
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""","*",8,"*",12,0,358,380
,,"Mitchell Elementary School","=""2140212""","*","*",6,10,0,423,444
,,"Nonnewaug High School","=""2146112""","*",9,"*",22,0,827,866
,,"Woodbury Middle School","=""2145112""",0,6,6,16,0,470,498
,,"Integrated Star Preschool Program","=""2148012""",0,0,0,0,0,16,16
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""","*",10,9,"*",0,492,521
,,"Pomperaug Elementary School","=""2150512""","*",23,"*",15,0,500,541
,,"Pomperaug Regional High School","=""2156212""",7,23,12,39,0,1334,1415
,,"Rochambeau Middle School","=""2155112""","*",30,"*",12,0,497,555
,,"Gainfield Elementary School","=""2150412""",0,36,9,14,0,408,467
,,"Long Meadow Elementary School","=""2150712""",0,15,"*","*",0,586,615
,,"Middlebury Elementary School","=""2150612""",0,"*","*",13,0,429,456
"Regional School District 16","=""2160012""","Community School","=""2160212""","*","*","*","*",0,240,247
,,"Woodland Regional High School","=""2166012""","*","*",19,25,0,767,816
,,"Algonquin School","=""2160312""",0,"*","*",11,0,471,497
,,"Laurel Ledge School","=""2160112""",0,"*","*",22,0,462,494
