"Student Counts by School and Race"
"All Districts, All Schools"
"2019-20"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",6,596,487,"*","*",13,1110
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",6,"*",842,299,"*",15,"*",1169
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",0,684,381,0,20,"*",1103
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",13,110,185,"*",17,185,513
,,"Ansonia Middle School","=""0025111""",0,6,74,148,0,20,108,356
,,"Ansonia Public Schools Pre-K Program","=""0020911""",0,"*",16,41,0,"*",32,93
,,"Mead School","=""0020311""",0,"*",116,317,"*",41,138,620
,,"Prendergast School","=""0020811""",0,16,99,261,0,51,212,639
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,10,13,0,"*","*",29
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*","*",0,0,0,8
,,"Ansonia 18-21 Transition Program","=""0021011""",0,0,0,"*",0,"*","*",7
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*",36,100,381,0,"*",144,698
,,"Village School","=""2449514""","*","*",48,29,"*","*",44,129
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*",19,237,124,"*",20,113,515
,,"CREATE at Whitney Academy","=""2440114""",0,"*",16,21,0,"*",20,60
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",7,"*",0,"*",25,40
,,"Whitney Academy","=""2449214""",0,"*",22,30,0,"*",43,100
,,"ACES Mill Elementary School","=""2440214""",0,0,44,22,0,"*","*",86
,,"ACES Mill Road School","=""2449414""",0,0,46,34,0,7,15,102
,,"ACES at Mead Elementary School","=""2440414""",0,0,"*","*",0,"*",0,"*"
,,"Whitney High School North","=""2449114""",0,0,54,25,"*","*",13,101
"Avon School District","=""0040011""","Avon Early Learning Center at Roaring Brook School","=""0040111""","*",10,11,"*",0,"*",29,56
,,"Avon High School","=""0046111""","*",153,48,60,0,"*",658,957
,,"Pine Grove School","=""0040411""","*",138,33,44,0,"*",390,634
,,"Roaring Brook School","=""0040311""","*",96,24,30,0,"*",314,487
,,"Thompson Brook School","=""0040511""","*",105,31,39,0,"*",306,502
,,"Avon Middle School","=""0045111""",0,123,26,36,0,16,325,526
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",39,"*",87,0,30,741,911
,,"Mary E. Griswold School","=""0070511""","*","*",14,49,0,16,411,503
,,"Catherine M. McGee Middle School","=""0075111""",0,21,18,82,0,20,503,644
,,"Emma Hart Willard School","=""0070411""",0,16,9,55,0,19,361,460
,,"Richard D. Hubbard School","=""0070111""",0,16,"*",28,0,"*",156,213
,,"Central Connecticut Transition Academy","=""0070311""",0,0,0,0,0,0,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",23,"*",28,0,7,306,369
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*",28,"*",103,0,20,255,424
,,"Bethel High School","=""0096111""","*",76,31,174,"*",13,607,905
,,"Bethel Middle School","=""0095111""",7,52,23,184,0,22,518,806
