"Student Counts by School and Race"
"All Districts, All Schools"
"2022-23"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",10,556,484,"*",9,21,1084
"Achievement First Hartford Academy District","=""2880013""","Achievement First Hartford Academy","=""2880113""",11,"*",780,229,0,17,"*",1041
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",673,396,0,21,15,1116
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*",106,258,0,36,126,537
,,"Mead School","=""0020311""","*",9,126,268,"*",33,126,567
,,"Prendergast School","=""0020811""","*","*",125,281,0,25,154,606
,,"Ansonia High School","=""0026111""",0,10,113,248,0,24,160,555
,,"Ansonia 18-21 Transition Program","=""0021011""",0,0,"*","*",0,0,6,9
,,"P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,7,15,0,"*","*",29
,,"P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,"*","*",0,0,"*",10
"Area Cooperative Educational Services","=""2440014""","ACES Chase Academy","=""2445114""","*","*",131,283,0,46,199,671
,,"Whitney Academy","=""2449214""","*","*",22,20,"*","*",25,74
,,"Wintergreen Interdistrict Magnet School","=""2440314""","*","*",228,125,0,25,76,467
,,"ACES Mill Road School","=""2449414""",0,"*",68,42,0,"*",23,142
,,"CREATE at Whitney Academy","=""2440114""",0,"*",20,"*",0,0,36,76
,,"Center for Autism Spectrum and Development Disorders","=""2449614""",0,"*",6,9,0,"*",25,43
,,"Village School","=""2449514""",0,"*",52,35,0,"*",34,136
,,"ACES at Ansonia Middle School","=""2440514""",0,0,"*","*",0,"*",0,9
,,"ACES at Mead Elementary School","=""2440414""",0,0,"*","*",0,"*","*",9
,,"Whitney High School North","=""2449114""",0,0,48,34,"*","*",20,112
,,"The Bridge at ACES","=""2440614""",0,0,0,0,0,0,"*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*",119,28,46,0,"*",314,524
,,"Pine Grove School","=""0040411""","*",102,40,40,0,"*",426,643
