"Smarter Balanced Assessments, 2021-22"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA","N",136,136,100.0,136,21,15.4,33,24.3,44,32.4,38,27.9,82,60.3
,,,"Y",400,395,98.8,395,134,33.9,103,26.1,112,28.4,46,11.6,158,40.0
,,"Math","N",136,135,99.3,135,37,27.4,40,29.6,36,26.7,22,16.3,58,43.0
,,,"Y",400,389,97.3,387,187,48.3,120,31.0,62,16.0,18,4.7,80,20.7
"Achievement First Hartford Academy District","=""2880013""","ELA","N",92,92,100.0,92,13,14.1,30,32.6,32,34.8,17,18.5,49,53.3
,,,"Y",451,450,99.8,450,154,34.2,124,27.6,121,26.9,51,11.3,172,38.2
,,"Math","N",92,90,97.8,90,29,32.2,29,32.2,17,18.9,15,16.7,32,35.6
,,,"Y",451,440,97.6,440,190,43.2,143,32.5,77,17.5,30,6.8,107,24.3
"Amistad Academy District","=""2790013""","ELA","N",114,112,98.2,112,15,13.4,27,24.1,43,38.4,27,24.1,70,62.5
,,,"Y",443,435,98.2,435,155,35.6,125,28.7,107,24.6,48,11.0,155,35.6
,,"Math","N",114,110,96.5,110,33,30.0,40,36.4,29,26.4,8,7.3,37,33.6
,,,"Y",443,430,97.1,430,226,52.6,131,30.5,54,12.6,19,4.4,73,17.0
"Andover School District","=""0010011""","ELA","N",51,51,100.0,51,"*","*","*","*",17,33.3,17,33.3,34,66.7
,,,"Y",26,26,100.0,26,"*","*","*","*",7,26.9,0,0.0,7,26.9
,,"Math","N",51,51,100.0,51,"*","*",14,27.5,"*","*","*","*","*","*"
,,,"Y",26,25,96.2,25,"*","*",12,48.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",252,249,98.8,249,91,36.5,59,23.7,68,27.3,31,12.4,99,39.8
,,,"Y",796,792,99.5,792,460,58.1,189,23.9,116,14.6,27,3.4,143,18.1
,,"Math","N",252,248,98.4,248,95,38.3,104,41.9,33,13.3,16,6.5,49,19.8
,,,"Y",796,784,98.5,784,529,67.5,184,23.5,58,7.4,13,1.7,71,9.1
