"Smarter Balanced Assessments, 2022-23"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA","N",97,97,100.0,97,13,13.4,27,27.8,31,32.0,26,26.8,57,58.8
,,,"Y",455,451,99.1,451,149,33.0,105,23.3,143,31.7,54,12.0,197,43.7
,,"Math","N",97,95,97.9,95,24,25.3,29,30.5,28,29.5,14,14.7,42,44.2
,,,"Y",455,447,98.2,447,224,50.1,134,30.0,63,14.1,26,5.8,89,19.9
"Achievement First Hartford Academy District","=""2880013""","ELA","N",105,105,100.0,105,23,21.9,30,28.6,35,33.3,17,16.2,52,49.5
,,,"Y",414,411,99.3,411,149,36.3,100,24.3,115,28.0,47,11.4,162,39.4
,,"Math","N",105,105,100.0,105,49,46.7,31,29.5,18,17.1,7,6.7,25,23.8
,,,"Y",414,409,98.8,409,225,55.0,102,24.9,61,14.9,21,5.1,82,20.0
"Amistad Academy District","=""2790013""","ELA","N",81,81,100.0,81,15,18.5,24,29.6,25,30.9,17,21.0,42,51.9
,,,"Y",471,462,98.1,462,190,41.1,106,22.9,115,24.9,51,11.0,166,35.9
,,"Math","N",81,78,96.3,78,30,38.5,23,29.5,17,21.8,8,10.3,25,32.1
,,,"Y",471,460,97.7,460,232,50.4,139,30.2,64,13.9,25,5.4,89,19.3
"Andover School District","=""0010011""","ELA","N",52,52,100.0,52,"*","*",8,15.4,"*","*",20,38.5,"*","*"
,,,"Y",30,30,100.0,30,"*","*",6,20.0,"*","*",6,20.0,"*","*"
,,"Math","N",52,52,100.0,52,"*","*",8,15.4,"*","*","*","*","*","*"
,,,"Y",30,30,100.0,30,"*","*",11,36.7,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",288,287,99.7,287,116,40.4,80,27.9,65,22.6,26,9.1,91,31.7
,,,"Y",790,783,99.1,783,514,65.6,155,19.8,78,10.0,36,4.6,114,14.6
,,"Math","N",288,285,99.0,285,120,42.1,89,31.2,54,18.9,22,7.7,76,26.7
,,,"Y",790,778,98.5,778,513,65.9,180,23.1,68,8.7,17,2.2,85,10.9
"Area Cooperative Educational Services","=""2440014""","ELA","N",508,505,99.4,505,140,27.7,144,28.5,148,29.3,73,14.5,221,43.8
,,,"Y",638,623,97.6,622,366,58.8,137,22.0,97,15.6,22,3.5,119,19.1
,,"Math","N",509,506,99.4,505,200,39.6,161,31.9,81,16.0,63,12.5,144,28.5
,,,"Y",637,605,95.0,605,424,70.1,122,20.2,43,7.1,16,2.6,59,9.8
"Ashford School District","=""0030011""","ELA","N",128,125,97.7,125,16,12.8,28,22.4,49,39.2,32,25.6,81,64.8
,,,"Y",100,97,97.0,97,33,34.0,23,23.7,23,23.7,18,18.6,41,42.3
,,"Math","N",128,125,97.7,125,18,14.4,42,33.6,25,20.0,40,32.0,65,52.0
,,,"Y",99,96,97.0,96,34,35.4,31,32.3,17,17.7,14,14.6,31,32.3
"Avon School District","=""0040011""","ELA","N",1157,1157,100.0,1157,70,6.1,181,15.6,391,33.8,515,44.5,906,78.3
,,,"Y",299,295,98.7,295,119,40.3,73,24.7,71,24.1,32,10.8,103,34.9
,,"Math","N",1157,1156,99.9,1156,84,7.3,240,20.8,332,28.7,500,43.3,832,72.0
,,,"Y",299,295,98.7,295,150,50.8,70,23.7,45,15.3,30,10.2,75,25.4
"Barkhamsted School District","=""0050011""","ELA","N",54,54,100.0,54,"*","*","*","*",18,33.3,25,46.3,43,79.6
,,,"Y",52,51,98.1,51,"*","*",12,23.5,15,29.4,"*","*","*","*"
,,"Math","N",54,54,100.0,54,0,0.0,12,22.2,22,40.7,20,37.0,42,77.8
,,,"Y",52,51,98.1,51,10,19.6,17,33.3,15,29.4,9,17.6,24,47.1
"Berlin School District","=""0070011""","ELA","N",762,755,99.1,755,57,7.5,125,16.6,305,40.4,268,35.5,573,75.9
,,,"Y",416,403,96.9,403,131,32.5,109,27.0,116,28.8,47,11.7,163,40.4
,,"Math","N",763,753,98.7,752,44,5.9,149,19.8,246,32.7,313,41.6,559,74.3
,,,"Y",416,400,96.2,400,148,37.0,101,25.3,92,23.0,59,14.8,151,37.8
"Bethany School District","=""0080011""","ELA","N",172,171,99.4,171,6,3.5,20,11.7,44,25.7,101,59.1,145,84.8
,,,"Y",73,73,100.0,73,18,24.7,24,32.9,16,21.9,15,20.5,31,42.5
,,"Math","N",172,171,99.4,171,"*","*","*","*",49,28.7,88,51.5,137,80.1
,,,"Y",73,72,98.6,72,"*","*",22,30.6,18,25.0,"*","*","*","*"
"Bethel School District","=""0090011""","ELA","N",868,866,99.8,866,82,9.5,155,17.9,352,40.6,277,32.0,629,72.6
,,,"Y",579,570,98.4,570,214,37.5,155,27.2,154,27.0,47,8.2,201,35.3
,,"Math","N",868,863,99.4,863,64,7.4,207,24.0,269,31.2,323,37.4,592,68.6
,,,"Y",579,572,98.8,572,235,41.1,171,29.9,104,18.2,62,10.8,166,29.0
"Bloomfield School District","=""0110011""","ELA","N",245,243,99.2,243,57,23.5,54,22.2,82,33.7,50,20.6,132,54.3
,,,"Y",525,521,99.2,521,256,49.1,141,27.1,93,17.9,31,6.0,124,23.8
,,"Math","N",245,243,99.2,243,84,34.6,68,28.0,50,20.6,41,16.9,91,37.4
,,,"Y",525,520,99.0,519,305,58.8,136,26.2,58,11.2,20,3.9,78,15.0
"Bolton School District","=""0120011""","ELA","N",229,216,94.3,216,15,6.9,33,15.3,88,40.7,80,37.0,168,77.8
,,,"Y",106,98,92.5,98,49,50.0,22,22.4,20,20.4,7,7.1,27,27.6
,,"Math","N",228,214,93.9,214,14,6.5,50,23.4,73,34.1,77,36.0,150,70.1
,,,"Y",105,96,91.4,96,51,53.1,22,22.9,17,17.7,6,6.3,23,24.0
"Booker T. Washington Academy District","=""2950013""","ELA","N",45,44,97.8,44,14,31.8,10,22.7,14,31.8,6,13.6,20,45.5
,,,"Y",226,226,100.0,226,97,42.9,75,33.2,40,17.7,14,6.2,54,23.9
,,"Math","N",45,44,97.8,44,18,40.9,13,29.5,"*","*","*","*",13,29.5
,,,"Y",226,225,99.6,225,103,45.8,76,33.8,"*","*","*","*",46,20.4
"Bozrah School District","=""0130011""","ELA","N",46,45,97.8,45,6,13.3,10,22.2,18,40.0,11,24.4,29,64.4
,,,"Y",51,50,98.0,50,11,22.0,18,36.0,15,30.0,6,12.0,21,42.0
,,"Math","N",46,45,97.8,45,7,15.6,8,17.8,20,44.4,10,22.2,30,66.7
,,,"Y",51,50,98.0,50,13,26.0,16,32.0,13,26.0,8,16.0,21,42.0
"Branford School District","=""0140011""","ELA","N",621,617,99.4,617,62,10.0,134,21.7,226,36.6,195,31.6,421,68.2
,,,"Y",533,531,99.6,531,193,36.3,137,25.8,140,26.4,61,11.5,201,37.9
,,"Math","N",620,617,99.5,617,48,7.8,170,27.6,200,32.4,199,32.3,399,64.7
,,,"Y",533,530,99.4,530,191,36.0,162,30.6,115,21.7,62,11.7,177,33.4
"Brass City Charter School District","=""2900013""","ELA","N",71,71,100.0,71,10,14.1,11,15.5,29,40.8,21,29.6,50,70.4
,,,"Y",142,142,100.0,142,58,40.8,39,27.5,36,25.4,9,6.3,45,31.7
,,"Math","N",71,71,100.0,71,15,21.1,29,40.8,15,21.1,12,16.9,27,38.0
,,,"Y",141,141,100.0,141,65,46.1,49,34.8,18,12.8,9,6.4,27,19.1
"Bridgeport School District","=""0150011""","ELA","N",936,933,99.7,933,272,29.2,260,27.9,290,31.1,111,11.9,401,43.0
,,,"Y",7633,7578,99.3,7578,4731,62.4,1579,20.8,993,13.1,275,3.6,1268,16.7
,,"Math","N",936,931,99.5,931,419,45.0,291,31.3,149,16.0,72,7.7,221,23.7
,,,"Y",7632,7561,99.1,7560,5336,70.6,1528,20.2,539,7.1,157,2.1,696,9.2
"Bristol School District","=""0170011""","ELA","N",1213,1207,99.5,1207,107,8.9,271,22.5,452,37.4,377,31.2,829,68.7
,,,"Y",2181,2145,98.3,2144,771,36.0,554,25.8,548,25.6,271,12.6,819,38.2
,,"Math","N",1212,1203,99.3,1203,164,13.6,306,25.4,346,28.8,387,32.2,733,60.9
,,,"Y",2180,2129,97.7,2128,934,43.9,555,26.1,366,17.2,273,12.8,639,30.0
"Brookfield School District","=""0180011""","ELA","N",792,770,97.2,770,56,7.3,156,20.3,280,36.4,278,36.1,558,72.5
,,,"Y",346,331,95.7,331,128,38.7,84,25.4,86,26.0,33,10.0,119,36.0
,,"Math","N",792,765,96.6,765,62,8.1,205,26.8,252,32.9,246,32.2,498,65.1
